SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,Trachea
1,MODEL1,PARMS,Trachea,1.845857683,11.23757924,0.973363447,0.456460153,-1.763223561,-1
2,MODEL1,PARMS,Trachea,1.779225325,10.02160146,1.328282771,-1.628513894,2.418776229,-1
3,MODEL1,PARMS,Trachea,1.807384661,10.80907576,1.103017637,-1.147909,1.505998695,-1
4,MODEL1,PARMS,Trachea,1.812437939,11.68877345,0.806913982,1.241978811,-2.780447049,-1
5,MODEL1,PARMS,Trachea,1.714459264,10.42600012,1.220038139,-1.24999052,1.546242747,-1
6,MODEL1,PARMS,Trachea,1.756406149,9.989932898,1.262787111,-1.073260064,1.227298719,-1
7,MODEL1,PARMS,Trachea,1.632939336,9.925701479,1.214855173,-0.05137815,-0.45177362,-1
8,MODEL1,PARMS,Trachea,1.794649347,9.829293327,1.318572524,-1.252738066,1.630492861,-1
9,MODEL1,PARMS,Trachea,1.837722556,10.57778098,1.073343082,-0.359860941,0.441990504,-1
10,MODEL1,PARMS,Trachea,1.800833791,7.949160223,1.907868546,-4.405719242,7.203588939,-1
11,MODEL1,PARMS,Trachea,1.707702101,10.68849715,1.062602898,-0.199978321,-0.212284485,-1
12,MODEL1,PARMS,Trachea,1.668481091,10.90137182,1.037923505,-0.805060213,1.328225686,-1
13,MODEL1,PARMS,Trachea,1.80756923,9.762514958,1.321819659,-1.219599017,1.656867645,-1
14,MODEL1,PARMS,Trachea,1.715006767,10.80381282,1.022268635,0.424655374,-1.381994119,-1
15,MODEL1,PARMS,Trachea,1.873332372,10.96964946,1.060611413,-0.009893764,-0.753576369,-1
16,MODEL1,PARMS,Trachea,1.844979415,12.17213934,0.660359472,2.154511154,-4.584902282,-1
17,MODEL1,PARMS,Trachea,1.770894518,10.20999782,1.312797199,-2.385226266,3.923056347,-1
18,MODEL1,PARMS,Trachea,1.825091507,10.46067101,1.12439148,-0.59903299,0.390854717,-1
19,MODEL1,PARMS,Trachea,1.739742572,8.636018259,1.745323878,-3.874332947,6.342643611,-1
20,MODEL1,PARMS,Trachea,2.152802036,10.24611184,1.126976202,0.690688522,-2.434991723,-1
21,MODEL1,PARMS,Trachea,1.877631526,10.95161773,0.965717011,1.113615467,-2.825457544,-1
22,MODEL1,PARMS,Trachea,1.849872309,9.655258169,1.463793351,-2.67934956,4.508450788,-1
23,MODEL1,PARMS,Trachea,1.856136755,8.269971389,1.831421728,-3.210424448,4.75084328,-1
24,MODEL1,PARMS,Trachea,1.839530533,10.48894057,1.093256381,-0.357025818,0.138724465,-1
25,MODEL1,PARMS,Trachea,1.822167834,11.16862775,0.93515114,0.61233351,-1.812020274,-1
26,MODEL1,PARMS,Trachea,1.664587143,9.384116993,1.460538793,-1.785135656,2.626012879,-1
27,MODEL1,PARMS,Trachea,1.649937975,10.38473652,1.128075167,-0.337839517,0.048002081,-1
28,MODEL1,PARMS,Trachea,1.901182536,11.1504319,0.968751787,-0.319388996,0.159747015,-1
29,MODEL1,PARMS,Trachea,1.821287468,8.840316857,1.592386382,-2.838234001,4.479556286,-1
30,MODEL1,PARMS,Trachea,1.886277268,8.568506563,1.745757029,-3.78247279,6.346542247,-1
31,MODEL1,PARMS,Trachea,1.865644095,9.446889544,1.400749122,-1.150829213,1.249532506,-1
32,MODEL1,PARMS,Trachea,1.883281291,8.454194308,1.702564272,-1.291642358,0.593576732,-1
33,MODEL1,PARMS,Trachea,1.826803089,10.63154583,1.05319447,-0.166368019,-0.365564021,-1
34,MODEL1,PARMS,Trachea,1.77552921,11.36853841,0.908002132,0.48146018,-1.434646806,-1
35,MODEL1,PARMS,Trachea,1.769546501,11.39046067,0.875432816,0.480813573,-1.15219637,-1
36,MODEL1,PARMS,Trachea,1.965846659,8.331037563,1.756386484,-2.29732099,2.924780185,-1
37,MODEL1,PARMS,Trachea,1.864635443,9.569557553,1.43729264,-1.93857304,2.569041781,-1
38,MODEL1,PARMS,Trachea,1.707575703,10.95093551,1.074240627,-1.202719002,1.854005008,-1
39,MODEL1,PARMS,Trachea,1.978492481,12.32463563,0.655089727,1.191915824,-2.156154912,-1
40,MODEL1,PARMS,Trachea,1.9683788,11.05660398,1.03448021,-0.43013598,0.292780833,-1
41,MODEL1,PARMS,Trachea,1.911898569,9.161494547,1.544232733,-2.276446131,3.186649693,-1
42,MODEL1,PARMS,Trachea,1.721689311,9.653017993,1.267065443,-0.028394322,-0.811873469,-1
43,MODEL1,PARMS,Trachea,1.688723132,10.61577247,1.037953651,0.309509055,-0.820274248,-1
44,MODEL1,PARMS,Trachea,1.711090704,10.16002999,1.15537578,0.25138215,-1.262762576,-1
45,MODEL1,PARMS,Trachea,1.762045226,8.695458496,1.654535929,-3.477258503,5.59574723,-1
46,MODEL1,PARMS,Trachea,1.785243958,11.35314854,0.937966639,-0.600712532,0.712000532,-1
47,MODEL1,PARMS,Trachea,1.832393637,11.30881631,0.871950789,1.089668576,-2.539339427,-1
48,MODEL1,PARMS,Trachea,1.838989355,10.12577984,1.250910578,-1.107741602,1.283705215,-1
49,MODEL1,PARMS,Trachea,1.812281603,7.976484083,1.853609779,-3.135555249,4.498361603,-1
50,MODEL1,PARMS,Trachea,1.642262688,10.31702732,1.242605423,-1.836476763,2.956714367,-1
51,MODEL1,PARMS,Trachea,1.936705417,10.94885557,1.027925939,-0.326725633,0.116721203,-1
52,MODEL1,PARMS,Trachea,1.69807379,10.4688804,1.191907415,-1.124563605,1.461125607,-1
53,MODEL1,PARMS,Trachea,1.848082583,11.16924068,0.982253472,-0.008985474,-0.6531346,-1
54,MODEL1,PARMS,Trachea,1.860201556,9.251495482,1.484103646,-1.330839685,1.590609147,-1
55,MODEL1,PARMS,Trachea,1.817926603,10.82445361,1.03773823,0.315701722,-1.199433725,-1
56,MODEL1,PARMS,Trachea,1.765511988,8.701675002,1.621330309,-2.014391994,2.191931139,-1
57,MODEL1,PARMS,Trachea,1.857523833,11.44299052,0.877705562,0.367138585,-1.047933246,-1
58,MODEL1,PARMS,Trachea,1.803970847,11.61977068,0.857151206,0.715122171,-1.849619392,-1
59,MODEL1,PARMS,Trachea,2.253498968,11.53102703,0.764540267,1.617393712,-3.402893723,-1
60,MODEL1,PARMS,Trachea,1.704115173,9.441009765,1.482212275,-2.207291025,3.31277065,-1
61,MODEL1,PARMS,Trachea,1.845958576,11.24385185,0.958784311,-0.192655984,0.033898714,-1
62,MODEL1,PARMS,Trachea,1.65028465,10.86297666,1.025424832,0.331908751,-1.494166718,-1
63,MODEL1,PARMS,Trachea,1.762855851,9.348042938,1.455024532,-2.203728613,3.301301253,-1
64,MODEL1,PARMS,Trachea,1.709830016,9.702792456,1.408512107,-2.035751345,3.179426808,-1
65,MODEL1,PARMS,Trachea,1.788133891,10.74123159,1.076463739,-0.467500975,0.305888343,-1
66,MODEL1,PARMS,Trachea,1.671750746,8.97252002,1.490211581,-1.534228976,2.162695862,-1
67,MODEL1,PARMS,Trachea,1.913157288,8.664834374,1.648660479,-2.205874337,2.935940313,-1
68,MODEL1,PARMS,Trachea,1.734226022,10.6630356,1.12565116,-1.544223248,2.543292229,-1
69,MODEL1,PARMS,Trachea,1.784306405,10.94588036,1.077745556,-0.982700347,1.397075146,-1
70,MODEL1,PARMS,Trachea,1.748935187,9.816614083,1.432117684,-3.754033887,6.507669424,-1
71,MODEL1,PARMS,Trachea,1.824062644,10.52717615,1.043271419,1.017900672,-2.644446605,-1
72,MODEL1,PARMS,Trachea,1.847165439,9.719528445,1.352491206,-1.181959605,1.219878771,-1
73,MODEL1,PARMS,Trachea,1.733560004,9.96546363,1.238103324,0.144813227,-1.318890013,-1
74,MODEL1,PARMS,Trachea,1.881105668,10.91649798,1.065677485,-0.203858053,-0.633474772,-1
75,MODEL1,PARMS,Trachea,1.666477403,10.62676898,1.088826197,-0.022097584,-0.598882344,-1
76,MODEL1,PARMS,Trachea,1.704524773,9.837966372,1.343032212,-2.255272883,3.867988844,-1
77,MODEL1,PARMS,Trachea,1.756957267,11.19278463,0.997663198,-0.476768316,0.469142669,-1
78,MODEL1,PARMS,Trachea,1.785048221,11.28267941,0.937930709,0.062080834,-0.742464224,-1
79,MODEL1,PARMS,Trachea,1.686666883,9.886707084,1.3562191,-2.44036884,4.304001064,-1
80,MODEL1,PARMS,Trachea,1.894766783,10.57381598,1.132319482,-0.986086487,1.30041385,-1
81,MODEL1,PARMS,Trachea,1.680133762,10.05306021,1.246897874,-0.768541811,0.849288745,-1
82,MODEL1,PARMS,Trachea,1.80217406,9.235666957,1.625704596,-3.97788486,6.68762363,-1
83,MODEL1,PARMS,Trachea,1.846586023,11.34371059,0.948673556,-0.672422952,1.183877489,-1
84,MODEL1,PARMS,Trachea,1.762155162,10.36288555,1.238207185,-1.800127514,2.991401159,-1
85,MODEL1,PARMS,Trachea,1.854331703,8.884011416,1.566406516,-1.858126169,2.405230036,-1
86,MODEL1,PARMS,Trachea,1.894749794,8.806657075,1.613263165,-2.555075029,3.567661845,-1
87,MODEL1,PARMS,Trachea,1.858743323,11.68779205,0.802303085,1.512918238,-3.68529914,-1
88,MODEL1,PARMS,Trachea,1.780487619,9.728454154,1.378299543,-1.534182923,2.099666019,-1
89,MODEL1,PARMS,Trachea,1.986465058,10.40769744,1.222684207,-1.235511386,1.133380426,-1
90,MODEL1,PARMS,Trachea,1.707136523,10.91283694,0.978098011,-0.355095519,0.60674454,-1
91,MODEL1,PARMS,Trachea,2.002114548,12.19521385,0.615851433,1.900565788,-3.484679663,-1
