SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RB10
1,MODEL1,PARMS,RB10,0.793147633,3.317306393,0.245683215,0.507869141,-1.288549778,-1
2,MODEL1,PARMS,RB10,0.84650847,2.261230344,0.558783009,-1.695202183,3.170343261,-1
3,MODEL1,PARMS,RB10,0.792384223,1.847728773,0.649610469,-1.535042777,2.468294225,-1
4,MODEL1,PARMS,RB10,0.84331153,2.354057606,0.538630926,-1.250976343,1.989656741,-1
5,MODEL1,PARMS,RB10,0.842362303,3.082165364,0.326527353,-0.316576396,0.444176751,-1
6,MODEL1,PARMS,RB10,0.828768222,2.556941453,0.430436329,-0.205377521,0.138899834,-1
7,MODEL1,PARMS,RB10,0.768056937,2.323747568,0.492469345,-0.492094414,0.719564339,-1
8,MODEL1,PARMS,RB10,0.823027042,2.146801805,0.595471256,-1.358205144,2.260373737,-1
9,MODEL1,PARMS,RB10,0.764182691,2.824252264,0.381502692,-0.430990408,0.623923538,-1
10,MODEL1,PARMS,RB10,0.798759129,1.210079548,0.855166303,-2.778129694,4.853990305,-1
11,MODEL1,PARMS,RB10,0.771383178,2.846246283,0.351200106,0.08237465,-0.479493544,-1
12,MODEL1,PARMS,RB10,0.789672692,2.628592641,0.431563563,-0.551881685,0.849350683,-1
13,MODEL1,PARMS,RB10,0.811070835,2.929449267,0.321650281,0.145067687,-0.483151017,-1
14,MODEL1,PARMS,RB10,0.81714881,2.7761017,0.363324861,0.068513021,-0.30806674,-1
15,MODEL1,PARMS,RB10,0.833486098,3.363415379,0.235597593,0.003938707,0.061298678,-1
16,MODEL1,PARMS,RB10,0.820628711,2.755660088,0.378747182,-0.184825891,0.291196185,-1
17,MODEL1,PARMS,RB10,0.787951296,2.88445631,0.35883121,-0.180019919,0.153061565,-1
18,MODEL1,PARMS,RB10,0.816083665,3.126616127,0.313938499,-0.248433788,0.425904105,-1
19,MODEL1,PARMS,RB10,0.773862607,2.586741758,0.475686307,-1.262013355,2.344367523,-1
20,MODEL1,PARMS,RB10,0.763140777,2.300592041,0.511972525,-0.596662073,0.744834904,-1
21,MODEL1,PARMS,RB10,0.809531261,2.015030153,0.622145846,-1.465891061,2.394383553,-1
22,MODEL1,PARMS,RB10,0.787590608,1.864796578,0.663052251,-1.306069515,1.849227114,-1
23,MODEL1,PARMS,RB10,0.803364028,2.093258082,0.603127575,-1.66728391,2.906719143,-1
24,MODEL1,PARMS,RB10,0.776419077,2.33699807,0.502538857,-0.519953327,0.581039131,-1
25,MODEL1,PARMS,RB10,0.899525528,3.419397869,0.212689836,0.471341237,-1.076935903,-1
26,MODEL1,PARMS,RB10,0.808784941,2.387218926,0.506170456,-1.235024682,2.169643068,-1
27,MODEL1,PARMS,RB10,0.848141479,2.7269712,0.409667819,-0.273698509,0.065833087,-1
28,MODEL1,PARMS,RB10,0.77452018,2.938950084,0.354789836,-0.314845232,0.372340226,-1
29,MODEL1,PARMS,RB10,0.835787142,2.414512751,0.504723776,-1.140018821,1.939854996,-1
30,MODEL1,PARMS,RB10,0.828279663,2.9074596,0.371138526,-0.190859934,0.07399129,-1
31,MODEL1,PARMS,RB10,0.81483816,2.615705084,0.413821937,-0.198981308,0.09173592,-1
32,MODEL1,PARMS,RB10,0.821951183,2.768939724,0.389989104,-0.019262735,-0.306474927,-1
33,MODEL1,PARMS,RB10,0.808063282,2.834165306,0.397916513,-0.743425483,1.282882306,-1
34,MODEL1,PARMS,RB10,0.808715628,3.155584288,0.276416617,0.52972659,-1.285431964,-1
35,MODEL1,PARMS,RB10,0.80209447,3.23692076,0.256360837,0.20544816,-0.463288867,-1
36,MODEL1,PARMS,RB10,0.852894637,2.525355313,0.463476462,-0.676793509,1.08849204,-1
37,MODEL1,PARMS,RB10,0.744895926,3.553941086,0.161226228,0.684743559,-1.357487421,-1
38,MODEL1,PARMS,RB10,0.824061145,2.907411895,0.366942248,-0.349109151,0.36423566,-1
39,MODEL1,PARMS,RB10,0.810806116,2.784586529,0.370287197,-0.202172573,0.298043437,-1
40,MODEL1,PARMS,RB10,0.823521434,2.694663272,0.394654527,-0.069008634,-0.082729086,-1
41,MODEL1,PARMS,RB10,0.810951015,2.409290061,0.469778174,-0.361219706,0.293960526,-1
42,MODEL1,PARMS,RB10,0.819834145,2.435364987,0.493937842,-0.830697856,1.320772969,-1
43,MODEL1,PARMS,RB10,0.741356732,2.319417438,0.497793904,-0.877894945,1.627199413,-1
44,MODEL1,PARMS,RB10,0.80870946,2.626246862,0.427093061,-0.378699194,0.503341634,-1
45,MODEL1,PARMS,RB10,0.777338991,2.290322517,0.542411642,-1.137352188,1.809454914,-1
46,MODEL1,PARMS,RB10,0.792031714,2.339714906,0.543370395,-1.444329752,2.587248656,-1
47,MODEL1,PARMS,RB10,0.807657915,2.17009137,0.577769319,-1.462909329,2.416354477,-1
48,MODEL1,PARMS,RB10,0.816513893,3.117252156,0.332503776,-0.596998224,1.18966617,-1
49,MODEL1,PARMS,RB10,0.844987343,2.924817713,0.343094108,-0.180772605,0.145569393,-1
50,MODEL1,PARMS,RB10,0.834328067,2.122513649,0.57725276,-0.858513225,1.123902696,-1
51,MODEL1,PARMS,RB10,0.842796968,2.553950536,0.468612285,-0.875495642,1.422097563,-1
52,MODEL1,PARMS,RB10,0.867489,2.681641614,0.440907344,-0.652371773,0.892844101,-1
53,MODEL1,PARMS,RB10,0.834975364,2.40698662,0.510426056,-0.752425291,0.953115114,-1
54,MODEL1,PARMS,RB10,0.788993971,2.439081609,0.480833042,-0.424074007,0.334210056,-1
55,MODEL1,PARMS,RB10,0.809420915,1.999252882,0.605738629,-1.03520858,1.519382481,-1
56,MODEL1,PARMS,RB10,0.819722635,1.233433837,0.807649453,-2.006345518,3.356769538,-1
57,MODEL1,PARMS,RB10,0.78755891,2.757577998,0.4043928,-0.418944833,0.681594444,-1
58,MODEL1,PARMS,RB10,0.801786888,2.943944071,0.380405287,-0.359527984,0.424002549,-1
59,MODEL1,PARMS,RB10,0.798969761,2.458547584,0.48183222,-0.790227278,1.310344474,-1
60,MODEL1,PARMS,RB10,0.809755677,2.700024701,0.390649289,-0.005211875,-0.257139508,-1
61,MODEL1,PARMS,RB10,0.775432822,1.947283714,0.641198242,-1.694544645,2.887631941,-1
62,MODEL1,PARMS,RB10,0.77879144,2.350391416,0.511410222,-0.977112213,1.58604121,-1
63,MODEL1,PARMS,RB10,0.809420349,2.2029097,0.560735323,-1.557598741,2.892771163,-1
64,MODEL1,PARMS,RB10,0.817722225,2.89027096,0.339282223,-0.069591845,-0.005052075,-1
65,MODEL1,PARMS,RB10,0.801664441,2.582949698,0.444324976,-0.58519858,0.9280386,-1
66,MODEL1,PARMS,RB10,0.734186833,2.134865959,0.582089183,-1.215542965,1.985893773,-1
67,MODEL1,PARMS,RB10,0.756410434,2.035335513,0.622276884,-1.476923181,2.45694439,-1
