SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LB1
1,MODEL1,PARMS,LB1,0.724432994,3.222170124,0.045660686,1.184088626,-2.352439842,-1
2,MODEL1,PARMS,LB1,0.74146088,2.807236966,0.198457574,-0.141234791,0.282552137,-1
3,MODEL1,PARMS,LB1,0.754368624,2.646018301,0.235365742,0.14920119,-0.518903518,-1
4,MODEL1,PARMS,LB1,0.750794056,2.860743535,0.16682674,-0.07666371,0.291705476,-1
5,MODEL1,PARMS,LB1,0.731258536,2.343344951,0.307906985,-0.182954793,0.150304145,-1
6,MODEL1,PARMS,LB1,0.791675662,2.534140664,0.258015018,-0.297665271,0.491486411,-1
7,MODEL1,PARMS,LB1,0.752177738,2.566575388,0.211878314,0.190728972,-0.26892892,-1
8,MODEL1,PARMS,LB1,0.738881165,2.003535736,0.407288906,-0.520956764,0.756690382,-1
9,MODEL1,PARMS,LB1,0.729451025,2.492430195,0.242052695,0.085401527,-0.228214941,-1
10,MODEL1,PARMS,LB1,0.709498378,2.204595729,0.327280008,-0.353056836,0.567991625,-1
11,MODEL1,PARMS,LB1,0.735955974,2.271402256,0.321397825,-0.299574508,0.27466227,-1
12,MODEL1,PARMS,LB1,0.729646654,2.212716251,0.317243241,-0.101784728,-0.05793294,-1
13,MODEL1,PARMS,LB1,0.736164058,2.601914233,0.198729375,0.50414719,-1.05553821,-1
14,MODEL1,PARMS,LB1,0.760347104,2.642129029,0.18794595,0.348137895,-0.606707753,-1
15,MODEL1,PARMS,LB1,0.778631547,3.344439742,-0.027917644,1.683211094,-3.178758122,-1
16,MODEL1,PARMS,LB1,0.750209696,1.793528795,0.440399325,-0.631625751,1.029236456,-1
17,MODEL1,PARMS,LB1,0.724590531,2.123803598,0.341433619,-0.151052639,0.0818682,-1
18,MODEL1,PARMS,LB1,0.706750703,2.598713987,0.231361418,-0.159902621,0.39760295,-1
19,MODEL1,PARMS,LB1,0.696737147,2.708320134,0.188425329,0.126682735,-0.204732365,-1
20,MODEL1,PARMS,LB1,0.69738755,2.588235041,0.200014995,0.309240458,-0.685549791,-1
21,MODEL1,PARMS,LB1,0.779454248,1.966591031,0.401556471,-0.649532894,1.000849587,-1
22,MODEL1,PARMS,LB1,0.70577846,2.543466892,0.234319695,0.239445646,-0.549243068,-1
23,MODEL1,PARMS,LB1,0.737052369,2.06386788,0.35845106,-0.503443058,0.877265359,-1
24,MODEL1,PARMS,LB1,0.761073086,2.367672228,0.290032382,-0.121016382,0.07565311,-1
25,MODEL1,PARMS,LB1,0.753919476,2.594015286,0.2191562,0.288024414,-0.666765712,-1
26,MODEL1,PARMS,LB1,0.746505653,2.196854891,0.333054286,-0.252609133,0.302245844,-1
27,MODEL1,PARMS,LB1,0.755490133,2.291000903,0.300985575,-0.223414499,0.370944631,-1
28,MODEL1,PARMS,LB1,0.700353734,2.532705418,0.247322951,0.002428477,-0.162610419,-1
29,MODEL1,PARMS,LB1,0.731767292,2.497234544,0.239034415,0.199595426,-0.454897603,-1
30,MODEL1,PARMS,LB1,0.784025665,2.362429395,0.318872743,-0.651617324,1.256611322,-1
31,MODEL1,PARMS,LB1,0.772662477,2.77146873,0.169177442,0.506454048,-0.934690175,-1
32,MODEL1,PARMS,LB1,0.754896066,2.738225699,0.181253079,0.616075211,-1.316133816,-1
33,MODEL1,PARMS,LB1,0.735420512,2.867674338,0.124979624,0.90466465,-1.811654662,-1
34,MODEL1,PARMS,LB1,0.700583463,2.574253072,0.209918196,0.330897709,-0.703957231,-1
35,MODEL1,PARMS,LB1,0.735586276,2.368441646,0.250879996,0.283920514,-0.690452073,-1
36,MODEL1,PARMS,LB1,0.723079519,2.947453521,0.106543281,0.871098526,-1.650806506,-1
37,MODEL1,PARMS,LB1,0.744024386,3.292964355,0.017645238,1.030040291,-1.807328553,-1
38,MODEL1,PARMS,LB1,0.761536979,2.700540513,0.17760716,0.597491176,-1.167197703,-1
39,MODEL1,PARMS,LB1,0.70983112,3.42557602,-0.04208016,1.6291626,-3.015820636,-1
40,MODEL1,PARMS,LB1,0.729902859,2.330502871,0.315867866,-0.639449812,1.114599367,-1
41,MODEL1,PARMS,LB1,0.714916364,2.074683495,0.380964133,-0.637062582,1.022786039,-1
42,MODEL1,PARMS,LB1,0.71324884,2.876847675,0.111688524,1.200328986,-2.42279461,-1
43,MODEL1,PARMS,LB1,0.706341453,2.862900905,0.122299569,0.866337382,-1.611062387,-1
44,MODEL1,PARMS,LB1,0.695870364,3.094343907,0.065169158,1.001710627,-1.898602087,-1
45,MODEL1,PARMS,LB1,0.72763148,2.98446024,0.110914079,0.794755875,-1.527092115,-1
46,MODEL1,PARMS,LB1,0.724925622,2.136608167,0.345087497,-0.445106598,0.70384224,-1
47,MODEL1,PARMS,LB1,0.724882967,2.283838781,0.2990031,-0.225405231,0.240652753,-1
48,MODEL1,PARMS,LB1,0.750253659,2.333936459,0.288113013,-0.162224917,0.318414984,-1
49,MODEL1,PARMS,LB1,0.809161271,1.677900017,0.499211635,-1.067386968,1.637019178,-1
50,MODEL1,PARMS,LB1,0.7330382,2.04715289,0.369608568,-0.727654822,1.315739366,-1
51,MODEL1,PARMS,LB1,0.764342759,2.111935917,0.361142242,-0.263556145,0.292996404,-1
52,MODEL1,PARMS,LB1,0.727982551,2.268615725,0.304218191,0.107902159,-0.462717647,-1
53,MODEL1,PARMS,LB1,0.737318027,2.123425356,0.347503364,-0.165040499,0.080322808,-1
54,MODEL1,PARMS,LB1,0.712703393,2.09511897,0.352170648,-0.423701699,0.713601952,-1
55,MODEL1,PARMS,LB1,0.745435598,2.539998345,0.227473132,0.368214447,-0.932942534,-1
56,MODEL1,PARMS,LB1,0.784341911,1.916833966,0.404903828,-0.55182648,0.815279431,-1
57,MODEL1,PARMS,LB1,0.741576612,3.220542422,0.005724216,1.259090841,-2.161994033,-1
58,MODEL1,PARMS,LB1,0.722263307,2.147686832,0.358960596,-0.618117196,1.002308266,-1
59,MODEL1,PARMS,LB1,0.777802115,2.36329064,0.305909309,-0.246919667,0.370474081,-1
60,MODEL1,PARMS,LB1,0.761549556,2.727816168,0.173856053,0.660513098,-1.311092401,-1
61,MODEL1,PARMS,LB1,0.71195879,2.937962205,0.128505914,0.41632203,-0.726188043,-1
62,MODEL1,PARMS,LB1,0.720763648,1.706331826,0.437452947,-0.218756109,-0.01347324,-1
63,MODEL1,PARMS,LB1,0.751264898,1.56919575,0.510263582,-1.097571844,1.925118554,-1
64,MODEL1,PARMS,LB1,0.723316622,2.41968718,0.244437092,0.450276433,-0.954547713,-1
65,MODEL1,PARMS,LB1,0.702040031,1.802409027,0.440465736,-0.746558711,1.194321894,-1
66,MODEL1,PARMS,LB1,0.70795852,2.011296615,0.379562283,-0.562753084,0.923090989,-1
67,MODEL1,PARMS,LB1,0.719024227,1.787261746,0.449278293,-0.627146663,0.898500508,-1
68,MODEL1,PARMS,LB1,0.760011433,3.038221292,0.091322174,0.938891636,-1.868385718,-1
69,MODEL1,PARMS,LB1,0.770082236,2.24522366,0.352282534,-0.732059369,1.323960816,-1
70,MODEL1,PARMS,LB1,0.841299825,3.119116819,0.115978696,-0.027835049,0.161836281,-1
71,MODEL1,PARMS,LB1,0.721112397,3.203580186,0.048953231,0.97770486,-1.814188075,-1
72,MODEL1,PARMS,LB1,0.744971519,3.072764755,0.072832639,0.994170516,-1.931130533,-1
73,MODEL1,PARMS,LB1,0.741350226,2.338465846,0.265643112,0.031033937,-0.064045972,-1
74,MODEL1,PARMS,LB1,0.733391758,2.990066344,0.095409278,0.614354306,-1.004655455,-1
75,MODEL1,PARMS,LB1,0.672626392,1.990059893,0.381669927,-0.481094409,0.693502851,-1
76,MODEL1,PARMS,LB1,0.719915481,2.697174129,0.186684846,0.424025119,-1.002576917,-1
77,MODEL1,PARMS,LB1,0.783719787,2.416048947,0.239014099,0.358977304,-0.817857178,-1
78,MODEL1,PARMS,LB1,0.698752319,2.46492509,0.265451591,0.090642932,-0.335343716,-1
79,MODEL1,PARMS,LB1,0.773415195,2.397525851,0.272252054,-0.003090606,-0.123674779,-1
80,MODEL1,PARMS,LB1,0.781022593,2.311780126,0.316349285,-0.608423427,1.197808389,-1
81,MODEL1,PARMS,LB1,0.712710672,2.526525412,0.239434129,0.011885002,0.00742737,-1
82,MODEL1,PARMS,LB1,0.767946702,1.826545512,0.463558464,-0.944097285,1.569615234,-1
83,MODEL1,PARMS,LB1,0.763478207,3.09397269,0.08868968,0.567982849,-0.969361588,-1
84,MODEL1,PARMS,LB1,0.761748933,3.257340433,0.045053588,0.567794784,-0.837582453,-1
85,MODEL1,PARMS,LB1,0.704928236,2.056244284,0.352108702,0.00491631,-0.272738356,-1
86,MODEL1,PARMS,LB1,0.713532299,2.359648267,0.302823022,-0.43606924,0.875727716,-1
87,MODEL1,PARMS,LB1,0.750876082,2.48295873,0.211287062,0.854955245,-1.739302373,-1
88,MODEL1,PARMS,LB1,0.712027009,1.793825906,0.459454411,-1.091180172,1.941573541,-1
89,MODEL1,PARMS,LB1,0.738720651,1.809243409,0.462394679,-0.998184762,1.655436448,-1
90,MODEL1,PARMS,LB1,0.74663763,2.51128401,0.226214692,0.134476683,-0.266887441,-1
91,MODEL1,PARMS,LB1,0.72471663,2.235489154,0.315347889,0.110330138,-0.395425273,-1
92,MODEL1,PARMS,LB1,0.776163633,2.335468473,0.276948061,0.404623454,-0.955772345,-1
93,MODEL1,PARMS,LB1,0.751435535,2.092120063,0.396686447,-0.886349553,1.552189908,-1
94,MODEL1,PARMS,LB1,0.741672009,1.938704713,0.399134853,-0.362399859,0.413589318,-1
95,MODEL1,PARMS,LB1,0.716193054,2.484926169,0.237284329,0.286666695,-0.607433567,-1
96,MODEL1,PARMS,LB1,0.749498544,1.958944113,0.378028782,-0.500227248,0.847887234,-1
97,MODEL1,PARMS,LB1,0.704273213,2.747163987,0.169160624,0.577763905,-1.1881739,-1
98,MODEL1,PARMS,LB1,0.717039329,2.753097392,0.163085443,0.344094053,-0.692895656,-1
99,MODEL1,PARMS,LB1,0.759159078,2.234886873,0.311473623,-0.368476624,0.651797222,-1
100,MODEL1,PARMS,LB1,0.732029697,2.475149385,0.214629586,0.758245602,-1.585193052,-1
101,MODEL1,PARMS,LB1,0.729108237,2.503970251,0.243198076,-0.015055666,0.042011682,-1
102,MODEL1,PARMS,LB1,0.761492873,1.868672903,0.413218277,-0.51786088,0.771918803,-1
103,MODEL1,PARMS,LB1,0.817835741,2.722739077,0.206373045,0.294603214,-0.706118951,-1
104,MODEL1,PARMS,LB1,0.750782745,2.098256632,0.355679304,-0.534394536,0.979917896,-1
105,MODEL1,PARMS,LB1,0.743773629,2.545414944,0.238227367,-0.019998871,0.014966687,-1
