SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,sRB1
1,MODEL1,PARMS,sRB1,0.661286731,2.253535641,0.19663121,0.426301091,-1.080425497,-1
2,MODEL1,PARMS,sRB1,0.676834766,2.100740402,0.257244901,-0.255252818,0.428683763,-1
3,MODEL1,PARMS,sRB1,0.656431803,1.890820037,0.290599014,0.160657841,-0.6061418,-1
4,MODEL1,PARMS,sRB1,0.672919218,1.961091538,0.268294949,-0.05627357,-0.063484234,-1
5,MODEL1,PARMS,sRB1,0.636992076,2.145783869,0.208576507,0.39480005,-0.93213599,-1
6,MODEL1,PARMS,sRB1,0.668018884,1.962165773,0.278613126,-0.49229439,0.887529162,-1
7,MODEL1,PARMS,sRB1,0.690422442,1.777926861,0.295327055,0.103023948,-0.349571677,-1
8,MODEL1,PARMS,sRB1,0.620605704,1.669643705,0.350397433,-0.534375517,0.874284011,-1
9,MODEL1,PARMS,sRB1,0.695994645,2.759653058,0.046549479,1.001624307,-1.921267751,-1
10,MODEL1,PARMS,sRB1,0.610232661,1.282095998,0.472339221,-1.226729766,2.143865608,-1
11,MODEL1,PARMS,sRB1,0.668943613,2.649897588,0.086134416,0.347288846,-0.658121808,-1
12,MODEL1,PARMS,sRB1,0.665953271,2.108104654,0.238298533,0.167439677,-0.516652213,-1
13,MODEL1,PARMS,sRB1,0.671595449,2.155763905,0.210720857,0.297400977,-0.738835654,-1
14,MODEL1,PARMS,sRB1,0.675046943,2.089265619,0.219415587,0.311248168,-0.6800864,-1
15,MODEL1,PARMS,sRB1,0.645766147,2.772433607,0.067296937,0.499554467,-0.900666301,-1
16,MODEL1,PARMS,sRB1,0.689603948,2.143404766,0.223636183,-0.092149791,0.204637507,-1
17,MODEL1,PARMS,sRB1,0.667616977,2.417596993,0.13899223,0.872404191,-1.814162919,-1
18,MODEL1,PARMS,sRB1,0.675723513,1.864958349,0.31908065,-0.5704397,0.941094709,-1
19,MODEL1,PARMS,sRB1,0.653421397,2.378842055,0.158687648,0.327230595,-0.692004112,-1
20,MODEL1,PARMS,sRB1,0.668053386,2.097217426,0.209624607,0.342465237,-0.810211316,-1
21,MODEL1,PARMS,sRB1,0.706142409,2.368784273,0.179752007,0.168223936,-0.410837962,-1
22,MODEL1,PARMS,sRB1,0.678053057,1.918855612,0.286527665,-0.047974529,-0.079943245,-1
23,MODEL1,PARMS,sRB1,0.644176424,2.045834525,0.272522765,-0.544319826,0.989396563,-1
24,MODEL1,PARMS,sRB1,0.639448933,2.288527635,0.168559322,0.540375982,-1.144755516,-1
25,MODEL1,PARMS,sRB1,0.683053963,2.056155043,0.242644063,0.322383605,-0.907040608,-1
26,MODEL1,PARMS,sRB1,0.672810807,1.874281015,0.302570234,-0.342792836,0.510212761,-1
27,MODEL1,PARMS,sRB1,0.65906971,2.503621711,0.10426181,0.770038217,-1.445232086,-1
28,MODEL1,PARMS,sRB1,0.667129229,2.18220765,0.229774381,-0.143550806,0.119448579,-1
29,MODEL1,PARMS,sRB1,0.661072943,1.961398634,0.26946783,-0.02510857,-0.049983689,-1
30,MODEL1,PARMS,sRB1,0.748404286,1.04628157,0.554206059,-1.700468372,3.016520975,-1
31,MODEL1,PARMS,sRB1,0.684798534,2.036327278,0.255437053,-0.00185364,-0.170816814,-1
32,MODEL1,PARMS,sRB1,0.69437151,1.389747967,0.43804925,-0.577541392,0.688057428,-1
33,MODEL1,PARMS,sRB1,0.676247737,1.700027497,0.340608065,-0.348871199,0.504560611,-1
34,MODEL1,PARMS,sRB1,0.674461394,2.310952517,0.182516075,0.050631215,-0.105894524,-1
35,MODEL1,PARMS,sRB1,0.701749424,2.163451678,0.193898875,0.60081146,-1.326246895,-1
36,MODEL1,PARMS,sRB1,0.687696287,1.842494669,0.295076813,-0.036866128,-0.182748939,-1
37,MODEL1,PARMS,sRB1,0.648028262,1.976887632,0.268345801,0.000524169,-0.196266251,-1
38,MODEL1,PARMS,sRB1,0.636474446,1.572720063,0.401626584,-0.727965392,1.113926095,-1
39,MODEL1,PARMS,sRB1,0.669655003,2.61081256,0.056823611,1.189464579,-2.264340426,-1
40,MODEL1,PARMS,sRB1,0.652640121,1.709706533,0.328083623,-0.201033449,0.127560546,-1
41,MODEL1,PARMS,sRB1,0.63920945,1.28556777,0.475336492,-1.184845367,1.927283674,-1
42,MODEL1,PARMS,sRB1,0.642149135,2.194782194,0.172451283,0.618561467,-1.324860852,-1
43,MODEL1,PARMS,sRB1,0.679595574,2.494306425,0.088710172,1.009901834,-1.881416422,-1
44,MODEL1,PARMS,sRB1,0.638999307,1.734216158,0.333965972,-0.516226096,0.804797819,-1
45,MODEL1,PARMS,sRB1,0.66103448,2.606958501,0.092814528,0.476376996,-0.802413723,-1
46,MODEL1,PARMS,sRB1,0.642642781,2.109993081,0.236591014,-0.132246721,0.182879611,-1
47,MODEL1,PARMS,sRB1,0.659430776,2.160026375,0.218606079,0.385874423,-0.882510911,-1
48,MODEL1,PARMS,sRB1,0.65975863,1.531633458,0.419923561,-1.002152054,1.640203009,-1
49,MODEL1,PARMS,sRB1,0.728849589,2.001690724,0.259197637,-0.029333527,-0.25106929,-1
50,MODEL1,PARMS,sRB1,0.626014336,2.251177502,0.186761408,0.11059191,-0.198899676,-1
51,MODEL1,PARMS,sRB1,0.710624871,1.969746011,0.317692464,-0.637516283,1.11727959,-1
52,MODEL1,PARMS,sRB1,0.669627176,2.167012461,0.238750656,-0.090441026,-0.049203029,-1
53,MODEL1,PARMS,sRB1,0.663123506,2.102860001,0.225712726,0.283541934,-0.700214665,-1
54,MODEL1,PARMS,sRB1,0.659903769,1.924322762,0.288226399,-0.277562995,0.419205103,-1
55,MODEL1,PARMS,sRB1,0.652965414,1.906570028,0.294267799,-0.367098884,0.562545991,-1
56,MODEL1,PARMS,sRB1,0.696191219,1.299067352,0.462491222,-0.735500843,1.197872539,-1
57,MODEL1,PARMS,sRB1,0.671831255,2.430523115,0.143112439,0.410118386,-0.731346521,-1
58,MODEL1,PARMS,sRB1,0.719829177,1.081730607,0.539132783,-1.318459217,2.130490732,-1
59,MODEL1,PARMS,sRB1,0.642947649,1.751783159,0.318634616,-0.113022426,0.048093849,-1
60,MODEL1,PARMS,sRB1,0.633481122,2.473320034,0.126780046,0.37827055,-0.711135592,-1
61,MODEL1,PARMS,sRB1,0.644504672,1.777004453,0.347312397,-0.731134576,1.227145874,-1
62,MODEL1,PARMS,sRB1,0.677108785,2.002114695,0.27281181,-0.169854193,0.103080711,-1
63,MODEL1,PARMS,sRB1,0.691605005,1.829698684,0.317830645,-0.594732707,1.034858315,-1
