SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,sLB10
1,MODEL1,PARMS,sLB10,0.98711286,2.341984121,0.260003093,0.165766266,-0.632888031,-1
2,MODEL1,PARMS,sLB10,0.98305753,2.323146426,0.292621591,-0.732673944,1.231392965,-1
3,MODEL1,PARMS,sLB10,0.923510213,2.077535491,0.324805365,-0.285634335,0.248202105,-1
4,MODEL1,PARMS,sLB10,1.002665112,2.272362741,0.303547878,-0.554364346,0.839980454,-1
5,MODEL1,PARMS,sLB10,0.930543761,1.797819751,0.448850844,-1.199840792,1.902923131,-1
6,MODEL1,PARMS,sLB10,0.905654138,2.028252488,0.338237308,-0.492729872,0.709164392,-1
7,MODEL1,PARMS,sLB10,0.858417597,1.664061944,0.460066235,-1.066754302,1.765721948,-1
8,MODEL1,PARMS,sLB10,0.955567427,2.123700946,0.349277358,-0.60277896,0.812892499,-1
9,MODEL1,PARMS,sLB10,0.969070711,3.037498353,0.089858745,0.315256563,-0.55354859,-1
10,MODEL1,PARMS,sLB10,0.947749584,1.663062116,0.492322722,-1.682644752,3.000032163,-1
11,MODEL1,PARMS,sLB10,0.968023709,2.851954811,0.058759734,1.242953014,-2.561936419,-1
12,MODEL1,PARMS,sLB10,0.875678208,1.87393435,0.426973457,-1.427807128,2.532809258,-1
13,MODEL1,PARMS,sLB10,0.942080695,2.400837777,0.227643817,0.096484931,-0.346426452,-1
14,MODEL1,PARMS,sLB10,0.922608899,2.530566049,0.201021839,0.077500587,-0.254190515,-1
15,MODEL1,PARMS,sLB10,0.94396768,2.545150101,0.20498211,-0.014080263,-0.054959171,-1
16,MODEL1,PARMS,sLB10,0.985566678,2.497353398,0.210922007,0.206486055,-0.513314935,-1
17,MODEL1,PARMS,sLB10,0.956872317,1.828195191,0.426884441,-1.010908039,1.60209667,-1
18,MODEL1,PARMS,sLB10,0.975195155,2.868368014,0.159600815,-0.373288796,0.72605705,-1
19,MODEL1,PARMS,sLB10,0.901925082,2.577814684,0.222949556,-0.474547939,0.873847881,-1
20,MODEL1,PARMS,sLB10,0.916674944,2.365568811,0.217762488,0.367270017,-0.955169297,-1
21,MODEL1,PARMS,sLB10,0.969066167,2.776185448,0.135335973,0.711168719,-1.592840104,-1
22,MODEL1,PARMS,sLB10,1.005320278,0.947008246,0.683329517,-1.858827114,3.048502618,-1
23,MODEL1,PARMS,sLB10,0.991378857,2.948444869,0.095319579,0.336209553,-0.684510618,-1
24,MODEL1,PARMS,sLB10,0.985054175,2.03598731,0.389367278,-0.952516207,1.476242353,-1
25,MODEL1,PARMS,sLB10,0.990517192,1.800538768,0.41520533,-0.892835963,1.337839358,-1
26,MODEL1,PARMS,sLB10,0.953965278,1.351570059,0.538926217,-1.352916089,2.173050593,-1
27,MODEL1,PARMS,sLB10,0.91068909,1.818336188,0.409516659,-0.885055214,1.411159365,-1
28,MODEL1,PARMS,sLB10,0.945274301,2.028152395,0.371874971,-0.728202568,0.98408162,-1
29,MODEL1,PARMS,sLB10,1.013254369,2.096177845,0.368956116,-1.162432614,2.069438243,-1
30,MODEL1,PARMS,sLB10,0.918431722,1.750106077,0.453518149,-1.34793262,2.317830201,-1
31,MODEL1,PARMS,sLB10,0.988089929,2.040754485,0.356471675,-0.240354491,0.070539188,-1
32,MODEL1,PARMS,sLB10,0.930974074,1.966779115,0.39197432,-0.765294864,1.061807685,-1
33,MODEL1,PARMS,sLB10,0.93037586,2.151086546,0.32345623,-0.228622955,0.07116705,-1
34,MODEL1,PARMS,sLB10,0.979520815,3.127865997,0.039478737,0.960128736,-1.940950981,-1
35,MODEL1,PARMS,sLB10,0.90913513,1.760272305,0.396601549,-0.723468699,1.088742323,-1
36,MODEL1,PARMS,sLB10,1.003934103,1.981044892,0.391195449,-0.459690094,0.42554466,-1
37,MODEL1,PARMS,sLB10,0.989803296,3.611644685,-0.115985814,1.946968878,-3.696648023,-1
38,MODEL1,PARMS,sLB10,0.94005564,2.092625065,0.341957558,-0.158388168,-0.087475678,-1
39,MODEL1,PARMS,sLB10,0.914694176,3.266718502,0.043776646,0.251342105,-0.347662546,-1
40,MODEL1,PARMS,sLB10,0.96768977,1.405394768,0.520351815,-1.153224132,1.80517876,-1
41,MODEL1,PARMS,sLB10,1.020164905,1.648859551,0.468255912,-1.063218901,1.565310616,-1
42,MODEL1,PARMS,sLB10,0.979565282,1.910503609,0.362914197,-0.170337191,-0.037562768,-1
43,MODEL1,PARMS,sLB10,0.94330894,2.847990691,0.12999869,0.59394447,-1.233170896,-1
44,MODEL1,PARMS,sLB10,0.922709455,2.418872597,0.195508818,0.681988652,-1.651001868,-1
45,MODEL1,PARMS,sLB10,0.913650256,1.759591693,0.453357873,-1.390633527,2.345266359,-1
