SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RMB
1,MODEL1,PARMS,RMB,1.641922914,10.24092142,0.440582156,1.573182486,-3.200223312,-1
2,MODEL1,PARMS,RMB,1.613439102,8.697521063,0.823197539,-0.199111813,0.422560399,-1
3,MODEL1,PARMS,RMB,1.56968583,8.66657311,0.824653872,0.48083532,-1.41233565,-1
4,MODEL1,PARMS,RMB,1.618635065,9.519437204,0.637969875,0.182313929,-0.285233497,-1
5,MODEL1,PARMS,RMB,1.613635806,10.35306426,0.391308271,1.737407978,-3.22608218,-1
6,MODEL1,PARMS,RMB,1.541045397,8.195460787,0.92436076,0.005095236,-0.249887867,-1
7,MODEL1,PARMS,RMB,1.525428866,9.849815551,0.397351503,3.11116421,-5.862965433,-1
8,MODEL1,PARMS,RMB,1.625708643,7.609261824,1.108355722,-1.209926966,1.983397607,-1
9,MODEL1,PARMS,RMB,1.558660645,8.97170849,0.733155784,0.714413373,-1.676839769,-1
10,MODEL1,PARMS,RMB,1.578640008,5.396448473,1.826168771,-4.965811134,8.568822363,-1
11,MODEL1,PARMS,RMB,1.596081331,8.847034749,0.798291283,-0.535136309,0.83983906,-1
12,MODEL1,PARMS,RMB,1.624362327,8.881056071,0.73832747,0.31362784,-0.475490432,-1
13,MODEL1,PARMS,RMB,1.742444447,8.38818933,0.889730717,0.6078777,-1.655350498,-1
14,MODEL1,PARMS,RMB,1.679303117,9.153360328,0.658737647,1.921416615,-3.933480625,-1
15,MODEL1,PARMS,RMB,1.681473892,9.47015941,0.597506322,1.050840326,-1.813145423,-1
16,MODEL1,PARMS,RMB,1.674540467,10.59714907,0.264295793,2.178261287,-3.81427814,-1
17,MODEL1,PARMS,RMB,1.550057429,8.61932004,0.883886478,-0.465145523,0.585431128,-1
18,MODEL1,PARMS,RMB,1.612231767,8.904879151,0.737412602,0.623057842,-1.501662145,-1
19,MODEL1,PARMS,RMB,1.673983624,7.829626154,1.082343656,-0.985232192,1.326766441,-1
20,MODEL1,PARMS,RMB,1.668982335,8.26043745,0.891998402,0.250538439,-0.892654617,-1
21,MODEL1,PARMS,RMB,1.586344106,8.0134395,0.968496597,0.207791993,-0.775591434,-1
22,MODEL1,PARMS,RMB,1.804567796,7.969171607,1.026252648,-0.430489646,0.566635582,-1
23,MODEL1,PARMS,RMB,1.591351692,7.535690963,1.133588526,-1.405250583,2.391292146,-1
