SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LMB
1,MODEL1,PARMS,LMB,1.344637284,8.645067111,0.36414225,0.949364298,-1.735866337,-1
2,MODEL1,PARMS,LMB,1.389018679,7.865758125,0.589394463,-0.390926177,0.910957234,-1
3,MODEL1,PARMS,LMB,1.330416462,6.916362326,0.813079911,-0.28864318,0.08376097,-1
4,MODEL1,PARMS,LMB,1.396405251,7.597616261,0.69366769,-0.868050891,1.70530723,-1
5,MODEL1,PARMS,LMB,1.342864071,8.024774229,0.524338125,0.789731045,-1.851210058,-1
6,MODEL1,PARMS,LMB,1.276464859,7.176059056,0.745650229,-0.270602105,0.313265568,-1
7,MODEL1,PARMS,LMB,1.276987956,8.668621788,0.278911264,1.957215912,-3.534774876,-1
8,MODEL1,PARMS,LMB,1.407996095,6.440251257,0.917748362,-1.08740752,1.826734795,-1
9,MODEL1,PARMS,LMB,1.362016594,7.59753047,0.607537981,0.713219131,-1.744241712,-1
10,MODEL1,PARMS,LMB,1.358769038,5.56702494,1.287166398,-3.572371818,6.330752837,-1
11,MODEL1,PARMS,LMB,1.352722341,7.703472882,0.62779076,-0.011740732,-0.366012515,-1
12,MODEL1,PARMS,LMB,1.350115098,8.27646992,0.392510647,1.511631549,-2.865210675,-1
13,MODEL1,PARMS,LMB,1.38662948,6.611863728,0.891193498,-0.188064958,-0.262442983,-1
14,MODEL1,PARMS,LMB,1.385615578,7.361131995,0.722219258,-0.133664237,0.004043244,-1
15,MODEL1,PARMS,LMB,1.432719567,8.805129998,0.306622651,1.623819855,-2.991250864,-1
16,MODEL1,PARMS,LMB,1.408176383,8.777212632,0.296826852,1.689482685,-3.179698859,-1
17,MODEL1,PARMS,LMB,1.323757537,7.673563581,0.681856218,-0.62476696,0.975474825,-1
18,MODEL1,PARMS,LMB,1.395381864,7.511756392,0.618574873,0.217821882,-0.576255194,-1
19,MODEL1,PARMS,LMB,1.398215128,7.156548678,0.751961862,-0.469261387,0.642368725,-1
20,MODEL1,PARMS,LMB,1.331565984,5.829902848,1.087560395,-1.254612521,1.593543167,-1
21,MODEL1,PARMS,LMB,1.389540137,7.919717962,0.533544035,0.899113667,-1.782715199,-1
22,MODEL1,PARMS,LMB,1.437903352,6.212389327,1.062403368,-1.964983628,3.516008736,-1
23,MODEL1,PARMS,LMB,1.376826928,6.394801122,0.992799567,-1.888220527,3.316087979,-1
