SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,BronInt
1,MODEL1,PARMS,BronInt,1.34675445,7.410674428,0.23820207,1.437679798,-2.630702357,-1
2,MODEL1,PARMS,BronInt,1.34994604,5.413387159,0.801927043,-1.059433975,1.87908316,-1
3,MODEL1,PARMS,BronInt,1.349040776,6.593793753,0.479807374,0.382131087,-1.084933227,-1
4,MODEL1,PARMS,BronInt,1.311541859,6.738972174,0.46570513,0.110024974,-0.441277955,-1
5,MODEL1,PARMS,BronInt,1.271669864,7.336720101,0.27796566,1.39886671,-2.86335139,-1
6,MODEL1,PARMS,BronInt,1.274284253,6.161039245,0.557369748,0.447574147,-1.013858515,-1
7,MODEL1,PARMS,BronInt,1.238424141,6.403615258,0.406911156,2.002973496,-4.107362486,-1
8,MODEL1,PARMS,BronInt,1.288053863,5.195918733,0.833449355,-1.103036346,1.724795628,-1
9,MODEL1,PARMS,BronInt,1.314082195,6.571125088,0.451023682,1.316614153,-3.149965886,-1
10,MODEL1,PARMS,BronInt,1.400407641,4.063606664,1.24328238,-3.159055424,5.195223308,-1
11,MODEL1,PARMS,BronInt,1.313106059,6.805114145,0.386041148,0.69799669,-1.424878282,-1
12,MODEL1,PARMS,BronInt,1.319113277,6.893085319,0.360366213,0.948829637,-1.841896612,-1
13,MODEL1,PARMS,BronInt,1.334050468,6.405591672,0.53288924,0.77901902,-1.833693018,-1
14,MODEL1,PARMS,BronInt,1.371564791,7.21885541,0.262465822,2.134972389,-4.232912485,-1
15,MODEL1,PARMS,BronInt,1.445890254,6.655631997,0.442100333,0.816571166,-1.723124371,-1
16,MODEL1,PARMS,BronInt,1.40545325,8.126002816,-0.012445807,3.136053298,-5.87210694,-1
17,MODEL1,PARMS,BronInt,1.277647117,6.076054093,0.666150923,-0.687675057,0.829058908,-1
18,MODEL1,PARMS,BronInt,1.36460091,5.829682532,0.655187398,-0.473709948,0.564964002,-1
19,MODEL1,PARMS,BronInt,1.231241297,6.102478061,0.603593014,-0.45384712,0.682367089,-1
20,MODEL1,PARMS,BronInt,1.34396666,4.718043894,0.934454938,-1.330517286,2.107445273,-1
