SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RUL
1,MODEL1,PARMS,RUL,1.205134584,6.526803919,0.100482408,1.78463598,-3.604905995,-1
2,MODEL1,PARMS,RUL,1.314957905,5.451688126,0.420425029,0.052755244,-0.126218735,-1
3,MODEL1,PARMS,RUL,1.301683085,5.327536966,0.429575505,0.292179376,-0.851842135,-1
4,MODEL1,PARMS,RUL,1.311675627,6.116350868,0.197627005,1.256671598,-2.450622749,-1
5,MODEL1,PARMS,RUL,1.332877415,5.958264541,0.280461355,0.905744933,-1.902833915,-1
6,MODEL1,PARMS,RUL,1.214237458,4.867062763,0.539194066,-0.306524848,0.469290517,-1
7,MODEL1,PARMS,RUL,1.179471849,5.44717993,0.374387671,0.282413847,-0.430994273,-1
8,MODEL1,PARMS,RUL,1.285203589,4.322236277,0.704563809,-1.441747798,2.5437112,-1
9,MODEL1,PARMS,RUL,1.174895365,6.140627627,0.202722627,1.337390996,-2.666272186,-1
10,MODEL1,PARMS,RUL,1.265719806,3.880607859,0.884923396,-2.372009486,4.281963713,-1
11,MODEL1,PARMS,RUL,1.264906351,5.950601869,0.276184577,0.401948565,-0.728873081,-1
12,MODEL1,PARMS,RUL,1.333768585,4.180041587,0.766295542,-1.109963195,1.587338263,-1
13,MODEL1,PARMS,RUL,1.340315699,5.123304675,0.459680916,0.703572821,-1.61754459,-1
14,MODEL1,PARMS,RUL,1.275441773,6.099495937,0.228604335,1.25319268,-2.323070958,-1
15,MODEL1,PARMS,RUL,1.30525069,6.259829432,0.206368567,1.124700054,-2.038798377,-1
16,MODEL1,PARMS,RUL,1.235472772,6.076078025,0.203434074,0.970717951,-1.538653971,-1
17,MODEL1,PARMS,RUL,1.295992931,6.06854429,0.314211976,-0.075767336,0.243852953,-1
18,MODEL1,PARMS,RUL,1.305191883,4.719004244,0.61148411,-0.947046179,1.617046601,-1
19,MODEL1,PARMS,RUL,1.22245262,5.575219965,0.387333806,0.037765588,-0.161574422,-1
20,MODEL1,PARMS,RUL,1.271590244,4.247944388,0.658874448,0.211522745,-1.077356658,-1
21,MODEL1,PARMS,RUL,1.352075439,4.687346076,0.644852445,-1.233664378,2.02736989,-1
22,MODEL1,PARMS,RUL,1.29871522,5.116329885,0.480876434,0.786839112,-1.9803804,-1
23,MODEL1,PARMS,RUL,1.236518546,4.687996693,0.639063782,-1.304750097,2.317795452,-1
24,MODEL1,PARMS,RUL,1.234532653,4.822307894,0.55509407,-0.000671304,-0.22211846,-1
25,MODEL1,PARMS,RUL,1.309543265,6.203077609,0.179632358,2.047929046,-4.259968685,-1
26,MODEL1,PARMS,RUL,1.236030322,4.24091997,0.75295908,-1.228010384,1.78185514,-1
27,MODEL1,PARMS,RUL,1.369838012,4.877276105,0.537934116,-0.141088606,0.229944963,-1
28,MODEL1,PARMS,RUL,1.340513511,5.728036083,0.302636577,1.109786965,-2.482393727,-1
29,MODEL1,PARMS,RUL,1.277698862,4.67653909,0.629111833,-0.800219998,1.197167059,-1
30,MODEL1,PARMS,RUL,1.214997765,3.992606098,0.843479215,-2.20353956,3.883226517,-1
31,MODEL1,PARMS,RUL,1.421202376,4.479209678,0.731622867,-1.75155342,3.034571828,-1
32,MODEL1,PARMS,RUL,1.262551803,3.640132367,0.904496026,-1.365688218,1.670300182,-1
33,MODEL1,PARMS,RUL,1.261354158,4.551196287,0.621815128,-0.28593445,0.066909101,-1
34,MODEL1,PARMS,RUL,1.29615362,5.456900491,0.418910659,0.428960684,-1.079323917,-1
35,MODEL1,PARMS,RUL,1.327295902,6.178840562,0.122735677,2.015158794,-3.774541066,-1
36,MODEL1,PARMS,RUL,1.287420749,4.070713674,0.76934868,-0.315979258,-0.236718185,-1
37,MODEL1,PARMS,RUL,1.344217314,5.496751102,0.390663336,0.482565967,-1.123242114,-1
38,MODEL1,PARMS,RUL,1.286846398,5.464362306,0.439146235,-0.350661597,0.684225045,-1
39,MODEL1,PARMS,RUL,1.344846089,4.831296748,0.552364723,0.171343495,-0.649063176,-1
40,MODEL1,PARMS,RUL,1.24624264,4.539142986,0.709758089,-1.515858888,2.408706966,-1
41,MODEL1,PARMS,RUL,1.213503882,4.141567075,0.754981585,-0.728749751,0.700641917,-1
42,MODEL1,PARMS,RUL,1.281272905,4.395571623,0.626239681,0.216959059,-0.904820825,-1
