SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RB4_5
1,MODEL1,PARMS,RB4_5,0.857318704,3.619161927,0.516276471,-0.703431702,0.754991947,-1
2,MODEL1,PARMS,RB4_5,0.908285678,3.219175609,0.598634932,-1.410552213,2.267399904,-1
3,MODEL1,PARMS,RB4_5,0.875358136,3.237352054,0.576042494,-1.093314592,1.568356163,-1
4,MODEL1,PARMS,RB4_5,0.870544342,3.718453967,0.468849563,-1.225324798,2.064447592,-1
5,MODEL1,PARMS,RB4_5,0.854557394,4.320078725,0.270256962,0.301881417,-0.858103807,-1
6,MODEL1,PARMS,RB4_5,0.943469677,3.035406953,0.665117975,-1.849311609,3.128657553,-1
7,MODEL1,PARMS,RB4_5,0.839288101,3.726850055,0.422651119,-0.390443669,0.456668834,-1
8,MODEL1,PARMS,RB4_5,0.879053767,2.344340971,0.814632447,-2.024981345,3.300459987,-1
9,MODEL1,PARMS,RB4_5,0.918369615,4.002652105,0.333635998,0.201816917,-0.727002749,-1
10,MODEL1,PARMS,RB4_5,0.954675141,2.920024671,0.700993192,-2.097498176,3.486467828,-1
11,MODEL1,PARMS,RB4_5,0.876597702,3.822387748,0.455599829,-1.110799483,1.797204846,-1
12,MODEL1,PARMS,RB4_5,0.912243431,3.851430245,0.380417269,-0.289536078,0.333562732,-1
13,MODEL1,PARMS,RB4_5,1.060193562,3.928613646,0.36370258,0.159649024,-0.636327434,-1
14,MODEL1,PARMS,RB4_5,0.985768918,4.610591235,0.161905945,1.335518924,-2.816495899,-1
15,MODEL1,PARMS,RB4_5,0.915082493,4.123762717,0.288027002,0.469399884,-1.105451735,-1
16,MODEL1,PARMS,RB4_5,0.926937381,4.92388133,0.082449982,0.847458627,-1.552439388,-1
17,MODEL1,PARMS,RB4_5,0.965373148,4.895109013,0.131346077,0.451970149,-0.889529618,-1
18,MODEL1,PARMS,RB4_5,0.873248002,3.729100895,0.452997538,-0.955333506,1.578116183,-1
19,MODEL1,PARMS,RB4_5,0.847519763,3.808872673,0.435574127,-0.835733726,1.31434368,-1
20,MODEL1,PARMS,RB4_5,0.896690195,2.159620316,0.854501836,-2.487618792,4.288126498,-1
21,MODEL1,PARMS,RB4_5,0.924200634,3.118746144,0.611941642,-1.776593532,3.1338176,-1
22,MODEL1,PARMS,RB4_5,0.940389944,3.629030021,0.470330217,-0.635553063,0.922008427,-1
23,MODEL1,PARMS,RB4_5,0.966171507,2.934434166,0.720085924,-2.249183848,3.801336106,-1
24,MODEL1,PARMS,RB4_5,0.907682027,2.970409572,0.669237445,-1.486067922,2.147101395,-1
25,MODEL1,PARMS,RB4_5,0.841895287,4.193549387,0.322341628,-0.151685299,-0.013340881,-1
26,MODEL1,PARMS,RB4_5,0.892065225,3.062300375,0.599296138,-0.919704343,1.297312512,-1
27,MODEL1,PARMS,RB4_5,0.859471797,3.849498012,0.398858176,-0.560028621,0.790710604,-1
28,MODEL1,PARMS,RB4_5,0.911633231,3.909608891,0.377040586,-0.014857885,-0.353631047,-1
29,MODEL1,PARMS,RB4_5,0.902094735,3.573394964,0.4737168,-0.486334144,0.45213957,-1
