SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,RLL
1,MODEL1,PARMS,RLL,0.921999842,4.653060841,0.407176308,-0.282252336,0.103940204,-1
2,MODEL1,PARMS,RLL,0.937839076,4.168307396,0.527436656,-1.43765658,2.514236231,-1
3,MODEL1,PARMS,RLL,0.94166533,4.767981323,0.334876229,-0.313392752,0.468754975,-1
4,MODEL1,PARMS,RLL,0.957226246,4.612138836,0.423821279,-1.33813734,2.517652519,-1
5,MODEL1,PARMS,RLL,0.96106213,4.992911052,0.324958761,-0.463070424,0.687597597,-1
6,MODEL1,PARMS,RLL,1.046564886,5.021906443,0.290751162,-0.353565161,0.594452523,-1
7,MODEL1,PARMS,RLL,0.958713922,4.518983092,0.383491295,-0.045575142,-0.081226314,-1
8,MODEL1,PARMS,RLL,0.939652044,3.712697309,0.64891481,-1.330912128,2.085250558,-1
9,MODEL1,PARMS,RLL,0.962475648,4.695236602,0.370557248,-0.396974252,0.613627104,-1
10,MODEL1,PARMS,RLL,0.930578646,2.938613717,0.903216442,-3.179233155,5.561264168,-1
11,MODEL1,PARMS,RLL,0.974484562,5.331932494,0.199451549,0.134317195,-0.394432053,-1
12,MODEL1,PARMS,RLL,0.963774075,4.90878484,0.291990304,-0.305357487,0.612094539,-1
13,MODEL1,PARMS,RLL,0.91433385,4.86697681,0.305371233,-0.059604482,-0.067802563,-1
14,MODEL1,PARMS,RLL,0.983143287,4.798574211,0.307091517,-0.094460173,0.042778005,-1
15,MODEL1,PARMS,RLL,0.953572466,4.8948689,0.340749863,-0.605269689,0.984556408,-1
16,MODEL1,PARMS,RLL,0.930384839,4.676300761,0.370246901,-0.532314525,0.97569523,-1
17,MODEL1,PARMS,RLL,0.975665563,4.307624046,0.475273626,-0.935704758,1.550566587,-1
18,MODEL1,PARMS,RLL,0.983061731,3.973245898,0.576038009,-1.322465976,2.107184526,-1
19,MODEL1,PARMS,RLL,0.898749622,4.633423849,0.374894768,-0.456189442,0.684501668,-1
20,MODEL1,PARMS,RLL,0.893076875,2.766405189,0.892493826,-2.325721302,3.688721762,-1
21,MODEL1,PARMS,RLL,1.004318074,4.731492686,0.355963769,-0.132033328,0.042458593,-1
22,MODEL1,PARMS,RLL,0.969171627,4.102533266,0.518065852,-0.725058672,1.107641247,-1
23,MODEL1,PARMS,RLL,0.925041002,3.416564066,0.716479963,-1.861600409,3.070808459,-1
24,MODEL1,PARMS,RLL,0.986715403,3.85143587,0.585567639,-0.773909468,0.916211942,-1
25,MODEL1,PARMS,RLL,0.953220756,4.827023086,0.337039305,-0.19943445,0.159455966,-1
26,MODEL1,PARMS,RLL,0.871386098,3.686478314,0.634719754,-1.357421497,2.163877476,-1
27,MODEL1,PARMS,RLL,0.919676899,4.998708252,0.298731978,-0.551369336,1.062909244,-1
28,MODEL1,PARMS,RLL,0.918966822,4.968586016,0.282192556,0.231377319,-0.77458213,-1
29,MODEL1,PARMS,RLL,0.980400523,4.697872582,0.385465144,-0.531859644,0.821526683,-1
30,MODEL1,PARMS,RLL,0.989424047,5.264833269,0.266139316,-0.434381677,0.805892694,-1
31,MODEL1,PARMS,RLL,0.957582665,5.02348071,0.272774793,0.194554059,-0.440284985,-1
32,MODEL1,PARMS,RLL,0.90973889,5.157820527,0.251488517,0.290620078,-0.833176617,-1
33,MODEL1,PARMS,RLL,0.919632013,4.684979242,0.364312627,-0.111278994,-0.182186271,-1
34,MODEL1,PARMS,RLL,0.917670813,4.732066055,0.374564462,-0.47604942,0.588596205,-1
35,MODEL1,PARMS,RLL,0.947018924,4.519123343,0.392075917,-0.348227699,0.443908508,-1
36,MODEL1,PARMS,RLL,0.91120538,4.003075927,0.548076027,-0.761083226,0.956429581,-1
37,MODEL1,PARMS,RLL,0.953550454,5.33123955,0.159817294,0.868595402,-1.794876006,-1
38,MODEL1,PARMS,RLL,0.910931797,4.610484082,0.388152041,-0.395319716,0.622836584,-1
39,MODEL1,PARMS,RLL,0.969220296,5.188167244,0.224589905,0.008849107,0.065389621,-1
40,MODEL1,PARMS,RLL,0.906567803,3.954595216,0.580079344,-1.406689608,2.434783628,-1
41,MODEL1,PARMS,RLL,0.959977213,3.950983925,0.554054886,-1.221429104,2.050528208,-1
42,MODEL1,PARMS,RLL,0.941481159,3.925350143,0.558583932,-0.469504021,0.39177156,-1
43,MODEL1,PARMS,RLL,0.971133896,4.272924989,0.446387679,-0.149288882,0.051237278,-1
44,MODEL1,PARMS,RLL,0.938941567,4.092418385,0.494557211,-0.57224431,0.699245992,-1
45,MODEL1,PARMS,RLL,0.919644431,4.840758419,0.349972955,-0.49427755,0.745297529,-1
46,MODEL1,PARMS,RLL,0.877196527,4.868045318,0.308296208,-0.032274246,-0.032393514,-1
47,MODEL1,PARMS,RLL,0.96278827,4.687109343,0.394397742,-0.567009496,0.730669654,-1
48,MODEL1,PARMS,RLL,0.990945998,4.947402017,0.297513853,-0.276839851,0.500495495,-1
49,MODEL1,PARMS,RLL,1.000944366,4.094714348,0.547264902,-1.273001035,1.934981735,-1
50,MODEL1,PARMS,RLL,0.946337873,4.512170446,0.4200558,-0.835665832,1.453519673,-1
51,MODEL1,PARMS,RLL,0.934361699,4.849959139,0.312199692,0.064715562,-0.365117145,-1
52,MODEL1,PARMS,RLL,0.971794409,4.530265113,0.420044522,-0.339618488,0.250717217,-1
53,MODEL1,PARMS,RLL,0.947366876,4.805488319,0.332065729,0.03724362,-0.351044725,-1
54,MODEL1,PARMS,RLL,1.018151721,3.739370482,0.606982317,-0.68074819,0.728509625,-1
55,MODEL1,PARMS,RLL,0.951641754,5.065702232,0.24168987,0.343939078,-0.818405946,-1
56,MODEL1,PARMS,RLL,0.959364838,4.068184059,0.526454377,-1.081789689,1.868361126,-1
57,MODEL1,PARMS,RLL,0.90278393,5.091515995,0.254973484,0.292149765,-0.75324389,-1
58,MODEL1,PARMS,RLL,0.943274439,5.180924848,0.251109021,0.047136036,-0.275365422,-1
59,MODEL1,PARMS,RLL,0.920115333,4.654043314,0.367453059,-0.47954479,0.771408441,-1
60,MODEL1,PARMS,RLL,0.980098587,5.307546506,0.173804119,0.527260908,-1.000234444,-1
61,MODEL1,PARMS,RLL,0.900531009,4.067802932,0.521856527,-1.136173696,2.021152785,-1
62,MODEL1,PARMS,RLL,0.922483265,4.281221691,0.466111709,-0.777992081,1.138015017,-1
63,MODEL1,PARMS,RLL,0.979983107,4.847242785,0.294783023,-0.133687252,0.201705221,-1
64,MODEL1,PARMS,RLL,0.964354442,4.66769986,0.356370567,-0.535456753,0.880818889,-1
65,MODEL1,PARMS,RLL,0.975245992,4.902359804,0.339099469,-0.689253285,1.301267276,-1
66,MODEL1,PARMS,RLL,0.944103018,3.988087354,0.556148174,-1.184603223,1.960648736,-1
67,MODEL1,PARMS,RLL,0.93892798,3.061228856,0.839288819,-2.412125074,3.972790767,-1
68,MODEL1,PARMS,RLL,0.938229472,5.101347835,0.234085201,0.111702134,-0.213006157,-1
69,MODEL1,PARMS,RLL,0.980002707,5.293880199,0.216065682,0.361108457,-0.908104866,-1
70,MODEL1,PARMS,RLL,0.968517689,4.209155596,0.527631195,-1.436415847,2.424826672,-1
71,MODEL1,PARMS,RLL,0.994692826,4.634761444,0.380847014,-0.541942902,0.801920879,-1
72,MODEL1,PARMS,RLL,0.909349832,5.635873641,0.069990347,0.977988557,-1.850172538,-1
