SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LUL
1,MODEL1,PARMS,LUL,1.142321986,6.964469581,0.109145714,1.825588221,-3.356985167,-1
2,MODEL1,PARMS,LUL,1.122364113,6.487599648,0.261753844,0.678509915,-0.974701805,-1
3,MODEL1,PARMS,LUL,1.031243193,6.957057845,0.103406672,1.911737896,-3.66086551,-1
4,MODEL1,PARMS,LUL,1.125020092,6.577385159,0.234977018,0.649191144,-1.069464032,-1
5,MODEL1,PARMS,LUL,1.040901403,7.943591473,-0.137049552,2.188635072,-3.80034718,-1
6,MODEL1,PARMS,LUL,1.069935715,6.310897833,0.260618169,1.694428667,-3.336969046,-1
7,MODEL1,PARMS,LUL,1.169351598,6.339839918,0.169537754,2.586523449,-5.077415112,-1
8,MODEL1,PARMS,LUL,1.054748522,5.171178863,0.582441243,-0.68114734,1.376748662,-1
9,MODEL1,PARMS,LUL,1.117954437,6.398945997,0.23317952,1.528820046,-2.886408465,-1
10,MODEL1,PARMS,LUL,1.162301003,5.185370712,0.655425998,-1.114111612,1.884744242,-1
11,MODEL1,PARMS,LUL,1.143569413,6.041926094,0.34481694,1.013705029,-2.167376496,-1
12,MODEL1,PARMS,LUL,1.153884171,6.158204792,0.309920066,1.029659792,-2.233243203,-1
13,MODEL1,PARMS,LUL,1.147398238,6.221656459,0.299423697,1.275833296,-2.423910944,-1
14,MODEL1,PARMS,LUL,1.16694613,6.651126142,0.166228097,2.044615448,-3.858969537,-1
15,MODEL1,PARMS,LUL,1.178601106,5.759656505,0.405468071,1.384382203,-3.039092619,-1
16,MODEL1,PARMS,LUL,1.178479394,7.687616463,-0.171925705,3.614298604,-6.534659305,-1
17,MODEL1,PARMS,LUL,1.073106386,6.919995564,0.137053252,1.56617655,-2.902739136,-1
18,MODEL1,PARMS,LUL,1.179220313,7.263116452,-0.003016692,1.907748882,-3.407019515,-1
19,MODEL1,PARMS,LUL,1.010550064,6.341559193,0.284047165,0.504008087,-0.834637876,-1
20,MODEL1,PARMS,LUL,1.151011971,5.874785336,0.398833179,0.378381887,-0.84769467,-1
21,MODEL1,PARMS,LUL,1.119669118,6.221538219,0.263101469,1.229618094,-2.318233716,-1
22,MODEL1,PARMS,LUL,1.175930207,6.490269191,0.234714078,1.465973927,-2.728804091,-1
23,MODEL1,PARMS,LUL,1.22372485,6.134513543,0.364373839,0.531608487,-1.105688515,-1
24,MODEL1,PARMS,LUL,1.165769264,6.082573142,0.348960608,1.10056134,-2.256987225,-1
25,MODEL1,PARMS,LUL,1.056179407,6.149975161,0.301644579,1.316113154,-2.600422017,-1
26,MODEL1,PARMS,LUL,1.099026677,6.754239916,0.155796545,1.677584291,-3.042809937,-1
27,MODEL1,PARMS,LUL,1.063293392,6.853929141,0.119772495,1.6185889,-2.802934191,-1
28,MODEL1,PARMS,LUL,1.092828186,7.072890335,0.086452075,1.684804704,-3.15800504,-1
29,MODEL1,PARMS,LUL,1.119639443,5.023420401,0.616172511,0.072390542,-0.62779086,-1
30,MODEL1,PARMS,LUL,1.079119345,6.862988203,0.143989442,1.397214021,-2.587112352,-1
31,MODEL1,PARMS,LUL,1.094797051,6.072400282,0.344132943,0.84285028,-1.65184446,-1
32,MODEL1,PARMS,LUL,1.121199077,5.885691515,0.390032438,1.078562606,-2.457678786,-1
33,MODEL1,PARMS,LUL,1.136552894,6.07416929,0.334832502,1.062826257,-2.323304042,-1
34,MODEL1,PARMS,LUL,1.111089154,6.670708286,0.196524748,1.448537076,-2.713684992,-1
35,MODEL1,PARMS,LUL,1.21356298,7.045184095,0.053703761,1.811260714,-3.294287263,-1
36,MODEL1,PARMS,LUL,1.098729514,5.624261268,0.463215322,0.269197402,-0.636339179,-1
37,MODEL1,PARMS,LUL,1.093874602,6.712492994,0.160253087,1.86607498,-3.460755413,-1
38,MODEL1,PARMS,LUL,1.041373936,6.640776177,0.230953346,0.564588765,-0.831036817,-1
39,MODEL1,PARMS,LUL,1.032026292,6.665771668,0.170528353,1.527590897,-2.791450925,-1
40,MODEL1,PARMS,LUL,1.101907699,6.061295015,0.382096102,0.145578871,-0.177496763,-1
41,MODEL1,PARMS,LUL,1.238978764,6.18124121,0.312031142,1.188154287,-2.399918677,-1
42,MODEL1,PARMS,LUL,1.130772194,6.037437436,0.353321404,0.747803237,-1.346503121,-1
43,MODEL1,PARMS,LUL,1.073570446,6.46267653,0.231854371,1.685256802,-3.243469259,-1
44,MODEL1,PARMS,LUL,1.039368998,5.971609432,0.353531408,0.948316542,-1.976520768,-1
45,MODEL1,PARMS,LUL,1.153528399,6.88276432,0.098934465,1.630843953,-2.71907849,-1
46,MODEL1,PARMS,LUL,1.110501119,6.697279224,0.180615309,1.431583066,-2.616640243,-1
47,MODEL1,PARMS,LUL,1.125770276,6.745545593,0.156459566,1.793896089,-3.45665668,-1
48,MODEL1,PARMS,LUL,1.075836247,7.802817556,-0.162068105,3.448805941,-6.431067124,-1
49,MODEL1,PARMS,LUL,1.141500871,6.208434152,0.302491941,1.151973583,-2.476028147,-1
50,MODEL1,PARMS,LUL,1.087747352,7.317700218,0.012805682,1.904334991,-3.422699798,-1
51,MODEL1,PARMS,LUL,1.140621902,6.59312502,0.205064467,0.95579741,-1.64259127,-1
