SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,LLB6
1,MODEL1,PARMS,LLB6,1.097284186,6.144039805,0.40350028,0.418250618,-0.987613832,-1
2,MODEL1,PARMS,LLB6,1.178850345,5.04506163,0.713831467,-1.049004524,1.706666788,-1
3,MODEL1,PARMS,LLB6,1.149153917,4.5667409,0.833492561,-1.366975791,2.009495514,-1
4,MODEL1,PARMS,LLB6,1.162152966,4.772124099,0.794176269,-1.78452115,3.160286959,-1
5,MODEL1,PARMS,LLB6,1.120381658,6.06390507,0.402386709,0.370250775,-0.873986174,-1
6,MODEL1,PARMS,LLB6,1.133165439,4.889987902,0.719035899,-1.023671738,1.706804641,-1
7,MODEL1,PARMS,LLB6,1.060591413,4.962569551,0.675467819,-0.403987642,0.491883708,-1
8,MODEL1,PARMS,LLB6,1.165952525,3.38364214,1.131182872,-2.180103598,3.2904364,-1
9,MODEL1,PARMS,LLB6,1.082850066,5.780899104,0.475670331,0.179924625,-0.551220765,-1
10,MODEL1,PARMS,LLB6,1.121210584,3.917423997,1.077865989,-3.250873324,5.900905695,-1
11,MODEL1,PARMS,LLB6,1.11936784,5.783991884,0.476737836,0.322120499,-1.040933401,-1
12,MODEL1,PARMS,LLB6,1.184563665,5.846928281,0.451751893,0.22061102,-0.556272069,-1
13,MODEL1,PARMS,LLB6,1.086542905,5.471091578,0.547587877,-0.045345806,-0.246266784,-1
14,MODEL1,PARMS,LLB6,1.10559794,4.618213167,0.825596172,-1.642365869,2.762328759,-1
15,MODEL1,PARMS,LLB6,1.17791973,6.157085313,0.40000373,0.337937086,-0.691045396,-1
16,MODEL1,PARMS,LLB6,1.209987807,6.447241447,0.329202698,0.762219949,-1.491268728,-1
17,MODEL1,PARMS,LLB6,1.076165064,5.899415419,0.473305045,-0.436381413,0.821254424,-1
18,MODEL1,PARMS,LLB6,1.144752205,5.21465403,0.643960036,-0.997814678,1.766635994,-1
19,MODEL1,PARMS,LLB6,1.099631668,5.618102984,0.548340406,-0.360355771,0.225742655,-1
20,MODEL1,PARMS,LLB6,1.134095032,3.846165685,1.018334463,-1.854763065,2.7224848,-1
21,MODEL1,PARMS,LLB6,1.277465768,5.03703081,0.683928013,-0.268769073,-0.004034095,-1
22,MODEL1,PARMS,LLB6,1.188606309,4.518911329,0.846446458,-1.01530759,1.316518517,-1
23,MODEL1,PARMS,LLB6,1.144042114,4.291205272,0.916492203,-1.971342666,3.337288547,-1
24,MODEL1,PARMS,LLB6,1.140012977,5.145118145,0.676536934,-0.714389445,0.942678708,-1
25,MODEL1,PARMS,LLB6,1.125292249,4.943419602,0.722163537,-0.725450024,0.849859178,-1
26,MODEL1,PARMS,LLB6,1.106208672,5.106537442,0.661676072,-0.551879682,0.702263912,-1
27,MODEL1,PARMS,LLB6,1.170402063,6.041938514,0.413186739,0.131689018,-0.186723638,-1
28,MODEL1,PARMS,LLB6,1.115014084,5.364510399,0.62799287,-0.558210427,0.658763471,-1
29,MODEL1,PARMS,LLB6,1.112703421,4.432034919,0.830143741,-1.222287885,1.920530872,-1
30,MODEL1,PARMS,LLB6,1.186380856,4.45371308,0.943339619,-2.555897911,4.428893883,-1
31,MODEL1,PARMS,LLB6,1.102535033,5.083917056,0.648784405,-0.249183926,0.200666792,-1
32,MODEL1,PARMS,LLB6,1.083001388,5.311013958,0.636130092,-0.536620773,0.608173562,-1
33,MODEL1,PARMS,LLB6,1.082934693,5.973209952,0.407195139,0.509789642,-1.126793389,-1
34,MODEL1,PARMS,LLB6,1.03804834,4.826324145,0.737071381,-0.189981253,-0.293502783,-1
35,MODEL1,PARMS,LLB6,1.19609967,7.543989051,0.012519621,1.597340957,-2.767675277,-1
36,MODEL1,PARMS,LLB6,1.103669163,4.506383761,0.827936612,-0.824434202,0.96622457,-1
37,MODEL1,PARMS,LLB6,1.12335756,4.998283387,0.707246436,-1.104030038,1.821761821,-1
38,MODEL1,PARMS,LLB6,1.124168005,5.780448907,0.483080482,0.004510572,-0.092735412,-1
39,MODEL1,PARMS,LLB6,1.156605081,5.941813867,0.399936055,0.739281812,-1.406734301,-1
40,MODEL1,PARMS,LLB6,1.149913704,5.449568067,0.589912951,-0.65610856,1.215084478,-1
41,MODEL1,PARMS,LLB6,1.174055462,4.039552901,0.985884934,-1.90623998,3.004547925,-1
42,MODEL1,PARMS,LLB6,1.21268177,4.473865114,0.83682438,-1.165655984,1.729262,-1
43,MODEL1,PARMS,LLB6,1.103718848,5.327669269,0.565693965,0.383957062,-0.989748268,-1
44,MODEL1,PARMS,LLB6,1.094369019,4.28551572,0.856664595,-1.052744673,1.475654076,-1
45,MODEL1,PARMS,LLB6,1.062237298,5.880662151,0.483585476,-0.233056111,0.313258876,-1
46,MODEL1,PARMS,LLB6,1.079002459,6.169318552,0.406097009,0.089991942,-0.176172188,-1
