SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,Trachea
1,MODEL1,PARMS,Trachea,1.652679768,3.697562578,0.314765053,-0.088226423,-0.837086273,0.585349369,0.928000935,-2.4450045,-1
2,MODEL1,PARMS,Trachea,1.605041209,13.85511036,0.465947208,-0.587691451,1.486236485,-0.153292325,3.640461872,-7.853905529,-1
3,MODEL1,PARMS,Trachea,1.573415618,9.120178734,0.641712465,-2.158860598,8.215143623,0.162263687,1.513436961,-3.510905417,-1
4,MODEL1,PARMS,Trachea,1.800330602,17.55060661,0.136228075,-0.082802951,-1.16285796,-0.245145512,1.187800054,-1.131879985,-1
5,MODEL1,PARMS,Trachea,1.51266014,-1.150801981,0.494641985,-0.595443597,1.04521075,0.831095315,0.128750027,-0.717121825,-1
6,MODEL1,PARMS,Trachea,1.641831088,13.22879776,0.469244995,-1.06404807,2.521742458,-0.069064494,2.916666792,-7.114020014,-1
7,MODEL1,PARMS,Trachea,1.615741342,7.437867182,0.456422438,-1.060810446,2.55791654,0.326992403,0.97960952,-2.687951229,-1
8,MODEL1,PARMS,Trachea,1.4274111,-2.373984997,0.584057978,-1.643040289,5.750828676,0.927359697,-0.620582123,0.031327455,-1
9,MODEL1,PARMS,Trachea,1.564639937,4.398907907,0.565048937,-1.288066942,4.739511232,0.463969351,0.865026558,-1.995370045,-1
10,MODEL1,PARMS,Trachea,1.680195085,-1.034670739,0.779401788,-1.782088618,5.373049624,0.788041301,0.406122722,-1.956526417,-1
11,MODEL1,PARMS,Trachea,1.546667619,-11.74809918,0.23689733,-0.615742954,2.55462622,1.634371346,-1.83440253,2.616567199,-1
12,MODEL1,PARMS,Trachea,1.57962996,-2.76386995,0.651943598,-1.19654009,2.967045556,0.924529361,-0.719638702,1.573095185,-1
13,MODEL1,PARMS,Trachea,1.494229101,-3.749570459,0.621195146,-1.03978939,3.282708661,0.973525334,-0.731763729,1.647501411,-1
14,MODEL1,PARMS,Trachea,1.558937314,-5.734959978,0.711952227,-1.605023058,3.899395846,1.130922936,-4.19324084,10.93891118,-1
15,MODEL1,PARMS,Trachea,1.744078251,-0.454488947,0.281124972,-0.361675432,-0.784490773,0.876979624,0.925727483,-3.302514377,-1
16,MODEL1,PARMS,Trachea,1.403814906,-0.900302234,0.414159598,-1.323289795,4.634397636,0.904956015,-1.904870496,3.641286919,-1
17,MODEL1,PARMS,Trachea,1.576818532,11.17344489,0.586317442,-1.499227949,5.934491364,0.009638488,3.319886466,-8.033840604,-1
18,MODEL1,PARMS,Trachea,1.932756189,33.86628785,0.067550741,0.527997999,-5.463941141,-1.302649367,4.573579814,-8.300755324,-1
19,MODEL1,PARMS,Trachea,1.396598148,3.741011464,0.148104435,-0.675942908,2.153433116,0.667267636,0.914505052,-2.703034901,-1
20,MODEL1,PARMS,Trachea,1.549006253,-4.469041137,0.372845138,-0.96624367,4.076983317,1.119366397,-0.893413009,1.480842513,-1
21,MODEL1,PARMS,Trachea,1.483910512,20.57414774,0.348486007,-0.597863328,0.857671617,-0.517208784,3.590402462,-7.682328178,-1
22,MODEL1,PARMS,Trachea,1.566729785,8.756249542,0.476166504,-1.125234567,3.623004206,0.237992411,0.738426469,-1.873128616,-1
