SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LB10
1,MODEL1,PARMS,LB10,0.964053408,3.706012224,-0.034259332,0.185406475,-0.863537342,0.059731625,0.800944826,-2.008375927,-1
2,MODEL1,PARMS,LB10,0.935326538,7.319232654,-0.093955788,0.199070062,-0.386903981,-0.165039246,0.891300718,-2.007757143,-1
3,MODEL1,PARMS,LB10,0.94636698,2.775302185,0.076439964,-0.378116093,1.313305516,0.095756241,0.234003058,-0.581461615,-1
4,MODEL1,PARMS,LB10,0.915944093,-3.158575076,-0.060584334,-0.298728847,1.835281802,0.529343815,-0.728707757,0.896128757,-1
5,MODEL1,PARMS,LB10,0.874800399,-4.857210197,-0.20796811,0.318960991,-0.786913253,0.68057731,-1.471809877,2.953817687,-1
6,MODEL1,PARMS,LB10,0.968969142,-2.529221751,-0.192260051,0.245938002,-0.465461226,0.530316622,-1.832254541,4.529337348,-1
7,MODEL1,PARMS,LB10,0.981200248,4.924951925,-0.074096982,0.054095419,0.104109319,-0.00436108,1.032798876,-2.827682612,-1
8,MODEL1,PARMS,LB10,0.981553353,-9.078516629,-0.02430464,-0.165730944,1.1071992,0.906819198,-2.867553055,6.550422146,-1
9,MODEL1,PARMS,LB10,0.910322289,2.587441906,0.129054754,-0.532185482,2.139195018,0.087082766,0.218427202,-0.570813317,-1
10,MODEL1,PARMS,LB10,0.905285511,8.481486313,0.016628305,-0.218558735,1.286285545,-0.277994221,1.970946605,-4.675406085,-1
11,MODEL1,PARMS,LB10,0.866440415,-6.243030608,0.036180721,-0.238767341,1.426167843,0.691627235,-1.230959757,1.646513324,-1
12,MODEL1,PARMS,LB10,0.891693476,1.84820741,-0.139349219,0.295710232,-1.222173894,0.21528758,0.118568213,-0.755620745,-1
13,MODEL1,PARMS,LB10,0.976829561,-4.292128493,-0.089696736,0.229473824,-0.734794359,0.607177912,-1.451779286,3.006860838,-1
14,MODEL1,PARMS,LB10,0.948353722,1.42780858,-0.041605662,-0.273647813,1.114815522,0.23309859,-1.093865615,3.324151629,-1
15,MODEL1,PARMS,LB10,0.961447371,-6.513426349,-0.217796122,0.474816776,-1.733236106,0.790668987,-2.495350701,5.558634128,-1
16,MODEL1,PARMS,LB10,0.845750442,7.129073651,0.057918185,-0.672335627,2.662603557,-0.167408338,0.81806637,-2.634036938,-1
17,MODEL1,PARMS,LB10,0.938545305,5.52982014,0.023636877,-0.376909471,2.019741099,-0.084419672,1.334178721,-3.137363569,-1
18,MODEL1,PARMS,LB10,0.902487654,3.628286927,-0.083629674,0.021515202,-0.073461372,0.072694662,1.07028939,-3.062630419,-1
19,MODEL1,PARMS,LB10,0.919384256,0.107785868,-0.188268401,0.432106494,-1.666993257,0.349034157,-0.19148718,-0.293977398,-1
20,MODEL1,PARMS,LB10,0.931865089,-1.589859648,0.084564241,-0.087888661,0.088945563,0.370739174,-0.581935378,1.388135115,-1
21,MODEL1,PARMS,LB10,0.893356321,4.756079869,-0.143270518,0.379508525,-1.115126728,0.017479172,0.590762812,-1.381393892,-1
22,MODEL1,PARMS,LB10,0.921968463,1.657065531,-0.001237619,0.116307279,-0.632311243,0.172828629,0.649786203,-1.626718405,-1
23,MODEL1,PARMS,LB10,0.922921349,0.659160183,-0.127541212,0.311547723,-1.221052021,0.289018238,0.185048211,-1.182471349,-1
24,MODEL1,PARMS,LB10,0.959162774,0.87174381,0.178946088,-0.717866899,2.809148738,0.178415474,0.84386568,-2.544092891,-1
25,MODEL1,PARMS,LB10,1.032908334,-11.91299769,0.079403137,-0.314431772,1.272885166,1.040017643,-1.229783977,1.444501542,-1
26,MODEL1,PARMS,LB10,0.863144071,4.464301066,-0.110637299,-0.017596982,0.764221705,0.04035313,0.669416557,-1.816060558,-1
27,MODEL1,PARMS,LB10,1.008777409,6.750388355,-0.011544594,-0.245270534,1.074435116,-0.13889088,1.140856672,-2.686494926,-1
28,MODEL1,PARMS,LB10,0.896237149,-6.622768636,-0.190590334,0.420967181,-1.036217644,0.786534119,-2.052610441,4.290109483,-1
29,MODEL1,PARMS,LB10,0.936292092,2.696691508,-0.188007574,0.349147859,-1.174722411,0.172410278,0.182333644,-0.607865239,-1
30,MODEL1,PARMS,LB10,0.921728945,4.46143203,-0.018669709,-0.168325861,0.783716206,-0.004683901,1.674774535,-4.327116129,-1
31,MODEL1,PARMS,LB10,0.925604611,0.260038096,0.050106499,-0.267898063,0.508601342,0.285084341,-1.174656914,3.007837562,-1
32,MODEL1,PARMS,LB10,0.97376792,5.906500595,0.106447411,-0.437301942,1.476891381,-0.100121296,-0.605752324,1.579635132,-1
33,MODEL1,PARMS,LB10,0.920655614,-0.024489216,-0.06596818,0.037710431,-0.359647509,0.333746606,-1.011765417,1.671740992,-1
34,MODEL1,PARMS,LB10,0.940443565,2.316187393,-0.067235151,-0.153758581,0.974573543,0.17014857,-0.405637433,0.862554069,-1
35,MODEL1,PARMS,LB10,0.904044971,6.176270831,-0.076210314,0.151431664,-0.5766259,-0.091694911,0.856384742,-2.174787056,-1
36,MODEL1,PARMS,LB10,0.949558447,7.73101167,-0.204422206,0.538691812,-2.063992792,-0.16650553,2.005337896,-5.176699294,-1
37,MODEL1,PARMS,LB10,1.034909879,-1.426031342,0.317790658,-0.948409284,3.519990992,0.288909931,0.172913263,-0.493053392,-1
38,MODEL1,PARMS,LB10,0.932850261,8.84388866,0.015090051,-0.058894173,0.214297351,-0.298638168,1.658187244,-3.677794354,-1
39,MODEL1,PARMS,LB10,0.883192419,11.91803691,0.046651012,-0.087089984,0.323474851,-0.507513911,1.881742422,-3.93804235,-1
40,MODEL1,PARMS,LB10,0.880849781,-0.659040341,0.002765927,-0.227039846,1.315200128,0.353272428,-0.358569872,0.029047435,-1
41,MODEL1,PARMS,LB10,0.87549318,-8.040988467,-0.02110811,-0.243980878,1.099931368,0.837718493,-1.411855349,2.593070851,-1
42,MODEL1,PARMS,LB10,0.939763657,3.75589492,-0.055524033,-0.035117754,0.543280324,0.056961158,0.56287863,-1.250109048,-1
43,MODEL1,PARMS,LB10,0.911829892,6.14854948,-0.088077557,0.109454887,-0.299319372,-0.081049581,0.774199902,-1.833175514,-1
44,MODEL1,PARMS,LB10,0.944678549,2.83337319,0.008330059,-0.229866581,1.31769088,0.111837087,-0.03469074,-0.040837552,-1
45,MODEL1,PARMS,LB10,0.860643794,-3.075173748,0.041168582,-0.626787042,2.988755865,0.501028694,-1.131078933,2.331759963,-1
46,MODEL1,PARMS,LB10,0.957130341,-7.128644302,-0.125635412,0.195208134,-0.672053664,0.811346679,-2.101776902,4.212059382,-1
47,MODEL1,PARMS,LB10,0.939418712,0.888144525,-0.00488334,-0.380148875,1.623597012,0.247513972,-0.406330784,0.927098673,-1
48,MODEL1,PARMS,LB10,0.986750281,-11.11752115,-0.088802734,0.251152436,-0.731907446,1.047924189,-2.381512397,4.460603258,-1
49,MODEL1,PARMS,LB10,0.902862935,8.133683353,-0.014503667,-0.176842942,0.785075241,-0.216858245,0.705442415,-1.593458288,-1
50,MODEL1,PARMS,LB10,0.988549698,6.070124474,-0.076824248,-0.068542937,0.915730037,-0.075654186,0.30979103,-0.33579402,-1
51,MODEL1,PARMS,LB10,0.88936966,-0.086432511,-0.134725409,0.245890081,-0.842750335,0.355977559,-0.994738068,1.981196636,-1
52,MODEL1,PARMS,LB10,0.905282882,3.644397025,-0.121767043,0.01735883,0.717273167,0.089185051,0.527733847,-1.34283783,-1
53,MODEL1,PARMS,LB10,0.97466672,-2.321018428,-0.139498838,0.317578441,-0.945806428,0.492452135,-1.293420207,2.540233866,-1
54,MODEL1,PARMS,LB10,1.000256781,-1.428383593,-0.064508674,-0.241999982,1.420455408,0.426727967,-1.339306718,3.135425379,-1
55,MODEL1,PARMS,LB10,0.893103669,-2.568018935,-0.106149178,0.146937241,-0.171046583,0.489823891,-0.761709932,1.206686643,-1
56,MODEL1,PARMS,LB10,0.922870437,0.434489188,0.043284418,0.054089031,-0.352038702,0.238067354,0.333081647,-1.101028306,-1
57,MODEL1,PARMS,LB10,0.958636309,3.8874755,-0.12115777,0.327972054,-0.826277016,0.065363472,0.58030564,-1.428155554,-1
58,MODEL1,PARMS,LB10,1.031129142,-0.571810272,-0.005923095,-0.053054107,0.042568066,0.341099753,-0.615301391,1.341419998,-1
59,MODEL1,PARMS,LB10,0.942548103,-0.613115825,-0.086131582,0.210681994,-0.717631364,0.358072205,-0.098607466,-0.03062179,-1
60,MODEL1,PARMS,LB10,0.993929393,1.933604328,-0.050555388,-0.110446874,0.646925337,0.187880562,0.160417697,-0.660241846,-1
61,MODEL1,PARMS,LB10,0.984504581,2.400365532,-0.070743926,0.160712153,-0.703195572,0.151285251,0.029160759,-0.044629255,-1
62,MODEL1,PARMS,LB10,0.863538143,1.796589934,-0.190967806,0.579204461,-2.189425139,0.228754804,0.112096055,-0.794316747,-1
63,MODEL1,PARMS,LB10,0.891150171,2.439437894,-0.175612653,0.511943833,-1.947430627,0.172114619,0.366529397,-0.973040566,-1
64,MODEL1,PARMS,LB10,0.901171319,5.124935931,-0.058249061,0.092485863,-0.076454558,-0.023249789,0.333152238,-0.383118959,-1
65,MODEL1,PARMS,LB10,0.913567901,-0.650251487,-0.182322694,0.539216908,-1.857050175,0.39085923,-0.646862383,0.935286813,-1
66,MODEL1,PARMS,LB10,1.013868849,-4.251697692,0.059915678,-0.340733081,1.656899611,0.577786169,-2.28243215,5.648757305,-1
67,MODEL1,PARMS,LB10,0.918881506,2.636950253,-0.144131432,0.231209237,-0.643928024,0.165730599,0.617672955,-1.924934491,-1
68,MODEL1,PARMS,LB10,1.011324515,4.117132452,-0.029274354,-0.045008271,0.095867374,0.034812736,0.24041367,-0.657105302,-1
69,MODEL1,PARMS,LB10,0.921753764,-4.341301524,-0.015810328,-0.023023136,0.603952209,0.571518979,-0.307962867,-0.364147254,-1
70,MODEL1,PARMS,LB10,0.93945182,3.40722806,-0.393683255,0.680728413,-1.962091541,0.206384872,-0.426825127,0.750834392,-1
71,MODEL1,PARMS,LB10,0.899444216,4.267111341,-0.256194018,0.538205855,-1.408190026,0.07934891,0.474769068,-0.96093865,-1
72,MODEL1,PARMS,LB10,1.002477307,-6.697287058,-0.031783253,-0.083536862,0.312125867,0.7535593,-1.547241476,2.587540181,-1
73,MODEL1,PARMS,LB10,0.911977031,-0.988414407,-0.145713315,0.097857478,0.410427549,0.397150101,0.091869701,-0.862521911,-1
74,MODEL1,PARMS,LB10,0.915089861,3.364646852,-0.02164337,-0.065264273,0.317103167,0.080592575,0.415790885,-1.174394088,-1
75,MODEL1,PARMS,LB10,0.963066931,0.874844443,-0.122085614,0.192532551,-0.322824161,0.276411832,-0.290419394,0.502612613,-1
76,MODEL1,PARMS,LB10,0.941174972,8.300197228,-0.165662825,0.342936944,-1.034701495,-0.18844057,0.339427872,-0.397992738,-1
77,MODEL1,PARMS,LB10,0.849666884,-5.061492987,0.11419877,-0.129281573,0.344191404,0.584230046,-1.220646636,2.600293951,-1
78,MODEL1,PARMS,LB10,0.869361907,-5.334802571,-0.122270669,0.420847263,-1.444975243,0.669296813,-0.940332305,1.369071,-1
79,MODEL1,PARMS,LB10,1.00878622,-3.901281409,-0.132854235,0.150286307,-0.000583475,0.598971857,-1.618585206,3.283703247,-1
80,MODEL1,PARMS,LB10,0.914606279,10.3983215,0.041436834,-0.282478121,1.018231885,-0.398287388,1.970180781,-4.292630474,-1
81,MODEL1,PARMS,LB10,0.905292811,6.428419942,-0.088531534,0.108233945,0.056598664,-0.093656502,0.375246039,-0.720271568,-1
82,MODEL1,PARMS,LB10,0.968509305,0.597185521,-0.130353146,0.124224489,-0.56438379,0.301432403,-0.542029557,1.335577033,-1
