SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sRB4
1,MODEL1,PARMS,sRB4,0.530826084,8.542081872,0.019190659,-0.018347184,-0.115515625,-0.388068364,2.140720132,-5.289868875,-1
2,MODEL1,PARMS,sRB4,0.501508989,3.402910037,0.087637214,0.002774786,-0.307697368,-0.085124943,1.05865069,-2.521824844,-1
3,MODEL1,PARMS,sRB4,0.51841007,-0.467234971,0.083100888,-0.263007732,0.853013358,0.18260653,-0.013485727,-0.413422789,-1
4,MODEL1,PARMS,sRB4,0.523639824,0.843549338,0.087497055,-0.353462315,1.232658852,0.104871331,0.004316638,-0.187663221,-1
5,MODEL1,PARMS,sRB4,0.486969139,-5.365863493,0.059899879,0.09530422,-0.66792648,0.503170808,-1.098444879,2.266751296,-1
6,MODEL1,PARMS,sRB4,0.528037075,-2.239326726,0.107471862,-0.159842196,0.279853954,0.292130926,-0.588857253,1.202891508,-1
7,MODEL1,PARMS,sRB4,0.521312157,3.021417616,0.037364631,-0.119249541,0.402334834,-0.029094941,0.765929237,-2.225987854,-1
8,MODEL1,PARMS,sRB4,0.558930474,-1.206951304,0.056610942,0.001464284,-0.348626085,0.240977635,-0.299989712,0.383943463,-1
9,MODEL1,PARMS,sRB4,0.559124633,3.447612126,0.025009206,-0.189012335,0.718938951,-0.053792756,0.992576664,-2.75222671,-1
10,MODEL1,PARMS,sRB4,0.530991977,6.427192517,0.065828867,-0.197360629,0.589373545,-0.264321285,1.426609236,-3.4180471,-1
11,MODEL1,PARMS,sRB4,0.490118028,-1.740426392,0.070670387,-0.115495028,0.381113232,0.268517297,-0.380047728,0.375513708,-1
12,MODEL1,PARMS,sRB4,0.513220947,1.713146673,0.107163969,-0.127625751,-0.039869373,0.030295394,0.558033209,-1.383142341,-1
13,MODEL1,PARMS,sRB4,0.509324956,-0.67587628,0.163429123,-0.331998685,1.009373975,0.171206117,0.372219971,-1.49638914,-1
