SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sLB1
1,MODEL1,PARMS,sLB1,0.519901989,1.626329903,0.000821825,0.227924359,-1.183122036,0.061540705,0.347631607,-1.07065471,-1
2,MODEL1,PARMS,sLB1,0.484421958,-0.729699031,0.042449379,-0.025963042,-0.008945597,0.203143256,-0.148015568,0.107240818,-1
3,MODEL1,PARMS,sLB1,0.511420207,0.573303581,0.096753561,-0.192923886,0.293314389,0.112327726,-0.132369019,0.065666966,-1
4,MODEL1,PARMS,sLB1,0.565546437,-2.327387386,0.141278002,-0.252445186,0.765355372,0.275638947,0.061269474,-0.639450424,-1
5,MODEL1,PARMS,sLB1,0.534833241,-6.390106516,-0.052718123,0.239638752,-0.753393929,0.600760672,-1.477215908,3.173728741,-1
6,MODEL1,PARMS,sLB1,0.54560463,-1.921683583,0.068468945,-0.083599383,0.101341741,0.277795296,-0.345603069,0.446157282,-1
7,MODEL1,PARMS,sLB1,0.511878223,2.696814091,0.037816277,-0.092008991,0.286317978,-0.016531082,0.849465142,-2.54396409,-1
8,MODEL1,PARMS,sLB1,0.495339396,-7.669730176,0.042175916,-0.075615814,0.285651344,0.66602958,-1.886494233,4.021237272,-1
9,MODEL1,PARMS,sLB1,0.536621352,0.385789087,0.059362048,-0.259526357,1.116179193,0.129663759,0.256398244,-1.026359974,-1
10,MODEL1,PARMS,sLB1,0.519471687,5.256708673,0.100404971,-0.229705804,0.712155834,-0.198862685,0.904176421,-2.208491354,-1
11,MODEL1,PARMS,sLB1,0.503955255,0.528319095,0.011077753,-0.051635641,0.204588761,0.13220103,0.315584895,-1.144833787,-1
12,MODEL1,PARMS,sLB1,0.540902192,-2.639004817,0.096571413,-0.101039291,-0.068201883,0.318103828,-0.506247302,0.884984471,-1
13,MODEL1,PARMS,sLB1,0.544515102,-5.042680181,-0.058600184,0.043487981,-0.096750844,0.535596194,-1.236045154,2.299246317,-1
14,MODEL1,PARMS,sLB1,0.51632463,8.277678424,0.156242333,-0.346867816,0.956952332,-0.41682979,1.503567113,-3.092826886,-1
15,MODEL1,PARMS,sLB1,0.519427929,-1.808484432,0.025719464,0.027861214,-0.344494073,0.280015934,-0.423421299,0.956313713,-1
16,MODEL1,PARMS,sLB1,0.59481578,2.061646508,0.129738765,-0.263290189,0.622182771,0.004784369,0.567081817,-1.907043269,-1
17,MODEL1,PARMS,sLB1,0.553189003,0.227160112,0.20853792,-0.453886865,1.567985037,0.092117743,0.440285942,-1.453600731,-1
18,MODEL1,PARMS,sLB1,0.472847397,0.076718554,0.110489023,-0.095147781,-0.040735496,0.13109907,-0.065973713,0.138194765,-1
19,MODEL1,PARMS,sLB1,0.539327167,-1.684940629,0.022650326,0.064195574,-0.606818252,0.277568774,-0.311332253,0.415721029,-1
20,MODEL1,PARMS,sLB1,0.523589922,-2.646834326,0.17872418,-0.259135103,0.657894022,0.284901792,0.134412406,-0.786928437,-1
21,MODEL1,PARMS,sLB1,0.559369169,2.06776365,0.252329513,-0.551933256,1.778716313,-0.044965257,0.789786809,-1.905833692,-1
22,MODEL1,PARMS,sLB1,0.509251782,-3.339937449,0.241007891,-0.569571292,1.926152274,0.315901829,-0.006218609,-0.579055824,-1
23,MODEL1,PARMS,sLB1,0.5326334,-2.424934059,0.002278952,0.082220864,-0.467980026,0.333942408,-0.643082447,1.125265457,-1
24,MODEL1,PARMS,sLB1,0.537473578,0.488702062,0.172016566,-0.360491537,1.000932846,0.087829209,0.43326538,-1.337365135,-1
25,MODEL1,PARMS,sLB1,0.591655176,0.378386557,0.08841075,-0.172564472,0.348012741,0.126779862,-0.398446126,0.767888609,-1
26,MODEL1,PARMS,sLB1,0.515658424,1.172130054,0.0099824,0.192961825,-0.851783693,0.078346285,0.566772258,-1.497231599,-1
27,MODEL1,PARMS,sLB1,0.503696817,-1.48080021,0.010556772,0.037660252,-0.322396802,0.263151405,0.201112388,-1.127010403,-1
28,MODEL1,PARMS,sLB1,0.541218273,-0.644410982,0.095455296,-0.144306367,0.448383853,0.183723075,-0.007625415,-0.396722886,-1
29,MODEL1,PARMS,sLB1,0.526969097,-2.263113387,0.053709492,0.043122348,-0.734726436,0.310229591,-0.826513963,1.513071673,-1
30,MODEL1,PARMS,sLB1,0.571127468,2.632318867,0.118906272,-0.186732921,0.506930127,-0.047190742,1.13512547,-2.761772038,-1
31,MODEL1,PARMS,sLB1,0.540785831,-1.572389329,0.125942554,-0.229318274,0.424110522,0.246307451,-0.477247345,0.803142589,-1
32,MODEL1,PARMS,sLB1,0.509548922,-0.538133078,0.063194891,-0.037028856,-0.362550089,0.190943272,-0.17944774,0.104008969,-1
33,MODEL1,PARMS,sLB1,0.547246609,-1.558553551,0.205992861,-0.3207327,0.706585045,0.203100728,0.208043298,-0.953273528,-1
34,MODEL1,PARMS,sLB1,0.517623984,-0.876673944,0.099078581,-0.402208198,1.374705775,0.21064329,-0.476345237,0.782196912,-1
35,MODEL1,PARMS,sLB1,0.542927985,0.185437029,0.161679429,-0.211601885,0.693176372,0.104747715,0.277767444,-1.02618078,-1
36,MODEL1,PARMS,sLB1,0.522958289,6.215219951,0.096282903,-0.209109956,0.475716547,-0.264984313,0.901673868,-1.867978443,-1
37,MODEL1,PARMS,sLB1,0.53099508,2.690389073,0.172186657,-0.318285361,0.913185644,-0.056091135,0.606408547,-1.297968907,-1
38,MODEL1,PARMS,sLB1,0.520384856,-2.374640549,0.01682238,0.04815144,-0.393246237,0.323692398,-0.279739979,0.238705921,-1
