SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RMB
1,MODEL1,PARMS,RMB,1.42142142,7.644265384,0.478078552,-0.748240034,2.564085234,0.068533976,3.117533298,-7.827391296,-1
2,MODEL1,PARMS,RMB,1.396856609,19.67097888,0.113468231,-0.289374658,0.7922967,-0.605187976,5.073454529,-12.20631408,-1
3,MODEL1,PARMS,RMB,1.474198767,19.83741803,0.539747325,-2.090277759,7.808717771,-0.697804367,3.918978555,-8.635770514,-1
4,MODEL1,PARMS,RMB,1.480993776,11.88348826,-0.144159556,-0.181651732,1.440283337,0.028055962,1.102744917,-2.5957484,-1
5,MODEL1,PARMS,RMB,1.390195815,-3.680717886,-0.033520446,0.244908337,-0.649669273,0.981154202,-0.744640046,0.791453465,-1
6,MODEL1,PARMS,RMB,1.379400022,10.03848654,0.336656569,-1.182996515,3.771977675,0.002025584,1.324458338,-3.066469071,-1
7,MODEL1,PARMS,RMB,1.465598603,4.817188064,0.290600364,-0.709200771,2.031186888,0.350446245,1.028643445,-3.121604908,-1
8,MODEL1,PARMS,RMB,1.427418659,6.830189255,0.283458431,-1.266448788,4.943415201,0.227115631,0.626737933,-1.423062679,-1
9,MODEL1,PARMS,RMB,1.391588575,8.079905449,0.523335261,-1.686200011,7.132457729,0.056134614,1.669183698,-3.941475152,-1
10,MODEL1,PARMS,RMB,1.313623929,14.25609512,0.236137362,-1.162060948,4.764508859,-0.249097986,3.537068741,-9.254373199,-1
11,MODEL1,PARMS,RMB,1.423795385,-4.087529375,0.014455806,-0.123966518,1.132610975,1.002490589,-0.451132429,-0.494833343,-1
12,MODEL1,PARMS,RMB,1.387758971,0.944570115,0.317192422,-0.703856208,1.939454895,0.579924284,0.743637028,-2.04663984,-1
13,MODEL1,PARMS,RMB,1.289187325,-3.053416343,0.299815771,-0.559945041,2.093378226,0.846242602,-0.325919112,-0.398792249,-1
14,MODEL1,PARMS,RMB,1.384816047,10.18260624,0.289598211,-0.565842159,0.327556372,0.01333078,-0.184462361,1.391580471,-1
15,MODEL1,PARMS,RMB,1.4000906,3.714646626,0.201177707,-0.694469778,1.861049015,0.442735144,1.000835055,-2.524874422,-1
16,MODEL1,PARMS,RMB,1.428288247,14.48785445,0.130633713,-1.12162939,4.134904862,-0.205062602,2.839524349,-8.194818124,-1
17,MODEL1,PARMS,RMB,1.395917884,17.36317897,0.607826647,-2.232255331,9.277315777,-0.5790759,4.746642362,-11.0142933,-1
18,MODEL1,PARMS,RMB,1.48910706,7.600440528,0.161387641,-0.765205775,2.1206845,0.215780254,1.155859075,-3.750130551,-1
19,MODEL1,PARMS,RMB,1.452391287,0.945266444,-0.081294797,-0.282588917,0.701915465,0.737500487,0.454239995,-2.789182035,-1
20,MODEL1,PARMS,RMB,1.398436489,15.10840212,0.236683088,-0.921347415,3.874185634,-0.31017714,3.079267066,-7.061506246,-1
21,MODEL1,PARMS,RMB,1.421724756,15.40294823,0.207738575,-0.534337705,0.802608592,-0.295953428,1.900936044,-3.996135173,-1
22,MODEL1,PARMS,RMB,1.395596203,10.02120017,0.296388407,-1.26039464,5.00737705,0.019963166,1.050554143,-2.684386119,-1
23,MODEL1,PARMS,RMB,1.52079047,6.28711408,0.171719012,-0.9410181,4.037301863,0.287468901,1.819852805,-5.308896389,-1
24,MODEL1,PARMS,RMB,1.51395082,7.78687821,0.180981418,-0.874394543,3.173428558,0.210848121,0.071784706,0.147309648,-1
25,MODEL1,PARMS,RMB,1.384797225,5.368419388,0.193736376,-0.688620728,2.460859557,0.329765654,2.210178058,-6.193924711,-1
26,MODEL1,PARMS,RMB,1.342683231,22.94618032,0.155341835,-0.64896717,3.070259286,-0.815263079,5.690534365,-13.73663362,-1
27,MODEL1,PARMS,RMB,1.382875189,24.27940106,0.260791585,-0.63760066,1.561877674,-0.934912814,5.265154408,-12.23750425,-1
28,MODEL1,PARMS,RMB,1.371975445,5.128123947,0.07890114,0.091839015,-0.951947055,0.387237585,-0.267024623,0.469662063,-1
29,MODEL1,PARMS,RMB,1.492776567,4.030098642,0.156609394,-0.63780648,1.741051445,0.442958351,1.265457233,-3.422234744,-1
30,MODEL1,PARMS,RMB,1.465596821,13.9443461,0.213867026,-0.778573611,2.548102174,-0.241363548,3.687240776,-8.851009282,-1
31,MODEL1,PARMS,RMB,1.537437029,10.8286048,0.381000248,-1.041867375,2.687061415,-0.062179662,1.134731849,-2.320507808,-1
32,MODEL1,PARMS,RMB,1.551163446,18.76657197,0.297784683,-0.991813149,2.065108031,-0.544801385,3.462680712,-8.647378468,-1
33,MODEL1,PARMS,RMB,1.337232754,4.852217445,0.216570414,-0.739035709,1.838857843,0.39262731,-0.396463035,0.609778772,-1
34,MODEL1,PARMS,RMB,1.373562804,10.60947801,0.446106755,-1.342549987,4.564119029,-0.069114478,0.248730142,0.1880138,-1
35,MODEL1,PARMS,RMB,1.419572078,4.126332963,0.364734377,-1.165847763,4.633836211,0.362439656,1.557030186,-4.323641478,-1
36,MODEL1,PARMS,RMB,1.521019207,9.032416066,0.479079499,-0.978676044,2.076225474,0.008357157,1.038061107,-1.833994551,-1
37,MODEL1,PARMS,RMB,1.415740438,6.391942296,0.475276265,-1.604152348,6.352854867,0.1883558,1.826247833,-4.908116159,-1
38,MODEL1,PARMS,RMB,1.432007554,12.37736424,0.341558265,-0.860711255,2.631694968,-0.178687661,3.661559401,-8.872721682,-1
39,MODEL1,PARMS,RMB,1.35248283,7.253576267,0.320146824,-0.130894316,-0.582862207,0.142185828,1.702470816,-3.986015298,-1
40,MODEL1,PARMS,RMB,1.330332262,13.15244827,0.309229347,-0.908647783,3.971939084,-0.212846208,2.94475841,-7.575537681,-1
41,MODEL1,PARMS,RMB,1.280787305,6.750992287,0.211716613,-0.47861139,1.630588803,0.222122847,2.198783085,-5.496859074,-1
42,MODEL1,PARMS,RMB,1.446321991,10.87430513,0.432362512,-1.416290309,5.432902835,-0.096875579,2.774025057,-6.507751247,-1
43,MODEL1,PARMS,RMB,1.336812754,18.21909298,-0.154429467,0.090510585,0.158751414,-0.415172346,4.415198885,-11.13966097,-1
44,MODEL1,PARMS,RMB,1.480408202,13.59487465,0.021252453,-0.065415541,0.380899277,-0.167489709,2.612305997,-5.663957191,-1
