SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LMB
1,MODEL1,PARMS,LMB,1.245607803,9.332948375,0.415242389,-0.333577843,1.020137054,-0.136097002,2.230918387,-5.298896752,-1
2,MODEL1,PARMS,LMB,1.183517565,11.89318762,0.155952486,-0.281272701,1.271630005,-0.206854919,2.326505384,-5.840748041,-1
3,MODEL1,PARMS,LMB,1.203615487,17.18110185,0.256585883,-1.011672611,4.852514082,-0.572865746,2.816992293,-6.403915805,-1
4,MODEL1,PARMS,LMB,1.175388116,5.17497139,0.189315377,-0.55904428,2.336003895,0.235332384,0.21386316,-0.256882003,-1
5,MODEL1,PARMS,LMB,1.129627802,2.828557574,0.19810033,-0.363786331,1.681627476,0.372330061,0.856282376,-2.893504866,-1
6,MODEL1,PARMS,LMB,1.242342874,10.65945715,0.301207192,-0.628820004,1.533897235,-0.164424525,1.928975629,-4.319600052,-1
7,MODEL1,PARMS,LMB,1.265918887,0.417135842,0.268064815,-0.596047595,2.586033992,0.517736972,0.074017457,-0.802736761,-1
8,MODEL1,PARMS,LMB,1.230270713,11.85098129,0.160708521,-0.756684498,3.023959923,-0.17710204,1.059763036,-2.549856629,-1
9,MODEL1,PARMS,LMB,1.169217957,9.030196144,0.690785703,-1.593509592,5.635253778,-0.169412416,1.705249898,-3.847259521,-1
10,MODEL1,PARMS,LMB,1.091824451,9.127866531,0.547442258,-1.265603349,4.22326805,-0.137552518,1.812678602,-4.272813067,-1
11,MODEL1,PARMS,LMB,1.228473903,2.248579669,0.386141271,-0.875405033,3.56750141,0.365491303,-0.460416488,0.623076586,-1
12,MODEL1,PARMS,LMB,1.165012083,5.028180072,0.330560151,-0.43950708,0.971757058,0.190258552,0.706932951,-2.022628873,-1
13,MODEL1,PARMS,LMB,1.235044845,3.445160293,0.217010553,-0.308397296,1.225333172,0.32307644,1.004887431,-3.000958446,-1
14,MODEL1,PARMS,LMB,1.145336584,9.669205999,0.370910285,-0.49947521,0.346963385,-0.11806658,-0.082562214,1.54648976,-1
15,MODEL1,PARMS,LMB,1.150255949,2.790941109,0.298112217,-0.931001088,3.405494621,0.37359448,0.059348807,-0.17230944,-1
16,MODEL1,PARMS,LMB,1.153583012,13.18438669,0.314844184,-0.845934997,2.598297254,-0.316925215,1.762626992,-4.904640439,-1
17,MODEL1,PARMS,LMB,1.139206542,10.98759299,0.334310299,-1.173599711,5.104853806,-0.192341315,2.68999601,-7.012123768,-1
18,MODEL1,PARMS,LMB,1.209835637,-4.0516521,0.354184166,-0.838022461,3.157420309,0.783322502,-0.640180621,0.583563643,-1
19,MODEL1,PARMS,LMB,1.232577386,-3.588792315,0.142019371,-0.50153714,1.658338929,0.833218904,-0.05978463,-2.050578862,-1
20,MODEL1,PARMS,LMB,1.172634604,11.14824598,0.281880393,-0.85227817,3.805770221,-0.185101778,1.511166401,-3.094788908,-1
21,MODEL1,PARMS,LMB,1.200677374,4.86555084,0.315463916,-0.567997802,1.801894365,0.231181559,-0.118604657,0.412878628,-1
22,MODEL1,PARMS,LMB,1.200214154,5.007292838,0.173980603,-0.463588097,1.629390423,0.258905424,0.18758529,-0.984084936,-1
23,MODEL1,PARMS,LMB,1.316966939,-2.655077836,0.222559817,-0.33302083,1.103336679,0.731518267,-0.81497016,1.250702647,-1
24,MODEL1,PARMS,LMB,1.196279729,10.5981805,0.482943249,-1.224994219,4.248443307,-0.204734038,1.603844887,-3.42191047,-1
25,MODEL1,PARMS,LMB,1.312022337,8.262741301,0.265267334,-0.702928028,2.602390254,0.014893149,1.276389066,-3.703922277,-1
26,MODEL1,PARMS,LMB,1.127121579,10.83926634,0.175182622,0.105186867,-0.55572709,-0.163686887,2.181988672,-4.768242837,-1
27,MODEL1,PARMS,LMB,1.125943864,6.032088255,0.421486885,-0.869088946,3.079706861,0.095177216,0.898541044,-1.867609961,-1
28,MODEL1,PARMS,LMB,1.175294691,5.185309843,0.253901205,-0.351873959,1.419173795,0.206045055,0.304801696,-0.699629477,-1
29,MODEL1,PARMS,LMB,1.30742314,11.79504185,0.172290323,-0.99464772,4.385077661,-0.175646791,2.017743785,-4.899292074,-1
30,MODEL1,PARMS,LMB,1.170697936,13.93626967,0.103542999,-0.343843289,1.330155843,-0.324844808,2.380649682,-5.123580199,-1
31,MODEL1,PARMS,LMB,1.316794966,15.27775356,0.393399958,-0.759891282,1.383892546,-0.471151398,1.404853126,-2.775830183,-1
32,MODEL1,PARMS,LMB,1.275408808,19.98307179,0.140267191,-0.264062189,0.877339875,-0.727699711,2.925427769,-6.667547109,-1
33,MODEL1,PARMS,LMB,1.156940887,9.825232684,0.341939927,-0.67134279,1.454757586,-0.097189701,0.309439928,-0.62344161,-1
34,MODEL1,PARMS,LMB,1.145679989,8.393716504,0.558572136,-1.465855139,5.156511531,-0.08035355,0.3734495,-0.509594078,-1
35,MODEL1,PARMS,LMB,1.105083186,6.650099263,0.345379472,-0.67034247,2.758628063,0.071743509,1.129314577,-2.294528811,-1
36,MODEL1,PARMS,LMB,1.314812527,11.24949373,0.318180605,-0.488809166,0.475067585,-0.20105108,2.186257776,-5.703420904,-1
37,MODEL1,PARMS,LMB,1.197970892,6.921239269,0.679804366,-1.691065033,6.083297938,-0.018277018,0.671288911,-1.495592397,-1
38,MODEL1,PARMS,LMB,1.236793029,11.67109709,0.345955357,-0.623744551,2.050606963,-0.242727348,1.465401715,-2.371114216,-1
39,MODEL1,PARMS,LMB,1.243425313,19.38141689,0.316074673,-0.276216479,0.812923029,-0.763519441,3.6988709,-8.257519533,-1
40,MODEL1,PARMS,LMB,1.117136316,4.405726517,0.247614141,-0.386517468,1.644162949,0.270492398,0.220652504,-1.480621109,-1
41,MODEL1,PARMS,LMB,1.062970792,10.37054458,0.242887298,-0.647531474,2.559829171,-0.128125468,1.999392774,-4.742641381,-1
42,MODEL1,PARMS,LMB,1.249433073,8.928146967,0.178935413,-0.35768177,0.883288697,-0.007749615,1.05190812,-2.535645954,-1
43,MODEL1,PARMS,LMB,1.09248,15.05196436,0.278741081,-0.452699009,1.406185267,-0.458694338,3.353223276,-8.08215763,-1
44,MODEL1,PARMS,LMB,1.150857751,5.175051231,0.424178482,-0.859269465,3.088673276,0.157474467,-0.105011711,0.915636236,-1
45,MODEL1,PARMS,LMB,1.170067084,7.74475573,0.424761238,-0.984579158,3.863065249,-0.021387608,1.581360258,-3.61532651,-1
46,MODEL1,PARMS,LMB,1.199617337,8.814817848,0.305364983,-0.482406397,0.984116673,-0.039427289,1.210854683,-3.233613419,-1
47,MODEL1,PARMS,LMB,1.168010334,10.77748152,0.367178152,-0.864116837,2.796466381,-0.187698604,1.290951651,-2.41787066,-1
48,MODEL1,PARMS,LMB,1.144065687,-5.543758051,0.298581546,-0.585658441,1.972721413,0.902661144,-1.838243423,3.53811057,-1
49,MODEL1,PARMS,LMB,1.229870888,7.556078062,0.096905855,-0.524006314,2.610942459,0.128585622,-0.244505516,0.453782738,-1
50,MODEL1,PARMS,LMB,1.093880353,16.4232172,0.369562955,-0.76548553,2.754054505,-0.573705895,2.669826607,-5.182434867,-1
51,MODEL1,PARMS,LMB,1.139013805,10.18109702,0.324567005,-0.277473697,0.14428394,-0.139605773,1.615962634,-4.339838377,-1
52,MODEL1,PARMS,LMB,1.234966344,14.51769173,0.101777722,-0.595274759,2.760498061,-0.351489681,2.526451295,-5.674374117,-1
53,MODEL1,PARMS,LMB,1.174181279,5.143200467,0.539388496,-1.376569067,4.799208688,0.140751445,-0.045775477,0.089416475,-1
54,MODEL1,PARMS,LMB,1.203713937,9.843958499,0.246607312,-1.133912707,4.68358764,-0.064454753,0.652559593,-1.348737703,-1
55,MODEL1,PARMS,LMB,1.232001856,5.280637954,-0.081819014,0.151205577,0.053868601,0.310150083,0.128226983,-1.049401917,-1
56,MODEL1,PARMS,LMB,1.211897588,6.839178506,0.353203949,-0.531986395,1.395475536,0.079230698,0.014437373,0.130431002,-1
57,MODEL1,PARMS,LMB,1.319284406,6.073424239,0.096969102,-0.11157363,1.161618358,0.209005254,-0.219732754,0.496163026,-1
58,MODEL1,PARMS,LMB,1.263228623,5.385934362,0.511270283,-1.665776426,5.721306812,0.158860066,0.352839965,-1.258728846,-1
59,MODEL1,PARMS,LMB,1.171913365,6.488469919,0.099310717,-0.580452719,2.757858709,0.190762059,0.410181756,-1.269745491,-1
60,MODEL1,PARMS,LMB,1.17802592,12.66105239,0.418575414,-0.984902736,3.379114336,-0.336009686,2.696742827,-5.872983011,-1
61,MODEL1,PARMS,LMB,1.170606236,-5.750740965,0.137558781,-0.335874229,1.051964536,0.970124497,-2.03299021,3.965268498,-1
62,MODEL1,PARMS,LMB,1.118506791,13.03511247,0.259102659,-0.529729396,1.753245371,-0.313780092,2.584780692,-6.393480697,-1
63,MODEL1,PARMS,LMB,1.173295256,7.030446007,0.238428096,-0.372621401,0.870833123,0.080175309,1.496295059,-3.745652456,-1
64,MODEL1,PARMS,LMB,1.220285157,6.773828458,0.216292345,-0.268860063,0.976306519,0.116179008,0.467580356,-1.130991635,-1
65,MODEL1,PARMS,LMB,1.15630404,10.36505832,0.289295593,-0.428694917,1.138370486,-0.135994743,0.80885159,-1.566131882,-1
66,MODEL1,PARMS,LMB,1.163626033,4.508363595,0.249591987,-0.623037425,2.207957046,0.290536249,-1.842924885,5.239638523,-1
67,MODEL1,PARMS,LMB,1.152277037,17.09497371,0.384557057,-0.748789873,2.036587305,-0.597316651,2.301359183,-4.785382361,-1
68,MODEL1,PARMS,LMB,1.256203708,-4.163646084,0.365435521,-0.632245072,2.00241825,0.791695952,-1.793184212,3.79963169,-1
69,MODEL1,PARMS,LMB,1.119473211,-7.351344647,0.42495368,-0.980263648,3.698583293,0.982688029,-1.30560128,2.434933727,-1
70,MODEL1,PARMS,LMB,1.191229186,10.71090195,0.036760882,0.273082026,-1.635891876,-0.076982925,1.199881836,-3.1976217,-1
71,MODEL1,PARMS,LMB,1.192540029,14.81763499,0.324760611,-1.049948656,4.071964919,-0.437703221,2.981342137,-7.503022507,-1
72,MODEL1,PARMS,LMB,1.192258966,-4.17865959,0.421842595,-0.952100576,3.359713846,0.769616657,-0.821072677,1.238340624,-1
73,MODEL1,PARMS,LMB,1.149763532,17.06261472,0.130873166,-0.167965161,0.63473619,-0.529355207,2.506389663,-5.162204706,-1
74,MODEL1,PARMS,LMB,1.320875109,6.005195933,0.072480009,0.169219976,-0.615597171,0.191580723,0.767999173,-2.112931778,-1
75,MODEL1,PARMS,LMB,1.220310976,11.21473362,0.410075195,-1.001356973,3.67762127,-0.230514591,2.315469852,-5.539445809,-1
76,MODEL1,PARMS,LMB,1.135266672,10.44751586,0.206660924,-0.588227002,2.684560951,-0.102716238,0.224321221,0.522753437,-1
77,MODEL1,PARMS,LMB,1.170509644,1.748012666,0.22705165,-0.31528486,0.56447631,0.45001858,-0.82635506,1.94713111,-1
78,MODEL1,PARMS,LMB,1.096872429,-1.488866699,0.368712571,-0.433821699,1.211712282,0.597065423,-0.000321476,-1.13984367,-1
79,MODEL1,PARMS,LMB,1.2449523,12.89995715,0.183407811,-0.484113525,1.611116932,-0.254544181,1.36008547,-3.262202993,-1
80,MODEL1,PARMS,LMB,1.175690614,13.22231688,0.279910395,-0.744882511,3.100123953,-0.339598466,2.665043987,-6.393286869,-1
81,MODEL1,PARMS,LMB,1.148924089,9.419564055,0.315690779,-0.74476308,2.341129098,-0.060603772,1.027551066,-2.742252126,-1
82,MODEL1,PARMS,LMB,1.190848761,7.050292321,0.292422867,-0.295010432,0.26352645,0.084186194,-0.147544553,1.237467152,-1
83,MODEL1,PARMS,LMB,1.152221699,-1.659602873,0.289698116,-0.646881936,1.714459054,0.64127675,0.290434447,-2.077216365,-1
84,MODEL1,PARMS,LMB,1.132200347,8.605603668,0.365471694,-0.749203941,2.72269561,-0.067511029,1.39123239,-2.546954012,-1
85,MODEL1,PARMS,LMB,1.260028209,3.969537542,0.482522244,-0.659599776,2.008261899,0.210403989,0.427631522,-0.792975262,-1
86,MODEL1,PARMS,LMB,1.109959535,12.6424078,0.179340959,-0.58160481,2.344244149,-0.26539812,3.552856677,-9.183501989,-1
87,MODEL1,PARMS,LMB,1.142082277,1.597572256,0.237051297,-0.148845456,0.798250821,0.423619872,0.019491913,-0.346060352,-1
88,MODEL1,PARMS,LMB,1.303998386,-12.8046485,0.622866253,-2.116110299,8.445277688,1.315124854,-2.688503356,4.669431392,-1
89,MODEL1,PARMS,LMB,1.223820147,11.52737085,0.596196036,-1.349992221,5.011276908,-0.305442137,1.46573425,-3.082536512,-1
90,MODEL1,PARMS,LMB,1.108544898,15.13645802,0.322677365,-0.554774915,2.600603072,-0.476721458,2.131989723,-4.211309582,-1
91,MODEL1,PARMS,LMB,1.180437944,4.614701992,0.196551595,-0.511073012,1.653567601,0.273830308,1.011450729,-3.209376293,-1
92,MODEL1,PARMS,LMB,1.1450202,0.661274434,0.304311065,-0.771086643,2.76479515,0.486783542,-0.705335012,1.914074712,-1
93,MODEL1,PARMS,LMB,1.180541944,-8.583929786,0.226992659,-0.462140265,1.675017374,1.1207744,-2.103703942,4.273290907,-1
94,MODEL1,PARMS,LMB,1.150669412,8.909173471,0.178780629,-0.416551176,1.425934373,-0.004071877,1.182625259,-3.186827751,-1
95,MODEL1,PARMS,LMB,1.162014315,-3.381764537,0.409522013,-1.042267174,3.820891934,0.742815309,-1.918571242,4.43738126,-1
96,MODEL1,PARMS,LMB,1.235951503,11.56831393,0.281923812,-0.74556404,2.49669209,-0.216150345,2.536006784,-6.953645206,-1
97,MODEL1,PARMS,LMB,1.223602708,8.984472911,0.144250908,-0.466626858,2.111747354,0.001260822,0.400355089,-0.370046462,-1
98,MODEL1,PARMS,LMB,1.14630259,4.607533515,0.454924619,-0.810126184,2.671075141,0.168880763,1.1701223,-2.799143797,-1
99,MODEL1,PARMS,LMB,1.227646488,-1.555457821,0.346450416,-0.493005925,2.040659493,0.609654125,-1.115385131,1.970488767,-1
100,MODEL1,PARMS,LMB,1.289979669,11.24632794,0.5815911,-1.937663135,6.691942004,-0.242222115,0.557254144,-1.153329402,-1
101,MODEL1,PARMS,LMB,1.241985321,3.158485595,0.255326639,-0.296359714,0.878100475,0.335247935,0.170342033,-0.894422655,-1
102,MODEL1,PARMS,LMB,1.114604915,5.588294868,0.343770341,-0.259071298,0.573867329,0.132323647,1.063197358,-2.822722236,-1
103,MODEL1,PARMS,LMB,1.187328612,5.046077479,-0.011126845,0.129313297,-0.244916961,0.29975511,0.696702423,-2.725656912,-1
104,MODEL1,PARMS,LMB,1.181502553,2.323437818,0.248603129,-0.669218882,2.77083375,0.419272299,-0.202594047,-0.183444929,-1
105,MODEL1,PARMS,LMB,1.22167811,10.73810607,0.40065132,-0.650874376,2.087910578,-0.219223373,2.454859021,-5.134139273,-1
106,MODEL1,PARMS,LMB,1.228293274,7.728579909,0.277855244,-0.015775845,-0.460533798,0.01064575,1.318191097,-2.802878478,-1
107,MODEL1,PARMS,LMB,1.214937925,6.364983885,0.233380851,-0.632783002,2.252441648,0.14434684,1.363144159,-3.780159714,-1
108,MODEL1,PARMS,LMB,1.185039419,9.224078334,0.21539256,-0.509302059,1.936635572,-0.037570709,1.483867421,-3.765507302,-1
109,MODEL1,PARMS,LMB,1.164952397,11.14063922,0.160108741,-0.870462303,3.866634183,-0.129929624,1.287561004,-2.767755947,-1
110,MODEL1,PARMS,LMB,1.192544517,10.15543122,0.684525906,-1.644909714,5.891338877,-0.257522767,1.96313881,-4.071807083,-1
111,MODEL1,PARMS,LMB,1.196919172,6.759440192,0.345724745,-0.910090772,3.32209507,0.072648707,1.231566424,-2.86084135,-1
112,MODEL1,PARMS,LMB,1.232963801,9.076859039,0.296613821,-0.793681433,2.638452271,-0.037070044,0.826563368,-1.519805578,-1
113,MODEL1,PARMS,LMB,1.175214925,-0.12437081,0.46313047,-0.779393678,2.465857027,0.496675484,-0.754690653,1.891645729,-1
114,MODEL1,PARMS,LMB,1.155319008,9.279488075,0.287598171,-0.742922731,2.998435852,-0.068136434,1.358067785,-3.235016006,-1
115,MODEL1,PARMS,LMB,1.33339533,12.34499872,0.251280474,-0.543731986,1.888083316,-0.257431007,1.885239693,-4.120174176,-1
116,MODEL1,PARMS,LMB,1.192621695,8.523363667,0.316043454,-0.67710352,2.245296887,-0.032174385,1.51792457,-3.296195511,-1
117,MODEL1,PARMS,LMB,1.203281285,7.414875762,0.397055771,-0.680416734,1.982725141,0.016328535,0.614401514,-0.735154111,-1
118,MODEL1,PARMS,LMB,1.3070329,4.508705033,0.06118721,-0.387219331,1.464095945,0.332251687,-0.094823051,0.334452843,-1
119,MODEL1,PARMS,LMB,1.22559042,3.244184443,0.471511833,-1.070904542,3.501716567,0.291266502,0.027105165,-0.827243463,-1
120,MODEL1,PARMS,LMB,1.173547954,-8.472482736,0.62600227,-1.496201729,5.166683589,0.99591668,-1.883732436,4.192830199,-1
121,MODEL1,PARMS,LMB,1.168152949,19.97507579,0.402582975,-0.734648025,2.244611658,-0.825063923,4.57868118,-10.93326818,-1
122,MODEL1,PARMS,LMB,1.176391389,10.94556263,0.373235189,-0.583723023,1.715188457,-0.211725031,1.815502234,-4.076675503,-1
123,MODEL1,PARMS,LMB,1.176867561,14.65114435,0.083027291,-0.431189292,1.816998839,-0.335378199,1.137062672,-1.580454451,-1
124,MODEL1,PARMS,LMB,1.246470398,7.629953372,0.518100534,-1.131277716,4.185433026,-0.040528472,1.223813401,-2.859398736,-1
125,MODEL1,PARMS,LMB,1.248295792,11.63546768,0.285611185,-0.585506022,2.447675473,-0.234435377,2.441578425,-6.256776242,-1
126,MODEL1,PARMS,LMB,1.249210741,-6.724724306,0.284863901,-0.385968031,0.881952707,0.994727751,-2.376352528,4.431861777,-1
127,MODEL1,PARMS,LMB,1.122789839,13.28684165,0.354332357,-0.488857357,1.33630631,-0.356920057,1.559318509,-2.430733156,-1
128,MODEL1,PARMS,LMB,1.217675237,3.370110368,0.074908609,-0.118453272,0.844927327,0.387043722,-0.133684507,-0.258217796,-1
129,MODEL1,PARMS,LMB,1.267832588,2.256085788,0.2998282,-0.64432888,2.214183403,0.390872404,-0.652940726,2.276997185,-1
130,MODEL1,PARMS,LMB,1.208083834,18.17258215,0.079920497,-0.244564462,1.185483726,-0.596633461,3.359687861,-7.90860322,-1
131,MODEL1,PARMS,LMB,1.225580367,17.18074518,0.140075636,-0.023220027,-0.707219013,-0.538548826,2.387942288,-5.513448942,-1
132,MODEL1,PARMS,LMB,1.210596995,11.24296399,0.123980078,0.043270093,-0.197123206,-0.169155639,2.471497422,-5.845091036,-1
133,MODEL1,PARMS,LMB,1.111926458,-3.476173578,0.420559478,-1.052306632,3.787802392,0.742401721,-0.644830024,0.236095376,-1
134,MODEL1,PARMS,LMB,1.17930984,11.86388174,0.2748052,-0.344067314,0.634820765,-0.257302246,2.573472189,-5.942645635,-1
135,MODEL1,PARMS,LMB,1.303072435,6.934803497,0.249992213,-0.436883393,2.221403462,0.090705209,1.537428029,-4.149184674,-1
136,MODEL1,PARMS,LMB,1.114278298,4.64574613,0.224812174,-0.759722547,3.331992088,0.272713625,-0.528875683,1.540167866,-1
137,MODEL1,PARMS,LMB,1.158450244,9.638459012,0.135865628,-0.24175967,0.780893526,-0.051904207,1.04472584,-2.467870209,-1
138,MODEL1,PARMS,LMB,1.204767333,16.18131744,0.290480063,-0.811943981,2.81966972,-0.520516765,3.070566448,-7.263631661,-1
139,MODEL1,PARMS,LMB,1.092574157,5.902609449,0.193195135,-0.095722378,-0.142176094,0.156637298,1.846160932,-5.1968505,-1
140,MODEL1,PARMS,LMB,1.168004442,6.433400864,0.343571575,-0.912619279,3.992530741,0.103987176,1.230837737,-3.64828338,-1
141,MODEL1,PARMS,LMB,1.251064652,9.54599814,0.454199068,-1.111285282,4.030194791,-0.143139505,2.058255253,-4.978662166,-1
142,MODEL1,PARMS,LMB,1.116019593,11.12151997,0.400633231,-1.133781726,4.128291673,-0.210665489,2.531025267,-6.837921154,-1
143,MODEL1,PARMS,LMB,1.171760342,-4.816555884,0.227901878,-0.600508177,2.630622232,0.88254445,-1.375353697,2.564052432,-1
144,MODEL1,PARMS,LMB,1.236414809,12.88976451,0.288195116,-0.282537959,-0.286631442,-0.310077704,1.497397537,-3.1361274,-1
145,MODEL1,PARMS,LMB,1.13645567,9.461012317,0.292719359,-0.256493835,0.521324709,-0.111588826,3.098903535,-7.884650053,-1
146,MODEL1,PARMS,LMB,1.247070181,13.01283417,0.515948244,-0.942949549,2.487152028,-0.38923849,2.726096838,-6.782163686,-1
147,MODEL1,PARMS,LMB,1.187762683,8.86212445,0.167748307,0.134632551,-0.739428191,-0.020129632,1.957705939,-5.036439245,-1
148,MODEL1,PARMS,LMB,1.115679327,0.724462899,0.180800025,-0.175612792,1.083713297,0.492441976,0.858792234,-2.923763895,-1
149,MODEL1,PARMS,LMB,1.190740515,7.569918497,0.240316056,-0.578016103,1.88156316,0.063586095,0.710446874,-1.791269404,-1
150,MODEL1,PARMS,LMB,1.296957431,11.84774318,0.458098869,-1.229647431,4.127290613,-0.254048548,-0.157614632,1.11659289,-1
151,MODEL1,PARMS,LMB,1.292048579,3.400060676,0.051395387,-0.063746207,0.584966628,0.383157722,0.382467349,-1.260350739,-1
152,MODEL1,PARMS,LMB,1.186486194,8.27149177,0.318342486,-0.443199661,1.659465564,-0.022975364,1.858663887,-4.944421982,-1
153,MODEL1,PARMS,LMB,1.100039401,8.374751784,0.347947347,-1.062193702,4.3638804,-0.017383736,1.687730487,-4.84936299,-1
154,MODEL1,PARMS,LMB,1.145710777,-11.57760323,0.112649181,-0.46405581,2.010412423,1.38549219,-3.4635049,6.592817033,-1
155,MODEL1,PARMS,LMB,1.301927475,-8.865920561,0.268586325,-0.410999688,0.834768387,1.130138515,-2.522014894,5.217987001,-1
