SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,BronInt
1,MODEL1,PARMS,BronInt,1.10244593,2.120059049,0.22817674,-0.112264977,0.064904522,0.304736997,0.642917243,-2.38766711,-1
2,MODEL1,PARMS,BronInt,1.134146333,11.04507676,0.17813348,-0.45054681,1.484157811,-0.257431629,1.911871531,-4.940424912,-1
3,MODEL1,PARMS,BronInt,1.050665941,9.940609441,0.303997454,-1.069087774,4.084701179,-0.202091568,0.418800599,-0.73608361,-1
4,MODEL1,PARMS,BronInt,1.164930142,2.930448969,-0.033757873,-0.105259108,0.41801332,0.371224369,-1.11112704,2.257356878,-1
5,MODEL1,PARMS,BronInt,1.097441671,2.599228026,0.139141043,-0.096702317,-0.064333393,0.302800236,0.415524916,-1.71023907,-1
6,MODEL1,PARMS,BronInt,1.056899493,11.65664594,0.382270083,-0.861060178,2.554826282,-0.353877324,1.424739435,-2.794559651,-1
7,MODEL1,PARMS,BronInt,1.099625653,2.377607102,0.22556711,-0.664636006,2.410612122,0.310473602,0.236571753,-1.108132197,-1
8,MODEL1,PARMS,BronInt,1.070201433,2.63496785,0.059270982,-0.405750699,1.763776252,0.347074144,-0.695370452,1.106182329,-1
9,MODEL1,PARMS,BronInt,1.054596885,13.53594874,0.361852884,-0.922016126,3.405365254,-0.467232935,1.588872189,-3.292827789,-1
10,MODEL1,PARMS,BronInt,1.015556836,8.879103844,0.381837996,-0.927099211,3.649773096,-0.173596939,2.178965234,-5.924748858,-1
11,MODEL1,PARMS,BronInt,1.048635008,-0.497723526,0.130473052,-0.346182913,1.720828365,0.523175132,-1.009906355,1.276909685,-1
12,MODEL1,PARMS,BronInt,1.029036523,1.265874436,0.235518571,-0.329908864,0.624653891,0.37154499,-0.087310414,-0.498989083,-1
13,MODEL1,PARMS,BronInt,1.119060211,2.744836628,0.036824948,0.086523481,0.029791981,0.318989711,0.088924903,-0.924638172,-1
14,MODEL1,PARMS,BronInt,1.183587316,9.399251035,0.128268898,-0.17610031,-0.265661615,-0.108740972,-0.948046804,3.044666772,-1
15,MODEL1,PARMS,BronInt,1.121435965,-8.022641431,0.261186874,-0.497392414,1.36270651,0.969146891,-2.124498717,4.168791832,-1
16,MODEL1,PARMS,BronInt,1.183490861,10.55587803,0.305850802,-1.083230483,3.340471877,-0.226097532,0.880029193,-2.703745494,-1
17,MODEL1,PARMS,BronInt,1.059546395,15.48706238,0.455616668,-1.18143302,4.362849652,-0.634446411,3.248033724,-7.574278669,-1
18,MODEL1,PARMS,BronInt,1.113004703,1.33548113,0.078288497,-0.428481824,2.047475145,0.422379013,-0.358162553,-0.143273525,-1
19,MODEL1,PARMS,BronInt,1.197079434,-4.576267178,-0.077576426,-0.139182304,0.54330319,0.872422716,-1.373649032,1.620772497,-1
20,MODEL1,PARMS,BronInt,1.015372692,4.416945814,0.247489187,-0.423930402,1.525469246,0.153112826,0.221181165,-0.48717059,-1
21,MODEL1,PARMS,BronInt,1.303204986,3.836641415,0.119730188,0.143785246,-1.394598276,0.260068323,-1.417361305,3.033653943,-1
22,MODEL1,PARMS,BronInt,1.007611334,12.59495343,0.508231529,-1.695573629,6.163621421,-0.427434238,1.383402425,-3.018345513,-1
23,MODEL1,PARMS,BronInt,1.069664266,0.396443557,-0.060210801,-0.069840596,0.912940948,0.522777949,-1.178418066,2.583595323,-1
24,MODEL1,PARMS,BronInt,1.171150049,1.708010343,0.175300106,-0.520008048,1.598384007,0.377649924,-0.942840308,1.651108786,-1
25,MODEL1,PARMS,BronInt,1.099739382,4.37462545,0.198081404,-0.436611662,1.34756196,0.183735029,0.368715236,-1.443519897,-1
26,MODEL1,PARMS,BronInt,1.10707378,12.34576014,0.218789246,-0.364501483,1.080759139,-0.351320864,1.388602501,-3.106856947,-1
