SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RUL
1,MODEL1,PARMS,RUL,1.085549052,5.770561606,0.217445647,0.283598296,-1.73812723,-0.034024371,1.2543123,-2.802154659,-1
2,MODEL1,PARMS,RUL,1.057165091,6.496203514,0.165317109,-0.318070447,1.539008336,-0.055475762,1.251350297,-2.759996787,-1
3,MODEL1,PARMS,RUL,1.151121962,1.104935196,0.571993833,-1.483745348,5.610551333,0.20098664,-0.005555371,0.336770992,-1
4,MODEL1,PARMS,RUL,1.032221724,10.04539732,-0.126000316,0.489946415,-1.939026899,-0.195125131,1.654509628,-4.011314945,-1
5,MODEL1,PARMS,RUL,1.014663907,-2.346678176,0.004607,0.272649244,-1.042696188,0.581605653,-0.70546753,1.230635596,-1
6,MODEL1,PARMS,RUL,1.041316023,9.980214756,0.340289791,-0.378744247,0.576771337,-0.351182741,2.39010098,-4.937777512,-1
7,MODEL1,PARMS,RUL,1.155057177,0.227242471,0.21061725,-0.458955894,1.730391596,0.364534068,-0.118667996,-0.453401339,-1
8,MODEL1,PARMS,RUL,1.22341486,3.099066301,0.332789642,-0.650928867,2.207704686,0.118825286,0.339391795,0.026931834,-1
9,MODEL1,PARMS,RUL,1.253816496,4.632022102,0.618140056,-1.057855762,3.122545851,-0.064078541,0.797141213,-1.440957157,-1
10,MODEL1,PARMS,RUL,1.081919703,-0.548575662,0.558765325,-1.783840997,6.998312332,0.323156133,-0.343658197,0.929627008,-1
11,MODEL1,PARMS,RUL,1.112137521,-8.038993089,0.260830271,-0.439684575,1.924463799,0.885276714,-2.413207216,5.119257896,-1
12,MODEL1,PARMS,RUL,1.08717033,-1.329220939,0.083354062,0.101706929,-0.831380493,0.506133108,-0.66279071,1.29975083,-1
13,MODEL1,PARMS,RUL,1.081810494,-5.024114815,0.089745314,0.14568524,-0.828842462,0.720569909,-0.258314513,-0.36120289,-1
14,MODEL1,PARMS,RUL,1.138518934,-3.291577095,0.31214175,-0.977047529,3.17626711,0.586261902,-1.859038283,5.041000569,-1
15,MODEL1,PARMS,RUL,1.112798025,-11.66921416,0.362419295,-0.512138414,0.700168465,1.089798598,-2.544877829,5.270213047,-1
16,MODEL1,PARMS,RUL,1.061051689,4.263009137,0.144326687,-0.628723929,2.001900952,0.147892374,-0.207930249,-0.379618578,-1
