SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB4_5
1,MODEL1,PARMS,RB4_5,0.830543043,6.539685613,-0.006906826,0.088811872,-0.755074967,-0.077182462,0.397606977,-0.574555335,-1
2,MODEL1,PARMS,RB4_5,0.896524393,8.429763233,-0.043056654,0.035241411,-0.404752936,-0.185180647,1.452254219,-3.877279282,-1
3,MODEL1,PARMS,RB4_5,0.857500549,10.23813708,-0.03649319,-0.163052671,0.459656194,-0.298888785,0.400599125,-0.302043715,-1
4,MODEL1,PARMS,RB4_5,0.932179809,7.766195033,-0.086965494,-0.071584161,0.20178283,-0.124444888,1.065990467,-2.618546676,-1
5,MODEL1,PARMS,RB4_5,0.923832144,-2.450626834,-0.115304476,0.161275396,-0.532872323,0.554527749,-2.106334362,5.016351865,-1
6,MODEL1,PARMS,RB4_5,0.815139881,5.496126631,-0.009621644,0.002217644,-0.276550684,-0.015151499,0.825044673,-1.998367717,-1
7,MODEL1,PARMS,RB4_5,0.942391658,3.73758993,-0.011692629,-0.18336963,0.616951008,0.114432112,0.174681683,-0.590739271,-1
8,MODEL1,PARMS,RB4_5,0.935037348,7.600849535,0.128854798,-0.65082173,2.292963943,-0.183503848,0.904869487,-1.964942193,-1
9,MODEL1,PARMS,RB4_5,0.961567103,7.758431968,0.095445524,-0.437103563,1.673616991,-0.182633663,0.576823383,-1.019799972,-1
10,MODEL1,PARMS,RB4_5,0.896300349,12.75919953,0.028564426,-0.274252931,1.008885051,-0.511852678,3.093282913,-7.439179682,-1
11,MODEL1,PARMS,RB4_5,0.932243787,0.573002265,-0.110172316,0.18079446,-0.701589611,0.360981095,-1.438110365,2.711988848,-1
12,MODEL1,PARMS,RB4_5,0.836908812,6.170264654,0.069757521,-0.143125466,-0.195294065,-0.075615861,0.820859349,-1.630789205,-1
13,MODEL1,PARMS,RB4_5,0.889741413,-0.015744605,0.118049146,-0.416690064,1.743632327,0.31623631,-0.600295792,1.29683086,-1
14,MODEL1,PARMS,RB4_5,0.903112876,5.183726417,0.049512597,-0.169863689,-0.114009088,0.010039674,-1.117099307,3.543702835,-1
15,MODEL1,PARMS,RB4_5,0.924048859,-5.882256193,0.074809015,-0.304132558,0.668067609,0.732048475,-2.778200542,6.244118358,-1
16,MODEL1,PARMS,RB4_5,0.932078676,9.33458312,0.1564231,-0.849009557,2.831987552,-0.279437482,0.638964025,-1.69990853,-1
17,MODEL1,PARMS,RB4_5,0.908699939,9.553293254,0.160552627,-0.88759631,3.714678885,-0.319702427,1.364365582,-2.598910558,-1
18,MODEL1,PARMS,RB4_5,0.858476064,-4.629412438,0.149508901,-0.526643863,1.455317532,0.626539372,-1.453424264,2.815333122,-1
19,MODEL1,PARMS,RB4_5,0.956902405,5.948701867,-0.0460621,-0.013587585,-0.689029462,-0.007189172,0.289286858,-0.89021137,-1
20,MODEL1,PARMS,RB4_5,0.77866419,-0.007019063,0.044473759,-0.181412794,0.498323628,0.339892954,-0.571000622,1.050319634,-1
21,MODEL1,PARMS,RB4_5,0.866297295,1.556506447,0.060931113,-0.210680096,0.400428689,0.250306057,-1.521269596,4.058283145,-1
22,MODEL1,PARMS,RB4_5,0.983328159,9.508077056,0.051829727,-0.284042011,0.488627973,-0.274433281,1.255102027,-2.805417732,-1
23,MODEL1,PARMS,RB4_5,0.958442214,5.644449555,-0.080643558,-0.065962314,0.526928852,0.014852071,0.331828338,-0.948400773,-1
24,MODEL1,PARMS,RB4_5,0.888093547,7.569986562,0.032549979,-0.22604181,0.627212918,-0.157450834,0.832655764,-1.760057485,-1
25,MODEL1,PARMS,RB4_5,0.897563688,6.129528579,-0.035483573,0.074985035,-0.958199515,-0.036003051,0.571957858,-1.562024381,-1
26,MODEL1,PARMS,RB4_5,0.836272429,10.31890792,-0.060490861,0.085499525,-0.300457668,-0.316631316,1.55130383,-3.406837499,-1
27,MODEL1,PARMS,RB4_5,0.950047767,7.418621873,0.110095698,-0.300753702,0.698265807,-0.174596215,0.961804453,-1.832618537,-1
28,MODEL1,PARMS,RB4_5,0.890395536,-11.37485213,-0.076858697,0.12824094,-0.545749651,1.126538425,-3.51572953,7.370043223,-1
