SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RLL
1,MODEL1,PARMS,RLL,0.82452868,-1.765631471,0.009732513,0.263361931,-1.324866643,0.494380864,-0.206618211,-0.255365572,-1
2,MODEL1,PARMS,RLL,0.881783248,5.848435481,0.044079091,-0.018438299,-0.189970023,-0.014942311,1.231898756,-3.213794433,-1
3,MODEL1,PARMS,RLL,0.857063415,8.621843909,0.064403263,-0.341508437,0.878579592,-0.182448061,1.36479991,-3.393739069,-1
4,MODEL1,PARMS,RLL,0.865119545,-4.585301601,-0.101781477,0.076680919,0.085481418,0.731268686,-1.494038294,2.331196021,-1
5,MODEL1,PARMS,RLL,0.823928807,-11.04133668,-0.069464645,0.12749144,-0.321343717,1.13312196,-2.129596408,3.937812002,-1
6,MODEL1,PARMS,RLL,0.858391262,-1.959235238,-0.055964875,0.053007881,-0.215275512,0.546175918,-1.500594524,3.475525183,-1
7,MODEL1,PARMS,RLL,0.877034909,0.369318016,-0.045828456,-0.11405206,0.743172699,0.390711435,0.025553295,-1.160823452,-1
8,MODEL1,PARMS,RLL,0.931992803,1.291548817,0.100660143,-0.479491244,2.161873087,0.27963583,0.285364888,-1.10809297,-1
9,MODEL1,PARMS,RLL,0.893226823,3.627350282,0.184580494,-0.643019418,2.580625417,0.109103333,-0.013035159,0.068441853,-1
10,MODEL1,PARMS,RLL,0.871201485,4.364714945,0.047415555,-0.334879622,1.613515426,0.094299197,0.630382969,-1.979923969,-1
11,MODEL1,PARMS,RLL,0.951787123,1.358090516,-0.159302031,0.097821266,0.330836939,0.357432042,-0.327541971,-0.045728141,-1
12,MODEL1,PARMS,RLL,0.885112958,-0.834721672,0.045227063,0.055616328,-0.554427368,0.419701557,0.588365373,-2.383988874,-1
13,MODEL1,PARMS,RLL,0.90449191,0.503395308,-0.068849896,0.078394743,-0.092554298,0.385543833,0.172304237,-0.963462886,-1
14,MODEL1,PARMS,RLL,0.880403202,7.493925433,0.004220622,-0.107760756,-0.090048888,-0.09177996,0.408099308,-0.479043348,-1
15,MODEL1,PARMS,RLL,0.927394008,-5.509112945,-0.092132768,0.085171849,-0.862908021,0.799253126,-2.265169777,5.044816243,-1
16,MODEL1,PARMS,RLL,0.820654492,0.652421428,0.010824442,-0.367676309,1.517914366,0.371284406,-1.042072311,1.452676835,-1
17,MODEL1,PARMS,RLL,0.827605536,2.60397712,0.172144951,-0.558972753,2.403002858,0.166498552,0.466298604,-1.476275809,-1
18,MODEL1,PARMS,RLL,0.877136006,-7.454925274,0.013169331,0.005526304,-0.154853837,0.880406791,-1.928411364,3.696762256,-1
19,MODEL1,PARMS,RLL,0.834713986,5.181177987,-0.11227743,0.047106046,-0.323598416,0.102375062,0.490801674,-1.534493414,-1
20,MODEL1,PARMS,RLL,0.897185838,0.61129405,-0.072180113,0.333665397,-1.175052044,0.362362183,0.196928183,-0.968549759,-1
21,MODEL1,PARMS,RLL,0.851693834,-1.73387757,0.106814016,-0.191989868,0.844760911,0.473201303,-0.342358762,0.2084377,-1
22,MODEL1,PARMS,RLL,0.942575602,-1.407828671,0.208121282,-0.496966668,1.370471608,0.421008287,-0.322152601,0.398682964,-1
23,MODEL1,PARMS,RLL,0.963691933,1.81955698,-0.116050052,0.084241727,-0.080374736,0.3236313,-0.178655551,-0.151625463,-1
24,MODEL1,PARMS,RLL,0.862990635,-0.17457973,0.084835275,-0.225685426,0.453346379,0.371916315,0.336088096,-1.497765975,-1
25,MODEL1,PARMS,RLL,0.920208785,-4.575876711,-0.009199318,-0.132115949,0.256728061,0.7009852,-0.589742374,-0.14459645,-1
26,MODEL1,PARMS,RLL,0.877552281,5.89438387,-0.043781352,0.243256007,-0.891693849,0.016598262,1.019035394,-2.733400343,-1
27,MODEL1,PARMS,RLL,0.907174298,4.475702165,-0.12497193,0.287811921,-1.071508253,0.13594639,0.548811637,-1.668644213,-1
28,MODEL1,PARMS,RLL,0.908111465,-9.114005409,-0.082196699,0.205908807,-0.518144269,1.007221009,-1.674512302,2.697494572,-1
29,MODEL1,PARMS,RLL,0.876387062,1.356720529,0.016070344,0.040618379,-0.594487393,0.28714484,0.865307113,-2.795636523,-1
30,MODEL1,PARMS,RLL,0.883694008,5.513571061,-0.015648122,-0.224860108,1.370003198,0.038524206,0.939070618,-2.427444159,-1
31,MODEL1,PARMS,RLL,0.858732679,6.108924824,0.157846918,-0.352516315,0.531645556,-0.037717162,-0.202849837,0.889648157,-1
