SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LUL
1,MODEL1,PARMS,LUL,0.957366532,4.208608528,0.366120641,-0.288340988,0.357360751,0.075594205,0.45174687,-0.894721021,-1
2,MODEL1,PARMS,LUL,1.006806949,7.796385262,0.28460594,-0.204382897,-0.096025108,-0.146118342,1.402959406,-3.049444152,-1
3,MODEL1,PARMS,LUL,1.024536196,6.058456312,0.293756594,-0.41861881,0.624036796,-0.016292425,0.06520067,0.194828062,-1
4,MODEL1,PARMS,LUL,1.072907552,-0.742991497,0.275346548,-0.27560145,1.238399106,0.400543991,0.537454363,-1.491431732,-1
5,MODEL1,PARMS,LUL,0.968281171,8.530121876,0.026366666,0.40869161,-2.361942501,-0.109346874,1.043939027,-2.355395799,-1
6,MODEL1,PARMS,LUL,0.947225141,9.422854006,0.154660207,-0.139960663,-0.078957737,-0.199895422,1.598715844,-3.460415487,-1
7,MODEL1,PARMS,LUL,1.024598865,6.941761754,0.246506471,-0.10626987,-0.203031434,-0.071783022,0.832405751,-1.591495982,-1
8,MODEL1,PARMS,LUL,1.077932061,13.95348057,0.108436364,-0.237261405,0.680039159,-0.477045381,1.686145021,-3.149322682,-1
9,MODEL1,PARMS,LUL,1.108633069,9.563558743,0.413550032,-0.81407447,2.570451521,-0.278569231,1.119331664,-1.960199829,-1
10,MODEL1,PARMS,LUL,0.951069258,11.51149205,0.359751775,-0.500317444,1.126396033,-0.407250049,2.331219422,-5.075832643,-1
11,MODEL1,PARMS,LUL,0.995035073,5.546710937,0.178419275,-0.05952489,-0.12068577,0.03917569,0.572980702,-1.426890914,-1
12,MODEL1,PARMS,LUL,0.994198945,8.578656753,0.227851325,-0.110599349,-0.838788797,-0.169208573,1.756600893,-4.222443043,-1
13,MODEL1,PARMS,LUL,1.005924655,-0.38437735,0.184680584,0.100696961,-1.261311055,0.411378236,0.384397795,-1.371602372,-1
14,MODEL1,PARMS,LUL,0.977694573,9.183042993,0.312290812,-0.176411661,-0.79757698,-0.243158403,0.658167786,-0.042118166,-1
15,MODEL1,PARMS,LUL,1.031478859,5.015730157,0.246723611,-0.82472851,3.260014877,0.070093608,0.602683588,-1.003189972,-1
16,MODEL1,PARMS,LUL,0.870106715,7.568749372,0.208690741,-0.148065452,-0.697049171,-0.082582388,0.551918179,-1.65576087,-1
17,MODEL1,PARMS,LUL,1.018962121,17.04766039,0.466481167,-1.303474048,4.806431201,-0.783547766,3.067815924,-6.217030065,-1
18,MODEL1,PARMS,LUL,1.103494509,-5.690553979,0.321048946,-1.10176264,4.563022421,0.757120925,-1.180496833,1.93917803,-1
19,MODEL1,PARMS,LUL,0.983780091,9.560427603,0.145124398,-0.506198291,1.468369889,-0.184071916,1.450522054,-3.628078622,-1
20,MODEL1,PARMS,LUL,0.985421576,3.203023094,0.290181842,-0.652425522,2.397980135,0.169109289,0.863759733,-2.328521406,-1
21,MODEL1,PARMS,LUL,0.949891882,12.12059078,0.247091114,-0.457261608,1.187046613,-0.390363357,0.942419879,-1.166044946,-1
22,MODEL1,PARMS,LUL,0.93042296,6.784363295,0.40915615,-0.82891172,2.295454763,-0.085009945,-0.060350185,0.807971079,-1
