SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LLB6
1,MODEL1,PARMS,LLB6,1.068736463,3.900655394,0.160118079,-0.131079756,0.2047774,0.173298304,0.820801586,-1.845419722,-1
2,MODEL1,PARMS,LLB6,0.981500221,-0.912878268,0.181808191,-0.187771105,-0.033714085,0.48822117,-0.584395786,1.004038188,-1
3,MODEL1,PARMS,LLB6,1.062688641,12.07330841,0.182616109,-0.51218864,0.972982228,-0.343815967,1.321703392,-2.280384487,-1
4,MODEL1,PARMS,LLB6,1.113506288,-0.452243633,0.029136228,-0.462054115,2.218471116,0.51051883,-0.030191118,-0.564329542,-1
5,MODEL1,PARMS,LLB6,1.009357116,-15.44938003,0.100195734,-0.1554053,0.60493329,1.478457969,-3.486594553,7.267783165,-1
6,MODEL1,PARMS,LLB6,1.019973945,-6.248854718,0.12562054,-0.424606324,1.484151516,0.864651003,-1.295995081,2.4945058,-1
7,MODEL1,PARMS,LLB6,1.104847048,-3.352551098,0.252591238,-0.48608653,1.381637189,0.638660467,-0.745091446,1.008244705,-1
8,MODEL1,PARMS,LLB6,1.154923775,-1.066669957,0.101359631,-0.462871937,1.916416647,0.534645116,-1.17294029,3.131035571,-1
9,MODEL1,PARMS,LLB6,1.084291965,-0.544916154,0.442567674,-1.111133688,3.822333745,0.399793472,-0.553817249,1.386351287,-1
10,MODEL1,PARMS,LLB6,1.085311159,9.746947038,0.433503407,-1.109759396,3.540283524,-0.280139375,1.390918422,-2.55192391,-1
11,MODEL1,PARMS,LLB6,1.078707714,-4.349157677,0.11212507,-0.400010041,1.175661979,0.765547293,-2.415017994,4.95732927,-1
12,MODEL1,PARMS,LLB6,1.127082164,-0.302746044,-0.011341733,0.248978994,-2.002946086,0.503199552,0.087034857,-0.587106353,-1
13,MODEL1,PARMS,LLB6,1.037212437,-1.777549464,-0.036723438,0.320368166,-1.385533206,0.613031817,-0.273159697,-0.462801006,-1
14,MODEL1,PARMS,LLB6,1.057470223,6.466539713,0.338727867,-0.589743486,0.851962136,-0.029607872,-0.073294804,0.815403397,-1
15,MODEL1,PARMS,LLB6,1.065531022,-6.464601534,0.152313347,-0.668109123,2.549075931,0.886891999,-1.868395639,4.151090794,-1
16,MODEL1,PARMS,LLB6,1.04937294,5.344409497,0.091513295,-0.667801173,2.198543703,0.144646781,0.090834488,-0.982798343,-1
17,MODEL1,PARMS,LLB6,1.107833808,9.426546707,0.420716601,-1.560119108,6.450165369,-0.240948909,1.717393357,-3.840384225,-1
18,MODEL1,PARMS,LLB6,1.060053692,-10.34904194,0.114281261,-0.559380917,2.645214594,1.142873046,-1.994507971,3.541277929,-1
19,MODEL1,PARMS,LLB6,1.062034309,2.169760205,-0.032545048,-0.251591594,0.79752937,0.378912508,0.235931009,-1.183832028,-1
20,MODEL1,PARMS,LLB6,1.025026001,0.558686046,0.178515791,-0.676478833,3.310680358,0.404203558,0.238748786,-0.795715309,-1
21,MODEL1,PARMS,LLB6,1.019874167,2.096009329,-0.037083616,-0.068352806,0.191549132,0.375494029,-0.65668348,1.674006584,-1
22,MODEL1,PARMS,LLB6,1.113498926,-8.975262818,0.277136853,-0.781540712,2.713060527,1.011231013,-2.094163434,4.364949962,-1
23,MODEL1,PARMS,LLB6,1.072657287,-4.463026837,0.185877686,-0.644541984,2.641967108,0.735544871,-1.037594949,1.790970598,-1
24,MODEL1,PARMS,LLB6,1.189165476,8.151794685,0.287312107,-0.944829017,2.429962444,-0.108214536,1.494368606,-3.76354978,-1
25,MODEL1,PARMS,LLB6,1.14196917,-13.43250212,0.185799398,-0.503124033,1.512609266,1.323346624,-2.75491688,4.88136182,-1
26,MODEL1,PARMS,LLB6,1.051686151,1.042090482,0.209436334,-0.397314388,1.235954638,0.356941616,0.137984466,-0.291248043,-1
27,MODEL1,PARMS,LLB6,1.009613347,1.923568616,0.014153777,-0.230948118,0.931531706,0.371685705,-0.23937664,0.371232435,-1
28,MODEL1,PARMS,LLB6,1.044589689,-14.59383364,0.180467012,-0.470864168,2.49013744,1.382986433,-2.777897681,5.844877585,-1
29,MODEL1,PARMS,LLB6,1.274342059,2.005407231,0.120392978,-0.374250007,0.407910383,0.327018921,0.158381607,-0.230984925,-1
30,MODEL1,PARMS,LLB6,1.010534665,8.222502897,0.249668067,-0.752643116,2.3379093,-0.135382089,2.328778517,-5.46668759,-1
31,MODEL1,PARMS,LLB6,1.011862341,4.19222917,0.17454903,-0.468965506,0.791135975,0.181527169,0.068148397,-0.183903159,-1
32,MODEL1,PARMS,LLB6,1.224245749,-0.305633292,0.143380045,-0.273547445,-0.295139004,0.472168866,-0.870468741,1.57216853,-1
33,MODEL1,PARMS,LLB6,1.020776003,1.553463758,-0.008966096,-0.220340868,0.510447022,0.413483237,-0.697944148,1.175593902,-1
34,MODEL1,PARMS,LLB6,1.029624772,7.539316131,0.379419184,-1.252010939,3.972365877,-0.097996382,0.128937785,-0.139581477,-1
35,MODEL1,PARMS,LLB6,0.988953415,-8.199596601,0.053401061,-0.290541829,1.558170456,1.032325364,-2.823955321,5.96317624,-1
36,MODEL1,PARMS,LLB6,1.166231238,6.179395836,-0.082241843,0.160247973,-1.560879543,0.115460647,1.200923765,-3.416291563,-1
37,MODEL1,PARMS,LLB6,0.979063112,1.826376598,0.463505447,-1.152244053,3.709339801,0.238658171,-0.088962062,0.249736067,-1
38,MODEL1,PARMS,LLB6,1.022975911,7.402901807,0.357050327,-0.851903967,2.786062285,-0.100700258,0.966332943,-1.373696261,-1
39,MODEL1,PARMS,LLB6,1.038238345,1.220938692,0.038984296,0.280527211,-1.622819275,0.383082671,0.241179241,-0.781933688,-1
40,MODEL1,PARMS,LLB6,1.047750753,0.406073337,0.14743978,-0.378798569,1.402637192,0.428326458,-0.487835002,0.669916358,-1
41,MODEL1,PARMS,LLB6,1.076870565,-2.04485713,0.183349925,-0.249430702,0.786482925,0.549453871,0.686149435,-2.233249341,-1
42,MODEL1,PARMS,LLB6,1.104659507,2.98565188,0.249411408,-0.64264866,2.263363135,0.215163572,0.510410686,-0.85747734,-1
43,MODEL1,PARMS,LLB6,1.00568617,1.517854645,-0.031341031,-0.246310536,1.334082898,0.407384583,0.437916766,-2.065268459,-1
44,MODEL1,PARMS,LLB6,1.039043839,-2.836885319,0.485320181,-1.013502624,3.237300117,0.530552409,-1.189111206,3.161459114,-1
45,MODEL1,PARMS,LLB6,1.058781967,-10.11175147,0.268014606,-0.921826376,3.631406354,1.074515534,-2.202073493,4.628860221,-1
46,MODEL1,PARMS,LLB6,1.049427545,3.243342755,0.108977075,-0.327978943,0.403800484,0.243018701,0.754609841,-2.16685813,-1
47,MODEL1,PARMS,LLB6,1.05828618,-7.770244246,0.112924734,-0.524456804,1.743060964,0.976860527,-1.817333734,3.397862995,-1
48,MODEL1,PARMS,LLB6,1.005808625,2.89477884,-0.039873792,0.016649319,-0.236205024,0.315745928,0.223345454,-1.149392944,-1
49,MODEL1,PARMS,LLB6,1.056336743,-1.279886205,0.244292729,-0.959865329,4.318197058,0.527448072,-1.154869408,2.338408551,-1
50,MODEL1,PARMS,LLB6,1.005029845,4.010783416,0.23822718,-0.593914289,2.344288988,0.158778393,0.212312749,-0.5656178,-1
51,MODEL1,PARMS,LLB6,1.054139168,5.153028676,-0.009229272,0.247696533,-1.322418605,0.159852318,0.052397164,0.040331147,-1
52,MODEL1,PARMS,LLB6,1.066731645,-11.09306213,0.178374837,-0.43319527,1.393135627,1.160544335,-2.149751823,4.313198606,-1
53,MODEL1,PARMS,LLB6,0.997496017,-4.658196633,0.199902086,-0.549425821,1.454129449,0.740819151,-0.799788111,1.046899844,-1
54,MODEL1,PARMS,LLB6,1.058598387,-8.624049557,0.286729214,-1.333432823,5.321761671,0.999633621,-1.968845333,3.63593651,-1
55,MODEL1,PARMS,LLB6,0.991026518,-7.128022926,-0.076971472,0.168241682,-0.438813876,0.991382383,-2.291508311,4.778537744,-1
56,MODEL1,PARMS,LLB6,1.092665248,-7.168135584,0.36989154,-0.569599418,1.201886839,0.83661724,-1.721971351,3.918849083,-1
57,MODEL1,PARMS,LLB6,1.130216464,0.121226104,-0.199603922,0.412615293,-1.193832138,0.55283935,-1.289733007,2.629251742,-1
58,MODEL1,PARMS,LLB6,1.058913096,-4.184528529,0.259341414,-1.046946127,3.779541694,0.698830984,-0.081469872,-1.147601662,-1
59,MODEL1,PARMS,LLB6,1.102524682,-4.721085236,0.222419125,-0.741265167,2.213110451,0.741638742,-0.61448361,0.716263144,-1
60,MODEL1,PARMS,LLB6,1.099641815,-1.26418736,0.259158128,-0.634249001,1.883282672,0.499511863,-0.244959331,0.318210696,-1
61,MODEL1,PARMS,LLB6,0.992094477,-5.044149772,0.282982458,-0.858522845,3.005221759,0.745792345,-1.584983052,3.541321757,-1
62,MODEL1,PARMS,LLB6,1.088877921,11.01038293,0.005970409,-0.280240781,0.82590678,-0.213760389,1.200417131,-2.712554665,-1
63,MODEL1,PARMS,LLB6,1.007924423,6.976931508,0.19508869,-0.139645721,-0.548674441,-0.044817075,1.363353509,-3.237684054,-1
64,MODEL1,PARMS,LLB6,0.975953456,2.526946322,0.008380551,0.411552609,-1.82477708,0.298095501,0.592882094,-1.665169337,-1
65,MODEL1,PARMS,LLB6,1.019471868,-4.834623632,0.022067456,-0.181251499,0.703111364,0.816195414,-1.841924148,3.439336563,-1
