SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,Trachea
1,MODEL1,PARMS,Trachea,1.83302647,18.43502868,-0.056883759,0.711656594,-2.942705798,-0.09176171,-0.228361554,1.399833973,-1
2,MODEL1,PARMS,Trachea,1.854935163,16.58938227,0.142083923,-0.048432912,-0.498778021,-0.042134233,1.318004033,-2.066667356,-1
3,MODEL1,PARMS,Trachea,1.746836139,25.81267424,0.1261587,0.509863072,-2.822288404,-0.63130993,3.395424246,-5.912455287,-1
4,MODEL1,PARMS,Trachea,1.736365717,37.13613835,0.087592837,-0.018578315,-0.327380568,-1.245580008,3.411543117,-6.03688242,-1
5,MODEL1,PARMS,Trachea,1.894364231,10.68872961,0.44685313,-1.418529875,5.174706748,0.27228339,-0.472372613,1.312075457,-1
6,MODEL1,PARMS,Trachea,1.885273469,23.45202563,-0.058100715,-0.4659622,3.178417635,-0.367414144,1.940266022,-3.520052482,-1
7,MODEL1,PARMS,Trachea,1.834591351,5.293837187,0.083604792,-0.054309677,-0.186406658,0.67980283,-1.129771779,2.662933256,-1
8,MODEL1,PARMS,Trachea,2.006581863,17.8173769,0.163177793,0.522516008,-3.758065741,-0.132560785,2.23557607,-4.802654843,-1
9,MODEL1,PARMS,Trachea,1.842575111,11.69936763,0.303893553,-0.54937601,0.777434396,0.217939664,0.788803513,-1.234701163,-1
10,MODEL1,PARMS,Trachea,2.073522539,20.7557255,-0.091720318,-0.041068353,0.866128512,-0.203047882,1.70554411,-3.647304101,-1
11,MODEL1,PARMS,Trachea,1.936268202,26.96424004,0.368442529,-1.090583615,3.282854497,-0.691872206,2.032609599,-3.658842133,-1
12,MODEL1,PARMS,Trachea,2.09363017,29.89370572,0.037786789,0.996727143,-4.484106592,-0.880017967,4.331973926,-8.309094801,-1
13,MODEL1,PARMS,Trachea,2.037273888,14.84430892,0.096256342,0.171044251,-1.46403717,0.058398996,1.135884951,-1.620783012,-1
14,MODEL1,PARMS,Trachea,1.865257065,15.39741898,0.159386607,0.129572255,-0.681198506,0.001862621,0.954357779,-0.845175136,-1
15,MODEL1,PARMS,Trachea,2.075355727,8.386991258,0.159031028,0.059610611,-0.053548485,0.392661374,0.831104441,-0.562998249,-1
16,MODEL1,PARMS,Trachea,1.854328377,17.92031656,0.238640473,-0.318833644,0.453099187,-0.158915159,1.89878395,-2.87001313,-1
17,MODEL1,PARMS,Trachea,1.973032611,13.27060315,0.161657938,-0.073265632,-0.406572351,0.154537085,0.164957699,0.949939861,-1
18,MODEL1,PARMS,Trachea,1.904804578,51.48860028,0.485494407,-1.227898916,3.919295864,-2.243049409,6.761999107,-11.61370813,-1
19,MODEL1,PARMS,Trachea,1.879566692,22.63895987,0.042523647,0.37081578,-2.476723786,-0.364409641,1.620860006,-2.827590741,-1
20,MODEL1,PARMS,Trachea,1.887944895,25.52752677,0.160849017,-0.398921803,1.491807507,-0.586208269,3.44205624,-6.90437207,-1
21,MODEL1,PARMS,Trachea,1.932488539,28.91446745,-0.126000608,0.789087184,-3.442725955,-0.714798933,2.676576965,-3.992438573,-1
22,MODEL1,PARMS,Trachea,1.937282454,-2.738639423,0.243888695,-0.584263553,2.519142194,1.111895241,-3.292770458,7.543001829,-1
23,MODEL1,PARMS,Trachea,1.846503004,-5.924770803,0.170261886,0.398585052,-2.83165814,1.307128589,-2.578653687,4.719591882,-1
24,MODEL1,PARMS,Trachea,1.918244887,9.608929877,-0.243068382,1.508106005,-6.884383953,0.46080348,-0.722138955,2.413618035,-1
25,MODEL1,PARMS,Trachea,1.814033657,28.46257571,0.183710842,0.002267614,-1.670988483,-0.773878727,4.665356299,-9.831006282,-1
26,MODEL1,PARMS,Trachea,1.725746361,27.79139724,0.000253962,0.759687959,-4.118376831,-0.709278644,3.877957934,-7.504361148,-1
27,MODEL1,PARMS,Trachea,1.83849482,17.86031993,0.474074879,-1.636470789,6.33420608,-0.213728626,2.852426007,-5.534260075,-1
28,MODEL1,PARMS,Trachea,1.767134214,13.76516797,-0.127612063,1.727254059,-7.515887682,0.147228904,2.488306037,-6.233025028,-1
29,MODEL1,PARMS,Trachea,1.898997774,19.59558192,-0.065558303,0.225572838,-1.314617,-0.155055984,1.86847972,-4.13968712,-1
30,MODEL1,PARMS,Trachea,2.026809908,31.13516066,0.968534822,-2.849587686,9.500893163,-1.132761803,6.540146813,-13.51335765,-1
31,MODEL1,PARMS,Trachea,1.994668224,31.61617472,0.243721933,-0.295817574,-0.693751596,-0.980269909,4.428974513,-8.512415646,-1
32,MODEL1,PARMS,Trachea,1.941163828,7.780968689,0.343353348,-0.282989219,1.127269671,0.403741042,-0.778893786,3.015125301,-1
33,MODEL1,PARMS,Trachea,2.050387685,15.29710121,0.171711754,-0.772253145,3.505383015,0.03631044,1.512958744,-3.437078532,-1
34,MODEL1,PARMS,Trachea,2.06401431,14.22054477,0.00854136,0.110204389,-1.158355557,0.158837084,-0.265306468,1.238426263,-1
35,MODEL1,PARMS,Trachea,2.020323555,6.845446472,0.002898752,0.391354283,-2.462455299,0.59252383,-1.128245704,3.301308186,-1
36,MODEL1,PARMS,Trachea,1.927720411,34.32435038,0.240353889,-0.750570465,2.826667966,-1.119385436,4.243307254,-8.434631112,-1
37,MODEL1,PARMS,Trachea,1.907478263,28.93951526,0.094046514,0.130349089,-0.624364273,-0.785383461,2.992888905,-4.87616553,-1
38,MODEL1,PARMS,Trachea,1.970665352,43.52095211,0.108527834,-0.469997891,2.575858242,-1.656969146,6.15867042,-12.54683861,-1
39,MODEL1,PARMS,Trachea,1.866221429,13.87083711,0.104721782,0.093601001,-0.734858166,0.110462764,1.606020375,-3.221651576,-1
40,MODEL1,PARMS,Trachea,1.938418522,36.08749269,0.320374196,-0.840090147,2.342125223,-1.235543004,2.790559305,-4.023705486,-1
41,MODEL1,PARMS,Trachea,1.604983425,45.19464769,0.110376201,0.003607253,-1.738627706,-1.741856084,5.157831472,-9.321500994,-1
42,MODEL1,PARMS,Trachea,1.844013799,32.45878685,0.300624547,-0.7148633,1.771303874,-1.009605021,1.950532552,-1.56559723,-1
43,MODEL1,PARMS,Trachea,1.888019063,-9.984531218,0.022056273,-0.220381462,1.098704601,1.631454241,-5.814848295,12.66512565,-1
44,MODEL1,PARMS,Trachea,1.789102687,26.25609306,0.247540608,-1.038583202,4.880715949,-0.670614152,2.792591739,-4.00935792,-1
45,MODEL1,PARMS,Trachea,1.748067357,20.67914359,0.084821564,-0.039305728,0.103004616,-0.270475479,1.175923411,-1.361621368,-1
46,MODEL1,PARMS,Trachea,1.954902957,4.935358357,0.061700217,-0.04724544,0.947714466,0.660261632,-0.113291944,0.435776655,-1
47,MODEL1,PARMS,Trachea,1.856148254,8.992934239,0.235458241,0.01318711,-0.676372204,0.384824509,-0.331814986,0.858075897,-1
48,MODEL1,PARMS,Trachea,1.822537911,-0.176672034,0.324598554,-0.781848799,2.44645551,0.9276794,-1.929713541,4.889874162,-1
49,MODEL1,PARMS,Trachea,1.892798537,23.97969787,0.300903303,-0.621425148,1.285066038,-0.510721389,3.098582688,-7.42688629,-1
50,MODEL1,PARMS,Trachea,1.83779195,11.91526627,0.165114183,-0.13336587,0.57198212,0.235012589,0.051694134,0.649353503,-1
51,MODEL1,PARMS,Trachea,2.194748783,29.58694616,-0.200728682,0.593759561,-1.429812443,-0.751732452,3.312802348,-6.098785672,-1
52,MODEL1,PARMS,Trachea,1.862103302,23.06572483,0.079444865,0.479723429,-2.565709886,-0.420533168,1.04327476,-0.587321762,-1
53,MODEL1,PARMS,Trachea,1.830345153,40.19417818,0.525477943,-1.414872443,4.425338523,-1.555543055,5.353635916,-10.12626054,-1
54,MODEL1,PARMS,Trachea,1.84194237,5.778312114,0.015776808,0.539505781,-2.532756475,0.641922086,-1.760731245,4.131663279,-1
55,MODEL1,PARMS,Trachea,2.006363744,14.9307061,0.177505311,-0.156520813,-0.080100635,0.051398726,1.430358561,-2.121013034,-1
56,MODEL1,PARMS,Trachea,1.817587155,-11.96657145,0.198238076,-0.472433548,1.480258884,1.699006014,-5.96245371,13.9220062,-1
57,MODEL1,PARMS,Trachea,1.918801516,23.59072517,0.003359241,-0.356171906,2.122165251,-0.438840187,2.271416199,-4.044347196,-1
58,MODEL1,PARMS,Trachea,1.823643022,21.9422107,0.194439175,-0.464760556,-0.102488226,-0.322774048,-0.920449649,4.272620515,-1
59,MODEL1,PARMS,Trachea,1.918872662,-8.688457927,0.266767315,-0.357405447,0.264169256,1.467509596,-2.497935495,4.590258738,-1
60,MODEL1,PARMS,Trachea,1.860122427,31.77526151,0.069289985,0.561345079,-3.041636064,-0.949953718,3.624431114,-6.119215246,-1
61,MODEL1,PARMS,Trachea,2.075733706,23.81254844,0.005729123,0.639988528,-3.546144336,-0.441880136,1.485931676,-2.24758977,-1
62,MODEL1,PARMS,Trachea,1.955502305,25.33227647,0.077632491,0.701836885,-3.981720047,-0.59608814,4.539585193,-9.056583787,-1
63,MODEL1,PARMS,Trachea,1.766003223,12.91058562,0.111694585,-0.555268538,1.963276916,0.208566923,0.244620358,0.144242026,-1
64,MODEL1,PARMS,Trachea,1.736416122,43.63698975,-0.034255821,0.95728927,-5.508386486,-1.651167473,5.9059491,-11.05979855,-1
65,MODEL1,PARMS,Trachea,1.769098677,30.77536943,0.161991766,0.00303233,-1.33669888,-0.90042504,3.129059293,-5.801701535,-1
66,MODEL1,PARMS,Trachea,1.838996575,8.282936014,0.003178247,1.010519658,-5.27741886,0.473611496,-0.743404106,2.113326675,-1
67,MODEL1,PARMS,Trachea,2.036027221,21.96990232,0.212261872,-0.6512805,2.310261664,-0.385000107,4.045647862,-8.619348011,-1
68,MODEL1,PARMS,Trachea,1.865778951,4.812786024,-0.231279957,0.844098136,-2.795193789,0.796407902,-3.489219401,8.3569124,-1
69,MODEL1,PARMS,Trachea,1.907262548,-10.81288264,0.299413037,-0.411546249,1.680989861,1.578176159,-3.110826897,5.876942154,-1
70,MODEL1,PARMS,Trachea,1.876073961,44.06141073,0.235037103,0.364096497,-3.411150854,-1.779376269,7.203142193,-13.41806136,-1
71,MODEL1,PARMS,Trachea,1.805398551,14.40170695,-0.12725675,0.672666212,-2.644669464,0.139288054,1.585140841,-3.241800338,-1
72,MODEL1,PARMS,Trachea,1.872619231,13.81480212,0.196380084,-0.209119535,-0.300307847,0.136982129,0.053534117,-0.056962223,-1
73,MODEL1,PARMS,Trachea,1.961174898,-0.506951108,0.111440437,0.284287759,-2.387103537,0.992665613,-0.781213558,0.466897631,-1
74,MODEL1,PARMS,Trachea,2.11309337,20.24282211,-0.273961596,1.226432291,-5.301534847,-0.173051965,0.638531857,0.496685671,-1
75,MODEL1,PARMS,Trachea,1.89031599,7.848693891,-0.255173359,2.070442899,-9.583057814,0.559568322,0.127661608,-0.69515709,-1
76,MODEL1,PARMS,Trachea,2.081342314,1.497271727,0.234723847,-0.755765252,3.980529954,0.842017713,-0.59583906,1.217906814,-1
77,MODEL1,PARMS,Trachea,1.882552742,0.329915064,-0.029244802,0.021857744,0.311441788,1.003893438,-3.213995118,7.766678111,-1
78,MODEL1,PARMS,Trachea,1.970562342,24.74137391,-0.058224998,0.586114977,-2.77898769,-0.499867933,3.305345414,-5.92847089,-1
79,MODEL1,PARMS,Trachea,1.890042847,24.46024476,0.39694117,-0.876797066,2.450705519,-0.570934836,0.976388833,0.390659421,-1
80,MODEL1,PARMS,Trachea,1.919802757,16.64049443,0.189908938,0.201778056,-2.339050113,-0.073513746,1.596629403,-3.076382753,-1
81,MODEL1,PARMS,Trachea,1.923520419,20.01903534,0.141352763,0.853732935,-4.673287046,-0.288620428,3.414230566,-7.0564028,-1
82,MODEL1,PARMS,Trachea,1.916250833,19.09371555,0.028663711,-0.259084917,0.307790259,-0.148161062,2.596277122,-6.607053023,-1
83,MODEL1,PARMS,Trachea,1.875901997,9.020463336,0.156864104,-0.178559694,0.047085269,0.439251021,-1.05464318,2.512256905,-1
84,MODEL1,PARMS,Trachea,1.951671212,27.28587679,-0.091654358,0.7766631,-3.267638111,-0.625016332,1.564773071,-1.946275539,-1
85,MODEL1,PARMS,Trachea,1.875704323,-3.508924072,0.417094901,-1.142194449,4.715261895,1.099357243,-1.4868806,3.534145669,-1
86,MODEL1,PARMS,Trachea,2.064504127,14.87951859,-0.163991987,1.203903342,-5.091194402,0.100026018,1.405604851,-1.853992048,-1
87,MODEL1,PARMS,Trachea,1.829149863,11.16257452,0.246154602,0.098777243,-0.683958872,0.234671858,-0.174933385,1.397807147,-1
88,MODEL1,PARMS,Trachea,1.826708106,5.829325082,0.179316676,0.029775631,-0.849826816,0.583632257,0.440932503,-1.420952023,-1
89,MODEL1,PARMS,Trachea,1.907624474,-2.320397434,0.365706897,0.010492797,-2.411313096,1.027448541,-1.925000544,4.488063748,-1
90,MODEL1,PARMS,Trachea,1.781393902,9.730554145,-0.057442498,0.390250106,-2.273688002,0.428672453,-0.52803802,1.785988626,-1
91,MODEL1,PARMS,Trachea,1.911525065,-6.689856833,0.038235852,0.851496504,-4.368519243,1.375827384,-4.131230634,10.6560404,-1
92,MODEL1,PARMS,Trachea,1.95881189,24.47450322,0.535086054,-1.647302261,4.933496232,-0.603160021,3.791791663,-8.067377154,-1
93,MODEL1,PARMS,Trachea,1.984027112,34.16029021,0.506216133,-1.286789834,3.245449999,-1.196489124,5.492520254,-11.01569181,-1
94,MODEL1,PARMS,Trachea,1.933793209,20.87753436,-0.04247872,1.042449977,-4.224743303,-0.324332878,5.868184837,-13.00729598,-1
95,MODEL1,PARMS,Trachea,1.809974331,19.67330964,0.256640843,0.183583851,-3.610319041,-0.247875152,1.286668198,-1.817656895,-1
96,MODEL1,PARMS,Trachea,2.089850924,-9.301806185,0.086954137,-0.175707638,0.777574506,1.548391259,-3.454306941,7.431521059,-1
97,MODEL1,PARMS,Trachea,1.894723292,34.07884992,0.268876101,-0.886978848,3.822098923,-1.138464314,5.324415481,-10.74712234,-1
98,MODEL1,PARMS,Trachea,1.867265891,6.036097289,0.269311606,0.338955585,-2.051104403,0.507758182,3.382556858,-8.942171612,-1
99,MODEL1,PARMS,Trachea,1.784131893,20.35758121,0.239284516,-0.263991623,-0.131992048,-0.274447453,1.346138911,-2.357637392,-1
100,MODEL1,PARMS,Trachea,1.843786066,6.286882362,0.1065299,-0.201058664,0.651850671,0.614718103,-2.222882449,5.431463653,-1
101,MODEL1,PARMS,Trachea,1.817270281,21.47797009,0.285386885,-0.23636565,-0.781929179,-0.349324746,1.254738395,-1.55958781,-1
102,MODEL1,PARMS,Trachea,1.917813155,11.33834056,0.226619245,-0.034317279,-1.607896973,0.254379569,-0.189634618,1.319365706,-1
103,MODEL1,PARMS,Trachea,1.873751893,25.15101948,0.214279018,-0.441080163,0.75949831,-0.576131609,3.328601781,-6.776654262,-1
104,MODEL1,PARMS,Trachea,1.827274564,12.80286189,0.265833817,-0.413368422,1.504108592,0.127164559,1.984070039,-4.204255566,-1
105,MODEL1,PARMS,Trachea,1.798049409,13.45780863,0.00212251,0.144780498,-1.010644392,0.21398277,-0.857468501,2.25994673,-1
106,MODEL1,PARMS,Trachea,1.835737136,14.81054085,0.104810772,-0.095630383,-0.229623524,0.06010242,1.263453653,-1.587672136,-1
107,MODEL1,PARMS,Trachea,1.791626619,5.989359839,0.342020453,-0.743508966,1.957644784,0.57386718,-0.895533135,2.060045648,-1
108,MODEL1,PARMS,Trachea,2.177120795,6.568381217,-0.367295436,1.881262388,-8.870408489,0.700699165,-1.518341365,2.469917817,-1
109,MODEL1,PARMS,Trachea,1.719197399,8.059518128,0.456272164,-0.331486474,-0.562209623,0.396450502,-0.168242923,0.333079078,-1
110,MODEL1,PARMS,Trachea,1.909653665,4.85840074,0.061811,-0.086273657,0.871633056,0.692004767,-1.503177229,3.35362864,-1
111,MODEL1,PARMS,Trachea,1.715370899,39.20343677,0.041298359,0.555391062,-3.465037039,-1.406264637,6.009839973,-11.75243115,-1
112,MODEL1,PARMS,Trachea,1.912026093,5.822979926,0.182632284,-0.037191181,-0.72341276,0.604003878,-1.173904886,3.142647273,-1
113,MODEL1,PARMS,Trachea,1.883139646,-13.33372357,0.06991995,-0.250861052,1.347628964,1.800943347,-4.342076825,9.23490404,-1
