SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB10
1,MODEL1,PARMS,RB10,0.791931157,5.347774287,-0.047683875,0.48141244,-2.135219525,-0.044577356,0.567570287,-0.862699457,-1
2,MODEL1,PARMS,RB10,0.887342195,-3.635455363,-0.321741594,0.84852623,-3.440036701,0.591199727,-0.781967289,0.9796482,-1
3,MODEL1,PARMS,RB10,0.889922741,6.721609764,-0.251738932,0.227262473,0.125573744,-0.046401648,0.977757617,-2.196659845,-1
4,MODEL1,PARMS,RB10,0.860574877,13.9725551,0.05711422,-0.395797884,1.656470236,-0.570534628,1.987704282,-3.399914312,-1
5,MODEL1,PARMS,RB10,0.892164032,14.46534522,0.094871224,-0.745826958,3.01446223,-0.601331036,2.90742776,-6.587435496,-1
6,MODEL1,PARMS,RB10,0.923486803,11.82610506,-0.270445549,0.077603015,-0.073762493,-0.331834111,0.748459718,-0.716236204,-1
7,MODEL1,PARMS,RB10,0.782403829,11.22067307,0.039305267,-0.455392603,2.183318999,-0.39284594,1.536248714,-3.389963939,-1
8,MODEL1,PARMS,RB10,0.877300155,16.67308223,-0.124964679,0.249139552,-0.848622552,-0.68742728,2.882873685,-6.525352915,-1
9,MODEL1,PARMS,RB10,0.778444132,1.538618277,0.068712715,-0.305784676,1.193829956,0.176828959,0.210341356,-0.710330473,-1
10,MODEL1,PARMS,RB10,0.815850684,2.150734333,-0.279677888,0.517191712,-1.815651805,0.242035988,-0.167050358,0.342564948,-1
11,MODEL1,PARMS,RB10,0.838742546,10.57514894,0.269981855,-1.017841468,3.59023198,-0.418744007,2.342676738,-5.475332287,-1
12,MODEL1,PARMS,RB10,0.792139788,9.039035381,-0.129626363,0.058470428,0.289500665,-0.219122836,1.292774886,-2.708766547,-1
13,MODEL1,PARMS,RB10,0.840726995,10.81922697,-0.051213149,-0.121304938,1.055698529,-0.346504586,1.193934311,-2.72175797,-1
14,MODEL1,PARMS,RB10,0.833046606,1.511599701,0.107025155,0.000756564,-0.64684814,0.12979626,1.189119358,-2.498254697,-1
15,MODEL1,PARMS,RB10,0.967386224,-4.225884934,-0.147576806,0.308085292,-0.626512587,0.568727669,-0.467695572,0.826015358,-1
16,MODEL1,PARMS,RB10,0.872014652,2.055404175,0.044915776,-0.458731759,2.165853167,0.161904143,-0.500134281,1.50258799,-1
17,MODEL1,PARMS,RB10,0.858215299,7.444807241,-0.07294569,0.189979334,-0.717301483,-0.155341608,1.087746766,-2.414854184,-1
18,MODEL1,PARMS,RB10,0.795829568,21.71574686,-0.25949856,0.642817159,-2.428626482,-0.955638997,3.284516302,-6.042073961,-1
19,MODEL1,PARMS,RB10,0.846919909,21.14916475,-0.207148999,0.421137028,-1.75311444,-0.932095254,2.677644724,-4.662589362,-1
20,MODEL1,PARMS,RB10,0.924960927,-4.484844703,0.054856197,-0.476738426,2.228988364,0.554434938,-0.751831964,1.140039331,-1
21,MODEL1,PARMS,RB10,0.837621468,2.417016384,-0.090818491,0.044579331,0.248841436,0.160682054,0.465044404,-0.982751725,-1
22,MODEL1,PARMS,RB10,0.848373034,6.771347184,0.212252297,-0.713743387,2.97141017,-0.183797454,1.215931511,-2.539851874,-1
23,MODEL1,PARMS,RB10,0.81538887,8.696772784,0.097153825,-0.427227007,2.046533738,-0.269024351,1.365326386,-3.059107175,-1
24,MODEL1,PARMS,RB10,0.846556778,8.745295706,-0.012755775,-0.438480448,2.25242685,-0.233218703,1.076658507,-2.039329225,-1
25,MODEL1,PARMS,RB10,0.831052658,9.527165313,-0.12706667,-0.190207981,1.184372985,-0.23992439,1.502884139,-3.460393008,-1
26,MODEL1,PARMS,RB10,0.884972115,12.65766465,-0.051553584,-0.067961113,0.776765236,-0.46068518,2.062120231,-4.544452215,-1
27,MODEL1,PARMS,RB10,0.873234762,1.302194579,-0.045679297,-0.258326483,1.534338894,0.241654402,-0.954992888,2.310981359,-1
28,MODEL1,PARMS,RB10,0.850672681,11.06482858,-0.161149663,0.315538574,-1.401719332,-0.345774315,2.095324474,-4.509694941,-1
29,MODEL1,PARMS,RB10,0.853184293,5.389978242,-0.089516723,-0.081803995,0.791075474,-0.007449527,1.381542005,-3.585163856,-1
30,MODEL1,PARMS,RB10,0.804885866,15.04801998,0.130227845,-0.533920899,1.520415807,-0.657108561,3.026681788,-6.391151837,-1
31,MODEL1,PARMS,RB10,0.868108208,0.923203025,-0.204677973,0.398987871,-1.249619374,0.292050115,-0.180705587,-0.321267213,-1
32,MODEL1,PARMS,RB10,0.843402447,7.844244283,0.178610326,-0.157836537,-0.082472249,-0.253955965,1.376804763,-2.22893646,-1
33,MODEL1,PARMS,RB10,0.891773705,12.2092166,-0.024184786,-0.180595018,0.647085447,-0.452931115,2.28431178,-4.929984476,-1
34,MODEL1,PARMS,RB10,0.904630524,4.774223125,0.089089513,-0.657033818,2.895361219,-0.011127214,0.643563929,-1.401110729,-1
35,MODEL1,PARMS,RB10,0.820511597,5.609219034,0.075501358,-0.332282716,1.699381852,-0.077704106,1.23991208,-3.053500385,-1
36,MODEL1,PARMS,RB10,0.822124565,17.02965622,0.120923698,-0.531454291,2.395844263,-0.778084288,2.670546374,-5.024236937,-1
37,MODEL1,PARMS,RB10,0.830441258,27.86505525,0.115796957,-0.125962691,0.059217747,-1.443759173,4.692179202,-9.155104197,-1
38,MODEL1,PARMS,RB10,0.895390363,11.34604506,-0.011788504,-0.229649532,1.075072156,-0.394434815,2.05593871,-4.532179437,-1
39,MODEL1,PARMS,RB10,0.851497008,5.530253703,-0.008835889,-0.209381129,1.045722946,-0.037928548,0.989006891,-2.680354805,-1
40,MODEL1,PARMS,RB10,0.849349975,16.11425902,0.036697643,-0.171935424,0.848421765,-0.705007376,2.764127463,-5.32060435,-1
41,MODEL1,PARMS,RB10,0.818597876,8.970812727,-0.16879634,0.291505597,-0.60299731,-0.211289282,2.04661177,-5.067099085,-1
42,MODEL1,PARMS,RB10,0.854645059,14.19276035,0.121467029,-0.37650654,1.854887453,-0.617319724,3.018919592,-6.496804883,-1
43,MODEL1,PARMS,RB10,0.864639057,-4.163744406,-0.208637039,0.299870399,-0.912084534,0.608000504,-1.091348695,1.982445081,-1
44,MODEL1,PARMS,RB10,0.88202795,5.113173176,-0.357799118,0.573345805,-1.017837934,0.075350999,-0.686789905,2.22316364,-1
45,MODEL1,PARMS,RB10,0.902611041,-7.154422472,0.05641109,-0.55581983,2.821837179,0.704496994,-1.729293888,3.807844685,-1
46,MODEL1,PARMS,RB10,0.8992309,12.59480613,-0.238317319,0.610746709,-2.166696617,-0.432616165,2.749688107,-6.156867952,-1
47,MODEL1,PARMS,RB10,0.854452737,7.637209342,0.246750883,-0.617272898,2.25265819,-0.244245956,1.409454384,-3.194993231,-1
48,MODEL1,PARMS,RB10,0.996476704,5.771508457,-0.130904111,-0.020907628,0.487068196,-0.032095872,0.963230034,-1.986867082,-1
49,MODEL1,PARMS,RB10,0.819708454,6.144052585,0.096215614,-0.288500297,0.434584147,-0.110039804,1.294127938,-2.850740657,-1
50,MODEL1,PARMS,RB10,0.873107461,1.620936824,-0.155154516,0.00256915,0.991988266,0.237507718,0.142083588,-1.037021923,-1
51,MODEL1,PARMS,RB10,0.907549854,8.377452549,-0.171598851,0.279143233,-0.963164409,-0.178371501,0.647070656,-0.564504558,-1
52,MODEL1,PARMS,RB10,0.838871534,16.99676031,-0.126224139,0.166852831,-0.507388968,-0.700996838,2.398143619,-4.543621987,-1
53,MODEL1,PARMS,RB10,0.889743119,10.16412356,0.090343168,-0.499009633,2.323852267,-0.350443434,1.606162184,-3.480635166,-1
54,MODEL1,PARMS,RB10,0.82468879,16.71377574,-0.138900672,0.26971145,-0.509908303,-0.694307881,2.917113614,-6.084555395,-1
55,MODEL1,PARMS,RB10,0.853143473,5.847102921,-0.190436911,0.183176684,-0.062975573,-0.006970845,0.845124465,-1.976779377,-1
56,MODEL1,PARMS,RB10,0.893621787,8.881835548,-0.075194889,-0.605290354,3.261844447,-0.214261121,0.937866841,-1.579142647,-1
57,MODEL1,PARMS,RB10,0.790772899,1.898161015,-0.095992529,0.156245463,-0.511908893,0.187761098,1.1666011,-3.609836444,-1
58,MODEL1,PARMS,RB10,0.927930912,2.35881498,-0.062412411,-0.259693345,1.141342535,0.167763393,0.330931378,-1.171470402,-1
59,MODEL1,PARMS,RB10,0.835491797,2.05133494,0.062820676,-0.131355423,0.167278826,0.144053552,0.436489235,-1.384023387,-1
60,MODEL1,PARMS,RB10,0.887869905,3.830899136,-0.063745304,0.428702148,-1.926703303,0.067783189,0.14195159,-0.262365727,-1
