SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LB1
1,MODEL1,PARMS,LB1,0.725992074,9.77836723,0.042137707,-0.015513336,-0.030285395,-0.369296665,1.116881364,-1.853794895,-1
2,MODEL1,PARMS,LB1,0.799067645,19.18177697,-0.211331,0.604024506,-2.664726623,-0.854027681,2.02827202,-3.392196779,-1
3,MODEL1,PARMS,LB1,0.779063285,14.32645044,-0.040698416,0.211244456,-0.924697445,-0.622671154,1.832012205,-3.06940526,-1
4,MODEL1,PARMS,LB1,0.727241753,13.83647135,0.056079962,-0.32604858,1.193724252,-0.620356389,2.454148131,-4.870624195,-1
5,MODEL1,PARMS,LB1,0.703160799,21.84350394,0.12546606,-0.481326283,1.147953638,-1.103058174,3.178218587,-6.128451161,-1
6,MODEL1,PARMS,LB1,0.783215911,5.769166242,0.066515986,-0.390015715,1.563423225,-0.118230845,0.372672151,-0.368225981,-1
7,MODEL1,PARMS,LB1,0.70196173,4.248946789,0.062002684,-0.187950562,0.896000283,-0.029061445,0.445333048,-1.178037452,-1
8,MODEL1,PARMS,LB1,0.775144903,9.799746955,-0.030930669,0.206866907,-0.624962728,-0.36421139,1.661749562,-3.318950453,-1
9,MODEL1,PARMS,LB1,0.772653989,7.193405199,0.065886975,-0.270247909,1.110684701,-0.221851688,1.265949651,-2.608380944,-1
10,MODEL1,PARMS,LB1,0.822677062,-7.528393694,-0.099252764,0.082742043,-0.032471963,0.729669786,-2.205784448,4.529829181,-1
11,MODEL1,PARMS,LB1,0.717835641,2.713176195,0.233595261,-0.690701171,2.347064434,0.020196116,-0.028891483,0.030763798,-1
12,MODEL1,PARMS,LB1,0.773350159,15.79060928,-0.08140039,0.133947852,-0.539144688,-0.68966455,2.12561678,-3.92760422,-1
13,MODEL1,PARMS,LB1,0.786022796,-0.790873019,-0.015281714,0.026323617,-0.233368769,0.293272503,-1.456086087,4.024042226,-1
14,MODEL1,PARMS,LB1,0.773574483,-6.416920599,-0.037317362,0.434703728,-2.081886736,0.628174089,-1.791782068,3.361019837,-1
15,MODEL1,PARMS,LB1,0.826455943,5.153890617,-0.026055367,-0.011257092,0.077408334,-0.067863241,1.326531904,-3.436652394,-1
16,MODEL1,PARMS,LB1,0.748851397,10.72785161,0.087214407,-0.166958345,0.524366444,-0.442355054,1.780440302,-3.354245903,-1
17,MODEL1,PARMS,LB1,0.765228803,9.45697997,-0.064028127,0.399290313,-1.928306921,-0.325138448,0.737144208,-1.112240083,-1
18,MODEL1,PARMS,LB1,0.806236586,12.91775288,-0.074376663,0.139784428,-0.342344529,-0.530638714,2.350390271,-4.938291874,-1
19,MODEL1,PARMS,LB1,0.780894929,12.88527395,-0.06262829,0.083659858,-0.466820755,-0.514279486,0.723954429,-0.481535141,-1
20,MODEL1,PARMS,LB1,0.709209673,9.635929344,0.096380801,-0.083846716,-0.053960374,-0.376338767,1.069397522,-1.89106796,-1
21,MODEL1,PARMS,LB1,0.723542216,-3.969279303,-0.059372526,0.394101228,-1.879436229,0.488813104,-1.306186982,2.878052751,-1
22,MODEL1,PARMS,LB1,0.767795039,10.28894323,-0.064238409,-0.040964059,0.302230479,-0.363867232,1.794246748,-3.858505385,-1
23,MODEL1,PARMS,LB1,0.745186843,9.517080915,0.055117427,0.017439497,-0.517584185,-0.358729069,1.483389397,-3.266161078,-1
24,MODEL1,PARMS,LB1,0.773683591,7.567484394,-0.052645006,0.153429373,-0.763962238,-0.209960559,0.866676084,-1.819584324,-1
25,MODEL1,PARMS,LB1,0.816654726,7.970517853,-0.014684697,-0.141233928,0.204337196,-0.229722444,1.461148421,-3.157829659,-1
26,MODEL1,PARMS,LB1,0.745353471,6.043601555,0.142844691,-0.417776821,1.187247153,-0.164092202,0.993547429,-1.870219649,-1
27,MODEL1,PARMS,LB1,0.738530037,7.90107487,0.203960483,-0.647765068,2.028354909,-0.287435879,1.058172694,-2.278618575,-1
28,MODEL1,PARMS,LB1,0.777476685,5.669675812,-0.007564785,0.046806574,-0.673549962,-0.103000922,0.490590566,-0.979616692,-1
29,MODEL1,PARMS,LB1,0.833593599,6.015648612,0.075582609,-0.604237925,2.456173349,-0.138246813,1.37938827,-3.272478521,-1
30,MODEL1,PARMS,LB1,0.798059271,7.653883857,0.191531193,-0.527134704,1.409480254,-0.280869093,1.877994896,-4.307848523,-1
31,MODEL1,PARMS,LB1,0.854232362,13.2626264,-0.12994188,0.587295447,-2.818229742,-0.519763861,1.043188118,-1.785879963,-1
32,MODEL1,PARMS,LB1,0.757510552,14.1866934,-0.077993149,0.098792658,-0.604094823,-0.594562293,2.175113296,-4.281183204,-1
33,MODEL1,PARMS,LB1,0.780774908,16.65162616,0.150319518,-0.351397867,0.922744829,-0.815641585,3.237015134,-7.343547166,-1
34,MODEL1,PARMS,LB1,0.738025114,-3.105175928,0.16504404,-0.718561298,2.869499652,0.39419481,-0.879848186,1.62026665,-1
35,MODEL1,PARMS,LB1,0.742335962,-2.200493476,-0.047000811,0.170232682,-0.643613698,0.385781547,-1.037192823,2.052531587,-1
36,MODEL1,PARMS,LB1,0.680160008,5.939290214,0.171019846,-0.254553901,0.573192286,-0.172265212,0.615571276,-1.294357619,-1
37,MODEL1,PARMS,LB1,0.813808377,6.395283726,-0.2008182,0.608667474,-2.598658061,-0.093754407,0.220015043,-0.190723755,-1
38,MODEL1,PARMS,LB1,0.753903907,19.34346622,0.072218858,-0.306039653,1.119633688,-0.951832302,3.22858309,-6.741021548,-1
39,MODEL1,PARMS,LB1,0.853916596,-4.795948236,0.059269375,-0.016874511,-0.355275242,0.511535981,-0.893229914,1.290613711,-1
40,MODEL1,PARMS,LB1,0.726055147,7.835704082,-0.11858576,0.283926466,-1.191373594,-0.204139811,0.987203208,-2.033642204,-1
41,MODEL1,PARMS,LB1,0.821631149,7.060603749,-0.047466673,-0.104229098,0.787529145,-0.169578902,1.24394109,-2.947205265,-1
42,MODEL1,PARMS,LB1,0.763208813,14.76389994,0.052009806,0.07322887,-0.751305694,-0.688057569,2.788178659,-5.802877576,-1
43,MODEL1,PARMS,LB1,0.775278513,-1.920414631,-0.076776123,-0.253776792,1.485587573,0.396734013,-1.44950797,3.359872637,-1
44,MODEL1,PARMS,LB1,0.723935124,23.71231591,-0.132943822,0.516730435,-2.800244065,-1.161966017,3.179107266,-5.693251643,-1
45,MODEL1,PARMS,LB1,0.783093924,-1.97716891,0.062015876,-0.273478761,1.391327774,0.340392087,-0.825789998,1.745450081,-1
46,MODEL1,PARMS,LB1,0.756895312,5.405743268,-0.084355065,0.223655221,-0.712344525,-0.07902448,1.425415241,-3.343846095,-1
47,MODEL1,PARMS,LB1,0.761747681,3.58874466,0.075119872,-0.272662532,0.903961268,0.009768055,-0.127215079,0.430970595,-1
48,MODEL1,PARMS,LB1,0.740075468,3.339615188,0.016948088,0.112036612,-1.012940942,0.017785659,0.625050795,-1.2841984,-1
49,MODEL1,PARMS,LB1,0.864193548,3.267910011,0.007322324,-0.294465949,1.085987322,0.057699281,-0.364374769,0.887301961,-1
50,MODEL1,PARMS,LB1,0.846313078,8.330928414,-0.154440942,0.13898888,-0.160248596,-0.204472619,0.050589584,0.2902584,-1
51,MODEL1,PARMS,LB1,0.797853175,13.68831798,0.042124237,-0.053213655,0.101417711,-0.616579467,3.024006626,-6.664460242,-1
52,MODEL1,PARMS,LB1,0.792375038,9.004689757,-0.021505274,0.11361351,-0.727971327,-0.302322322,1.074453933,-1.766430483,-1
53,MODEL1,PARMS,LB1,0.73778897,11.28527021,0.196824483,-0.528489255,1.615978498,-0.492999381,1.704139202,-3.409538836,-1
54,MODEL1,PARMS,LB1,0.769942018,7.725994609,0.084375377,-0.165804771,0.25626822,-0.259847304,1.530052256,-3.380307224,-1
55,MODEL1,PARMS,LB1,0.880961584,14.95544856,-0.095245272,0.190108655,-1.401901851,-0.618302761,1.462589571,-2.635146661,-1
56,MODEL1,PARMS,LB1,0.688510506,-0.934966184,-0.026010835,-0.056997476,-0.130770594,0.313154745,-1.105780536,2.653787717,-1
57,MODEL1,PARMS,LB1,0.791135235,2.74538884,-0.005524894,0.086987111,-0.396774483,0.065636402,0.395610842,-0.888072393,-1
58,MODEL1,PARMS,LB1,0.826416203,11.44909105,0.014552357,-0.030796893,-0.236101869,-0.463173498,1.677455039,-2.984060774,-1
59,MODEL1,PARMS,LB1,0.73028756,5.941057829,0.042226849,0.024516789,-0.320009847,-0.142698311,0.684523698,-1.298366983,-1
60,MODEL1,PARMS,LB1,0.813334023,13.58656393,-0.134513954,0.740633239,-3.391791372,-0.552076644,1.593576095,-3.034568686,-1
61,MODEL1,PARMS,LB1,0.866872053,20.42881331,-0.225491377,0.422235901,-1.36940465,-0.941581984,3.645779561,-7.429837707,-1
62,MODEL1,PARMS,LB1,0.811439363,8.490901825,0.10468293,-0.26052387,0.753146853,-0.303486891,1.204902939,-2.224209652,-1
63,MODEL1,PARMS,LB1,0.797407445,14.7265848,-0.113811668,0.286285039,-1.59072269,-0.619640098,2.235438597,-4.467191669,-1
64,MODEL1,PARMS,LB1,0.77115633,7.307088272,-0.021431855,0.115592221,-0.771897957,-0.190261321,0.143982548,0.093762488,-1
65,MODEL1,PARMS,LB1,0.69743559,7.058919031,0.038860598,-0.084031733,0.060306172,-0.198914627,0.817585055,-1.466152236,-1
66,MODEL1,PARMS,LB1,0.765349053,17.50036196,-0.085128104,0.487589978,-2.480513069,-0.808888741,2.598374611,-4.858642841,-1
