SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sRB10
1,MODEL1,PARMS,sRB10,0.930058242,-3.259764017,-0.120543772,0.782173297,-2.648896258,0.418020514,-1.323932859,3.417110149,-1
2,MODEL1,PARMS,sRB10,0.873299661,2.981354514,-0.229202212,0.558718402,-2.218918837,0.099865872,-0.713644298,1.860011738,-1
3,MODEL1,PARMS,sRB10,0.855497818,-2.265681507,-0.101066832,0.04468934,0.311302303,0.383332142,-1.48048325,3.735508489,-1
4,MODEL1,PARMS,sRB10,0.855017087,5.044593875,-0.004663373,-0.018742549,0.213105395,-0.090663242,0.498111223,-0.658813536,-1
5,MODEL1,PARMS,sRB10,0.916088884,13.55639738,0.033374818,0.249064444,-1.585893787,-0.625641702,2.488091084,-5.17899947,-1
6,MODEL1,PARMS,sRB10,0.934736524,4.299386739,-0.226489762,0.271013841,-0.852881199,0.029877977,-0.710097619,2.585271864,-1
7,MODEL1,PARMS,sRB10,0.897266078,-4.679114367,0.010998036,-0.178535503,1.857268139,0.502682276,-2.351132531,5.574635094,-1
8,MODEL1,PARMS,sRB10,0.89182232,12.96785359,-0.111605803,0.113689853,-0.264129567,-0.524887436,1.213688398,-2.356801507,-1
9,MODEL1,PARMS,sRB10,0.908076471,3.772854645,-0.036960567,0.295418286,-1.367088558,-0.008583391,-0.022493778,0.314582525,-1
10,MODEL1,PARMS,sRB10,0.866421087,-4.045161883,-0.043260946,0.116584534,-0.280524564,0.470807521,-1.305575577,3.226532315,-1
11,MODEL1,PARMS,sRB10,0.909920384,-3.252847838,0.290595301,-0.945779676,3.360593215,0.353609994,-1.433292883,3.302905038,-1
12,MODEL1,PARMS,sRB10,0.860808132,-2.52800736,-0.00181755,-0.197775042,1.132054111,0.382197511,-1.567810327,3.566281613,-1
13,MODEL1,PARMS,sRB10,0.89156934,-7.905263373,-0.104775872,0.382829845,-1.358300232,0.728199263,-3.563121629,8.619955977,-1
14,MODEL1,PARMS,sRB10,0.922925291,1.957886614,-0.027005953,0.615592844,-2.169922594,0.062254838,0.827335955,-1.599848689,-1
15,MODEL1,PARMS,sRB10,0.955285413,-6.362385255,-0.115520826,0.350260469,-0.936437793,0.631733572,-2.593241758,6.283381932,-1
16,MODEL1,PARMS,sRB10,0.890896923,12.06375876,0.057041566,-0.223628024,1.158665058,-0.523773748,0.703357078,-0.413994366,-1
17,MODEL1,PARMS,sRB10,0.920025213,7.690615555,-0.025226358,0.201064972,-0.758488481,-0.248564458,0.035453582,0.471744041,-1
18,MODEL1,PARMS,sRB10,0.896586102,10.4894495,-0.157717188,0.560299372,-2.0543756,-0.382683458,1.195673434,-1.88222698,-1
19,MODEL1,PARMS,sRB10,0.969014631,9.375943657,-0.09022571,0.383884149,-2.293197306,-0.328675189,-0.240720019,2.28903583,-1
20,MODEL1,PARMS,sRB10,0.801187807,-9.394540263,0.092254118,-0.275124829,1.310280904,0.765789894,-2.097741729,4.117399159,-1
21,MODEL1,PARMS,sRB10,0.815908889,2.310739166,0.065117073,-0.301814307,1.379648817,0.064445572,0.064053169,-0.242586013,-1
22,MODEL1,PARMS,sRB10,0.872298079,0.888684263,0.010467097,0.319045672,-1.67377387,0.147852738,-0.186890865,0.35092302,-1
23,MODEL1,PARMS,sRB10,0.946214125,0.098716196,0.140393687,-0.146218389,0.42861466,0.162053621,-0.41821551,1.133629828,-1
24,MODEL1,PARMS,sRB10,0.797256762,2.171429026,-0.104108334,0.311643669,-1.090699368,0.112642582,-1.046565122,2.91712083,-1
25,MODEL1,PARMS,sRB10,0.929019326,1.395039774,-0.07521301,0.106070614,-0.161147353,0.161195164,-0.663207303,1.563591722,-1
26,MODEL1,PARMS,sRB10,0.93201095,17.68082535,-0.072178679,0.371480416,-1.646547269,-0.832067166,2.108852423,-3.880731172,-1
27,MODEL1,PARMS,sRB10,0.893618058,-3.582297459,-0.0495502,0.422533802,-1.769912198,0.43903972,-1.332752293,3.049859396,-1
28,MODEL1,PARMS,sRB10,0.936074604,3.698083027,-0.16750616,0.640119475,-2.488814028,0.021626599,0.238240017,-0.226898031,-1
29,MODEL1,PARMS,sRB10,0.967435773,7.650667097,-0.013939899,0.046238938,-0.303068083,-0.248735717,1.814856027,-4.225652328,-1
30,MODEL1,PARMS,sRB10,0.86765883,11.53117663,0.091282928,-0.333177355,0.712534649,-0.500026934,1.561996498,-2.756553232,-1
31,MODEL1,PARMS,sRB10,0.94298917,0.029152393,-0.205957358,0.788988565,-2.283152645,0.250465418,0.050600374,-0.595426021,-1
32,MODEL1,PARMS,sRB10,0.892168794,1.120917453,0.284893666,-0.330183695,0.769105964,0.060911482,-0.109948039,0.513231238,-1
33,MODEL1,PARMS,sRB10,0.840364152,11.76390347,0.067765533,-0.12308724,-0.259749848,-0.51954362,1.785459242,-3.347311076,-1
34,MODEL1,PARMS,sRB10,0.941055044,-8.866080119,0.118840543,-0.419053688,1.854122543,0.73200818,-2.742521433,6.543934058,-1
35,MODEL1,PARMS,sRB10,0.845432425,6.412690693,0.002035021,0.216915536,-0.358485124,-0.182645075,0.598084025,-1.116313026,-1
36,MODEL1,PARMS,sRB10,0.91910594,8.693506258,-0.034816078,0.370191307,-1.241190866,-0.313478006,1.007174955,-1.67482106,-1
37,MODEL1,PARMS,sRB10,0.857148267,8.638843396,0.118883886,-0.077538383,0.182485196,-0.350151607,0.949261519,-1.573966194,-1
38,MODEL1,PARMS,sRB10,0.918335746,4.810895421,0.072606035,-0.247263098,1.194277113,-0.092435238,-0.139840971,1.112202542,-1
39,MODEL1,PARMS,sRB10,0.890032828,0.465035592,-0.069192288,0.13523924,-0.357565738,0.201518214,-0.015103685,-0.382775701,-1
40,MODEL1,PARMS,sRB10,0.837901841,9.998133152,0.031828977,0.244615531,-0.713230622,-0.413100893,0.996064909,-1.2337441,-1
41,MODEL1,PARMS,sRB10,0.997238706,-5.667598402,0.123135185,-0.408668622,1.832888828,0.524945064,-0.400083092,-0.016120622,-1
42,MODEL1,PARMS,sRB10,0.875574432,12.55728003,-0.064971872,0.098376244,0.513232298,-0.52938533,1.298737504,-2.189677929,-1
43,MODEL1,PARMS,sRB10,0.914754928,-7.573188948,-0.127142704,0.250039684,-0.397540768,0.737719356,-4.371775809,10.76230622,-1
44,MODEL1,PARMS,sRB10,0.84767621,13.26294558,-0.266901759,0.594435515,-1.311733438,-0.518037187,0.619428611,-0.25460536,-1
45,MODEL1,PARMS,sRB10,0.963593351,-12.87939744,0.005741752,-0.19348053,1.809861428,0.983708255,-2.459329127,5.137460892,-1
46,MODEL1,PARMS,sRB10,0.981103836,7.424374672,-0.082709331,0.390035519,-1.802889849,-0.225153296,1.086959853,-2.248414624,-1
47,MODEL1,PARMS,sRB10,0.942992178,0.924928677,0.224352793,-0.371231119,1.105087427,0.092785742,-0.657794169,2.292706033,-1
48,MODEL1,PARMS,sRB10,0.975680162,2.243907323,-0.048879779,0.144565686,-0.17088243,0.073736906,0.158895463,0.013804302,-1
49,MODEL1,PARMS,sRB10,0.882648481,-6.55884291,0.060345007,-0.071434119,-0.333459359,0.605967326,-2.587597539,6.190261837,-1
50,MODEL1,PARMS,sRB10,0.901309843,5.643379044,-0.032474961,0.042005628,0.617229219,-0.12005512,0.546893204,-1.215450561,-1
51,MODEL1,PARMS,sRB10,0.908393953,1.914371207,-0.042470451,0.090815479,-0.38756242,0.099603262,-0.323542086,1.248173084,-1
52,MODEL1,PARMS,sRB10,0.86171952,8.313478637,0.072019532,-0.287125639,1.09970665,-0.299792984,0.394016655,0.373013241,-1
53,MODEL1,PARMS,sRB10,0.888097961,5.015725824,0.066348516,-0.441786837,2.413001114,-0.105754965,0.620911597,-1.249532549,-1
54,MODEL1,PARMS,sRB10,0.885277541,5.089078702,-0.081583741,0.134015624,-0.005667177,-0.071933458,0.310739723,-0.691914928,-1
55,MODEL1,PARMS,sRB10,0.900496756,5.087264514,-0.190967656,0.346766854,-0.977763175,-0.034611596,-0.074402041,0.63241397,-1
56,MODEL1,PARMS,sRB10,0.898892286,2.068002871,-0.152333156,-0.079876667,0.86482918,0.147571598,-0.814822499,1.94102952,-1
57,MODEL1,PARMS,sRB10,0.835818318,4.145981912,-0.020078386,-0.040738801,0.340661372,-0.035863184,1.571738866,-4.561176373,-1
58,MODEL1,PARMS,sRB10,0.832523835,2.839580257,-0.074988576,0.052140144,0.218914018,0.069768931,-0.750503476,2.219900039,-1
59,MODEL1,PARMS,sRB10,0.866922036,0.48210666,-0.040678287,0.08735549,-0.046534934,0.202573073,-0.691800631,1.34417105,-1
60,MODEL1,PARMS,sRB10,1.031092058,-5.406883675,0.099486325,0.084095436,-0.231259999,0.513099946,-2.424690674,6.022873476,-1
61,MODEL1,PARMS,sRB10,0.989670935,3.833772947,-0.144047656,0.112178321,1.106192253,0.023082541,0.473573261,-1.082688136,-1
62,MODEL1,PARMS,sRB10,0.926038339,-10.49926314,0.080642784,-0.301765907,1.104819144,0.854493992,-3.910650221,8.652684974,-1
63,MODEL1,PARMS,sRB10,0.948298376,16.30925657,-0.024473604,0.074571408,-0.381573906,-0.779989846,3.778164003,-8.537885446,-1
64,MODEL1,PARMS,sRB10,0.891784315,-0.639831528,0.018467526,0.033075689,0.116457254,0.250677255,-0.88548578,2.261163505,-1
65,MODEL1,PARMS,sRB10,0.857519948,-3.035160277,-0.120769806,0.251203181,-0.916730418,0.438592271,-1.814813916,3.863625397,-1
66,MODEL1,PARMS,sRB10,0.888172941,7.043785162,-0.067858247,0.424161731,-2.016907301,-0.199525538,0.282280189,0.171166367,-1
67,MODEL1,PARMS,sRB10,0.873964063,2.438696415,0.010202174,-0.125502475,0.561772531,0.073199829,-0.203191117,0.540011364,-1
68,MODEL1,PARMS,sRB10,0.888079139,1.83576614,0.198328958,-0.502020249,1.52666122,0.057016759,-0.72417114,2.5253077,-1
69,MODEL1,PARMS,sRB10,0.863853509,-7.52814598,0.204781254,-0.247127949,0.292556707,0.618338679,-2.397049328,5.86199702,-1
70,MODEL1,PARMS,sRB10,0.814235415,-3.427868137,-0.014320581,0.30417487,-1.006713244,0.412272828,-1.00617772,2.275659973,-1
71,MODEL1,PARMS,sRB10,1.0469998,8.318233801,-0.305901121,0.972519599,-3.49879455,-0.209105224,0.662486661,-1.442310973,-1
72,MODEL1,PARMS,sRB10,0.866803347,4.427592714,-0.113080171,0.464944972,-1.929200286,-0.0196088,-0.44548434,1.171410369,-1
73,MODEL1,PARMS,sRB10,0.926878234,12.98194667,-0.06635251,0.399746077,-1.814107934,-0.573609973,2.5665923,-5.019835111,-1
74,MODEL1,PARMS,sRB10,0.976201446,2.478401923,0.110879023,-0.270130165,1.634025908,0.025101983,0.498706686,-0.738466995,-1
75,MODEL1,PARMS,sRB10,0.958985372,10.80002311,0.107798058,0.087513886,-0.087526156,-0.48394548,1.899096952,-3.766933189,-1
76,MODEL1,PARMS,sRB10,0.784891786,9.192733331,-0.109129825,0.439631145,-1.241467071,-0.316897658,0.597729067,-0.472249575,-1
77,MODEL1,PARMS,sRB10,0.892981246,1.968661232,0.073760561,-0.022516659,-0.259027908,0.064470356,0.467914828,-1.164050489,-1
78,MODEL1,PARMS,sRB10,0.883827295,-0.077993804,-0.212008098,0.505628981,-1.469015794,0.275937114,-0.556980007,0.971280135,-1
79,MODEL1,PARMS,sRB10,0.885304036,8.647877415,-0.163481966,0.386062841,-1.156391785,-0.261363252,-0.026067599,1.04012021,-1
80,MODEL1,PARMS,sRB10,0.842531875,3.667500224,0.010101309,-0.203079675,1.37694194,-0.002859134,-0.389887438,1.384866894,-1
