SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,sLB1
1,MODEL1,PARMS,sLB1,0.595884711,0.850962807,0.11108937,-0.255776852,1.088428371,0.103599972,-0.329531201,0.810911782,-1
2,MODEL1,PARMS,sLB1,0.576181179,3.995311401,-0.029721967,0.103180474,-0.41872517,-0.053505037,0.251517095,-0.232242906,-1
3,MODEL1,PARMS,sLB1,0.54792382,12.18359563,0.006862597,0.007644946,0.188907398,-0.560646183,1.788688434,-3.210203975,-1
4,MODEL1,PARMS,sLB1,0.544604726,9.092508331,0.053036638,-0.035985867,0.072522028,-0.396474108,1.648129944,-3.177454952,-1
5,MODEL1,PARMS,sLB1,0.59613932,7.05944069,0.08777588,-0.257195978,1.047046442,-0.268438707,1.102036312,-2.153867657,-1
6,MODEL1,PARMS,sLB1,0.612994063,3.573569723,-0.039909209,0.18386934,-0.751866971,-0.025600266,0.036746842,0.456101781,-1
7,MODEL1,PARMS,sLB1,0.653968057,-9.425249269,0.033763405,-0.139194931,1.391970937,0.754206099,-2.454508236,5.16293482,-1
8,MODEL1,PARMS,sLB1,0.596405215,1.98848747,0.041996441,-0.10737937,0.879433898,0.04706571,-0.076134559,0.424467958,-1
9,MODEL1,PARMS,sLB1,0.603242852,2.300434551,0.038857958,-0.152099039,0.621806281,0.026468546,0.361062391,-0.628802449,-1
10,MODEL1,PARMS,sLB1,0.648097521,-3.61076974,-0.069212531,0.098585674,-0.163753439,0.429421842,-1.834215388,4.323479529,-1
11,MODEL1,PARMS,sLB1,0.585717095,1.084266507,0.091932075,-0.210119768,0.511074715,0.094701413,0.074412478,-0.294856652,-1
12,MODEL1,PARMS,sLB1,0.578177785,4.086808077,0.071867068,-0.217646417,0.912147765,-0.08474892,0.339638834,-0.4855397,-1
13,MODEL1,PARMS,sLB1,0.6025561,0.60733347,0.101658095,0.056692342,-0.69028783,0.114911337,-0.90772427,2.778187884,-1
14,MODEL1,PARMS,sLB1,0.590017087,-5.196455843,0.04243661,0.278796946,-1.538010459,0.475863933,-1.504435479,3.055697733,-1
15,MODEL1,PARMS,sLB1,0.595842041,-1.142873574,0.055119221,-0.112697095,0.565141337,0.23859417,-0.0970938,-0.236907458,-1
16,MODEL1,PARMS,sLB1,0.52060307,0.25820968,0.06540119,-0.032261926,0.31774456,0.141716843,-0.167545738,0.577067641,-1
17,MODEL1,PARMS,sLB1,0.559491774,1.413337726,0.037115862,0.249359198,-1.380524567,0.072909508,0.064418057,-0.092742985,-1
18,MODEL1,PARMS,sLB1,0.605013611,11.21764758,-0.017553382,0.202252245,-0.803489246,-0.505037283,2.087933365,-3.998938536,-1
19,MODEL1,PARMS,sLB1,0.596880464,9.658180235,-0.001532316,0.201728099,-0.901406917,-0.413548233,1.226425163,-1.990486451,-1
20,MODEL1,PARMS,sLB1,0.586079323,1.667677152,0.050935998,-0.179035496,0.789896401,0.06866709,0.044371174,-0.233094852,-1
21,MODEL1,PARMS,sLB1,0.556687389,0.609006092,0.066507085,0.025169851,-0.181130306,0.12351291,-0.347248516,0.881881512,-1
22,MODEL1,PARMS,sLB1,0.59987812,5.365342018,0.075495841,-0.101724872,0.281506549,-0.167437487,1.070652822,-2.397564359,-1
23,MODEL1,PARMS,sLB1,0.607107349,8.432805356,-0.036224891,0.281482811,-0.929948847,-0.321652941,1.035540932,-2.110372785,-1
24,MODEL1,PARMS,sLB1,0.577710124,-1.616984889,0.006461693,0.060843821,-0.193451602,0.276411278,-0.718296195,1.528899626,-1
25,MODEL1,PARMS,sLB1,0.597102968,2.997995149,0.0290229,-0.186178455,0.238345813,0.007189278,0.39133393,-0.907830231,-1
26,MODEL1,PARMS,sLB1,0.602715019,5.901849569,0.19450026,-0.497369923,2.001717294,-0.230057012,1.029080463,-1.90074992,-1
27,MODEL1,PARMS,sLB1,0.593566991,-3.546414671,0.097428341,-0.096390043,0.309474667,0.373840825,-1.47102464,3.334732964,-1
28,MODEL1,PARMS,sLB1,0.561068181,6.824479846,-0.078245184,0.388544784,-1.72891988,-0.217363226,0.980522891,-1.912058651,-1
29,MODEL1,PARMS,sLB1,0.597346566,4.83088341,0.037749256,-0.343813176,1.54105218,-0.115551524,0.933518131,-1.988010164,-1
30,MODEL1,PARMS,sLB1,0.576609275,7.247025204,0.141927901,-0.260373068,0.521844838,-0.302523354,1.927431305,-4.505966084,-1
31,MODEL1,PARMS,sLB1,0.632970726,-1.191077893,-0.02540261,0.085035092,0.040154369,0.260096073,-0.365165185,0.783056605,-1
32,MODEL1,PARMS,sLB1,0.631819722,4.450766431,-0.046004774,0.165231747,-0.57635417,-0.076577355,0.572633939,-0.965071173,-1
