SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RMB
1,MODEL1,PARMS,RMB,1.503662264,-2.039853813,0.381646425,-1.329134297,5.644134087,0.88426533,-3.172717987,7.764977549,-1
2,MODEL1,PARMS,RMB,1.592952744,-18.00925233,0.077561688,-0.735379844,3.433181488,1.919131654,-6.313259027,14.81595341,-1
3,MODEL1,PARMS,RMB,1.545956414,10.69508133,0.183266576,-0.27734043,0.476523672,0.133646316,-0.160140897,1.208602179,-1
4,MODEL1,PARMS,RMB,1.523001708,15.10776101,0.235631764,-1.066428176,4.013985453,-0.114997675,0.077425354,0.590736142,-1
5,MODEL1,PARMS,RMB,1.549866082,-8.657018883,0.650588666,-2.126211907,7.785888435,1.206952301,-3.061665033,6.009029574,-1
6,MODEL1,PARMS,RMB,1.621946872,3.905655243,-0.226866051,-0.029406074,0.605233613,0.695957702,-2.29774673,5.886708092,-1
7,MODEL1,PARMS,RMB,1.592945577,-8.668235158,0.020189103,-0.289994597,2.103020496,1.363769467,-3.072543511,6.383118499,-1
8,MODEL1,PARMS,RMB,1.606879141,2.429488869,0.562650093,-1.332792199,4.026076913,0.539285696,0.247152445,-1.434160901,-1
9,MODEL1,PARMS,RMB,1.647530328,-4.013245525,0.532570417,-1.568180699,5.229757045,0.922650042,-0.356679101,-0.014797049,-1
10,MODEL1,PARMS,RMB,1.660480662,3.323294638,0.03002504,-0.367189968,1.547729771,0.652656585,-2.133531135,4.819463207,-1
11,MODEL1,PARMS,RMB,1.628430091,6.329370326,0.544458178,-1.695324219,5.951398457,0.31584144,-0.390451561,1.085901698,-1
12,MODEL1,PARMS,RMB,1.550031017,1.504294281,0.286187784,-0.560602707,1.764407748,0.65226723,-1.081355051,2.92532681,-1
13,MODEL1,PARMS,RMB,1.536982818,-20.25398077,0.193223885,-0.959301405,4.164307508,2.027462631,-6.096203395,13.19718014,-1
14,MODEL1,PARMS,RMB,1.53600935,-8.106080901,0.31264327,-0.857374529,2.922707151,1.243551008,-3.934062436,8.783531404,-1
15,MODEL1,PARMS,RMB,1.578523227,-9.812342442,0.084880854,-0.495936984,2.269045532,1.393218691,-2.926496185,5.434087159,-1
16,MODEL1,PARMS,RMB,1.408053199,-5.064285083,0.428702706,-1.008911545,4.114682664,1.010042457,-2.208224089,5.619644811,-1
17,MODEL1,PARMS,RMB,1.673906123,7.34316525,0.080503761,-0.689003523,2.55004516,0.371235228,0.636975203,-1.575000828,-1
18,MODEL1,PARMS,RMB,1.604726101,20.65357008,0.108632916,-0.41097972,1.024872379,-0.425464784,1.078843715,-1.382214037,-1
19,MODEL1,PARMS,RMB,1.611153253,14.09569883,0.444110756,-1.379584696,4.836597825,-0.144126943,1.422465922,-2.728270067,-1
