SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LMB
1,MODEL1,PARMS,LMB,1.369979951,8.98740578,0.634320373,-1.542341978,6.232513588,0.014180464,-2.736937612,8.336689706,-1
2,MODEL1,PARMS,LMB,1.302605274,3.107633072,0.326414056,-0.571770246,2.380532917,0.405587578,-1.087459022,3.394823383,-1
3,MODEL1,PARMS,LMB,1.23128923,10.541003,0.334625404,-0.591275537,2.020235135,-0.047815931,0.516861735,-0.524229627,-1
4,MODEL1,PARMS,LMB,1.258809501,19.13752637,0.19530537,-0.549510028,2.52853257,-0.528623029,2.88470247,-5.746538918,-1
5,MODEL1,PARMS,LMB,1.314582378,-0.434750503,0.577256476,-1.600905407,6.330234018,0.596742975,-2.748991881,6.067786892,-1
6,MODEL1,PARMS,LMB,1.325471445,19.14594136,-0.100429768,0.042965016,0.397773025,-0.431004941,1.609060925,-1.705639361,-1
7,MODEL1,PARMS,LMB,1.283260852,2.223332274,0.379173611,-0.412198791,2.048998341,0.44276325,-1.231610098,3.52686866,-1
8,MODEL1,PARMS,LMB,1.29662148,-6.737611773,0.398490768,-0.707708006,2.474788694,0.990393062,-2.330742767,5.346141818,-1
9,MODEL1,PARMS,LMB,1.306008081,-0.286971887,0.61628351,-1.454153667,5.331142373,0.519200263,0.836709883,-2.610794471,-1
10,MODEL1,PARMS,LMB,1.331294417,6.740363879,0.334961129,-0.706354911,2.994874105,0.212452601,-1.981514291,5.55595638,-1
11,MODEL1,PARMS,LMB,1.211429492,15.88960456,0.29143279,-0.820289414,4.064238118,-0.341703616,1.434537773,-2.609174717,-1
12,MODEL1,PARMS,LMB,1.334994972,17.05480407,0.266230466,-0.286015539,0.587931992,-0.430021575,1.714924612,-2.183017451,-1
13,MODEL1,PARMS,LMB,1.344048807,8.425050777,0.217536622,-0.502709325,3.110400995,0.133338618,-1.943927337,6.486093363,-1
14,MODEL1,PARMS,LMB,1.195462744,14.39959926,0.254514772,-0.141909876,0.698648377,-0.263534934,0.37872287,0.43908648,-1
15,MODEL1,PARMS,LMB,1.264968151,-6.162333345,0.461450744,-1.019184457,4.407814335,0.928185492,-2.317362943,4.782939487,-1
16,MODEL1,PARMS,LMB,1.212734024,6.838513201,0.312702125,-0.53655404,2.732868448,0.182189626,-0.962959163,3.902501203,-1
