SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,BronInt
1,MODEL1,PARMS,BronInt,1.140835002,-0.044393109,0.165684229,-0.064102864,0.308925069,0.541004252,-2.064104663,5.211944122,-1
2,MODEL1,PARMS,BronInt,1.233172879,5.816880104,0.028546553,0.130053462,-1.05801107,0.212682123,0.206021164,-0.406712171,-1
3,MODEL1,PARMS,BronInt,1.252181966,1.88425788,0.171340933,-0.513323797,2.127598819,0.439092129,-2.241895421,5.469429258,-1
4,MODEL1,PARMS,BronInt,1.237953413,5.492747318,0.068299406,-0.151862211,0.783453952,0.227016677,0.966486238,-2.579055281,-1
5,MODEL1,PARMS,BronInt,1.324797506,-5.375994407,0.44360257,-0.994098155,3.282129448,0.803987087,-2.283858129,3.952675995,-1
6,MODEL1,PARMS,BronInt,1.233596336,0.562269764,-0.018630779,-0.131066519,0.36051683,0.579698852,-0.939616075,1.975411491,-1
7,MODEL1,PARMS,BronInt,1.168604197,2.30770424,0.163382989,0.029234254,-0.688381461,0.376966603,0.576593457,-1.77850016,-1
8,MODEL1,PARMS,BronInt,1.231630033,9.232257959,0.023810219,0.114394943,-0.790541181,0.015433705,0.639265572,-0.763050979,-1
9,MODEL1,PARMS,BronInt,1.307968747,9.45205408,0.264321209,-0.581074501,1.550995659,-0.063480506,1.333559346,-3.088997522,-1
10,MODEL1,PARMS,BronInt,1.348177801,16.86784744,0.098128096,-0.011166469,-0.074640246,-0.458133751,1.368497448,-2.354273009,-1
11,MODEL1,PARMS,BronInt,1.217906765,1.669713878,0.455132151,-1.25528071,4.5301016,0.367236994,-1.013947965,2.386976124,-1
12,MODEL1,PARMS,BronInt,1.256913366,3.541097038,0.192012218,-0.295762999,0.631061138,0.336840228,-0.967149929,2.147142636,-1
13,MODEL1,PARMS,BronInt,1.427119164,-14.17999703,0.205575809,-0.483765739,2.047522096,1.38757554,-3.707694362,7.87631297,-1
14,MODEL1,PARMS,BronInt,1.198159859,6.859004977,0.151768507,0.029838676,-0.082553203,0.110244464,-0.349075299,1.260809872,-1
15,MODEL1,PARMS,BronInt,1.362070934,2.657129149,0.053896092,-0.22977239,1.177399942,0.405753487,0.057691758,-0.868675833,-1
16,MODEL1,PARMS,BronInt,1.201261911,25.13777626,0.527954051,-0.93217319,3.128696574,-1.098855002,3.669833296,-6.570555341,-1
17,MODEL1,PARMS,BronInt,1.272034027,9.621932363,-0.136411582,0.240571962,-0.910055847,0.053210394,0.217358973,-0.16585328,-1
18,MODEL1,PARMS,BronInt,1.28997958,-0.030130752,0.160549403,-0.1333635,0.549218985,0.530694372,-0.652191238,0.706587846,-1
19,MODEL1,PARMS,BronInt,1.320390461,3.893494248,0.400871883,-0.775453888,1.694077758,0.224106576,0.364887131,-0.807778321,-1
20,MODEL1,PARMS,BronInt,1.155235987,-14.69294516,0.43156949,-0.826607221,2.741311579,1.352781622,-2.614358782,4.759304095,-1
21,MODEL1,PARMS,BronInt,1.264466579,-0.980614649,0.232421917,-0.456296825,1.565630618,0.586596303,-1.58471742,3.217138719,-1
22,MODEL1,PARMS,BronInt,1.191059286,-13.14592351,0.433892304,-0.842038503,2.626448146,1.2690699,-3.797702513,8.426661542,-1
23,MODEL1,PARMS,BronInt,1.389223783,-9.525107614,0.185381909,-0.27175932,1.540801893,1.125411824,-3.308901689,6.674985664,-1
24,MODEL1,PARMS,BronInt,1.202073607,-4.018421082,0.095278594,-0.721546317,2.700660533,0.841992689,-2.547195063,5.395277168,-1
25,MODEL1,PARMS,BronInt,1.220922144,-2.635690467,-0.068374986,-0.12074005,0.416960041,0.793497302,-2.038826534,3.647290738,-1
26,MODEL1,PARMS,BronInt,1.211744238,6.293883154,-0.002390039,0.262399324,-1.627368471,0.200090239,1.227728094,-3.896815271,-1
27,MODEL1,PARMS,BronInt,1.323214308,-13.10632479,0.255512643,-0.958194848,3.365733804,1.316972135,-3.163271371,6.014745453,-1
28,MODEL1,PARMS,BronInt,1.300138486,18.01548104,0.054756028,0.150450719,-1.259986385,-0.531406629,3.015942665,-7.195687516,-1
29,MODEL1,PARMS,BronInt,1.261781879,17.2595567,0.199819505,-0.755225391,2.47570108,-0.497745408,2.131883581,-4.992299659,-1
30,MODEL1,PARMS,BronInt,1.198729826,20.59764561,0.249903129,-0.618354631,1.346918032,-0.73021011,3.299702467,-6.469983255,-1
31,MODEL1,PARMS,BronInt,1.280311363,3.708229482,0.172584234,-0.268685002,0.647923737,0.299717124,1.159961544,-4.096225053,-1
32,MODEL1,PARMS,BronInt,1.168556389,1.841733655,0.3097215,-0.373352148,1.104574363,0.356882841,0.513716033,-1.070341468,-1
33,MODEL1,PARMS,BronInt,1.32115854,0.563290784,0.185878181,-0.975773523,3.56163766,0.509248328,0.865651583,-4.082301194,-1
34,MODEL1,PARMS,BronInt,1.300208721,18.34404629,0.103386153,-0.205857793,1.08719512,-0.568908719,2.488022244,-4.751587485,-1
35,MODEL1,PARMS,BronInt,1.259903021,2.4898793,0.104479456,0.347823347,-1.603329252,0.393284839,-0.905163868,1.851402716,-1
36,MODEL1,PARMS,BronInt,1.239019164,-2.866934597,0.237254014,-0.515169275,2.066995066,0.690545806,-0.315452104,0.21518262,-1
37,MODEL1,PARMS,BronInt,1.151015741,9.022425712,0.382140793,-0.562554746,1.254452905,-0.069693963,1.013124564,-2.529473419,-1
38,MODEL1,PARMS,BronInt,1.319124983,22.21491376,0.044581081,0.035290851,0.35407316,-0.777533581,3.096798875,-6.06566187,-1
39,MODEL1,PARMS,BronInt,1.210236104,3.182416756,0.157065142,-0.304068636,0.737940668,0.35118075,-0.051697588,0.192231059,-1
40,MODEL1,PARMS,BronInt,1.219382783,6.502483047,0.277924732,-0.417802092,1.901107495,0.107457859,0.079983821,-0.386457852,-1
41,MODEL1,PARMS,BronInt,1.159805921,14.44627522,-0.10421966,0.272866645,-1.160017145,-0.260147212,1.269841393,-2.706809533,-1
42,MODEL1,PARMS,BronInt,1.191077752,3.550216446,0.207036861,-0.383618022,1.789464905,0.315818162,-1.503058574,4.063989458,-1
43,MODEL1,PARMS,BronInt,1.189306282,10.46997713,-0.080536596,0.184000463,-0.22768665,-0.030691521,0.543559304,-1.17682271,-1
44,MODEL1,PARMS,BronInt,1.22341344,-17.70498325,0.212547467,-0.180091824,0.927236093,1.591028152,-4.055960458,8.353253968,-1
45,MODEL1,PARMS,BronInt,1.323089188,-11.39864546,0.291621111,-0.889441266,3.284843025,1.193893864,-2.670268313,5.236138931,-1
46,MODEL1,PARMS,BronInt,1.24892856,5.365098123,0.071773196,0.353764337,-1.748143993,0.224427269,-0.578207596,1.842104863,-1
47,MODEL1,PARMS,BronInt,1.214552014,12.33806371,0.290201599,-0.348487107,0.674461261,-0.240364577,0.571155257,-0.36107508,-1
48,MODEL1,PARMS,BronInt,1.300166698,-1.276480422,0.404839194,-0.722952284,1.677252904,0.540953453,0.349192966,-1.84316772,-1
49,MODEL1,PARMS,BronInt,1.261987699,13.8737701,0.119558141,-0.333293555,0.220566746,-0.270420498,1.862293642,-4.795491024,-1
50,MODEL1,PARMS,BronInt,1.225186109,-0.199979123,0.058792743,0.17768867,-0.321310261,0.570406366,-1.245661304,2.759552136,-1
51,MODEL1,PARMS,BronInt,1.273878935,10.82590319,0.207705151,-0.104592177,-0.419811468,-0.141331912,0.200282404,0.201718601,-1
52,MODEL1,PARMS,BronInt,1.299326594,6.012755001,0.11034114,-0.053405446,-0.555267974,0.200954176,-1.521371981,4.338972013,-1
53,MODEL1,PARMS,BronInt,1.239187201,14.10394017,0.458500783,-0.894748963,3.485934061,-0.402885061,2.1311788,-4.187206227,-1
54,MODEL1,PARMS,BronInt,1.299309347,1.416241497,0.395995086,-0.547378912,0.750184935,0.381931108,0.405282124,-1.780828835,-1
55,MODEL1,PARMS,BronInt,1.155658684,20.32256741,-0.076982676,0.387360953,-3.225911434,-0.62919753,3.356900737,-7.416147308,-1
56,MODEL1,PARMS,BronInt,1.2693099,-10.5102427,-0.154279997,0.565938495,-2.089502604,1.252981781,-2.001229979,3.100946249,-1
57,MODEL1,PARMS,BronInt,1.187347254,2.334991226,0.050137022,-0.234313841,0.882291524,0.441681112,-0.908207658,1.428030882,-1
58,MODEL1,PARMS,BronInt,1.249002152,0.096237332,0.177637917,-0.015921365,-0.750334839,0.508589301,0.638203662,-1.974219264,-1
59,MODEL1,PARMS,BronInt,1.174490504,-3.930473421,0.047713913,0.151278986,-0.794876536,0.810111323,-1.392855485,2.359037908,-1
60,MODEL1,PARMS,BronInt,1.195546295,-1.390550968,0.343470906,-0.70259431,2.242464776,0.577459003,-1.009798506,1.752395983,-1
61,MODEL1,PARMS,BronInt,1.353253887,-6.807894433,0.156146256,-0.34270865,2.327803889,0.951547048,-1.883025622,2.890156085,-1
62,MODEL1,PARMS,BronInt,1.276044635,-17.79565757,0.052737934,-0.141105676,0.607914907,1.640831045,-4.191723762,8.510945545,-1
63,MODEL1,PARMS,BronInt,1.32669309,19.68789449,0.2633831,-0.313156165,0.106641792,-0.695067135,3.711435993,-8.323185024,-1
64,MODEL1,PARMS,BronInt,1.131094177,-1.795429884,0.02314674,-0.02764741,0.474468839,0.707347611,-2.476561035,5.263185818,-1
65,MODEL1,PARMS,BronInt,1.2852328,-0.426234165,0.07326643,-0.155996433,0.720763593,0.612571954,-2.11855981,4.41597962,-1
66,MODEL1,PARMS,BronInt,1.285047503,-2.571224468,0.145893768,0.125834603,-1.748762225,0.708474081,-2.302201314,4.975254327,-1
67,MODEL1,PARMS,BronInt,1.229150034,-0.903429741,-0.023232145,0.173918658,-0.698286729,0.648261564,-1.106444229,2.208881647,-1
68,MODEL1,PARMS,BronInt,1.250353719,-1.541473851,0.442829046,-0.952433824,3.721987524,0.546065622,-0.077864962,-0.26805166,-1
69,MODEL1,PARMS,BronInt,1.133779518,-6.631104374,0.350797313,-0.933073336,3.673374312,0.890900506,-1.853857682,3.558279312,-1
70,MODEL1,PARMS,BronInt,1.095923304,-3.865066315,0.315730513,-0.463524757,1.94228864,0.721623468,-2.156546275,5.001374487,-1
