SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RUL
1,MODEL1,PARMS,RUL,1.575662882,8.675228695,0.565069789,-1.966018264,7.274021143,-0.134733055,-1.354105263,3.982554597,-1
2,MODEL1,PARMS,RUL,1.355508841,-20.71909992,-0.051468228,0.020366136,0.557947489,1.745571009,-4.419380051,8.679922121,-1
3,MODEL1,PARMS,RUL,1.308786403,-9.074257894,0.135513755,-0.183251914,0.309145102,0.988735088,-2.656752479,5.418524638,-1
4,MODEL1,PARMS,RUL,1.293740745,8.014222396,0.128913806,-0.471938032,2.7569692,-0.049328942,1.093566806,-2.014473919,-1
5,MODEL1,PARMS,RUL,1.347694547,-4.195043334,0.138280968,-0.603879915,1.775098881,0.728359798,-2.971093533,6.445679975,-1
6,MODEL1,PARMS,RUL,1.34055949,1.485419003,0.137253226,-1.18522654,5.449190918,0.400553885,-0.68230922,1.258272804,-1
7,MODEL1,PARMS,RUL,1.362662245,1.078896193,0.179371114,-0.451813457,2.580200492,0.358356753,0.730191833,-2.695678365,-1
8,MODEL1,PARMS,RUL,1.350184131,-2.662035593,0.330978604,-0.936071189,3.372067341,0.572159105,-2.166501833,4.920546494,-1
9,MODEL1,PARMS,RUL,1.29178976,12.10964963,0.20746657,-0.765915645,3.546500681,-0.313596878,2.31692255,-4.79973491,-1
10,MODEL1,PARMS,RUL,1.416069167,2.510317892,0.031237138,-0.473808074,2.842387699,0.344301973,-0.608506907,0.970902483,-1
11,MODEL1,PARMS,RUL,1.330954345,15.30811148,0.248170417,-0.688724777,2.962400488,-0.539613259,3.54839285,-7.697702725,-1
12,MODEL1,PARMS,RUL,1.553229899,0.541208247,0.079465647,-0.104250365,0.062961049,0.41933712,0.361267234,-1.169479487,-1
13,MODEL1,PARMS,RUL,1.333364061,-23.47486863,0.158277002,-0.375707939,1.587883972,1.871311713,-5.574757914,11.26312689,-1
14,MODEL1,PARMS,RUL,1.27430668,4.933420633,0.425384632,-1.278111727,5.000059111,0.078365547,-0.026644654,0.315111158,-1
15,MODEL1,PARMS,RUL,1.248052872,5.378819134,0.113663276,-0.255845793,1.088657005,0.109106864,-0.191267463,0.905933592,-1
16,MODEL1,PARMS,RUL,1.22068132,1.341446227,0.270911637,-0.915528749,4.751885536,0.324004351,-1.093520445,3.328901284,-1
17,MODEL1,PARMS,RUL,1.542216844,5.474471727,-0.008755071,-0.315498832,1.379764359,0.174496483,-0.280345044,0.788667882,-1
