SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RB4_5
1,MODEL1,PARMS,RB4_5,0.80670579,1.257630287,0.110290399,-0.412819438,1.44924473,0.275226417,-1.978886207,4.943187642,-1
2,MODEL1,PARMS,RB4_5,0.886057785,-6.477628485,-0.071513393,-0.074019124,0.26801253,0.789395496,-2.6474562,5.651757004,-1
3,MODEL1,PARMS,RB4_5,0.822198174,8.262168632,-0.176108517,0.117477257,-0.234644669,-0.078365406,-0.234517337,0.893077958,-1
4,MODEL1,PARMS,RB4_5,0.848004268,9.438242956,0.057611187,-0.536676255,1.93325702,-0.220516109,0.959058432,-1.807014368,-1
5,MODEL1,PARMS,RB4_5,0.845465334,11.43178679,0.012235601,-0.157777089,0.085130036,-0.316110339,0.601217639,-1.081978401,-1
6,MODEL1,PARMS,RB4_5,0.876265805,11.4851776,-0.079490114,-0.264231085,1.31232597,-0.294834194,1.297557032,-2.550221141,-1
7,MODEL1,PARMS,RB4_5,0.93093263,1.030778788,-0.123213196,0.132919973,-0.018874178,0.34481422,-0.953656324,1.565922322,-1
8,MODEL1,PARMS,RB4_5,0.911822292,5.224426437,-0.126974456,0.346880814,-1.3624815,0.088000808,-0.873219319,2.220536569,-1
9,MODEL1,PARMS,RB4_5,0.828307226,10.88725788,0.28019458,-0.945329299,3.15576072,-0.364676037,1.063825135,-2.159010709,-1
10,MODEL1,PARMS,RB4_5,0.816131705,-0.707878238,0.131884704,-0.490384477,1.694064766,0.387265376,-1.524841507,3.427938829,-1
11,MODEL1,PARMS,RB4_5,0.835513592,1.908877697,0.162538237,-0.639515408,2.584431133,0.215231714,-1.413269348,3.361020817,-1
12,MODEL1,PARMS,RB4_5,0.965825667,0.309949116,0.002260077,-0.308693532,1.012339406,0.360987105,-1.02362094,2.171702731,-1
13,MODEL1,PARMS,RB4_5,0.882152459,1.897615954,-0.064795963,-0.326868407,2.221100848,0.289644367,-1.807632172,4.554590041,-1
14,MODEL1,PARMS,RB4_5,0.784156736,-5.566977303,-0.147228924,-0.027813057,0.283705161,0.764824898,-2.949915692,6.350638205,-1
15,MODEL1,PARMS,RB4_5,0.803991441,3.697988005,0.075011531,-0.357973707,1.115005065,0.126503766,-0.177402011,0.221899801,-1
16,MODEL1,PARMS,RB4_5,0.843708218,2.029617573,0.086128857,-0.249515566,0.831758996,0.205956493,0.007336509,0.016550075,-1
