SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RLL
1,MODEL1,PARMS,RLL,0.974287722,2.075963687,-0.14573521,0.492235656,-2.5296834,0.299931491,-0.677782707,1.59199052,-1
2,MODEL1,PARMS,RLL,1.0718919,2.383540287,-0.127987085,-0.134222881,-0.089772882,0.304640215,0.037161789,-0.539324149,-1
3,MODEL1,PARMS,RLL,1.115496787,11.17590942,-0.301312721,0.552627612,-2.339277993,-0.203130159,2.009353291,-4.690465192,-1
4,MODEL1,PARMS,RLL,0.921355337,10.18400368,0.003204542,-0.555155226,1.335844142,-0.192414118,0.646737966,-1.243007707,-1
5,MODEL1,PARMS,RLL,0.974581158,10.5802558,0.033595559,-0.797369356,2.74216516,-0.217709756,0.815429086,-2.236415573,-1
6,MODEL1,PARMS,RLL,0.990157302,11.18617809,-0.085989684,-0.214185548,0.787750062,-0.237382611,1.418866668,-2.977606704,-1
7,MODEL1,PARMS,RLL,1.065129463,2.88431473,0.003952711,-0.204753079,0.897044084,0.215917616,1.21620989,-3.8814481,-1
8,MODEL1,PARMS,RLL,1.004079161,11.41553342,-0.10770485,0.134409202,-1.008425898,-0.26297725,1.195820185,-2.524217727,-1
9,MODEL1,PARMS,RLL,0.942911845,1.954207888,0.026612547,-0.37795601,0.894925907,0.277965797,-0.262555284,0.147918643,-1
10,MODEL1,PARMS,RLL,1.012903405,1.472104264,0.008090311,-0.507790502,1.963220159,0.342246463,-1.683245763,3.817915392,-1
11,MODEL1,PARMS,RLL,0.97152275,7.912763148,0.267240432,-0.897592439,2.710294345,-0.138242519,0.676439692,-1.819250428,-1
12,MODEL1,PARMS,RLL,1.046370908,8.843184785,-0.013720604,-0.354418434,0.71371176,-0.114644743,1.428088234,-3.753185523,-1
13,MODEL1,PARMS,RLL,0.971673964,11.27007539,-0.067798453,-0.107615888,0.344166069,-0.251685066,0.299356327,0.166150402,-1
14,MODEL1,PARMS,RLL,1.087782336,-7.309228806,-0.022335882,-0.260089553,0.359650983,0.848055577,-2.110355527,4.291074163,-1
15,MODEL1,PARMS,RLL,1.091699501,-4.437161681,0.010665578,-0.608040933,2.599357747,0.678642178,-0.795630485,0.734956129,-1
16,MODEL1,PARMS,RLL,0.992195033,-0.976560545,0.270577761,-1.13724829,3.939783329,0.412098043,-1.301086349,2.969719367,-1
17,MODEL1,PARMS,RLL,1.00415261,7.300903656,0.006454465,-0.30963166,0.441411013,-0.03359217,-0.077069947,0.386669117,-1
18,MODEL1,PARMS,RLL,0.98792504,18.08280415,-0.233689348,0.360159007,-1.293672221,-0.630891146,2.180979771,-4.055211188,-1
19,MODEL1,PARMS,RLL,1.11099763,14.41996018,-0.00895745,-0.271843894,0.119054316,-0.463779327,1.497514738,-2.557818221,-1
20,MODEL1,PARMS,RLL,1.045311434,-3.754537057,0.172222748,-0.942004846,2.992725977,0.598045682,-0.531770446,0.101159225,-1
21,MODEL1,PARMS,RLL,0.910459789,5.920642146,-0.109287148,0.190402755,-1.446468667,0.079027889,-0.131977757,0.410562131,-1
22,MODEL1,PARMS,RLL,1.054439206,15.04874845,0.156931463,-0.26536949,0.087122093,-0.575362192,3.569736733,-8.220545237,-1
23,MODEL1,PARMS,RLL,1.051481135,-1.190922361,0.094763632,-0.206450999,0.061105128,0.446094298,-0.657864484,0.524063731,-1
24,MODEL1,PARMS,RLL,0.990223343,6.264070811,-0.033781446,-0.388884307,1.462908259,0.032758457,0.390132546,-0.787462335,-1
25,MODEL1,PARMS,RLL,0.963186279,9.759437,-0.031556044,-0.494132272,1.341946303,-0.152760125,1.152385614,-3.13805995,-1
26,MODEL1,PARMS,RLL,1.015676299,11.66618815,-0.049864086,-0.377075927,1.324246847,-0.263959539,0.385337886,-0.637906473,-1
27,MODEL1,PARMS,RLL,1.035758205,2.199861876,0.104947658,-1.047544297,4.014066154,0.286519754,-1.978684752,4.494509677,-1
28,MODEL1,PARMS,RLL,1.091893027,14.03172539,-0.113263572,-0.119868413,0.154165075,-0.411742716,2.247501294,-5.25324314,-1
29,MODEL1,PARMS,RLL,1.010422357,11.08126193,-0.000113914,-0.538254753,2.226931747,-0.256951344,1.520422887,-3.952984478,-1
30,MODEL1,PARMS,RLL,0.987113878,4.973293486,0.022271881,-0.42065799,1.267114177,0.102185924,0.660839698,-2.00036156,-1
31,MODEL1,PARMS,RLL,1.053949367,0.12118707,-0.061804222,-0.136281308,0.048717785,0.421684,-0.232862158,-0.559767194,-1
32,MODEL1,PARMS,RLL,0.978843761,13.81667492,0.220027415,-0.173059544,-0.908833277,-0.517824754,2.361536489,-4.502325992,-1
33,MODEL1,PARMS,RLL,1.070728945,10.6855409,0.026510942,-0.710328037,2.29099557,-0.236713308,1.810481713,-5.049074414,-1
34,MODEL1,PARMS,RLL,1.082596651,9.561224216,0.001720169,-0.291001828,0.659502928,-0.168600583,1.314927867,-3.067453008,-1
35,MODEL1,PARMS,RLL,0.992669603,-3.036284058,-0.043273724,0.296042103,-1.627238999,0.585301326,-1.236574526,2.310733548,-1
36,MODEL1,PARMS,RLL,0.98103624,6.901889858,0.115505597,-0.579169347,1.802396407,-0.030274741,-0.435995647,1.321558049,-1
37,MODEL1,PARMS,RLL,1.025423309,11.23655422,0.107680175,-0.254828343,0.218723144,-0.32196105,1.21239571,-2.386000013,-1
38,MODEL1,PARMS,RLL,1.055476247,11.9628438,0.042993296,-0.379138732,0.879970697,-0.34190673,2.676247394,-6.360969902,-1
39,MODEL1,PARMS,RLL,1.120345558,6.457599283,-0.014864236,-0.123616652,-0.154836875,0.022273504,0.595118343,-1.697910711,-1
40,MODEL1,PARMS,RLL,1.032313421,11.9974345,0.089431212,-0.29045949,0.537696237,-0.362038437,2.373824475,-5.20372659,-1
41,MODEL1,PARMS,RLL,1.010947997,1.605832656,-0.075858192,-0.501578815,2.340460693,0.335745319,-0.318951655,0.127935616,-1
42,MODEL1,PARMS,RLL,1.06402442,21.61544804,0.049243383,-0.745039887,2.570089977,-0.900417562,2.796488085,-5.513555637,-1
43,MODEL1,PARMS,RLL,1.041083606,-0.722244602,-0.173193429,0.091905171,-0.472646233,0.507652426,-2.165872932,5.061903269,-1
44,MODEL1,PARMS,RLL,1.102526485,5.606398114,-0.125544934,0.088116331,-0.620593687,0.104085461,-0.655373689,2.021204742,-1
45,MODEL1,PARMS,RLL,0.942969218,-5.205652702,0.027837744,-0.475820328,1.90228057,0.725007857,-2.463754384,5.326874895,-1
46,MODEL1,PARMS,RLL,0.960467243,7.894802389,-0.055716466,-0.238000088,0.892802568,-0.070543067,1.759045928,-4.470392904,-1
47,MODEL1,PARMS,RLL,1.02835962,8.415895644,0.363490139,-1.123359928,3.80455064,-0.195047941,0.223995794,-0.157560089,-1
48,MODEL1,PARMS,RLL,1.037185903,5.105230425,0.000471837,-0.429553856,1.009687473,0.1060977,-0.046383516,0.203391796,-1
49,MODEL1,PARMS,RLL,1.046871112,9.230627972,0.091810713,-0.530299621,1.729341316,-0.186837749,1.698428152,-4.198873573,-1
50,MODEL1,PARMS,RLL,1.024449339,3.900351701,-0.111199876,-0.122560632,0.07234849,0.215499996,-0.71197614,1.284699161,-1
51,MODEL1,PARMS,RLL,0.956218605,-3.761615839,0.015922694,-0.410638736,1.536373852,0.62803577,-1.322529137,2.64364057,-1
52,MODEL1,PARMS,RLL,0.94598573,16.15505644,-0.087688628,0.228536903,-1.529564385,-0.549438534,1.733046079,-3.29275755,-1
53,MODEL1,PARMS,RLL,1.066754398,10.06560506,-0.013554115,-0.065522668,-0.188276446,-0.214949579,2.304741939,-5.697467412,-1
54,MODEL1,PARMS,RLL,0.969978361,14.870543,-0.049957603,-0.196756528,0.723906431,-0.480841013,2.085105531,-4.632696256,-1
55,MODEL1,PARMS,RLL,1.042505621,1.368781725,-0.263053162,0.163086648,-0.586014114,0.416871366,-1.020416358,2.070873089,-1
56,MODEL1,PARMS,RLL,1.164089345,8.291561636,-0.038529164,-0.941029577,3.641130844,-0.050607962,-0.167113508,0.633534345,-1
57,MODEL1,PARMS,RLL,1.0126706,4.993117974,-0.036429826,-0.089375112,-0.087867189,0.094273088,0.910948932,-2.603253825,-1
58,MODEL1,PARMS,RLL,1.163902846,2.224541734,-0.174514953,0.399339797,-1.905361359,0.291364506,1.375288101,-3.817244109,-1
59,MODEL1,PARMS,RLL,1.027579857,4.955463579,0.125179913,-0.771563966,2.795375715,0.076635259,0.568691069,-1.821895207,-1
60,MODEL1,PARMS,RLL,1.092810485,4.626385631,-0.037549694,0.474457393,-2.829515445,0.125004296,-0.520544355,1.327124522,-1
61,MODEL1,PARMS,RLL,1.103738416,1.028875321,-0.145563071,-0.052246889,0.266562955,0.378677223,-0.008245493,-0.614896907,-1
62,MODEL1,PARMS,RLL,0.994746153,4.667537058,0.119838559,-0.857071894,2.920528156,0.11042953,-0.170641811,0.137481399,-1
63,MODEL1,PARMS,RLL,1.048858141,14.64573886,-0.152362752,-0.127547701,-0.041740774,-0.435427471,2.041174691,-4.447947365,-1
64,MODEL1,PARMS,RLL,1.029566609,2.924015538,-0.19071579,0.126518594,-0.57891731,0.294588706,-0.804119942,1.631436151,-1
65,MODEL1,PARMS,RLL,1.003896305,12.07465167,-0.022440864,-0.318702511,0.934399002,-0.303791535,1.455196837,-3.63207277,-1
66,MODEL1,PARMS,RLL,1.056895987,3.341663793,0.038943117,-0.34582583,0.189321487,0.200417645,-0.218997824,0.42035973,-1
67,MODEL1,PARMS,RLL,0.979090637,16.60658778,-0.048682743,-0.223554349,0.308786867,-0.584558306,2.999670363,-7.028914354,-1
68,MODEL1,PARMS,RLL,1.164486875,4.419395347,0.252039904,-1.30504079,4.827268649,0.097574202,-0.40295004,1.003179167,-1
69,MODEL1,PARMS,RLL,1.070616323,2.967847239,0.254261592,-0.60917987,1.327086502,0.153207729,-0.297414053,1.118297644,-1
70,MODEL1,PARMS,RLL,0.881283382,-2.028055639,-0.042703434,-0.172525534,0.491747607,0.528297062,-0.780679631,1.466781184,-1
71,MODEL1,PARMS,RLL,1.001343081,7.658002175,-0.149616359,0.169537825,-1.360181828,-0.026804643,1.24757175,-3.176040386,-1
72,MODEL1,PARMS,RLL,0.984328682,3.572009008,-0.035052072,-0.406002939,1.730911639,0.211822125,-0.000735833,-0.486067786,-1
73,MODEL1,PARMS,RLL,0.975892665,15.79342122,0.227098266,-0.543083686,0.688774454,-0.635815733,3.661879998,-8.351533517,-1
74,MODEL1,PARMS,RLL,0.999017802,6.722386865,0.131412765,-0.651369492,2.466275419,-0.029264403,0.256349002,-1.056078294,-1
75,MODEL1,PARMS,RLL,1.094387019,-0.43365811,-0.087336956,0.153227502,-0.632070367,0.453482392,-0.946152924,1.16039755,-1
76,MODEL1,PARMS,RLL,0.985986244,-6.968572975,-0.15758219,0.288121835,-0.964104776,0.864902736,-2.022606126,3.700623016,-1
77,MODEL1,PARMS,RLL,1.019073724,11.72525872,-0.024630823,-0.1271435,-0.783605299,-0.293711352,1.672833774,-3.86141118,-1
78,MODEL1,PARMS,RLL,1.006537847,12.92853299,-0.093927365,-0.143353977,-0.031266473,-0.328932874,0.616328173,-0.876700756,-1
79,MODEL1,PARMS,RLL,0.992808968,10.90270245,-0.147568078,-0.055666137,0.113254912,-0.201920724,0.975455234,-2.414917292,-1
80,MODEL1,PARMS,RLL,0.979183209,11.53482709,0.042512305,-0.544002746,1.406602744,-0.288597595,0.922890464,-1.630980903,-1
81,MODEL1,PARMS,RLL,1.009690811,12.72279903,-0.207754166,0.114867087,-0.259624264,-0.303038142,1.706511122,-3.766919413,-1
82,MODEL1,PARMS,RLL,1.000572255,-11.8259588,0.290435208,-1.309560728,4.487606945,1.058694944,-3.010183112,6.656712887,-1
83,MODEL1,PARMS,RLL,1.095231135,0.376202096,0.160945807,-0.870419293,3.070715925,0.357364571,-1.09671634,2.15711581,-1
84,MODEL1,PARMS,RLL,0.999922024,3.265368892,0.10444814,-0.754651585,2.887184944,0.186144655,0.599251456,-2.297534758,-1
85,MODEL1,PARMS,RLL,1.099161305,14.84169157,-0.134341211,0.193849485,-2.107102433,-0.456752016,2.369447202,-5.418854051,-1
86,MODEL1,PARMS,RLL,0.918461256,1.07838714,0.016113415,-0.466772432,1.748267197,0.357045967,-1.609977992,3.916049504,-1
