SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LUL
1,MODEL1,PARMS,LUL,1.239807737,3.367293382,0.260847095,-0.575186361,2.189905672,0.266664886,-2.805896831,7.960246721,-1
2,MODEL1,PARMS,LUL,1.10887367,-3.503443675,-0.055831824,0.565590241,-2.18994264,0.721658973,-1.644189662,3.533523204,-1
3,MODEL1,PARMS,LUL,1.023082281,0.531908519,-0.087522156,0.414541277,-1.422283933,0.500715262,-1.684249521,4.092074714,-1
4,MODEL1,PARMS,LUL,1.0915284,8.554344746,-0.072274854,-0.035972682,1.406326488,0.025150271,-0.201701505,0.941315418,-1
5,MODEL1,PARMS,LUL,1.144115327,-6.760006324,-0.004764754,-0.420873134,2.404376636,0.957395067,-4.498580861,10.19426318,-1
6,MODEL1,PARMS,LUL,1.186825786,11.94812952,-0.299494684,0.639526816,-2.139115842,-0.102739664,-0.559766723,2.545290143,-1
7,MODEL1,PARMS,LUL,1.165384626,14.15934861,-0.030439643,0.324922726,-1.569318396,-0.340292302,1.673129834,-3.012133625,-1
8,MODEL1,PARMS,LUL,1.161513624,2.536021202,-0.1191095,0.569432095,-1.740530035,0.381917802,-0.409201319,1.310131985,-1
9,MODEL1,PARMS,LUL,1.081054572,-3.025754742,0.081516168,0.35196063,-1.782760112,0.647913324,-0.776540759,1.406269403,-1
10,MODEL1,PARMS,LUL,1.074218254,1.534743146,-0.118463263,0.233510043,-0.608434329,0.477744283,-2.365491279,6.104504581,-1
11,MODEL1,PARMS,LUL,1.096624313,11.38262538,0.2467808,-0.504111314,2.191571692,-0.260290238,1.24010793,-2.050083743,-1
12,MODEL1,PARMS,LUL,1.258249482,1.048531558,0.165324413,-0.136940425,-0.303987055,0.425071644,-2.586824542,6.474800473,-1
13,MODEL1,PARMS,LUL,1.150399413,-1.720707712,0.002137422,0.315095263,-0.433907745,0.612368551,-2.886051936,7.404239271,-1
14,MODEL1,PARMS,LUL,1.157612764,5.521873938,0.118455571,-0.113970887,0.917690371,0.146619634,-1.39282574,3.956726433,-1
15,MODEL1,PARMS,LUL,1.055557711,-2.131545437,-0.208828356,0.515134091,-1.081940555,0.681791755,-1.263208504,2.903122876,-1
16,MODEL1,PARMS,LUL,0.974666523,8.324007378,0.200334753,-0.30372524,1.560372171,-0.052156316,-0.00864772,1.061606424,-1
17,MODEL1,PARMS,LUL,1.029219103,4.668023494,0.020022046,0.189454461,-1.028588104,0.236599534,-1.022693161,2.202651001,-1
18,MODEL1,PARMS,LUL,1.163945651,14.60780427,0.119584175,0.455873336,-2.138071446,-0.430111489,1.987133293,-4.253669118,-1
19,MODEL1,PARMS,LUL,1.133510915,1.026246637,0.055212908,-0.179950033,0.821327192,0.446060614,-2.189958983,5.539481713,-1
20,MODEL1,PARMS,LUL,1.062082253,-7.714255457,0.200087266,-0.282393525,0.989963742,0.925265767,-1.939370342,3.645546008,-1
21,MODEL1,PARMS,LUL,1.084098811,8.579953437,0.00952824,-0.003878045,0.496837785,-0.000109998,-0.372533968,1.197945148,-1
22,MODEL1,PARMS,LUL,1.204146681,3.523987199,0.317970183,-0.220326117,0.820781297,0.196025697,-0.767775593,2.707871974,-1
23,MODEL1,PARMS,LUL,1.127788416,-7.628795313,0.093115513,-0.361032837,1.92381866,0.975801134,-4.366690661,10.31844605,-1
24,MODEL1,PARMS,LUL,1.17695872,10.32037239,0.028036999,-0.216830559,0.690056498,-0.086599773,-1.429899467,4.415374237,-1
25,MODEL1,PARMS,LUL,1.116335317,5.704377782,-0.07046508,0.530736945,-2.434156846,0.183988952,-0.296844531,1.085087366,-1
26,MODEL1,PARMS,LUL,1.094495186,19.79556739,-0.022675748,0.152271566,-0.410063721,-0.673773827,2.554691231,-5.433652299,-1
27,MODEL1,PARMS,LUL,1.080857833,0.969906491,0.014440363,-0.293815657,2.001137215,0.475646099,-2.349596713,5.602964677,-1
28,MODEL1,PARMS,LUL,1.048399521,8.615669305,0.01395166,0.325479549,-1.38938918,-0.021869505,0.830523737,-1.866200977,-1
29,MODEL1,PARMS,LUL,1.143318105,-2.190807555,0.150215437,-0.822489508,3.966946591,0.63381356,-1.297949292,2.10456051,-1
30,MODEL1,PARMS,LUL,1.096523821,0.996455568,-0.05390146,0.50583691,-2.487019926,0.454764677,-0.624790954,2.062938826,-1
31,MODEL1,PARMS,LUL,1.099963204,4.672693709,0.157134402,0.094320822,-1.121626856,0.172428421,-0.071830101,0.100509288,-1
32,MODEL1,PARMS,LUL,1.059273264,0.231342402,0.087908146,-0.03061654,0.753298573,0.457034063,-0.389761373,0.736422587,-1
33,MODEL1,PARMS,LUL,1.143643417,7.485342879,0.018229697,0.079089247,-0.590856673,0.072792861,-1.083792113,2.775042452,-1
34,MODEL1,PARMS,LUL,1.061657233,3.388767468,-0.049240402,0.155650254,0.117934049,0.307006953,-0.132999194,0.106243079,-1
35,MODEL1,PARMS,LUL,1.142881278,5.157457959,0.057072594,0.387932192,-0.680392549,0.158210348,-0.293680818,0.852992261,-1
36,MODEL1,PARMS,LUL,1.075215642,1.086492115,0.139890327,0.058732993,0.11440386,0.39086971,0.532060264,-1.655446951,-1
37,MODEL1,PARMS,LUL,1.161220981,12.85069789,0.023544329,-0.104600101,0.516822059,-0.264880389,1.666345086,-3.682568614,-1
38,MODEL1,PARMS,LUL,1.221927573,10.48363703,-0.00287118,0.141067936,0.146471813,-0.125158861,0.890226846,-1.722774932,-1
39,MODEL1,PARMS,LUL,1.193556056,-0.484723621,0.248007827,-0.62605005,2.585445684,0.482835658,-1.202992479,2.75981313,-1
40,MODEL1,PARMS,LUL,1.007547699,9.583609348,0.172893278,-0.101563917,1.212769549,-0.133241476,0.895473503,-1.779045857,-1
41,MODEL1,PARMS,LUL,1.055802306,6.394722489,-0.08382043,-0.023748843,0.893316701,0.163809214,-0.516668448,1.382632134,-1
42,MODEL1,PARMS,LUL,1.124041347,0.955291428,-0.101775661,0.522333863,-1.630465542,0.488940981,-2.374277345,5.677167816,-1
43,MODEL1,PARMS,LUL,1.112640999,8.383509859,-0.224643654,0.609968741,-1.890799439,0.066543498,0.413212578,-0.942356694,-1
44,MODEL1,PARMS,LUL,1.265194723,-3.436510641,0.113336546,-0.334048128,1.437112216,0.705393312,-2.477705552,5.636349672,-1
45,MODEL1,PARMS,LUL,1.083674713,2.704868726,0.037064356,-0.267922417,1.742854987,0.344577057,-0.765401901,1.811882674,-1
46,MODEL1,PARMS,LUL,1.175559997,11.57185388,-0.075607976,0.466224349,-1.403514618,-0.17235301,0.091236742,1.362244331,-1
47,MODEL1,PARMS,LUL,1.095673925,9.942465234,0.183428707,-0.000593163,-0.134425711,-0.139801832,0.277003349,-0.201880595,-1
48,MODEL1,PARMS,LUL,1.066258421,-7.599589254,0.061507063,0.136037486,-0.564551998,0.955548224,-2.577234915,5.177158808,-1
49,MODEL1,PARMS,LUL,1.080276723,-2.829391441,0.205845058,-0.298108124,0.247310838,0.627849348,-0.990488481,1.81899636,-1
50,MODEL1,PARMS,LUL,1.140123065,0.003393506,-0.116755371,0.277888563,-0.280863314,0.560460554,-2.512285217,6.329652628,-1
51,MODEL1,PARMS,LUL,1.17603179,8.347350593,-0.014315401,0.62763473,-2.84713861,-0.014723484,0.622513595,-1.250095558,-1
52,MODEL1,PARMS,LUL,1.145178847,13.90055403,-0.340637711,1.410311254,-4.645792654,-0.244686726,0.246463791,0.471499707,-1
53,MODEL1,PARMS,LUL,1.13546047,-0.160035627,0.082381337,-0.125611364,0.978390672,0.512035907,-1.864139469,4.357089803,-1
54,MODEL1,PARMS,LUL,1.036164054,6.319887284,0.013652483,0.273970678,-0.952078852,0.127567611,-0.265300705,0.833513234,-1
55,MODEL1,PARMS,LUL,1.056841564,13.92348703,0.138467302,-0.118417943,-0.125420352,-0.364332363,1.726800617,-3.937713575,-1
56,MODEL1,PARMS,LUL,1.098183387,-7.740139224,0.222379914,-0.216126764,1.057606653,0.906777616,-2.437896207,4.927942814,-1
57,MODEL1,PARMS,LUL,1.216579798,5.15566548,-0.025179348,0.170222149,-0.512030154,0.205887331,-0.399424007,0.933910575,-1
58,MODEL1,PARMS,LUL,1.068870088,4.005988374,-0.1041953,0.25264625,-0.798234171,0.305862793,-0.918458783,2.677175319,-1
59,MODEL1,PARMS,LUL,1.052348869,-3.293378412,0.012340943,0.473263198,-1.764220211,0.689060015,-1.030675227,1.628529651,-1
60,MODEL1,PARMS,LUL,0.979886024,9.691276431,0.005353109,0.313400725,-0.961583295,-0.086561588,0.291723326,-0.133340431,-1
61,MODEL1,PARMS,LUL,1.218136778,-1.954157231,-0.110873753,-0.135718707,2.079185041,0.677291998,-1.831585748,3.748400545,-1
62,MODEL1,PARMS,LUL,1.211306832,7.503381931,0.144472986,-0.239841584,1.348657357,0.002213673,0.566973644,-0.526340876,-1
63,MODEL1,PARMS,LUL,1.072185169,-0.251089253,-0.083852776,0.208769539,-0.08039666,0.543393125,-0.381656709,0.54319772,-1
64,MODEL1,PARMS,LUL,1.126138859,-3.258516901,0.114053796,-0.116719546,1.57324072,0.674498577,-2.152570146,4.910136487,-1
65,MODEL1,PARMS,LUL,1.079472404,5.546556296,0.103976387,-0.266178576,1.745249496,0.166484355,-0.397132493,1.043458588,-1
66,MODEL1,PARMS,LUL,1.222543404,-1.360936497,0.012903753,0.12473271,-1.196292578,0.600688267,-2.205465636,5.184175383,-1
67,MODEL1,PARMS,LUL,1.036837222,15.44477302,-0.174485109,0.628174019,-1.918469048,-0.374550832,1.639760622,-3.536041105,-1
68,MODEL1,PARMS,LUL,1.021824513,-4.320218225,-0.021139107,0.284072571,-0.233280395,0.769911119,-2.030672535,4.773212573,-1
69,MODEL1,PARMS,LUL,1.053477637,-4.710054728,0.347828554,-0.626209416,2.785721632,0.704767039,-2.507371795,5.967833877,-1
70,MODEL1,PARMS,LUL,1.106445903,6.692232777,0.134058966,0.030732817,0.291271325,0.058117838,-0.250269648,1.207059942,-1
71,MODEL1,PARMS,LUL,1.187499703,-8.379602697,-0.137047337,0.37381988,-0.686659454,1.06892624,-2.989524799,6.101112249,-1
72,MODEL1,PARMS,LUL,1.028465449,6.25501516,-0.104215262,0.571416187,-2.053361806,0.159960643,-0.557330614,1.240103292,-1
73,MODEL1,PARMS,LUL,1.133301513,10.9559131,0.183717693,-0.352182389,1.58589263,-0.209070946,0.819160143,-0.882952216,-1
74,MODEL1,PARMS,LUL,1.217844743,8.319961755,0.16095561,-0.355608812,1.701985112,-0.028398602,-0.761723744,2.828045286,-1
75,MODEL1,PARMS,LUL,1.116298472,-0.267782411,0.035049461,-0.07058727,0.506058234,0.523408054,-1.720511198,4.556028602,-1
76,MODEL1,PARMS,LUL,1.117416237,-1.784997951,-0.046213209,0.118987796,0.013809235,0.642968951,-2.251510989,5.126547386,-1
77,MODEL1,PARMS,LUL,1.079396307,2.202818057,0.097953998,-0.296977354,1.843715211,0.369581981,-2.075821349,5.623066737,-1
78,MODEL1,PARMS,LUL,1.149040148,4.680845634,-0.358975752,0.443448881,-0.803145195,0.364100696,-2.360628454,6.046487378,-1
79,MODEL1,PARMS,LUL,1.19901762,12.86130587,0.312440591,-0.340526717,1.015585029,-0.363077639,1.286644118,-1.973909694,-1
80,MODEL1,PARMS,LUL,1.138454751,15.98454596,0.236544753,-0.459123156,1.370792714,-0.51980338,2.188519662,-4.542530547,-1
81,MODEL1,PARMS,LUL,1.147893255,9.244500657,0.119232141,0.096457926,-0.371913761,-0.101494415,1.690746549,-3.585090454,-1
82,MODEL1,PARMS,LUL,1.028180245,-10.31548693,0.249635534,-0.636384888,2.704137897,1.08832854,-3.987667329,9.162425609,-1
83,MODEL1,PARMS,LUL,1.164219666,0.115102293,-0.105587654,0.117184901,0.320594143,0.546181069,-1.563062954,3.434289013,-1
84,MODEL1,PARMS,LUL,1.08344148,-8.690191681,-0.293736282,0.71176124,-1.996397372,1.134061066,-3.834310251,8.781301483,-1
85,MODEL1,PARMS,LUL,1.079265113,-7.255803562,0.04147922,-0.138470834,1.470809278,0.943838413,-2.302134334,4.495653696,-1
86,MODEL1,PARMS,LUL,1.113410233,-1.96899494,0.236393598,-0.137913456,0.314936929,0.546393205,-0.948774559,1.669239136,-1
87,MODEL1,PARMS,LUL,1.200241095,-10.45597174,0.296846798,-0.432318558,1.369308621,1.082986281,-4.973538177,12.68875526,-1
88,MODEL1,PARMS,LUL,1.142574022,-1.050148626,-0.215160064,0.428921392,-0.992295679,0.635874269,-1.353192505,3.123347433,-1
89,MODEL1,PARMS,LUL,0.980681007,4.092676348,0.352286039,-0.532495406,1.620714041,0.14748276,0.495810097,-0.89061731,-1
90,MODEL1,PARMS,LUL,1.086026307,11.55466102,-0.205044177,0.553103017,-1.522689339,-0.124409327,0.555789718,-1.112188849,-1
91,MODEL1,PARMS,LUL,1.173938976,4.35980932,0.180410956,-0.120685893,0.353995053,0.193167309,1.147314671,-3.489614176,-1
92,MODEL1,PARMS,LUL,0.998174787,-3.13703851,0.097463942,-0.031794908,0.145704755,0.679679311,-2.226904115,5.06461012,-1
93,MODEL1,PARMS,LUL,1.151492714,4.038202983,0.341176102,-1.003915686,4.051160918,0.182486704,-0.718268535,2.63563343,-1
94,MODEL1,PARMS,LUL,1.092464423,9.110128695,0.199127307,-0.314702928,0.843171955,-0.082401885,0.316890974,-0.278170119,-1
95,MODEL1,PARMS,LUL,1.215179153,2.999965964,0.236767411,-0.504683308,1.26318982,0.29953225,-2.013476877,5.366894238,-1
