SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LLB6
1,MODEL1,PARMS,LLB6,1.06522576,1.81751608,0.26844567,-0.889903415,3.843524161,0.338526073,-0.865947976,2.684588845,-1
2,MODEL1,PARMS,LLB6,1.238384273,-2.018393014,-0.003715785,-0.189243576,0.695387938,0.658551854,-1.754080973,4.02496228,-1
3,MODEL1,PARMS,LLB6,1.248684531,1.668242411,0.025575387,-0.110521534,0.243836651,0.4076918,-0.693891844,1.791559404,-1
4,MODEL1,PARMS,LLB6,1.274472936,10.68147874,0.194775171,-1.42628504,6.147429348,-0.153760017,0.581252364,-0.651637769,-1
5,MODEL1,PARMS,LLB6,1.172612705,-3.227197602,0.314598583,-1.359160765,5.037850315,0.677982793,-3.309625381,7.548940308,-1
6,MODEL1,PARMS,LLB6,1.307052433,8.890310877,0.038531546,-1.175167547,6.013720267,0.021796468,-1.343915572,4.544917724,-1
7,MODEL1,PARMS,LLB6,1.290200715,-1.490346929,0.172574239,-0.388537943,0.867347192,0.564706967,-1.108493308,1.975117679,-1
8,MODEL1,PARMS,LLB6,1.170250577,0.243924169,0.167189988,-0.658726685,2.416700691,0.473218449,-1.453784361,3.263034029,-1
9,MODEL1,PARMS,LLB6,1.221552806,-1.151968002,0.250680387,-0.702102988,2.106130058,0.522471467,-1.63948648,3.954059677,-1
10,MODEL1,PARMS,LLB6,1.234947881,-0.994811221,0.236715416,-0.804865064,3.275016987,0.540837629,-1.89765867,4.271117653,-1
11,MODEL1,PARMS,LLB6,1.161120467,-0.946197806,0.23610096,-1.005311044,4.244063915,0.531927701,-1.757140469,3.808508724,-1
12,MODEL1,PARMS,LLB6,1.338137763,-0.593697295,0.03432187,-0.15108605,0.007933913,0.561145797,-0.942955904,1.474115444,-1
13,MODEL1,PARMS,LLB6,1.142170189,4.715841933,0.144346277,-0.825378978,3.320518105,0.2191064,-1.077855782,3.006183889,-1
14,MODEL1,PARMS,LLB6,1.187550614,-1.508056476,0.058426221,-0.475990039,1.775774477,0.611018388,-2.250157163,5.501451785,-1
15,MODEL1,PARMS,LLB6,1.139049138,-7.681691179,0.134218387,-0.912067517,4.353006629,0.957730091,-2.073627052,4.134593739,-1
16,MODEL1,PARMS,LLB6,1.218794849,1.975580636,0.396195394,-1.448964868,6.317402173,0.311842145,-1.233908895,3.549242923,-1
17,MODEL1,PARMS,LLB6,1.137875923,-5.143945791,0.300046706,-0.977853059,3.579504569,0.766075719,-2.948611083,6.338465712,-1
18,MODEL1,PARMS,LLB6,1.22793237,8.642486174,0.025778542,-0.364846726,1.739518753,-0.007475488,0.456532079,-0.552201684,-1
19,MODEL1,PARMS,LLB6,1.1226736,3.489705189,0.228813911,-1.253616351,4.646321763,0.282743271,-1.550225684,3.768661342,-1
20,MODEL1,PARMS,LLB6,1.134175803,-7.238814858,0.222678654,-0.858845751,3.196927584,0.909639448,-1.957035789,3.292004562,-1
21,MODEL1,PARMS,LLB6,1.167598326,-4.675814898,0.042269422,0.039716341,-0.378932953,0.79519872,-2.673529535,5.860678579,-1
22,MODEL1,PARMS,LLB6,1.259810264,12.69839511,0.284661609,-0.952479698,3.31089676,-0.314345858,0.593180244,-0.356606898,-1
23,MODEL1,PARMS,LLB6,1.1466603,-9.922494284,0.100968008,-0.439845322,1.899870913,1.112460708,-4.196881483,8.85927996,-1
24,MODEL1,PARMS,LLB6,1.089717061,2.082372943,0.076791101,-0.716662368,3.122693842,0.392848619,-1.390181194,3.596228771,-1
25,MODEL1,PARMS,LLB6,1.22278184,6.611349852,0.014042382,-0.598758483,2.095877393,0.159867646,-1.498866311,4.20491433,-1
26,MODEL1,PARMS,LLB6,1.195416112,8.858834806,0.259885843,-0.926271022,3.477172572,-0.071420862,-0.09358953,0.761243102,-1
27,MODEL1,PARMS,LLB6,1.105536469,3.291722519,0.327848661,-1.540450518,6.180412005,0.265855446,-1.163061346,2.714064781,-1
28,MODEL1,PARMS,LLB6,1.182615108,3.946071789,0.271931267,-0.96564266,3.552598664,0.222435958,-0.487284783,0.923589894,-1
29,MODEL1,PARMS,LLB6,1.132996712,0.867864368,0.380842755,-1.501477489,5.766995597,0.382144094,-0.494713501,0.503633504,-1
30,MODEL1,PARMS,LLB6,1.29118974,-3.174363197,0.348954256,-1.427545231,5.868840131,0.637947631,-1.988807476,4.598182518,-1
31,MODEL1,PARMS,LLB6,1.209314776,-1.508850922,0.066913035,-0.674198426,2.544327746,0.618800951,-2.178263438,4.848804566,-1
32,MODEL1,PARMS,LLB6,1.18757733,8.151868342,0.131680718,-0.251864467,0.697615935,-0.019327544,0.577591147,-0.401867321,-1
33,MODEL1,PARMS,LLB6,1.252656685,-2.226852568,0.217687374,-1.245608052,5.04666616,0.632033843,-1.432456179,1.715671409,-1
34,MODEL1,PARMS,LLB6,1.220809239,-1.412427553,0.265896651,-1.29350147,5.411456787,0.557944924,-0.988987706,1.451543204,-1
35,MODEL1,PARMS,LLB6,1.153930242,6.426832776,-0.038402433,-0.240699456,1.938616202,0.154831553,-0.528724329,1.578346194,-1
36,MODEL1,PARMS,LLB6,1.147922681,-9.483119985,0.394069943,-1.147312949,4.514294532,1.009161437,-3.819027517,8.549812582,-1
37,MODEL1,PARMS,LLB6,1.211669755,11.32184086,0.175946024,-0.892142651,3.926172086,-0.212046267,1.289433057,-2.359584948,-1
38,MODEL1,PARMS,LLB6,1.175120739,8.455899897,0.417019684,-1.171757995,4.560030641,-0.113515847,1.09886374,-2.24442001,-1
39,MODEL1,PARMS,LLB6,1.20886234,-2.308514906,0.214756167,-0.749805414,2.606874171,0.617909751,-1.920609742,4.198763181,-1
40,MODEL1,PARMS,LLB6,1.202644227,5.70222527,0.336699188,-1.097776145,4.47895425,0.095975276,-0.623474675,1.918508905,-1
41,MODEL1,PARMS,LLB6,1.144732079,-0.380319686,0.038289033,-0.970498238,4.330175665,0.567676962,-1.16870374,1.765680234,-1
42,MODEL1,PARMS,LLB6,1.153566084,11.83201536,0.252623767,-0.809809032,2.575978912,-0.250047236,0.524362246,-0.709596809,-1
43,MODEL1,PARMS,LLB6,1.326327935,-5.792962967,0.041602668,-0.347306931,1.384485501,0.877194365,-2.535556373,5.260826447,-1
44,MODEL1,PARMS,LLB6,1.232149482,-0.908484165,0.085707015,-0.612033852,2.373618931,0.58250127,-2.942507407,7.488091278,-1
