SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,Trachea
1,MODEL1,PARMS,Trachea,1.551057134,8.553744689,0.424516082,-0.365419542,0.260128882,-0.099335389,1.773788825,-3.85867443,1.435286949,-1.665214478,2.081225035,-1
2,MODEL1,PARMS,Trachea,1.479050227,13.92317553,0.582099393,-0.788486669,1.996259312,-0.562908729,3.443784836,-7.16706206,1.60516818,-1.571073669,1.507941649,-1
3,MODEL1,PARMS,Trachea,1.420445552,11.21868168,0.707783774,-2.134045972,7.99610422,-0.432651312,1.739785913,-3.107606931,1.95207561,-3.602414056,5.787308384,-1
4,MODEL1,PARMS,Trachea,1.7441529,19.49768775,0.224468249,-0.196766314,-0.720075127,-0.675124932,1.69583648,-2.089157621,1.207361485,-2.334133202,4.317743874,-1
5,MODEL1,PARMS,Trachea,1.445440284,4.362839694,0.606339373,-0.922485196,2.564234188,0.107538535,1.064902046,-2.107331336,1.445819764,-2.308996721,3.663426047,-1
6,MODEL1,PARMS,Trachea,1.47601298,20.43879596,0.603880198,-1.20802769,3.047558213,-0.957431993,4.169102404,-9.677623276,1.59877986,-2.075659432,3.491161515,-1
7,MODEL1,PARMS,Trachea,1.516650667,5.481102594,0.535299774,-1.188050855,3.105485028,0.154940716,0.21026839,-0.181286643,1.164441897,-0.695242752,-0.203180726,-1
8,MODEL1,PARMS,Trachea,1.335535644,9.930294841,0.534952644,-1.438039954,4.936031962,-0.137973601,1.496171115,-3.976581506,1.194177396,-1.829788218,3.102508389,-1
9,MODEL1,PARMS,Trachea,1.477267146,7.903305583,0.60482652,-1.412615047,5.318330291,-0.100908488,1.71497029,-3.209569146,1.469415416,-2.77355432,4.412155975,-1
10,MODEL1,PARMS,Trachea,1.520120776,3.862715039,0.807538683,-1.65417622,4.899279833,0.132745461,0.428711346,-1.142573269,1.336262905,-0.138898737,-1.837453801,-1
11,MODEL1,PARMS,Trachea,1.470229359,-6.417195599,0.31954267,-0.751313706,2.986795314,0.947456371,-0.72747795,0.693343897,1.390193811,-2.61338347,4.552961369,-1
12,MODEL1,PARMS,Trachea,1.51000656,5.337467124,0.694071493,-1.287776192,3.5281702,0.046349608,0.693178165,-1.114902133,1.45904477,-2.335896919,3.839206122,-1
13,MODEL1,PARMS,Trachea,1.429321889,1.015612196,0.676318216,-1.137060041,3.716236755,0.375222081,0.141837752,-0.234683101,1.172489878,-1.889335355,3.399182565,-1
14,MODEL1,PARMS,Trachea,1.421066749,0.550510495,0.731634091,-1.762422373,4.978111727,0.399177786,-2.750503119,8.226447158,1.34881145,-1.208498107,0.846363094,-1
15,MODEL1,PARMS,Trachea,1.652438289,7.047457891,0.346972097,-0.586249812,0.15772419,-0.019782941,2.582016277,-5.979725989,1.79766844,-4.271386299,7.620098395,-1
16,MODEL1,PARMS,Trachea,1.28104388,-1.108656715,0.48153266,-1.509155557,5.522062561,0.500381073,-1.353366769,3.083495442,1.822371437,-4.267674788,7.672564558,-1
17,MODEL1,PARMS,Trachea,1.463140667,18.75327679,0.679245157,-1.712551839,6.582630933,-0.887151388,4.573559423,-10.08546769,1.632223663,-2.307200442,3.265166846,-1
18,MODEL1,PARMS,Trachea,1.875347223,31.68337078,0.166225664,0.295045359,-4.555126055,-1.470290428,4.574281155,-8.326884846,1.265890241,-2.579182375,4.67102474,-1
19,MODEL1,PARMS,Trachea,1.331589781,10.50440183,0.219870634,-0.823361914,2.845884454,-0.050150943,2.022760599,-4.792062248,1.078530775,-1.128998237,1.263203378,-1
20,MODEL1,PARMS,Trachea,1.428133962,0.77137851,0.533621083,-1.325950852,5.1777068,0.409200617,0.062552281,-0.356208159,1.403874108,-2.001208411,3.176147252,-1
21,MODEL1,PARMS,Trachea,1.391621867,18.98422495,0.439386131,-0.770323418,1.417286236,-0.764753489,2.865409789,-6.119049157,1.445736099,-2.17187761,3.708404935,-1
22,MODEL1,PARMS,Trachea,1.469824454,9.533701217,0.547161174,-1.366817667,4.692181778,-0.150615453,0.835345439,-1.960684636,1.461725719,-3.225722539,6.504548549,-1
23,MODEL1,PARMS,Trachea,1.754686082,11.179454,0.187084497,-0.549712729,2.017845629,-0.206222607,1.353329596,-2.201595395,1.648589057,-3.608929349,6.904257863,-1
24,MODEL1,PARMS,Trachea,1.513577593,1.456655209,0.517511137,-1.09838052,3.44454313,0.32188286,-1.12436855,3.331085966,1.635569981,-1.691998311,1.680338633,-1
25,MODEL1,PARMS,Trachea,1.385320976,12.12089264,0.533837434,-1.295299379,4.710920245,-0.598526431,3.219414938,-7.281421661,2.601131818,-6.375123619,12.26965468,-1
26,MODEL1,PARMS,Trachea,1.37044822,21.71811792,0.381996661,-0.280062836,0.227256439,-0.916147416,3.594479333,-7.108049534,1.264139114,-1.884560059,3.127568264,-1
27,MODEL1,PARMS,Trachea,1.394036398,20.60724881,0.681593244,-1.606680268,4.777466692,-1.023663919,3.621077587,-7.030616514,1.741590487,-1.733767944,1.525002731,-1
28,MODEL1,PARMS,Trachea,1.651696232,12.39615517,0.315901844,0.15631732,-2.873657645,-0.250599718,0.534806232,0.168793171,1.145270336,-1.134830846,1.122798003,-1
