SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB10
1,MODEL1,PARMS,RB10,0.67827614,3.942394334,0.017570379,0.010136671,-0.248466812,-0.177522444,1.559964438,-3.931495673,0.793875792,-1.119367246,1.662610139,-1
2,MODEL1,PARMS,RB10,0.718401011,9.155956807,0.09891936,-0.284840434,1.198753468,-0.484570253,1.68933589,-3.816691943,0.519559869,-0.462810547,0.722509761,-1
3,MODEL1,PARMS,RB10,0.799538474,12.75570244,0.117306276,-0.328793734,1.230479145,-0.809239721,3.060532319,-6.48169472,0.926983311,-2.14982331,3.966805048,-1
4,MODEL1,PARMS,RB10,0.78376942,4.853513326,0.238285014,-0.508990079,1.640568305,-0.272259532,0.765214101,-2.166736683,0.689690649,-1.100200284,1.933982064,-1
5,MODEL1,PARMS,RB10,0.759665414,0.151464899,-0.062774467,0.253039677,-0.826270205,0.081451675,-0.191205995,0.65117283,0.874824307,-1.723509222,3.093174683,-1
6,MODEL1,PARMS,RB10,0.732199005,0.992534323,0.080064452,-0.19993991,0.496630818,0.015746124,-0.720086097,1.795223512,0.810256258,-1.65052084,3.387949231,-1
7,MODEL1,PARMS,RB10,0.779069241,3.884077646,0.059250936,-0.206631466,1.025092184,-0.153407374,0.792314825,-2.153767593,0.671609613,-0.868474012,1.452628002,-1
8,MODEL1,PARMS,RB10,0.800210233,1.292642818,0.143173793,-0.520803925,2.041199003,0.008902558,-0.58843415,1.598194712,0.701166671,-1.487962217,3.105186022,-1
9,MODEL1,PARMS,RB10,0.675035122,7.3221725,0.206582274,-0.765226432,2.92934165,-0.360587749,0.99595168,-1.950847643,0.419445582,-0.106304075,-0.169543564,-1
10,MODEL1,PARMS,RB10,0.736877945,6.155081572,0.185246136,-0.463680214,1.752798347,-0.370099035,1.407251997,-3.314531108,0.80782037,-1.784577755,3.578162264,-1
11,MODEL1,PARMS,RB10,0.7461086,5.220593368,-0.027905983,-0.036143869,0.389846337,-0.235780578,0.948766787,-2.316334201,0.782582001,-1.28594865,2.121253543,-1
12,MODEL1,PARMS,RB10,0.759740891,1.474273924,0.231417669,-0.29856402,0.608719996,0.001556479,0.637465453,-1.88945818,0.375736401,-0.232152216,0.194849332,-1
13,MODEL1,PARMS,RB10,0.806608568,0.985495335,0.143058674,-0.322304012,1.187143708,0.124179399,0.37979258,-1.254116473,0.198213593,-0.164288073,0.297024856,-1
14,MODEL1,PARMS,RB10,0.725597042,7.375204407,0.021755157,-0.222987788,0.889746628,-0.305469195,1.278631768,-2.580108579,0.424435234,-1.268845561,3.109342476,-1
15,MODEL1,PARMS,RB10,0.781176418,8.288053323,-0.065212956,0.076495529,-0.252596816,-0.351678908,0.735769868,-1.293640209,0.477390947,-0.931657728,1.87671552,-1
16,MODEL1,PARMS,RB10,0.712220139,2.588338673,0.130211995,-0.604707017,2.358996237,-0.059544756,-0.029321017,-0.25019736,0.640231489,-0.931355721,1.48829226,-1
17,MODEL1,PARMS,RB10,0.75640387,6.515030371,0.205902324,-0.679406277,2.793232045,-0.392928249,1.813131906,-4.199801088,0.761337057,-1.172938781,1.928057315,-1
18,MODEL1,PARMS,RB10,0.758875036,-0.917297471,0.176228957,-0.349110381,0.922450027,0.157173209,-0.452063135,0.509091917,0.545216399,-0.645609026,1.238621239,-1
19,MODEL1,PARMS,RB10,0.776062185,8.562271259,-0.195077345,0.291402086,-0.893849123,-0.359647048,1.365387531,-3.153079021,0.608889294,-0.738337243,0.788635645,-1
20,MODEL1,PARMS,RB10,0.743664236,0.580367921,0.065437118,-0.12411614,0.420213468,0.134411288,0.203237987,-0.894400305,0.333662523,-0.221396963,0.336731438,-1
21,MODEL1,PARMS,RB10,0.737038145,2.084009169,0.065833998,0.071149884,-0.470112915,-0.040438215,0.097231527,-0.293175676,0.728808208,-1.891750563,4.03890255,-1
22,MODEL1,PARMS,RB10,0.766693276,3.350095356,0.042319985,-0.055224805,-0.142983739,-0.067836593,0.00470713,-0.129156587,0.47907932,-0.137153193,-0.030751829,-1
23,MODEL1,PARMS,RB10,0.758089571,4.030634879,-0.001961917,0.085800869,-0.421050228,-0.138741672,1.034483021,-2.807926857,0.641668222,-1.154949892,2.121887535,-1
24,MODEL1,PARMS,RB10,0.78034596,0.646899098,0.120538828,-0.432318738,1.525922179,0.07745285,-0.213669389,0.00288606,0.568407264,-0.879881938,1.692305867,-1
