SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LB1
1,MODEL1,PARMS,LB1,0.674534207,3.020207774,0.126560469,0.029916625,-0.921619108,-0.059383111,0.648773036,-1.829444015,0.090317688,1.000273405,-2.331941898,-1
2,MODEL1,PARMS,LB1,0.647255968,1.568282179,-0.093369949,0.223161688,-0.834119366,0.12842108,-0.18842518,0.378754627,0.042280998,0.528032849,-1.115211963,-1
3,MODEL1,PARMS,LB1,0.684169195,7.665736964,0.086289176,-0.22487669,-0.005555012,-0.374439731,1.06777038,-2.145329687,0.367126166,-1.297217611,2.872107167,-1
4,MODEL1,PARMS,LB1,0.736131496,-2.283285499,0.135897824,-0.367653737,1.285050979,0.249267195,-0.839232886,1.984786115,0.369667089,-0.628133461,1.170770936,-1
5,MODEL1,PARMS,LB1,0.660845611,-6.02648283,0.012660971,-0.034691122,0.121833353,0.520033588,-1.221424188,2.443745677,0.403134122,-0.777304564,1.567926617,-1
6,MODEL1,PARMS,LB1,0.676822436,0.289639838,0.038419772,-0.061042492,-0.083242022,0.125349988,-0.204524321,0.421321782,0.262623868,-0.003877591,-0.177706354,-1
7,MODEL1,PARMS,LB1,0.663905814,4.975063796,0.081845495,-0.24896146,0.820853383,-0.219570626,1.631511619,-4.396590753,0.356711446,-0.458890891,0.988413141,-1
8,MODEL1,PARMS,LB1,0.677759645,-0.112274676,0.073098758,-0.341841358,1.50563976,0.165783403,0.494342843,-1.496521219,0.14951495,-0.496379289,1.37294028,-1
9,MODEL1,PARMS,LB1,0.711771956,2.528477504,0.20510826,-0.763045206,2.598375149,-0.041777433,-0.093227612,0.070854113,0.196981919,0.138306054,-0.399327543,-1
10,MODEL1,PARMS,LB1,0.674698632,5.163972245,0.176609793,-0.419896803,1.293761378,-0.241807909,0.892378951,-1.857987796,0.292693744,-0.043920891,-0.315290264,-1
11,MODEL1,PARMS,LB1,0.690793575,-0.266066391,0.145134608,-0.28475574,0.746347183,0.156343811,-0.192463439,-0.040254901,0.104565755,0.52909249,-0.939065434,-1
12,MODEL1,PARMS,LB1,0.698430859,0.787922009,0.086190819,0.04007409,-0.89472451,0.087945406,-0.087901417,-0.320336483,0.201333127,0.276481485,-0.645335487,-1
13,MODEL1,PARMS,LB1,0.721447858,-3.886760452,0.251460901,-0.544780151,1.476522094,0.401712251,-0.970593635,1.761369073,-0.023248346,0.956527385,-2.156307337,-1
14,MODEL1,PARMS,LB1,0.64649446,10.04001124,0.120399065,-0.372876055,1.095082636,-0.490124953,1.67183341,-3.304559349,0.105227354,-0.350982298,0.904573347,-1
15,MODEL1,PARMS,LB1,0.691651059,4.928126834,0.048626196,-0.426888807,1.574032296,-0.182509427,1.143649848,-2.534755262,0.309404478,-0.489706797,0.98467819,-1
16,MODEL1,PARMS,LB1,0.65725664,1.794734827,0.08528995,-0.278116189,0.736440985,-0.02629648,-0.067839142,0.032381418,0.53885261,-1.605402172,3.249290012,-1
17,MODEL1,PARMS,LB1,0.662152194,6.214821457,0.091101162,-0.389203712,1.666365734,-0.342298776,1.587905072,-3.452557478,0.537756549,-1.115216341,1.929211497,-1
18,MODEL1,PARMS,LB1,0.604532982,-5.20999157,0.136801337,-0.238923288,0.599795871,0.425097393,-1.349207738,3.090973738,0.405502557,-0.364721127,0.460800084,-1
19,MODEL1,PARMS,LB1,0.67000462,2.909492168,0.130685482,-0.310282708,0.756153843,-0.083623662,0.733114391,-1.762162157,0.338158808,-0.83748387,1.808358839,-1
20,MODEL1,PARMS,LB1,0.674103351,4.161012783,0.224788648,-0.447526561,0.959712638,-0.168022193,0.933797083,-2.382640284,0.186384731,-0.144634679,0.542958702,-1
21,MODEL1,PARMS,LB1,0.684136796,-0.366794804,0.102313147,-0.166286768,0.170019169,0.254016502,-0.443526681,0.469537203,-0.141928408,0.228978381,0.118115071,-1
22,MODEL1,PARMS,LB1,0.697960854,-4.079426531,0.223540891,-0.719348002,2.464900989,0.326887821,-0.185650575,-0.283598064,0.466682744,-1.379038073,3.306398272,-1
23,MODEL1,PARMS,LB1,0.763871054,-5.506529638,0.17932783,-0.569809439,1.732481833,0.505338101,-1.554519686,3.101859387,0.171364775,-0.476791052,1.550714363,-1
24,MODEL1,PARMS,LB1,0.651234616,0.242943199,0.056027014,-0.229074518,0.91053514,0.055539936,0.693881724,-2.060063981,0.604207769,-1.751497173,3.751479958,-1
25,MODEL1,PARMS,LB1,0.672315639,-3.340987384,0.134012134,-0.346561031,0.748500096,0.266068304,-0.819690879,1.387117648,0.648180661,-1.473416033,3.112362742,-1
26,MODEL1,PARMS,LB1,0.679639122,5.616351644,0.033411887,0.278813647,-1.330394105,-0.226473433,0.879728666,-1.792597408,0.205666494,0.045262256,-0.021912238,-1
27,MODEL1,PARMS,LB1,0.65860859,-5.905639296,0.133040356,-0.424008352,1.567095986,0.52473961,-1.390396353,2.37369527,0.209193103,0.037691575,0.132433232,-1
28,MODEL1,PARMS,LB1,0.655344892,-8.746829603,0.086421576,-0.167511691,0.473725934,0.655596609,-1.558982367,2.995223484,0.535142981,-1.604652015,3.391121121,-1
29,MODEL1,PARMS,LB1,0.679532592,2.626544134,0.005098692,-0.091112881,-0.005316885,-0.031049533,0.601336303,-1.826410098,0.417030411,-1.51221247,3.257447188,-1
30,MODEL1,PARMS,LB1,0.696720467,3.482976542,0.015700285,0.015115571,-0.498968713,-0.118949725,1.007526788,-2.243175306,0.440732005,-0.985537201,2.04719252,-1
31,MODEL1,PARMS,LB1,0.666095662,3.510797102,0.144153798,-0.135157083,-0.353084792,-0.040426399,-0.612714296,1.561645858,-0.055273362,0.985861021,-2.070912805,-1
32,MODEL1,PARMS,LB1,0.690428313,0.849955429,0.217795246,-0.478083236,1.449950273,0.025402666,-0.158752455,0.071683738,0.351758187,-0.420314825,0.81854398,-1
33,MODEL1,PARMS,LB1,0.657121646,2.404881914,0.137284554,-0.473333302,1.496154752,-0.007754774,0.180588707,-0.55223521,0.145853807,-0.089696116,0.397607682,-1
34,MODEL1,PARMS,LB1,0.691954813,3.547262826,0.060344518,-0.373763143,1.501417774,-0.078041153,0.203417799,-0.635136433,0.226253501,-0.269126651,0.785027739,-1
35,MODEL1,PARMS,LB1,0.658996313,-2.168661521,0.267890467,-0.742848979,2.757066733,0.150189717,0.627045429,-2.090811816,0.574635073,-1.588273421,3.452301744,-1
36,MODEL1,PARMS,LB1,0.698621108,4.916074647,0.136802353,-0.518886587,1.609935013,-0.262703362,1.028681261,-2.204633914,0.597757088,-1.869544438,4.04844148,-1
37,MODEL1,PARMS,LB1,0.747751741,4.948213981,0.231328923,-0.332544599,0.55020954,-0.257593156,0.857849103,-1.855009464,0.356286095,-0.18767005,0.152799433,-1
38,MODEL1,PARMS,LB1,0.748401401,6.937482029,0.050472351,-0.307948671,1.047662564,-0.268870538,1.512424729,-3.368274491,0.140535883,-0.739349684,1.882732858,-1
39,MODEL1,PARMS,LB1,0.697466596,6.420435502,0.24012403,-0.353594347,0.477840015,-0.322065094,1.564217227,-3.853907465,0.16996635,-0.198706212,0.610222588,-1
40,MODEL1,PARMS,LB1,0.660631952,3.07677203,0.15977147,-0.479031731,1.671228755,-0.040845124,0.034782612,-0.300530307,0.047025832,0.470931413,-0.795006683,-1
41,MODEL1,PARMS,LB1,0.662947443,-2.623401917,-0.018022435,0.056360701,-0.273790541,0.338747153,-0.062678632,-0.385579377,0.252158914,-0.890902681,2.240828434,-1
42,MODEL1,PARMS,LB1,0.749044035,4.988870376,0.161315983,-0.352837365,1.067187272,-0.27785603,0.574392516,-1.162289414,0.560663682,-0.733157311,1.158339006,-1
43,MODEL1,PARMS,LB1,0.715461256,6.389431863,-0.006677217,-0.270029742,1.3995546,-0.267693871,1.827778522,-4.555965216,0.361711969,-1.318987702,3.184714479,-1
44,MODEL1,PARMS,LB1,0.648517038,-1.027926198,0.184451019,-0.235140625,0.392628152,0.13841494,0.048892695,-0.232579658,0.350454423,-0.119927044,-0.107181071,-1
45,MODEL1,PARMS,LB1,0.712117152,-3.345459653,0.217918805,-0.485143831,1.354906423,0.335553258,-0.853339644,1.473296433,0.157173713,0.342354873,-0.695137626,-1
46,MODEL1,PARMS,LB1,0.715365239,-2.51861569,0.097354938,-0.097808814,-0.162741682,0.253118722,-0.82199946,1.708792314,0.474593423,-1.257582633,2.702757655,-1
47,MODEL1,PARMS,LB1,0.701125688,1.681873066,0.220430653,-0.46771376,1.258196003,-0.005712877,-0.061100248,0.014070979,0.1454585,0.925764371,-2.195548399,-1
48,MODEL1,PARMS,LB1,0.676782995,-9.661676588,0.134597706,-0.329391659,0.906757682,0.789131875,-2.619649799,5.695588729,0.109187472,0.085571113,-0.056887131,-1
49,MODEL1,PARMS,LB1,0.726634194,0.903032504,0.127668034,-0.501901543,2.110043319,0.01634893,0.139336006,-0.549284277,0.536494371,-1.000325334,1.747000766,-1
50,MODEL1,PARMS,LB1,0.714063603,7.04768366,0.216276076,-0.718397694,2.482864499,-0.318445036,0.620531602,-1.309101901,0.108237214,0.573573905,-1.293496774,-1
51,MODEL1,PARMS,LB1,0.71095075,-3.567226819,0.227728909,-0.424168691,1.085658905,0.256943801,-0.834494754,1.965367814,0.594462279,-1.349095344,2.800263072,-1
52,MODEL1,PARMS,LB1,0.637388124,-1.161943765,0.144618152,-0.306292261,1.161270277,0.14158783,0.858347663,-2.848565174,0.429495574,-0.824291779,1.676591144,-1
53,MODEL1,PARMS,LB1,0.69001114,-0.581462965,0.091230115,-0.365642916,1.378492912,0.182055347,-0.741851716,1.638823667,0.267553897,-0.281689585,0.446354469,-1
54,MODEL1,PARMS,LB1,0.730418931,-2.700858835,0.110481595,-0.323479442,1.069737829,0.282601487,-0.625852256,1.146620563,0.420140808,-1.02731672,2.006121787,-1
55,MODEL1,PARMS,LB1,0.666526582,-1.30247272,0.030856664,-0.109325357,0.25195353,0.217721607,0.094661382,-0.74630909,0.361825576,-0.966922115,2.098060543,-1
56,MODEL1,PARMS,LB1,0.681019704,-3.521206156,0.06023449,-0.269138614,0.941718916,0.37472274,-0.864497883,1.434940471,0.322135561,-0.860870012,1.899442352,-1
57,MODEL1,PARMS,LB1,0.709684127,0.008018527,0.210102675,-0.424593422,0.991445245,0.112591701,-0.040097332,-0.569326504,0.222389983,-0.342711266,0.748948655,-1
58,MODEL1,PARMS,LB1,0.733952703,-1.469072528,0.179541301,-0.55001531,1.838709108,0.133222456,0.827509801,-2.678400491,0.599934198,-1.866430291,4.024273486,-1
