SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sRB1
1,MODEL1,PARMS,sRB1,0.632602932,1.220113327,0.1820763,-0.032463402,-0.489304104,-0.025975218,0.421487616,-1.140772149,0.267858584,0.402657753,-1.156459093,-1
2,MODEL1,PARMS,sRB1,0.590796664,0.671927744,0.13300943,-0.140410051,0.371170692,0.087523434,0.105388978,-0.635655751,-0.031347862,1.298819132,-2.819066726,-1
3,MODEL1,PARMS,sRB1,0.651396652,0.234198325,0.257561067,-0.735903518,2.443164051,0.035351505,0.232054261,-0.736404501,0.330506635,-0.845064644,1.791886839,-1
4,MODEL1,PARMS,sRB1,0.578091498,-3.015766308,0.084455442,-0.211322191,1.087043905,0.257981535,0.336802842,-1.665522586,0.412158783,-0.941764485,2.347335574,-1
5,MODEL1,PARMS,sRB1,0.610854651,-4.595282139,0.126435947,-0.153697397,0.362543107,0.430212094,-0.971606334,2.087196775,0.04378264,0.61545215,-1.316519239,-1
6,MODEL1,PARMS,sRB1,0.665769752,-0.73243895,0.33961941,-0.497242408,1.115358449,0.067585846,0.253565721,-0.545424317,0.244908982,-0.661189496,1.98358421,-1
7,MODEL1,PARMS,sRB1,0.624271452,-4.665778416,0.173795696,-0.38193593,1.219812339,0.418417362,-0.378161,-0.04544427,0.07494647,0.34522295,-0.535052772,-1
8,MODEL1,PARMS,sRB1,0.624931816,1.119941976,0.1432508,-0.366811456,1.251127914,0.054362695,0.609411543,-1.472935305,0.049866689,-0.052826904,0.337451323,-1
9,MODEL1,PARMS,sRB1,0.590820713,-4.039264988,0.26164291,-0.597384382,2.256008601,0.280548925,-0.437913387,0.743666301,0.39253742,-0.500778862,0.776191099,-1
10,MODEL1,PARMS,sRB1,0.60769947,-0.820772289,0.295535315,-0.712924261,2.420719202,0.079308682,-0.160393666,0.290753241,0.314040471,0.088375055,-0.500269873,-1
11,MODEL1,PARMS,sRB1,0.575006154,-3.882754836,0.203012238,-0.370333636,1.339165224,0.295349729,-0.605451012,0.889903738,0.359257597,-0.617861365,1.34631934,-1
12,MODEL1,PARMS,sRB1,0.663150999,3.23917965,0.217950468,-0.467460909,1.297103457,-0.100060058,0.766040576,-1.912761212,0.011109853,0.909505288,-1.903791376,-1
13,MODEL1,PARMS,sRB1,0.619979598,0.935030633,0.168313875,-0.194587369,0.444168827,0.022929235,0.87544783,-2.784335167,0.157334663,0.580706462,-1.52459056,-1
14,MODEL1,PARMS,sRB1,0.563170767,-2.237444681,0.310401419,-0.774830406,2.484912258,0.166956666,-0.637295573,1.340125134,0.374591819,-0.665020729,1.440573291,-1
15,MODEL1,PARMS,sRB1,0.598968549,-0.206344336,0.181355394,-0.431995375,1.507215129,0.101658648,-0.014470897,0.056022261,0.203752305,-0.132530011,0.164976286,-1
16,MODEL1,PARMS,sRB1,0.614970728,-3.39585616,0.108002012,-0.351333773,1.120888808,0.353292998,-0.89900546,1.435410653,0.175768824,-0.130520096,0.168108132,-1
