SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sLB1
1,MODEL1,PARMS,sLB1,0.508451179,2.911812152,0.036185244,0.142144294,-0.889103281,-0.065505322,0.397269127,-1.090754414,0.116859348,0.346914304,-0.968278956,-1
2,MODEL1,PARMS,sLB1,0.480241396,-0.869051135,0.050125588,-0.038930418,0.023418844,0.174917567,-0.178899387,0.062725233,0.157070981,-0.3216782,0.713851703,-1
3,MODEL1,PARMS,sLB1,0.498598269,0.311437972,0.103377027,-0.175169313,0.19460702,0.045945911,-0.176908718,0.25381344,0.374144087,-0.904202262,1.743093552,-1
4,MODEL1,PARMS,sLB1,0.551577445,-1.118084287,0.172886168,-0.278980256,0.829658517,0.13301218,0.219334742,-0.967821673,0.212917242,-0.132807254,0.183931871,-1
5,MODEL1,PARMS,sLB1,0.522382476,-5.356502774,-0.040847571,0.189048144,-0.50769193,0.458165985,-1.143324885,2.301940061,0.331505235,-1.003050618,2.299710797,-1
6,MODEL1,PARMS,sLB1,0.529729963,-0.539643434,0.096615268,-0.115098712,0.205949123,0.118804869,-0.152484771,0.082236752,0.244259469,-0.093510461,-0.039823361,-1
7,MODEL1,PARMS,sLB1,0.493007462,2.059605067,0.05406858,-0.125471784,0.423620297,-0.054938696,0.652790286,-2.000255424,0.332140345,-0.541218975,0.978274312,-1
8,MODEL1,PARMS,sLB1,0.486789584,-5.958743454,0.029974585,-0.040878881,0.16732002,0.518295931,-1.597389331,3.391308405,0.173322175,-0.349788236,0.799149638,-1
9,MODEL1,PARMS,sLB1,0.515479029,1.635500221,0.079942018,-0.310215676,1.316319708,-0.031130151,0.37067541,-1.110683283,0.316275592,-0.329850137,0.391260333,-1
10,MODEL1,PARMS,sLB1,0.508473394,5.780644206,0.108751759,-0.242105902,0.762690684,-0.309484636,0.967348821,-2.200093741,0.32652559,-0.495797016,0.692470543,-1
11,MODEL1,PARMS,sLB1,0.496270431,1.187076704,0.028305165,-0.072875843,0.229117573,0.065541757,0.388969452,-1.429286468,0.077931015,-0.197371153,0.686504851,-1
12,MODEL1,PARMS,sLB1,0.529537596,-1.268390669,0.093433414,-0.091957429,-0.056387535,0.170122068,-0.253299536,0.175468498,0.259865663,-0.549562265,1.238963307,-1
13,MODEL1,PARMS,sLB1,0.529793869,-3.055709836,-0.036638885,-0.012503386,0.153441548,0.340501713,-0.830350029,1.546304075,0.232888466,0.102157458,-0.76557517,-1
14,MODEL1,PARMS,sLB1,0.508492426,8.469320187,0.134144138,-0.322662129,0.949573362,-0.486612835,1.713182815,-3.616176361,0.3057597,-1.003044012,2.172741701,-1
15,MODEL1,PARMS,sLB1,0.512559854,-1.474621092,0.061332729,-0.0586398,-0.056158315,0.217291026,-0.418892265,0.925634721,0.130646296,-0.159727811,0.382587606,-1
16,MODEL1,PARMS,sLB1,0.585012815,2.915049288,0.155515064,-0.314404055,0.825290505,-0.095528623,0.596299953,-1.684090121,0.131607172,0.294049615,-1.046071116,-1
17,MODEL1,PARMS,sLB1,0.539925755,2.228383537,0.240351343,-0.52314859,1.766172528,-0.105062122,0.6807354,-1.811618977,0.229085624,0.032648266,-0.421013724,-1
18,MODEL1,PARMS,sLB1,0.464679171,0.699970011,0.143286399,-0.142533188,0.049760562,0.098809876,-0.239854577,0.496641001,-0.106701344,0.634306082,-1.177013138,-1
19,MODEL1,PARMS,sLB1,0.526844988,0.115119753,0.048276084,0.001264484,-0.336342745,0.067195538,0.042383264,-0.281657148,0.374574342,-0.660364362,1.130332511,-1
20,MODEL1,PARMS,sLB1,0.507795689,-1.539863317,0.224016671,-0.350567157,0.922603587,0.198057817,0.051544389,-0.635202172,-0.02785541,0.615516331,-1.214282728,-1
21,MODEL1,PARMS,sLB1,0.540471599,1.594485475,0.274840491,-0.58851856,1.891597807,-0.102921387,0.623256199,-1.67458426,0.370720122,-0.768436297,1.653150878,-1
22,MODEL1,PARMS,sLB1,0.489228902,-3.20480292,0.254269517,-0.615465629,2.130993451,0.236015668,-0.016985398,-0.603716832,0.310230949,-0.746383717,1.695240716,-1
23,MODEL1,PARMS,sLB1,0.517104901,-1.66905128,-0.003172494,0.084487728,-0.395391439,0.225898316,-0.520035971,0.815315434,0.275700072,-0.826349982,1.949103875,-1
24,MODEL1,PARMS,sLB1,0.518787363,0.895115537,0.188456836,-0.36582813,0.993423957,-0.027351561,0.402690589,-1.263609812,0.378397645,-0.788734755,1.565253028,-1
25,MODEL1,PARMS,sLB1,0.563413075,2.92230093,0.118929,-0.213898945,0.453270894,-0.165214657,0.008000236,-0.053895461,0.502257298,-0.746332331,1.321130647,-1
26,MODEL1,PARMS,sLB1,0.500989306,3.475215539,0.031580526,0.192387383,-0.855722678,-0.181971606,1.050020118,-2.486414778,0.454380901,-1.070714888,2.158284178,-1
27,MODEL1,PARMS,sLB1,0.487486082,-0.745249855,0.026515451,0.041797076,-0.396618367,0.160289915,0.193238337,-1.147555146,0.204722909,-0.111422118,0.200035741,-1
28,MODEL1,PARMS,sLB1,0.535519092,-0.676924792,0.105082547,-0.169921487,0.544338355,0.111023752,0.278194238,-1.071777125,0.343015436,-1.226144759,2.630776619,-1
29,MODEL1,PARMS,sLB1,0.514128222,-1.24981067,0.048947395,0.061288875,-0.758628077,0.14568236,-0.550972632,1.019250277,0.467566857,-1.344782135,2.716794678,-1
30,MODEL1,PARMS,sLB1,0.553011073,1.576428342,0.109491051,-0.158709869,0.466431094,-0.092461673,1.185649632,-2.955575208,0.550703348,-1.663779233,3.471806602,-1
31,MODEL1,PARMS,sLB1,0.517522906,1.697598066,0.163190172,-0.280921993,0.672524643,-0.075568537,0.157559353,-0.377500831,0.393058237,-0.289126109,0.090459378,-1
32,MODEL1,PARMS,sLB1,0.493567896,1.563000647,0.079216874,-0.051995112,-0.248558908,-0.031077619,0.185251986,-0.598314894,0.350746481,-0.627019342,1.116874771,-1
33,MODEL1,PARMS,sLB1,0.530073657,-0.311349931,0.247560388,-0.435407598,1.173004485,0.055058708,0.448739627,-1.500288338,0.216401998,-0.009432051,-0.152399797,-1
34,MODEL1,PARMS,sLB1,0.510136292,-0.481603452,0.106118203,-0.370100126,1.227675796,0.17937882,-0.549873409,0.918193503,-0.005956726,0.150829088,-0.061435122,-1
35,MODEL1,PARMS,sLB1,0.520172869,0.127619414,0.137946424,-0.149241039,0.454698869,-0.013371665,0.686389301,-2.041872743,0.619827038,-2.129032432,4.510820152,-1
36,MODEL1,PARMS,sLB1,0.505372976,5.315897751,0.134449035,-0.28825596,0.777125282,-0.298147566,0.787900059,-1.62762867,0.357502029,-0.674213355,1.275442896,-1
37,MODEL1,PARMS,sLB1,0.515466924,3.639702048,0.175835683,-0.314044116,0.881386881,-0.18190707,0.601424981,-1.091005448,0.269556358,-0.219767411,0.16538622,-1
38,MODEL1,PARMS,sLB1,0.513363678,-1.790889864,0.027842409,0.015190481,-0.27145946,0.22323693,-0.140593301,-0.085761281,0.272408909,-0.723342193,1.537809278,-1
39,MODEL1,PARMS,sLB1,0.490192195,2.273248281,-0.007593444,0.138789248,-0.821984051,-0.05932204,0.785579479,-2.169906845,0.392850908,-1.253403352,2.566120489,-1
40,MODEL1,PARMS,sLB1,0.557154895,0.724722718,0.228899657,-0.513646987,1.691028752,0.00563129,0.175553484,-0.69667404,0.207645772,0.173755083,-0.679918698,-1
41,MODEL1,PARMS,sLB1,0.504318538,-2.779198785,0.121837474,-0.124310981,0.207751125,0.266726146,-0.160999208,-0.108113068,0.206383095,-0.741400926,1.779300843,-1
42,MODEL1,PARMS,sLB1,0.535123704,3.835783032,0.125358052,-0.183359476,0.445209742,-0.24068064,0.716419516,-1.478628568,0.558462845,-1.0870536,1.874670846,-1
43,MODEL1,PARMS,sLB1,0.56508088,2.190716342,-0.024261637,0.020884979,-0.108654102,0.018825549,0.249363375,-1.030977422,0.109783654,-0.152848551,0.429141656,-1
44,MODEL1,PARMS,sLB1,0.53093726,0.611047441,0.143965803,-0.189616752,0.259232163,0.011803962,0.450570186,-1.300078904,0.325334041,-0.614965572,1.147237406,-1
45,MODEL1,PARMS,sLB1,0.523971483,-4.156388776,0.14923439,-0.179431233,0.326362313,0.339347698,-0.828142973,1.305964715,0.256537914,-0.187468143,0.255817914,-1
46,MODEL1,PARMS,sLB1,0.528883514,-0.868611295,0.074851281,0.096491838,-0.678312215,0.102017709,-0.057049245,-0.060859227,0.415174777,-0.583904363,0.883700156,-1
47,MODEL1,PARMS,sLB1,0.526221773,1.034542085,0.107280997,-0.047800579,-0.117474006,-0.035817499,0.369154285,-1.073906993,0.389889024,-0.149953937,-0.011141326,-1
48,MODEL1,PARMS,sLB1,0.52076119,-5.519719107,0.147894178,-0.321721162,1.052609613,0.434995941,-1.619597203,3.681918811,0.250247157,-0.22682872,0.327337951,-1
49,MODEL1,PARMS,sLB1,0.530571094,-0.551376503,0.107281849,-0.18030348,0.522819742,0.13283188,0.022804913,-0.470385441,0.213892036,-0.551017223,1.165658034,-1
50,MODEL1,PARMS,sLB1,0.535885463,7.559834244,0.121284522,-0.401626789,1.590625752,-0.396505337,0.800332397,-1.593617397,0.208155985,-0.051415636,-0.050754563,-1
51,MODEL1,PARMS,sLB1,0.519180991,0.708658787,0.032765688,0.078466282,-0.482766667,0.001967597,-0.146428756,0.423067306,0.542636389,-1.449585851,2.831994968,-1
52,MODEL1,PARMS,sLB1,0.50856649,0.542094888,0.16228618,-0.212213046,0.492474057,0.026666739,0.40066231,-1.100258391,0.236493183,-0.485261366,1.035527634,-1
53,MODEL1,PARMS,sLB1,0.557975359,-1.061167355,0.03712053,0.032509778,-0.355917956,0.171639375,-0.378655032,0.729243949,0.293809415,-0.574751141,0.906214632,-1
54,MODEL1,PARMS,sLB1,0.547862275,0.282292153,0.066760071,-0.092046125,0.268570246,0.0676923,-0.228689308,0.377222202,0.309324091,-0.307365127,0.340997557,-1
55,MODEL1,PARMS,sLB1,0.501424364,-0.419570246,0.174769443,-0.188445986,0.429457184,0.043497096,0.922508028,-2.492251359,0.400838727,-0.982723247,1.892720481,-1
56,MODEL1,PARMS,sLB1,0.49630614,-0.688526406,0.081383823,-0.161321496,0.529633265,0.093886346,-0.026458916,-0.268803108,0.479129873,-1.419461956,2.904781234,-1
57,MODEL1,PARMS,sLB1,0.500818634,2.207119799,0.010689987,-0.016142432,0.083508091,-0.009723665,0.65003889,-2.102165076,0.129812631,-0.132136165,0.324063509,-1
58,MODEL1,PARMS,sLB1,0.545819788,0.847511228,0.192242313,-0.446197042,1.338728228,-0.023604187,0.150752402,-0.448711526,0.401678042,-0.62221159,1.009137654,-1
59,MODEL1,PARMS,sLB1,0.512053865,1.476120937,0.089762618,-0.162336428,0.353927588,-0.007274767,0.394561863,-1.299775496,0.21461033,0.216628587,-0.745765451,-1
60,MODEL1,PARMS,sLB1,0.532057549,-3.503454211,0.132287938,-0.283755705,1.044573736,0.296973433,-0.397520467,0.467084339,0.283533891,-0.641159827,1.357959731,-1
61,MODEL1,PARMS,sLB1,0.552025778,-1.956485145,0.215954151,-0.287178752,0.488215143,0.188203171,-0.480484164,0.962069778,0.160687296,0.009696659,0.029124214,-1
62,MODEL1,PARMS,sLB1,0.523575793,4.129733892,0.072881848,0.023433814,-0.383767815,-0.167514765,1.101274712,-2.632128069,0.156769986,-0.145570541,0.126063748,-1
63,MODEL1,PARMS,sLB1,0.486264954,-0.077267706,0.131902012,-0.305971522,0.967354971,0.113115273,-0.210705093,0.381911859,0.104403094,-0.109670365,0.390870187,-1
64,MODEL1,PARMS,sLB1,0.497247363,0.468735227,0.035906821,0.136151849,-0.601252314,0.051778575,0.00704501,-0.132117623,0.334546956,-0.645843402,1.20916246,-1
65,MODEL1,PARMS,sLB1,0.56526593,1.840173673,-0.042687077,0.251664775,-0.982046228,-0.004491454,0.070837027,-0.588863473,0.321318069,-0.791892796,1.615115925,-1
66,MODEL1,PARMS,sLB1,0.547069215,-5.242576195,0.031905924,-0.265095406,0.968783788,0.432962871,-2.051916833,4.926018189,0.448889234,-1.176924806,2.284718512,-1
67,MODEL1,PARMS,sLB1,0.54048207,3.160493578,0.194195449,-0.334888479,0.964941402,-0.185716396,0.756507782,-1.931612268,0.381669909,-0.633659339,1.274225053,-1
68,MODEL1,PARMS,sLB1,0.502972694,-3.153451485,0.203671005,-0.439389737,1.322025155,0.263885018,-0.620711317,1.171545843,0.230047135,-0.330495647,0.520653526,-1
69,MODEL1,PARMS,sLB1,0.557481176,-2.822510511,0.092290221,-0.140129899,0.368857292,0.255025893,-0.329007206,-0.151113174,0.335101061,-0.546741321,1.231990585,-1
70,MODEL1,PARMS,sLB1,0.539377202,-1.673484776,0.13891143,-0.404924711,1.568568392,0.173978094,-0.036345168,0.030081096,0.285791558,-0.432152662,0.550999559,-1
71,MODEL1,PARMS,sLB1,0.541991255,4.37264019,0.037699604,0.081905141,-0.587289856,-0.225331687,0.991066669,-2.000180417,0.424311116,-0.889142569,1.558518825,-1
72,MODEL1,PARMS,sLB1,0.537001811,2.639218809,0.025335578,0.21705204,-1.092313145,-0.063347257,0.462191886,-1.440287632,0.20433427,0.099264331,-0.485101636,-1
73,MODEL1,PARMS,sLB1,0.518572539,-0.027634166,0.079517823,0.00696709,-0.276994366,0.080368804,-0.059279913,0.028509298,0.290611705,-0.613198547,1.357773498,-1
74,MODEL1,PARMS,sLB1,0.487092471,-2.016993253,0.026720654,-0.024571441,0.169430018,0.209414779,-0.184064567,0.276239155,0.370275642,-0.747229596,1.312139561,-1
75,MODEL1,PARMS,sLB1,0.536678124,-1.272141374,0.014619865,0.317614993,-1.57813666,0.202546692,-0.493648173,1.036656887,0.180426755,-0.210352534,0.367274424,-1
76,MODEL1,PARMS,sLB1,0.491865562,4.133601866,-0.047474054,0.314136909,-1.558714533,-0.095734027,0.421611429,-1.226274841,0.027296624,0.418591005,-0.954223997,-1
77,MODEL1,PARMS,sLB1,0.553528454,0.059821779,0.030589612,-0.052722141,-0.104732888,0.052761011,-0.456308122,0.916352865,0.538960422,-1.182591462,2.14076932,-1
78,MODEL1,PARMS,sLB1,0.484134004,0.518207469,0.13054198,-0.178898002,0.451815992,0.054614977,0.577335565,-1.624433769,0.162912719,-0.6356522,1.737169327,-1
79,MODEL1,PARMS,sLB1,0.524727772,0.847275151,0.077224905,-0.091608763,0.225824919,0.018200182,-0.080755005,-0.095496705,0.344435047,-0.469706472,0.77441329,-1
80,MODEL1,PARMS,sLB1,0.523367622,-1.113046009,0.087045692,-0.048331151,-0.015943501,0.21887013,-0.394113715,0.794426623,-0.045885467,0.640828197,-1.430375871,-1
81,MODEL1,PARMS,sLB1,0.599484598,0.283009156,0.05635946,-0.271387781,1.049349226,0.115024904,-0.832276885,2.159433009,0.1512286,0.426861211,-1.473013926,-1
82,MODEL1,PARMS,sLB1,0.584138932,-0.26438871,0.07441727,-0.011732341,-0.512045871,0.077905459,-0.978215671,2.444205195,0.448515099,-0.740954244,1.164064405,-1
83,MODEL1,PARMS,sLB1,0.511411021,2.122973087,0.154224549,-0.139612002,0.084584116,-0.092756934,0.525972106,-1.350141078,0.31105947,-0.485870076,0.976804091,-1
84,MODEL1,PARMS,sLB1,0.499516888,0.548099435,0.144690348,-0.216718707,0.599478163,0.029983641,1.179597261,-3.249205596,0.18499214,-0.062779811,-0.038845459,-1
