SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RMB
1,MODEL1,PARMS,RMB,1.332463197,11.58687199,0.582180598,-1.003387594,3.559092814,-0.512591262,3.799555435,-8.97878775,1.259039985,-1.594896033,2.252733997,-1
2,MODEL1,PARMS,RMB,1.367463298,18.5322906,0.149959458,-0.341503491,0.897275964,-0.77177404,5.074985972,-12.32234723,1.040500152,-2.177863023,4.028843242,-1
3,MODEL1,PARMS,RMB,1.381674191,20.29792734,0.581019404,-2.076649289,7.661111686,-1.111715723,4.285557577,-8.766670099,1.704864707,-3.910633928,6.742349378,-1
4,MODEL1,PARMS,RMB,1.415164613,11.90105738,-0.074685042,-0.316450735,2.040748536,-0.30519485,1.569418451,-3.444738559,1.414339557,-3.408052655,6.448838485,-1
5,MODEL1,PARMS,RMB,1.352537615,0.495791016,0.023999988,0.045776246,0.32303854,0.429485504,0.212393381,-1.077523894,1.1807001,-2.654150945,5.141444713,-1
6,MODEL1,PARMS,RMB,1.283508986,14.80515558,0.421387763,-1.279484772,4.154881155,-0.628239249,2.321958162,-5.188375806,1.278275054,-2.314502232,4.423214837,-1
7,MODEL1,PARMS,RMB,1.408592812,3.095082994,0.347016659,-0.816399222,2.498704384,0.225215722,0.477112837,-1.353853031,0.954117644,-1.027525692,1.072481467,-1
8,MODEL1,PARMS,RMB,1.360638705,17.80400233,0.242001719,-1.09068613,4.238183786,-0.728061967,2.563971645,-5.045640678,1.088993526,-1.738328243,2.884781513,-1
9,MODEL1,PARMS,RMB,1.30945372,10.84236055,0.538095853,-1.738825454,7.453509538,-0.412296173,2.156091478,-4.577850514,1.288941008,-2.534624904,4.423974484,-1
10,MODEL1,PARMS,RMB,1.234261886,14.55774009,0.250945996,-1.19380153,5.030509448,-0.582158082,3.490903223,-8.665379565,1.422823396,-3.06918448,5.503394941,-1
11,MODEL1,PARMS,RMB,1.360577885,0.402821401,0.085639483,-0.243597517,1.515145748,0.413221074,0.519797234,-2.295856682,1.224113142,-2.501465957,4.659077067,-1
12,MODEL1,PARMS,RMB,1.337769852,6.511108652,0.321677828,-0.712886794,2.158488028,-0.012269345,1.742009365,-4.477043573,0.99199438,-1.907365951,3.92255209,-1
13,MODEL1,PARMS,RMB,1.263148199,0.010443003,0.35567416,-0.668849508,2.533125784,0.502199227,0.098801536,-1.293215364,0.519910055,-0.2238639,-0.001358509,-1
14,MODEL1,PARMS,RMB,1.317388192,13.86530459,0.290086334,-0.63926855,0.940877279,-0.437659843,0.658894016,-0.394687477,0.914257652,-1.249518091,2.059292034,-1
15,MODEL1,PARMS,RMB,1.348336681,9.003978323,0.287785002,-0.933468442,2.770713941,-0.167928544,1.985712158,-4.135422681,1.089651375,-2.233923104,3.967175933,-1
16,MODEL1,PARMS,RMB,1.323812799,14.19475978,0.191996542,-1.289149163,4.942187721,-0.57654412,3.366374089,-8.848831392,1.708391809,-4.120574028,7.603540191,-1
17,MODEL1,PARMS,RMB,1.303326226,23.45397327,0.685635308,-2.407547314,9.813871968,-1.31538548,5.75537568,-12.82098167,1.382017038,-2.170317528,3.547454696,-1
18,MODEL1,PARMS,RMB,1.397793741,4.12051245,0.26393981,-1.018753415,3.180079501,0.07874639,1.250007466,-4.077139875,1.537216507,-3.917670709,7.704997026,-1
19,MODEL1,PARMS,RMB,1.411046604,7.525452156,-0.101758058,-0.202593718,0.559949558,0.107647089,1.938573976,-5.468305229,0.873546733,-0.96285591,0.507479032,-1
20,MODEL1,PARMS,RMB,1.326154812,17.3382161,0.360214467,-1.210794321,4.808853509,-0.78289245,3.825286873,-8.597812302,1.328750609,-3.009083853,5.759104058,-1
21,MODEL1,PARMS,RMB,1.413696504,14.54923222,0.226326518,-0.565780483,0.904639294,-0.378758524,1.765870841,-3.679355372,0.608589186,-1.288521442,2.360260655,-1
22,MODEL1,PARMS,RMB,1.333501209,9.879294809,0.326707254,-1.402378247,5.716215395,-0.231541648,1.289241661,-3.302903766,1.194241272,-3.528887091,7.719167969,-1
23,MODEL1,PARMS,RMB,1.454913104,10.37157231,0.119927095,-0.837099461,4.090820373,-0.328677359,3.11415668,-7.917931285,1.6815628,-4.847367551,9.906659564,-1
24,MODEL1,PARMS,RMB,1.45392929,10.69672397,0.239962563,-0.914725205,3.331150082,-0.229634846,0.156543252,0.333563378,1.017808867,-1.318119772,1.886672964,-1
25,MODEL1,PARMS,RMB,1.293307496,15.80163388,0.220636589,-0.709675561,2.704758345,-0.73538368,4.367958251,-10.38848335,1.711281547,-4.251753198,8.204020954,-1
26,MODEL1,PARMS,RMB,1.30970961,27.04980833,0.194182069,-0.627162807,3.003766633,-1.351315818,6.802405363,-16.15093037,1.178550558,-3.589460105,7.636585372,-1
27,MODEL1,PARMS,RMB,1.324576909,22.27196137,0.256984645,-0.646868478,1.723173225,-1.193040638,5.329495523,-12.11758549,1.827682468,-4.83801974,9.330129356,-1
28,MODEL1,PARMS,RMB,1.344281475,7.007093296,0.139994271,-0.044218851,-0.463837573,0.031123148,0.627805832,-1.427874064,0.990100576,-2.840234164,5.837791904,-1
29,MODEL1,PARMS,RMB,1.456336272,7.528844478,0.197747631,-0.694271542,2.011943571,-0.017723267,1.757677017,-4.043426405,0.974468981,-1.85475899,3.329615101,-1
30,MODEL1,PARMS,RMB,1.334775,9.280037836,0.159838445,-0.523909276,1.854779171,-0.352449044,3.331964082,-8.381594878,2.0013002,-5.56164232,11.62168508,-1
31,MODEL1,PARMS,RMB,1.406858962,20.26538514,0.396381479,-1.134498405,3.779017399,-1.24772616,4.175641781,-8.810728096,2.550225665,-6.587918687,12.80544693,-1
32,MODEL1,PARMS,RMB,1.505540387,23.21525545,0.289158645,-0.980074303,2.390621061,-1.117460948,4.463746021,-10.47883596,1.331637834,-3.626035831,7.135215105,-1
33,MODEL1,PARMS,RMB,1.294157087,6.362263341,0.25563371,-0.89728582,2.58382956,0.033695547,0.454344782,-1.121268287,1.133241427,-2.625648473,4.717812682,-1
34,MODEL1,PARMS,RMB,1.277025221,13.5689393,0.558596243,-1.584394647,5.543499208,-0.510739414,0.297854921,0.7883158,0.872374678,-0.244564281,-0.366664968,-1
35,MODEL1,PARMS,RMB,1.355212901,6.461323684,0.330654574,-1.072666167,4.335303185,-0.113845245,2.638915896,-6.765845581,1.559992243,-4.40980852,8.946048913,-1
36,MODEL1,PARMS,RMB,1.38580115,5.820744144,0.538136417,-1.149358506,2.937921336,-0.243103401,1.133857284,-1.736242528,2.097250697,-5.807907238,11.33124405,-1
37,MODEL1,PARMS,RMB,1.27249169,7.402678083,0.441981383,-1.602681771,6.487666281,-0.333341741,2.445863563,-5.529227048,2.200680713,-5.879129261,11.27911958,-1
38,MODEL1,PARMS,RMB,1.425135525,14.06614238,0.348620885,-0.885738356,2.746520826,-0.440708384,4.212057859,-9.849210218,0.689332954,-1.749326235,3.193433708,-1
39,MODEL1,PARMS,RMB,1.299843978,8.520614326,0.301852564,-0.032324317,-0.985452002,-0.216167956,2.560728092,-5.620638021,1.333407496,-3.839918474,7.224044997,-1
40,MODEL1,PARMS,RMB,1.277808208,14.64141146,0.362111039,-0.961759257,4.221733787,-0.590738367,3.218602659,-7.856880064,1.146351495,-1.848636535,3.052233949,-1
41,MODEL1,PARMS,RMB,1.237872776,10.73199649,0.196406366,-0.539411982,1.962781039,-0.258318428,3.649861041,-8.724197871,1.100885307,-3.909976905,8.239034312,-1
42,MODEL1,PARMS,RMB,1.3450152,11.76631149,0.500598163,-1.510345564,5.709970251,-0.462461909,2.443810449,-4.876496533,1.310000429,-2.043433387,2.749248002,-1
43,MODEL1,PARMS,RMB,1.30419518,19.11028622,-0.132515027,-0.004162216,0.541917595,-0.688316345,5.12225804,-12.56132759,0.983772456,-2.55473035,4.616017712,-1
44,MODEL1,PARMS,RMB,1.404660724,9.773367167,0.069068369,-0.21255463,0.957126655,-0.263960799,2.577758116,-5.83376844,1.579259104,-4.368203931,8.699621452,-1
45,MODEL1,PARMS,RMB,1.314334961,15.40617968,0.255445586,-0.832815447,3.204470904,-0.571800328,2.746777038,-5.497957417,1.093313027,-2.146645984,3.211414346,-1
46,MODEL1,PARMS,RMB,1.319471701,9.239290048,0.127822214,-0.376778864,0.951723257,-0.193880701,2.401636565,-5.765729824,1.38725507,-3.172972376,5.091665523,-1
47,MODEL1,PARMS,RMB,1.336473199,14.91999529,0.177260033,-0.274391693,0.154553672,-0.737834352,2.797502499,-5.76741896,1.943849337,-3.566698354,5.756769811,-1
48,MODEL1,PARMS,RMB,1.346046891,5.381287163,0.431504494,-1.17363637,3.950538601,0.050305548,0.636610435,-1.296730735,0.983719069,-1.689585864,2.87182089,-1
49,MODEL1,PARMS,RMB,1.480836304,31.41128305,0.272354136,-1.003462604,3.848611001,-1.654769163,6.081812043,-13.11041505,1.261189327,-3.451787522,6.825374143,-1
50,MODEL1,PARMS,RMB,1.322735655,15.08194021,0.158742797,-0.669529543,2.380442367,-0.473261942,2.546233275,-5.503893468,0.88713,-2.154506684,3.852830001,-1
51,MODEL1,PARMS,RMB,1.258147092,22.97541595,0.223236831,-0.458218659,0.910994917,-1.178533196,5.664934712,-13.62623862,1.543961271,-3.553023002,6.570196472,-1
52,MODEL1,PARMS,RMB,1.410219633,6.772348312,0.055020022,-0.347993354,1.743769874,-0.140298949,1.712420697,-3.778989321,1.881036035,-3.63944326,6.277678453,-1
53,MODEL1,PARMS,RMB,1.289557638,6.07640951,0.273275625,-0.947664632,3.491226036,0.025783711,1.474979086,-4.080965827,1.093210022,-1.872728237,3.007208403,-1
54,MODEL1,PARMS,RMB,1.375034277,16.70467514,0.38902542,-1.67123598,6.086250188,-0.716619568,2.796464141,-5.758643426,1.217365608,-2.56997137,4.583442182,-1
55,MODEL1,PARMS,RMB,1.293529157,12.68571602,0.055351431,-0.489432745,2.650686882,-0.374615811,3.122955226,-7.563595416,1.22166003,-3.049579296,5.841419099,-1
56,MODEL1,PARMS,RMB,1.314092566,12.52783654,0.297518464,-0.95906878,3.641661676,-0.440042711,2.032119639,-4.143560111,1.342318277,-3.715027142,7.160295243,-1
57,MODEL1,PARMS,RMB,1.482810112,6.08786279,0.076021578,-0.527276593,3.035520755,0.0187217,1.08696987,-3.523580085,1.509225095,-4.673767136,10.01732417,-1
58,MODEL1,PARMS,RMB,1.301973323,21.44821981,0.419512591,-1.169871808,3.416998012,-1.116332705,4.613676274,-10.40202258,1.562929667,-4.051349883,8.104427672,-1
59,MODEL1,PARMS,RMB,1.404265946,0.107957384,0.01955955,-0.507653004,2.009574527,0.488032322,-1.050262665,2.266442659,1.238747311,-2.239431893,3.302335596,-1
60,MODEL1,PARMS,RMB,1.370108821,13.52075969,0.276493178,-1.007413444,3.887888709,-0.590011907,4.739297048,-10.75523459,1.63149762,-4.426102195,8.254935793,-1
61,MODEL1,PARMS,RMB,1.36636673,-4.695751986,0.067716947,-0.344548318,0.841256476,0.842804507,-1.407622386,1.566383024,0.961468103,-3.078806356,7.095083763,-1
62,MODEL1,PARMS,RMB,1.398384056,17.92906185,0.265784452,-1.0368493,3.743429495,-0.772407724,3.637158999,-8.702468127,1.278255611,-4.074599064,8.963953864,-1
63,MODEL1,PARMS,RMB,1.31337479,1.073159145,0.141938783,-0.534276052,1.846813128,0.472281425,-0.000491113,-1.35163506,0.791150533,-1.935273145,4.091243382,-1
64,MODEL1,PARMS,RMB,1.25168976,13.9102802,0.111661043,0.006923562,-0.274122354,-0.727932188,3.472491245,-8.380131869,2.377691287,-5.683114206,10.88374903,-1
65,MODEL1,PARMS,RMB,1.426016109,11.68967436,0.287290427,-0.676585279,2.572613954,-0.387314254,1.244466329,-1.973860396,1.301851268,-2.70945829,4.529357309,-1
66,MODEL1,PARMS,RMB,1.287243372,7.731556312,0.452049348,-1.04649403,3.676746074,-0.141398945,1.085431475,-1.760592894,1.106885909,-2.006563196,3.123837014,-1
