SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LMB
1,MODEL1,PARMS,LMB,1.156307007,13.10098416,0.530378523,-0.605291666,2.039796292,-0.664548498,2.704257716,-6.033371026,1.051166236,-1.00653289,1.207131448,-1
2,MODEL1,PARMS,LMB,1.12398978,11.95823994,0.222837953,-0.397361191,1.566441196,-0.437101311,2.149997541,-5.52543622,0.891969529,-0.907841037,1.196889769,-1
3,MODEL1,PARMS,LMB,1.132993496,17.1119022,0.282511095,-0.98349682,4.669804155,-0.878796352,3.072680976,-6.486122181,1.401675544,-3.452188809,6.232630861,-1
4,MODEL1,PARMS,LMB,1.126596468,6.796739895,0.257505289,-0.625107272,2.571249116,-0.077115397,0.591125775,-1.130474567,0.802815947,-1.595831938,3.231204413,-1
5,MODEL1,PARMS,LMB,1.092469389,6.106955589,0.244252685,-0.521372065,2.436078135,-0.049551534,1.66892198,-4.798012514,0.879361127,-2.204160525,4.757501258,-1
6,MODEL1,PARMS,LMB,1.166382743,14.6690125,0.388907191,-0.730051037,1.888113442,-0.675996422,2.687631561,-6.00320521,0.954451095,-1.480370737,2.844704094,-1
7,MODEL1,PARMS,LMB,1.198608627,-0.992575785,0.315290245,-0.661209504,2.872741934,0.40145876,-0.578438979,1.039394769,0.828110817,-0.782014135,0.987078069,-1
8,MODEL1,PARMS,LMB,1.178091477,19.71957476,0.109123682,-0.602181294,2.475530231,-0.870563404,2.4979513,-5.4629587,0.8667842,-1.865527608,3.8314162,-1
9,MODEL1,PARMS,LMB,1.113628515,11.29141214,0.708915662,-1.636942637,5.870665333,-0.520827818,1.976938108,-4.110309983,0.888389485,-1.51494137,2.53538561,-1
10,MODEL1,PARMS,LMB,1.022033465,8.209977362,0.567602726,-1.343722141,4.665393541,-0.357088792,1.739028878,-3.944116657,1.300952144,-3.656035396,7.524866926,-1
11,MODEL1,PARMS,LMB,1.205213424,4.989863576,0.430149654,-0.945230549,3.779331905,0.019347057,0.08356739,-0.33408862,0.678651898,-1.239937493,2.173244706,-1
12,MODEL1,PARMS,LMB,1.127793118,9.087616573,0.324524027,-0.429954072,1.089746235,-0.24400414,1.484291901,-4.061642476,0.752911352,-1.624762081,3.54203084,-1
13,MODEL1,PARMS,LMB,1.202249316,7.191145612,0.288762768,-0.457291856,1.823208828,-0.056536423,1.501859771,-3.974065675,0.43339052,0.465241316,-1.739600758,-1
14,MODEL1,PARMS,LMB,1.059064656,12.99196267,0.338584384,-0.550653237,0.99242599,-0.597038358,1.041040839,-0.741128173,1.233523319,-2.604075403,4.67031959,-1
15,MODEL1,PARMS,LMB,1.126458536,5.972894691,0.334019586,-1.044240338,3.864409284,-0.00623645,0.732060179,-1.273180205,0.746409529,-1.735176033,3.130721825,-1
16,MODEL1,PARMS,LMB,1.101491357,12.24253719,0.33942319,-0.933914235,3.047996492,-0.515473221,2.167396067,-5.658130449,1.193543051,-3.43039266,6.765359286,-1
17,MODEL1,PARMS,LMB,1.063104283,14.96778808,0.385694623,-1.28926954,5.472637705,-0.723647952,3.448630225,-8.637556242,1.143356547,-2.337760168,4.583775799,-1
18,MODEL1,PARMS,LMB,1.082962064,-5.393734871,0.495099252,-1.134944968,4.19043334,0.562352718,-0.851518564,1.015846903,1.16751309,-1.743088571,2.990504075,-1
19,MODEL1,PARMS,LMB,1.21308267,0.593813302,0.145401808,-0.492748693,1.724975872,0.414266269,0.829359475,-3.674292245,0.618226374,-0.759542548,0.711533135,-1
20,MODEL1,PARMS,LMB,1.128328984,13.59939312,0.374671378,-1.060750764,4.45272218,-0.548322731,1.98034018,-4.024986595,0.777078462,-1.27089905,2.225798649,-1
21,MODEL1,PARMS,LMB,1.190619041,4.57257794,0.348659401,-0.628654361,1.994922604,0.178874024,-0.38863133,0.819040574,0.268862584,-0.36211849,0.907662833,-1
