SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,BronInt
1,MODEL1,PARMS,BronInt,1.067184979,3.999270907,0.275294737,-0.232361347,0.561422519,-0.020854146,1.140895703,-3.302414318,0.832227297,-1.484116349,2.499630893,-1
2,MODEL1,PARMS,BronInt,1.117745755,11.92791173,0.222779578,-0.535968439,1.720921893,-0.38356764,1.746538521,-4.492257772,0.206837463,0.611624049,-1.762313571,-1
3,MODEL1,PARMS,BronInt,1.014586824,10.82045443,0.337926997,-1.110632881,4.195225794,-0.443266191,0.770874106,-1.044012698,0.782566643,-1.455536784,1.907117246,-1
4,MODEL1,PARMS,BronInt,1.132744097,1.20967499,-0.005706459,-0.188927941,0.843023756,0.26689783,-0.858850845,1.637075767,0.986969762,-3.062959635,6.236295711,-1
5,MODEL1,PARMS,BronInt,1.070974001,5.683079599,0.192751668,-0.263725863,0.727224371,-0.103183787,1.019494624,-2.749815174,0.837112426,-1.585966245,2.814723678,-1
6,MODEL1,PARMS,BronInt,1.014254689,14.5998858,0.411658719,-0.88963668,2.726420749,-0.751535951,2.084878225,-4.062654848,0.870974198,-1.704506799,3.08987745,-1
7,MODEL1,PARMS,BronInt,1.072762416,0.534107787,0.256301235,-0.779293177,2.923996615,0.241643906,0.022405053,-0.384987032,0.840655138,-2.060256075,3.903835545,-1
8,MODEL1,PARMS,BronInt,1.047338339,7.980528817,0.024022818,-0.306082808,1.41413089,-0.13234048,0.357595957,-0.98882569,0.635440366,-1.511650124,3.042632549,-1
9,MODEL1,PARMS,BronInt,1.028513592,15.11168736,0.377557452,-0.951093797,3.549043195,-0.693871753,1.697457202,-3.313611779,0.524408843,-0.734968678,1.152957754,-1
10,MODEL1,PARMS,BronInt,0.979451586,8.226400718,0.384545705,-0.974264959,3.960362421,-0.335311571,2.141838624,-5.506122576,0.970135233,-2.538650958,4.742581869,-1
11,MODEL1,PARMS,BronInt,1.004922218,2.950704538,0.186721999,-0.433457784,1.977721559,0.094035642,-0.348081507,0.116832464,0.821692278,-1.450447527,2.517072072,-1
12,MODEL1,PARMS,BronInt,1.013289508,4.37028931,0.237883361,-0.359699635,0.872485066,0.002288191,0.696785094,-2.119073764,0.749377777,-1.761005601,3.323470042,-1
13,MODEL1,PARMS,BronInt,1.082762653,6.672304487,0.084543805,-0.011904981,0.459699278,-0.11305336,0.795085547,-2.329701742,0.670890469,-0.50067508,0.292577932,-1
14,MODEL1,PARMS,BronInt,1.107766145,12.11734649,0.081497215,-0.200548938,0.290220181,-0.544063521,0.123057959,0.7721005,1.25448123,-3.072062528,5.927184638,-1
15,MODEL1,PARMS,BronInt,1.108703751,-4.912945807,0.324449576,-0.632271211,1.809905152,0.674797562,-1.70221675,3.621037222,0.289079529,0.12773837,-0.84284004,-1
16,MODEL1,PARMS,BronInt,1.141550311,10.56430426,0.345148783,-1.186554586,3.831333874,-0.452911171,1.171284838,-2.986248862,0.976447252,-2.213052282,3.950230795,-1
17,MODEL1,PARMS,BronInt,1.014419055,19.00376549,0.497266171,-1.278978049,4.668326702,-1.082978307,3.912253638,-8.802534222,0.915692697,-1.648194944,2.850326149,-1
18,MODEL1,PARMS,BronInt,1.041791626,-1.14581647,0.168542717,-0.637906931,2.882885887,0.315541409,-0.352823843,-0.2741078,1.109797743,-2.799109073,5.628699584,-1
19,MODEL1,PARMS,BronInt,1.184623155,-1.147401096,-0.082391265,-0.102748379,0.468068684,0.578040961,-0.745424637,0.500945848,0.275824157,0.244316867,-1.273222612,-1
20,MODEL1,PARMS,BronInt,0.997610774,6.139132148,0.271925201,-0.486552022,1.721257817,-0.096380798,0.744156944,-1.457808354,0.587077807,-1.119309916,1.737210308,-1
21,MODEL1,PARMS,BronInt,1.287896833,4.09748974,0.093105495,0.204474648,-1.599019317,0.36072707,-1.19613656,2.246342553,-0.477490701,0.252712109,0.37386494,-1
22,MODEL1,PARMS,BronInt,0.971628913,13.10174527,0.54593429,-1.81719638,6.689788308,-0.618654211,1.380512653,-2.948328975,0.672268323,-1.338539906,2.670250616,-1
23,MODEL1,PARMS,BronInt,1.033172799,3.282877909,-0.096040459,0.003006199,0.939443052,0.092477482,-0.148289053,0.582586528,1.163880662,-3.290575246,6.41206162,-1
24,MODEL1,PARMS,BronInt,1.117944964,5.132424785,0.225636883,-0.573721841,1.795500397,-0.034691796,-0.53887158,1.367604776,0.738041163,-0.429953533,-0.403362123,-1
25,MODEL1,PARMS,BronInt,1.070421982,9.939625699,0.198909927,-0.441593768,1.48611581,-0.378754275,1.545467453,-3.657334236,0.91200919,-2.248286187,4.163568429,-1
26,MODEL1,PARMS,BronInt,1.08513937,16.05273601,0.180547503,-0.290482702,0.967723827,-0.795596097,2.483349851,-5.143185625,1.005717505,-2.906453308,5.470593915,-1
27,MODEL1,PARMS,BronInt,1.066155562,13.82366038,0.168311191,-0.277718434,0.951253393,-0.621751538,1.86306286,-4.091181808,0.796400055,-0.897616269,0.949806456,-1
28,MODEL1,PARMS,BronInt,1.007593379,17.72584311,0.20691587,-0.338433261,1.181327906,-0.88707527,2.811539844,-5.884422679,0.82956279,-1.962518458,3.704842265,-1
29,MODEL1,PARMS,BronInt,1.088371671,-1.865896903,0.270125598,-0.595296677,1.665237189,0.376001709,-0.639610089,1.784481864,0.851502182,-1.495763454,2.006992802,-1
30,MODEL1,PARMS,BronInt,1.160818663,9.161396332,0.202543092,-0.732014345,2.941978111,-0.321138356,0.895190021,-2.272025463,0.906710852,-2.246100551,4.597931563,-1
31,MODEL1,PARMS,BronInt,1.06549918,8.638784136,0.510196308,-1.21976417,4.093883879,-0.509997154,0.636848995,-0.677976151,1.512885019,-3.578512113,6.530881417,-1
32,MODEL1,PARMS,BronInt,1.184132551,8.454796368,0.302637196,-0.770611211,2.150884254,-0.389761397,0.699088411,-1.528693176,1.296178066,-2.64273491,4.205875588,-1
33,MODEL1,PARMS,BronInt,1.166154393,2.157201475,0.159371266,0.025370914,-1.635347967,0.271083824,-1.255820749,2.433795837,0.330113678,-0.537077163,0.883611004,-1
34,MODEL1,PARMS,BronInt,1.020774139,8.009318986,0.43200149,-0.996439585,3.476397407,-0.285494509,0.527700302,-0.687486307,0.656495887,-0.692030368,0.728161725,-1
35,MODEL1,PARMS,BronInt,1.010641814,5.45366212,0.469677237,-1.208662887,4.572719518,-0.206024439,1.484541064,-3.838204251,1.049830688,-2.86801007,5.770165248,-1
36,MODEL1,PARMS,BronInt,1.095730276,4.708601127,0.31731986,-0.604846551,1.634363616,-0.153465865,1.068539644,-2.506281124,1.314448555,-3.811591317,7.248983318,-1
37,MODEL1,PARMS,BronInt,1.01567057,8.978824437,0.431308433,-0.713694739,2.011362155,-0.482614786,1.457367201,-2.640787605,1.296105649,-2.80228477,4.739995258,-1
38,MODEL1,PARMS,BronInt,1.045307726,12.13149795,0.338965849,-0.575482311,1.556542954,-0.523786364,2.731836812,-5.968809785,0.618452348,-1.123500787,1.507662938,-1
39,MODEL1,PARMS,BronInt,1.024305009,3.902380719,0.36147725,-0.356492146,0.721595343,-0.108190191,1.514274074,-3.861601876,1.144299394,-3.707589936,7.754194605,-1
40,MODEL1,PARMS,BronInt,1.06605774,10.98274411,0.303462534,-0.53337732,2.088755663,-0.427269661,1.919948141,-5.002886647,0.579101283,-0.393831911,-0.008738961,-1
41,MODEL1,PARMS,BronInt,1.031302485,3.475508023,0.021523594,-0.126595059,0.43554672,0.222497853,0.477147093,-1.686022832,0.311417953,-0.451300852,0.425858209,-1
42,MODEL1,PARMS,BronInt,1.17672149,8.608146281,0.380704271,-1.058481095,4.251661129,-0.324970313,1.542617567,-2.876854565,0.7706193,-1.307434696,1.566080518,-1
43,MODEL1,PARMS,BronInt,1.087882254,6.655457948,-0.0777878,0.305660825,-0.929601859,0.04105763,1.479457871,-4.633159496,0.277818446,-0.441310133,0.789285634,-1
