SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RUL
1,MODEL1,PARMS,RUL,1.039687278,8.928608603,0.297018712,0.095120345,-1.048378225,-0.395254043,1.484169332,-3.049575927,0.524987685,0.205830512,-1.166941625,-1
2,MODEL1,PARMS,RUL,1.046625457,6.565907111,0.191334105,-0.362848453,1.654168205,-0.151608089,1.280069437,-2.483358764,0.360396093,-0.221112702,-0.334654361,-1
3,MODEL1,PARMS,RUL,1.113857449,1.920659529,0.606075317,-1.520948315,5.702709358,-0.051147534,0.357509767,0.023977555,0.852857265,-1.642826879,2.255623704,-1
4,MODEL1,PARMS,RUL,1.013001177,8.285217375,-0.110107173,0.440121454,-1.666474531,-0.228759172,1.820709705,-4.571605023,0.693422405,-2.451847726,5.260504261,-1
5,MODEL1,PARMS,RUL,0.995794718,-0.199377979,0.066248224,0.113224364,-0.346568047,0.312501235,-0.441057822,0.799336172,0.464497021,-0.436993511,0.59692655,-1
6,MODEL1,PARMS,RUL,1.019487841,11.72976928,0.403542458,-0.454413397,0.797086703,-0.575011976,2.716009361,-5.806761318,0.374863435,-0.521481594,1.190622794,-1
7,MODEL1,PARMS,RUL,1.107996405,-1.303284729,0.23875915,-0.518280036,1.997418821,0.288292621,-0.590749477,0.678301259,0.761301768,-1.667571235,3.582850263,-1
8,MODEL1,PARMS,RUL,1.203687821,9.155533109,0.301118666,-0.549854575,1.83224798,-0.427891643,1.584621013,-2.327597,0.723193013,-1.651113727,3.049437915,-1
9,MODEL1,PARMS,RUL,1.23064386,5.594794091,0.607296173,-1.055571387,3.215152953,-0.285669943,1.081478428,-1.916455382,0.755966292,-1.867381193,3.55994798,-1
10,MODEL1,PARMS,RUL,1.051088624,-0.232680203,0.568696816,-1.796579946,7.1209954,0.126192472,-0.367845628,1.244959084,0.792300714,-1.63552562,2.915751136,-1
11,MODEL1,PARMS,RUL,1.084429971,-5.76661064,0.288081453,-0.500301088,2.183042115,0.541976142,-1.761013664,3.975243414,0.849470303,-1.95698108,3.549009908,-1
12,MODEL1,PARMS,RUL,1.07726859,1.261005765,0.084761901,0.079093464,-0.633514732,0.199859607,-0.017022032,-0.055014583,0.617158847,-1.448467142,2.757497259,-1
13,MODEL1,PARMS,RUL,1.076610174,-3.512111915,0.122284704,0.078747031,-0.563523481,0.574621903,-0.078384707,-0.704623238,0.131882197,0.381123861,-1.137150351,-1
14,MODEL1,PARMS,RUL,1.089232842,-2.757231313,0.228509596,-0.921624149,3.39922701,0.341380209,-1.05125105,3.116753904,1.146122562,-4.02342377,8.640895359,-1
15,MODEL1,PARMS,RUL,1.085070293,-8.463639012,0.426801149,-0.685273848,1.350627345,0.711822669,-1.972023632,4.283668115,0.679476556,-1.40857191,2.634401419,-1
16,MODEL1,PARMS,RUL,1.032836446,2.939897895,0.147227952,-0.668301965,2.23501244,0.054704959,0.119155153,-1.220729548,0.873838811,-3.006576198,6.307519356,-1
17,MODEL1,PARMS,RUL,1.011278109,11.52628852,0.730037124,-1.710682441,6.187440386,-0.683785251,3.562224807,-7.753558506,0.537925142,-0.979054501,1.682672478,-1
