SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4_5
1,MODEL1,PARMS,RB4_5,0.804128345,7.911160528,0.032103809,-0.008243509,-0.36004038,-0.318708829,0.748060668,-1.219048665,0.61839652,-1.108114255,1.9017743,-1
2,MODEL1,PARMS,RB4_5,0.896579191,8.076971368,-0.041327661,0.035441213,-0.412991387,-0.203206209,1.472035925,-3.966831626,0.18920846,-0.540445507,1.101377095,-1
3,MODEL1,PARMS,RB4_5,0.835365587,11.10683263,-0.010868047,-0.184117105,0.504678635,-0.483095968,0.569262654,-0.346657924,0.528737781,-0.822236931,0.984610648,-1
4,MODEL1,PARMS,RB4_5,0.902479161,7.069616403,-0.054388869,-0.113745813,0.401799635,-0.231708319,1.290652679,-3.378198743,0.661920547,-2.125616501,4.728330658,-1
5,MODEL1,PARMS,RB4_5,0.906500853,-0.6315945,-0.080451845,0.056567212,-0.057451835,0.327216908,-1.701361618,3.981240865,0.437170065,-1.010963656,2.304869802,-1
6,MODEL1,PARMS,RB4_5,0.774739398,7.377496191,0.018369726,-0.039278953,-0.071370461,-0.318453923,1.43767445,-3.38912183,0.78691885,-2.135873706,4.498397481,-1
7,MODEL1,PARMS,RB4_5,0.892622161,1.713528004,0.007026738,-0.279559571,1.063182112,0.055187535,-0.12618697,0.087963528,0.893120876,-2.751064439,6.063232618,-1
8,MODEL1,PARMS,RB4_5,0.892083355,14.07337164,0.084119688,-0.526914024,1.86615539,-0.761586004,2.161088071,-4.499392664,0.760863573,-1.819027446,3.737172298,-1
9,MODEL1,PARMS,RB4_5,0.950960755,8.795927231,0.117548873,-0.449290176,1.678729294,-0.257825165,0.310202519,-0.355625458,-0.037929365,0.814897849,-1.713180254,-1
10,MODEL1,PARMS,RB4_5,0.887363454,13.17794134,0.029595987,-0.267511311,1.018195833,-0.620690736,3.091680853,-7.217041596,0.362158216,-0.525127041,0.627019191,-1
11,MODEL1,PARMS,RB4_5,0.888607975,4.169115652,-0.051781559,0.098950751,-0.482940078,-0.050566907,-0.876983052,1.929865428,0.677202246,-0.713405102,0.667754765,-1
