SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RLL
1,MODEL1,PARMS,RLL,0.790703319,-0.722087444,0.101682023,0.063075616,-0.625129548,0.297043116,-0.264125365,-0.103596911,0.432854306,-0.512906535,1.092906439,-1
2,MODEL1,PARMS,RLL,0.864445132,6.726628551,0.086087882,-0.102002662,0.046082171,-0.111236506,1.013479543,-2.682352619,0.0784394,0.88137491,-2.207895296,-1
3,MODEL1,PARMS,RLL,0.827320179,9.246178196,0.092133272,-0.351171695,0.865878835,-0.367548943,1.36279448,-3.080257427,0.602116379,-0.962504353,1.390612171,-1
4,MODEL1,PARMS,RLL,0.803306534,-2.802977994,-0.027181099,-0.041572096,0.54927836,0.407812414,-1.164256495,1.865961649,0.789219403,-1.094421846,1.603993647,-1
5,MODEL1,PARMS,RLL,0.770104489,-8.24209128,0.026592494,-0.135155337,0.804114973,0.764519941,-1.747857472,3.162840166,0.672119459,-0.831136098,1.513447448,-1
6,MODEL1,PARMS,RLL,0.794777721,1.080340161,-0.003153269,-0.007588914,0.036564695,0.140163498,-0.862749363,2.158125294,0.835527464,-1.499848138,2.805941557,-1
7,MODEL1,PARMS,RLL,0.83609392,-0.894973883,-0.020291393,-0.169335803,0.985915367,0.334943544,-0.406868366,-0.106834694,0.589863768,-1.187498021,2.520126344,-1
8,MODEL1,PARMS,RLL,0.870468498,5.539330389,0.044850721,-0.35376807,1.790606722,-0.100676515,1.049797613,-3.003873184,0.548348475,-1.653736323,4.170205662,-1
9,MODEL1,PARMS,RLL,0.852058906,5.67388683,0.225861993,-0.720851007,2.866263674,-0.137131694,-0.008949405,0.313201631,0.414975545,-0.037010219,-0.352679172,-1
10,MODEL1,PARMS,RLL,0.825090985,4.899386089,0.105414701,-0.415396936,1.844639602,-0.074259353,0.323749163,-1.268704655,0.507091178,-0.576913692,1.164836939,-1
11,MODEL1,PARMS,RLL,0.919218839,4.389906521,-0.093597646,0.011699082,0.493690056,0.040441543,0.014554714,-0.709538205,0.407628612,-0.298683588,0.5250019,-1
12,MODEL1,PARMS,RLL,0.841166051,2.941359539,0.058704295,0.039896293,-0.399973836,0.04011563,1.073951409,-3.663531273,0.543100687,-0.708843924,1.514011907,-1
13,MODEL1,PARMS,RLL,0.881480469,3.000567517,-0.010050452,-0.047704489,0.400422857,0.135702122,0.442527671,-1.485094572,0.253382287,0.548187937,-1.684493057,-1
14,MODEL1,PARMS,RLL,0.842645644,7.988642089,0.007736667,-0.105559271,-0.0426735,-0.15461018,0.310239201,-0.713384045,0.121532021,-0.314352686,1.55233585,-1
15,MODEL1,PARMS,RLL,0.892688653,-3.015167246,-0.039918028,-0.080548326,-0.196705639,0.462310548,-1.732541847,4.050736429,0.745092235,-1.959138668,3.97847483,-1
16,MODEL1,PARMS,RLL,0.774815851,-0.030356636,0.028450733,-0.41253529,1.768327935,0.245140619,-0.749047745,0.535906045,0.782521016,-2.494869587,5.4837942,-1
17,MODEL1,PARMS,RLL,0.762562644,6.058052273,0.230795617,-0.689520862,2.809513324,-0.252659569,0.967147796,-2.515264934,0.768890695,-1.220230173,2.281144705,-1
18,MODEL1,PARMS,RLL,0.809193146,-9.050223121,0.126182547,-0.255287286,0.860307625,0.801040493,-2.241017504,4.261677544,0.650343974,-0.931280171,1.776484591,-1
19,MODEL1,PARMS,RLL,0.818582169,7.930027774,-0.083669284,-0.006173961,-0.082635189,-0.15726616,0.853467998,-2.209823813,0.280792258,0.159769641,-0.79682618,-1
20,MODEL1,PARMS,RLL,0.859843981,2.538923102,0.016227796,0.135625162,-0.572433684,0.107735028,0.349023005,-1.260045356,0.43782838,-0.354224729,0.532691427,-1
21,MODEL1,PARMS,RLL,0.785576262,-3.164769568,0.157986289,-0.274567385,1.101841509,0.357756179,-0.707090926,0.677576313,0.885885195,-2.07934255,4.543410363,-1
22,MODEL1,PARMS,RLL,0.88286242,-1.080294301,0.258358629,-0.670059746,2.116948563,0.203581524,-0.244095564,0.180433468,0.841264324,-1.99304903,4.256310728,-1
23,MODEL1,PARMS,RLL,0.931423219,3.513115844,-0.089310259,0.01603894,0.273161413,0.115416632,-0.080463652,-0.372207833,0.376650134,-0.584344521,1.432405018,-1
24,MODEL1,PARMS,RLL,0.802385436,0.557405454,0.120123125,-0.252447334,0.589168078,0.12923082,0.237427501,-1.228768422,0.844161437,-1.86718015,3.714759393,-1
25,MODEL1,PARMS,RLL,0.819685806,3.762705924,0.036923191,-0.166198812,0.455431523,-0.150324141,1.03053462,-3.400129156,1.317352168,-3.165759422,6.33248029,-1
26,MODEL1,PARMS,RLL,0.833094242,10.2108813,0.015094829,0.249680154,-0.97670138,-0.454275588,1.689454766,-4.12265235,0.728272368,-1.456521133,3.054039722,-1
