SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LUL
1,MODEL1,PARMS,LUL,0.934303849,5.286400899,0.469157457,-0.496018782,1.013925784,-0.030203036,0.033335751,0.01106303,-0.027440809,0.941240809,-1.724605115,-1
2,MODEL1,PARMS,LUL,1.003822581,8.78144064,0.306487735,-0.252862494,0.052867329,-0.1868794,1.277071936,-2.699932936,-0.167308588,1.107887596,-2.479464344,-1
3,MODEL1,PARMS,LUL,1.019941341,6.303348715,0.306036089,-0.435621886,0.670295323,-0.105462782,0.222498288,0.029118843,0.317697676,-0.656771323,0.920098044,-1
4,MODEL1,PARMS,LUL,1.051217184,1.251196264,0.322394008,-0.31074327,1.334600662,0.158622483,0.804472992,-2.051149411,0.395446123,-0.408063347,0.724704538,-1
5,MODEL1,PARMS,LUL,0.962491238,9.723963633,0.06115313,0.319391355,-1.975134624,-0.256771543,1.197254514,-2.657380237,0.247904959,-0.248053152,0.416967534,-1
6,MODEL1,PARMS,LUL,0.931358445,11.42015234,0.190869839,-0.170570246,0.011437187,-0.400822072,1.770121875,-3.689437833,0.219759374,0.393408405,-1.272390868,-1
7,MODEL1,PARMS,LUL,0.986723487,4.950402768,0.278657224,-0.225207176,0.332804185,-0.148691349,0.565752342,-0.753316529,0.920345744,-2.255723599,4.356676231,-1
8,MODEL1,PARMS,LUL,1.067062396,16.08769542,0.106989842,-0.195600325,0.486347307,-0.62884573,1.788377515,-3.356127663,0.013468047,0.744800031,-1.626397242,-1
9,MODEL1,PARMS,LUL,1.091739432,11.42865174,0.465885581,-0.876009045,2.708374939,-0.405404167,0.84274466,-1.132170041,-0.121446794,1.572759451,-3.527498871,-1
10,MODEL1,PARMS,LUL,0.943738732,11.71727506,0.366309429,-0.506993557,1.181794748,-0.502789287,2.321169698,-4.966117522,0.364331095,-0.754996168,1.416998873,-1
11,MODEL1,PARMS,LUL,0.958281305,8.777422443,0.235194215,-0.138332257,0.071035382,-0.337390715,1.105655007,-2.413912834,0.643043759,-1.023612942,1.854905766,-1
12,MODEL1,PARMS,LUL,0.963527346,10.69257504,0.2345139,-0.078400935,-0.959451947,-0.319395282,1.691314736,-4.506587556,-0.007042359,0.708202234,-1.027102323,-1
13,MODEL1,PARMS,LUL,0.974263157,1.459445501,0.27719195,-0.080559089,-0.606937174,0.239257612,0.244459368,-1.165931508,0.030227401,1.346368002,-3.010394995,-1
14,MODEL1,PARMS,LUL,0.963816558,10.43723904,0.306868728,-0.194338261,-0.591815137,-0.405681474,0.959421955,-0.747478325,0.363913865,-0.656422075,1.3249499,-1
15,MODEL1,PARMS,LUL,1.021643998,7.348439582,0.317553845,-0.967110937,3.707553066,-0.12721837,0.794185204,-1.193847348,0.057524979,0.774634906,-1.966756161,-1
16,MODEL1,PARMS,LUL,0.860415467,7.379108849,0.221172515,-0.179500582,-0.535290184,-0.162013831,0.693361426,-1.998550347,0.409236626,-1.146975911,2.378975871,-1
17,MODEL1,PARMS,LUL,1.003717822,19.57250281,0.515253794,-1.394867671,5.058872011,-0.997999331,3.130365979,-6.2722664,0.11008449,0.595976635,-1.364223048,-1
18,MODEL1,PARMS,LUL,1.070944086,-4.638542307,0.420525214,-1.268824331,4.982302412,0.63244044,-1.577949285,2.771934741,0.057657675,0.967860343,-1.946487126,-1
