SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LLB6
1,MODEL1,PARMS,LLB6,0.978462283,5.891137967,0.286112056,-0.40911246,1.224497294,-0.248324784,1.161594961,-2.48784251,1.116599772,-2.065136796,4.034156962,-1
2,MODEL1,PARMS,LLB6,0.937205565,-1.302222042,0.221214799,-0.255741171,0.134983809,0.347259008,-0.757699551,1.000666277,0.686004338,-1.174290066,2.458350766,-1
3,MODEL1,PARMS,LLB6,1.012671318,10.65945554,0.177813079,-0.423982345,0.586537021,-0.493189097,1.298017238,-2.081911994,1.160766935,-3.555339715,7.334099968,-1
4,MODEL1,PARMS,LLB6,1.028455935,-0.190069918,0.102485742,-0.558820262,2.630564442,0.200319661,0.430234555,-1.737509605,1.220514584,-3.158890595,6.573631676,-1
5,MODEL1,PARMS,LLB6,0.962525221,-11.65518779,0.143335745,-0.320165168,1.426193509,0.97774866,-2.515249584,5.189950443,1.09512687,-2.757921345,5.65478469,-1
6,MODEL1,PARMS,LLB6,0.941312036,-3.141729476,0.216342616,-0.556889715,1.949975508,0.433539189,-0.656122093,0.921887237,0.872691105,-1.689926534,3.64905351,-1
7,MODEL1,PARMS,LLB6,1.037011804,-5.166852119,0.290701782,-0.568712368,1.75558121,0.538274597,-1.306901147,2.503642818,0.929749641,-1.739112975,3.387221064,-1
8,MODEL1,PARMS,LLB6,1.103529414,6.008632288,0.046724625,-0.321555136,1.448247117,-0.089177265,0.059447704,0.598870651,0.796706075,-1.780517157,3.807565839,-1
9,MODEL1,PARMS,LLB6,1.054935871,0.993299861,0.453190127,-1.13805359,3.979884023,0.157868061,-0.410273604,1.292643883,0.619995427,-1.059581866,1.813893245,-1
10,MODEL1,PARMS,LLB6,1.006042826,8.932312136,0.447143901,-1.184861217,4.001125498,-0.530881828,1.312433678,-2.009904393,1.422213024,-3.755355229,7.316117659,-1
11,MODEL1,PARMS,LLB6,1.016329272,0.286448316,0.203428217,-0.514097439,1.38864887,0.278951903,-1.851122066,3.941185484,0.644044412,-0.480221061,0.675053079,-1
12,MODEL1,PARMS,LLB6,1.077918176,4.919250833,0.009461532,0.215042236,-1.740646186,-0.036992715,0.844843634,-2.265367424,0.822034228,-1.154907136,2.114206482,-1
13,MODEL1,PARMS,LLB6,0.962136116,1.595922042,0.044901132,0.154359741,-0.718254662,0.190189163,0.005858615,-1.149462855,0.744463745,-0.638250107,1.089299742,-1
14,MODEL1,PARMS,LLB6,0.961313744,8.462801125,0.293244633,-0.577352031,1.199403912,-0.3701604,0.608966182,-1.030676737,1.035317315,-2.841949968,6.452392881,-1
15,MODEL1,PARMS,LLB6,1.014783434,-2.342283306,0.21618734,-0.858891434,3.299058005,0.386631728,-1.04569799,2.750282633,0.979794556,-2.274599963,4.275890798,-1
16,MODEL1,PARMS,LLB6,1.010618743,4.489263045,0.111193757,-0.746419881,2.594339497,-0.019859963,0.425091938,-1.510483716,1.015831058,-2.89773273,5.585770311,-1
17,MODEL1,PARMS,LLB6,1.035124767,13.84797738,0.478313007,-1.714685906,6.971726515,-0.808299632,2.44036608,-5.165340302,1.161550366,-2.084709677,3.726679328,-1
18,MODEL1,PARMS,LLB6,0.978999216,-13.63824014,0.216810552,-0.806871189,3.652711363,1.077067061,-2.090583891,3.562810239,1.167907586,-3.438727714,7.363966227,-1
19,MODEL1,PARMS,LLB6,1.036821357,4.920906101,0.000349275,-0.352044983,1.292942198,-0.007718275,0.888975898,-2.375178963,0.904524479,-2.218381372,4.188704829,-1
20,MODEL1,PARMS,LLB6,0.984128582,2.608834019,0.266820431,-0.876503981,3.937149919,0.090663051,0.598512586,-1.516414805,0.679098644,-1.115940669,2.017050574,-1
21,MODEL1,PARMS,LLB6,0.97346835,0.824604405,0.006852854,-0.138616637,0.410794216,0.26947545,-0.989937232,2.069210386,0.805492922,-1.91223662,4.223549523,-1
22,MODEL1,PARMS,LLB6,1.024788532,-9.712749144,0.304558021,-0.968032799,3.690673911,0.716808995,-1.79889954,3.87662673,1.599565814,-4.77189649,9.894742678,-1
23,MODEL1,PARMS,LLB6,1.005705869,-1.073048255,0.164093243,-0.605211257,2.80994886,0.252739263,-0.182776252,0.054850039,1.217628053,-3.278504535,6.816967512,-1
24,MODEL1,PARMS,LLB6,1.082323937,9.844557096,0.341242087,-0.98555344,2.651940588,-0.52769698,1.427806083,-3.449121058,1.331026708,-2.757158198,5.29423381,-1
25,MODEL1,PARMS,LLB6,1.057338046,-5.048941359,0.243282441,-0.544345594,1.709268741,0.469795805,-1.181325639,1.664957346,1.289533791,-3.027519286,6.165600852,-1
26,MODEL1,PARMS,LLB6,0.984659415,7.002907973,0.231192109,-0.343607342,1.123868372,-0.381025046,1.673915902,-3.421739218,1.57254729,-4.530927116,9.25143224,-1
27,MODEL1,PARMS,LLB6,0.953195301,1.875934222,0.016630601,-0.227453662,0.950142672,0.148224413,-0.251266756,0.268674389,1.038585379,-2.596261785,5.566474641,-1
28,MODEL1,PARMS,LLB6,1.016304265,-12.33773705,0.234537369,-0.607587154,2.976685581,1.0336718,-1.977055287,4.326902963,0.839245096,-1.953666206,3.569702911,-1
29,MODEL1,PARMS,LLB6,1.228492067,4.946991639,0.119219737,-0.336187917,0.391635465,-0.12314951,0.764467391,-1.214129129,1.190353916,-3.098308518,6.174746247,-1
30,MODEL1,PARMS,LLB6,0.916892721,4.959949405,0.222109538,-0.606108058,2.021192891,-0.232571256,1.830889966,-4.403905445,1.459996971,-3.601482745,7.23184594,-1
31,MODEL1,PARMS,LLB6,0.945617957,10.3084717,0.200002972,-0.482171754,1.110966837,-0.475964075,1.45325743,-3.240367028,1.077891999,-2.148283893,4.201763987,-1
32,MODEL1,PARMS,LLB6,1.133165299,5.906519902,0.160115953,-0.294921521,0.167542909,-0.275418513,0.39802018,-0.690172715,1.548198997,-3.747070857,7.068425703,-1
33,MODEL1,PARMS,LLB6,0.985357484,3.51161195,0.050243198,-0.422806822,1.399499875,0.107870013,-0.105950435,-0.169478327,0.705372531,-1.261909778,2.345522843,-1
34,MODEL1,PARMS,LLB6,0.968588052,9.160655619,0.43054281,-1.276997049,4.056178812,-0.331306663,0.004984864,0.376767287,0.438779079,-0.227089924,0.650083028,-1
35,MODEL1,PARMS,LLB6,0.911978848,-6.224632517,0.023352802,-0.225386065,1.398251795,0.625111119,-2.007276171,4.001274268,1.342796614,-3.831402109,8.03388467,-1
36,MODEL1,PARMS,LLB6,1.08337413,3.104732858,-0.022443048,-0.026852271,-0.704741585,-0.012813874,0.931520893,-2.639994962,1.499503965,-4.627101244,9.706193806,-1
