SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,Trachea
1,MODEL1,PARMS,Trachea,1.813725679,16.55110612,-0.083760968,0.84639998,-3.473612195,-0.292009237,0.254314736,0.605237861,1.117853054,-2.644243865,5.014218395,-1
2,MODEL1,PARMS,Trachea,1.75863909,18.54478395,0.240779617,-0.148368113,0.236372222,-0.565447728,2.249050722,-3.826905948,1.293394576,-2.418527562,4.287720095,-1
3,MODEL1,PARMS,Trachea,1.71940792,23.19111292,0.232960036,0.319409067,-2.123992168,-0.659394468,2.806174661,-4.426753526,0.500062255,-0.097532888,-0.741463767,-1
4,MODEL1,PARMS,Trachea,1.736428291,36.44406387,0.107886713,0.008832624,-0.505874801,-1.269513876,3.303368228,-5.670002947,0.192958526,-0.16793433,-0.012519527,-1
5,MODEL1,PARMS,Trachea,1.84911194,10.68390292,0.485755636,-1.45854847,5.725175851,-0.064983115,0.180026047,0.143398589,1.126519339,-2.276173597,4.029480851,-1
6,MODEL1,PARMS,Trachea,1.798510567,21.33923648,-0.021884948,-0.196920554,1.798122748,-0.570795921,1.956903769,-3.030904061,1.037646024,-1.147937342,0.707563341,-1
7,MODEL1,PARMS,Trachea,1.795410121,3.393126115,0.186881593,-0.335872451,0.866113808,0.62379139,-2.04431524,5.25427085,0.452424079,0.585424782,-2.999645281,-1
8,MODEL1,PARMS,Trachea,1.96378229,18.15895399,0.291628591,0.272798778,-3.086091405,-0.321184664,1.288557617,-2.426607908,0.388619344,1.023991551,-3.382665085,-1
9,MODEL1,PARMS,Trachea,1.7424523,16.95441633,0.407414398,-0.591213756,0.495652649,-0.660324116,2.219161168,-3.355351234,1.788321319,-2.883932676,4.386383616,-1
10,MODEL1,PARMS,Trachea,1.96806788,25.15019932,0.061569084,-0.073851381,0.317448335,-1.013010405,3.024258379,-5.826385947,1.714965426,-2.993039298,4.785075888,-1
11,MODEL1,PARMS,Trachea,1.851783294,27.43571689,0.44148504,-0.887930144,2.313100334,-0.924285317,0.702660628,0.024874199,0.483760392,1.46167754,-4.776638989,-1
12,MODEL1,PARMS,Trachea,2.081283794,27.79185405,0.099705776,0.980838906,-4.421210069,-0.948253157,3.868270149,-6.994152133,0.568462804,-0.421742766,-0.051331566,-1
13,MODEL1,PARMS,Trachea,1.840531746,7.688464223,0.313111936,-0.182809134,-0.355190657,-0.044113125,0.337541838,0.36429644,1.615268347,-1.989891216,2.210814584,-1
14,MODEL1,PARMS,Trachea,1.850399156,16.30515491,0.181177211,0.15825885,-0.792470699,-0.301129956,1.480700065,-2.095792502,0.852315291,-2.174765461,4.804638817,-1
15,MODEL1,PARMS,Trachea,1.844657544,15.65863383,0.465209574,-0.343462565,0.778653053,-0.595548259,2.075879792,-3.161661228,1.568237358,-2.071011017,3.488259181,-1
16,MODEL1,PARMS,Trachea,1.833213738,18.66882223,0.309291157,-0.373175284,0.452494497,-0.367731786,1.770699708,-2.511918854,0.475274274,-0.378673234,0.340520348,-1
17,MODEL1,PARMS,Trachea,1.904429416,13.75634511,0.267410439,-0.32089689,0.621913333,-0.302233189,1.093144448,-0.895808252,1.407997834,-3.274757672,6.458789522,-1
18,MODEL1,PARMS,Trachea,1.825220747,48.67968385,0.646705747,-1.428873729,4.438330857,-2.464950553,5.693387497,-9.225416452,1.181013724,-1.478607509,2.411341119,-1
19,MODEL1,PARMS,Trachea,1.879280905,22.909318,0.084373687,0.278495622,-2.104930984,-0.421169042,1.631494358,-3.016732729,0.083364213,0.142241963,-0.341928513,-1
20,MODEL1,PARMS,Trachea,1.847145118,30.27842184,0.247880159,-0.342176677,0.883088441,-1.084493564,3.598481489,-6.650350058,0.572539741,0.082089992,-1.063447678,-1
21,MODEL1,PARMS,Trachea,1.893775284,30.49886666,-0.040587759,0.698724476,-3.027224014,-1.102120441,3.070675337,-4.468998924,0.88867634,-1.163185428,1.538950244,-1
22,MODEL1,PARMS,Trachea,1.849345623,-5.073635336,0.455697913,-0.972561044,3.51510673,0.843464769,-3.283191362,7.761443048,1.192777536,-1.802188867,2.879098984,-1
23,MODEL1,PARMS,Trachea,1.817051386,-1.880368559,0.290258258,0.234757477,-2.408879519,1.061347753,-2.759477517,5.420387198,-0.215183784,2.456548095,-6.365516275,-1
24,MODEL1,PARMS,Trachea,1.889223525,14.72420765,-0.149080303,1.448375859,-6.848329833,0.107175968,-0.48084669,1.80570846,-0.023744696,1.391951653,-3.105374624,-1
25,MODEL1,PARMS,Trachea,1.799939225,25.87920836,0.197296856,0.035156741,-1.942439772,-0.77679947,4.451554342,-9.38740956,0.565408595,-1.299431852,2.447087335,-1
26,MODEL1,PARMS,Trachea,1.691944102,28.61999768,0.062074612,0.779728255,-4.242816868,-1.004840456,4.343419217,-8.681796199,0.736419322,-1.005551168,1.830842873,-1
27,MODEL1,PARMS,Trachea,1.779652006,15.17656935,0.576776527,-1.747631445,6.515023212,-0.377293993,2.386618289,-4.752925504,1.041863462,-2.166366664,4.644682158,-1
28,MODEL1,PARMS,Trachea,1.704085515,13.28629619,0.017263946,1.389243594,-6.099974274,-0.215365892,2.37401421,-5.480752213,1.207818222,-1.835558305,2.788559402,-1
29,MODEL1,PARMS,Trachea,1.836324814,23.18200762,0.065323481,0.172424375,-1.320523605,-0.745060246,2.431773998,-5.316729263,1.107761397,-1.770347889,3.735294792,-1
30,MODEL1,PARMS,Trachea,1.923328906,34.97971184,1.051330428,-2.598826676,8.21959452,-1.685537153,6.67355759,-13.84811881,0.909421789,0.059310699,-1.460883442,-1
31,MODEL1,PARMS,Trachea,1.909707993,35.30467808,0.504566039,-0.77425071,1.08191214,-1.338126834,3.378796007,-5.858228612,0.110243364,2.296012604,-5.881760278,-1
32,MODEL1,PARMS,Trachea,1.860718029,9.203575778,0.435941628,-0.319657519,0.938007587,-0.105910794,-0.312316038,2.470546117,1.364968617,-2.426527382,4.149995853,-1
33,MODEL1,PARMS,Trachea,1.983841833,14.00067224,0.202945019,-0.617123927,2.815924786,-0.1757352,0.949759247,-2.296105696,0.931098604,-1.433715535,3.382068486,-1
34,MODEL1,PARMS,Trachea,1.880972603,22.1969449,0.251769472,-0.153359605,-0.717589056,-0.864975665,1.369558668,-1.644898892,1.523813771,-1.411453694,1.426049542,-1
