SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB1
1,MODEL1,PARMS,RB1,0.913127551,4.343542437,0.463154564,-1.567397129,6.02904852,-0.356839613,0.823882567,-1.366315388,0.968814922,-2.530615458,5.262735302,-1
2,MODEL1,PARMS,RB1,0.81529651,-12.09664756,0.217697799,-0.684612595,2.579426042,0.765001789,-1.545266669,2.19221195,0.630521668,-0.738648432,1.036362823,-1
3,MODEL1,PARMS,RB1,0.805458366,-8.403390814,0.314917752,-0.996801363,3.64391881,0.514078425,0.312714536,-2.082182676,0.637669445,-1.544201459,3.170447463,-1
4,MODEL1,PARMS,RB1,0.820263069,1.319309094,0.144906334,-0.870646525,3.65598718,0.10385482,0.701445061,-2.397338042,0.239653891,-0.879232725,2.423972035,-1
5,MODEL1,PARMS,RB1,0.82247673,0.795693061,0.348990227,-1.040858376,3.432039741,0.05605639,-0.310899827,0.307128789,0.289510124,0.473226959,-1.601565548,-1
6,MODEL1,PARMS,RB1,0.817979705,2.034095248,0.165143091,-0.837231249,3.536074059,0.10614816,-0.112711393,-0.441192529,0.022718454,0.531443773,-1.010698282,-1
7,MODEL1,PARMS,RB1,0.90663328,-4.189869237,0.417496888,-1.015567873,3.872314783,0.29904848,0.406353417,-2.282386718,0.327607431,-0.001703339,0.030461916,-1
8,MODEL1,PARMS,RB1,0.859152891,-21.41286723,0.265787932,-0.621134134,2.410981803,1.378191714,-4.409231653,8.815931538,0.410692722,-0.184081588,-0.109027517,-1
9,MODEL1,PARMS,RB1,0.92465563,0.48993034,0.199634811,-0.952193058,4.07566464,0.11539016,0.27742588,-0.936356143,0.242115453,0.511523924,-1.565134286,-1
10,MODEL1,PARMS,RB1,0.827022308,-7.712227157,0.188151687,-0.779551646,3.085626024,0.61007574,-2.441626728,4.877228307,0.317225252,-0.036919047,0.046619915,-1
11,MODEL1,PARMS,RB1,0.876119901,-2.559878558,0.175494074,-0.421065398,2.234995269,0.311370153,-1.577744864,3.570828198,0.204118074,0.347627228,-1.055735687,-1
