SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LB1
1,MODEL1,PARMS,LB1,0.714019759,11.35259129,0.095170694,-0.112255433,0.231263032,-0.494943299,0.833966514,-1.017906386,0.021468508,0.724649109,-1.937702215,-1
2,MODEL1,PARMS,LB1,0.776792682,19.37681527,-0.176132296,0.568004907,-2.420404295,-0.982370259,2.036190732,-3.429817507,0.354794135,-0.535225932,1.052157475,-1
3,MODEL1,PARMS,LB1,0.743411878,13.11124519,0.058339886,0.011008062,-0.169322604,-0.638810885,1.190855035,-1.470369997,0.165480162,0.723416081,-2.321206913,-1
4,MODEL1,PARMS,LB1,0.698835749,13.40675995,0.119279841,-0.334889626,1.025551092,-0.680738808,2.175171306,-4.219487166,0.189644418,0.41013158,-1.411035858,-1
5,MODEL1,PARMS,LB1,0.683010098,22.56979028,0.182565288,-0.560892731,1.50555571,-1.208912782,3.094695805,-5.91859987,0.120575252,0.392224029,-1.157409954,-1
6,MODEL1,PARMS,LB1,0.763157907,6.782385153,0.141871693,-0.509648844,1.868721198,-0.225512704,0.319467768,-0.296639754,0.040516253,0.657696999,-1.680968534,-1
7,MODEL1,PARMS,LB1,0.677765905,4.809755859,0.152642265,-0.422188054,1.733578774,-0.17489138,0.552705815,-1.436069788,0.282333553,-0.240549038,0.414271393,-1
8,MODEL1,PARMS,LB1,0.736744402,10.92215877,0.066369513,-0.017737949,0.085137437,-0.474267695,1.067790735,-1.905102916,0.001109112,1.230789935,-3.172073352,-1
9,MODEL1,PARMS,LB1,0.761512439,8.834723736,0.108528577,-0.39453601,1.579496814,-0.298838417,1.069240019,-2.097594312,-0.149561071,1.004879351,-2.331868252,-1
10,MODEL1,PARMS,LB1,0.790758563,-4.915868365,-0.022500173,-0.019532689,0.175153148,0.528500153,-2.520127799,5.384482683,0.022035631,1.083747629,-2.789200748,-1
11,MODEL1,PARMS,LB1,0.673637566,3.552930679,0.272167707,-0.625151092,2.010964336,-0.069737552,-0.668431258,1.644986028,0.02601075,1.068293123,-2.729980285,-1
12,MODEL1,PARMS,LB1,0.757629506,15.82107422,-0.042761527,0.091524302,-0.389342468,-0.704919466,1.700525545,-3.046036945,-0.031438486,0.719386138,-1.648871368,-1
13,MODEL1,PARMS,LB1,0.744295782,1.46327981,0.118384733,-0.270411915,0.826581705,0.214304769,-1.809981567,4.751854415,-0.393705989,2.094214338,-4.646967223,-1
14,MODEL1,PARMS,LB1,0.757607075,-5.81265551,0.023130572,0.322637795,-1.669946629,0.561104102,-2.164845635,4.083567889,0.02110166,0.494489956,-1.039241535,-1
15,MODEL1,PARMS,LB1,0.79469392,9.898697823,0.042652299,-0.095249274,0.292715613,-0.384596196,1.418976212,-3.304491227,-0.024111145,1.211974642,-3.107021874,-1
16,MODEL1,PARMS,LB1,0.731716403,11.06092617,0.106248191,-0.139871952,0.288670696,-0.571318026,1.950412096,-3.796633294,0.364271641,-0.8546495,1.840062156,-1
17,MODEL1,PARMS,LB1,0.751028859,11.42985439,-0.011830773,0.296887838,-1.597987196,-0.534780218,1.051481175,-1.679484487,0.242787969,-0.136111855,0.014676927,-1
18,MODEL1,PARMS,LB1,0.779506115,12.98439042,0.019302167,-0.006457399,0.064100142,-0.625223503,1.746763526,-3.501087107,0.195587935,0.383885822,-1.168772844,-1
19,MODEL1,PARMS,LB1,0.737803651,13.71124633,0.048785616,-0.171158933,0.540970188,-0.6248189,0.408256775,0.133354242,0.052685245,1.031798936,-2.639317049,-1
20,MODEL1,PARMS,LB1,0.691853159,11.10537046,0.137772026,-0.091388146,-0.208911987,-0.520355555,1.018293064,-1.691344657,0.120565075,0.201553307,-0.515646327,-1
21,MODEL1,PARMS,LB1,0.700424947,-4.301328991,0.009443254,0.278665043,-1.454862168,0.451535403,-1.913420273,4.484623912,0.09376132,0.702189228,-2.07137157,-1
22,MODEL1,PARMS,LB1,0.736523657,10.74886426,0.04106289,-0.298475528,1.178331707,-0.427996749,1.637273228,-3.722141833,-0.019404476,0.841615859,-1.894909078,-1
23,MODEL1,PARMS,LB1,0.725933328,12.07923905,0.09201865,-0.044323705,-0.316840165,-0.492378859,1.543493986,-3.441966545,-0.152618626,1.086904454,-2.403905665,-1
24,MODEL1,PARMS,LB1,0.748898997,8.046810534,-0.009585506,0.117908358,-0.651269855,-0.359486289,0.760063044,-1.31302003,0.347436759,-0.11483536,-0.361003658,-1
25,MODEL1,PARMS,LB1,0.777163186,7.668968803,0.066455807,-0.318703896,0.851686779,-0.316675753,1.08383005,-2.422554109,0.267934032,0.091454271,-0.46909578,-1
26,MODEL1,PARMS,LB1,0.722182294,5.858186888,0.208119468,-0.543251823,1.764771697,-0.17936886,0.437109908,-0.441808749,-0.020875227,0.986287541,-2.578279804,-1
27,MODEL1,PARMS,LB1,0.729645906,7.70785489,0.240327057,-0.67688004,2.063245867,-0.327861189,0.759359476,-1.568458955,0.128749961,0.11602664,-0.433027911,-1
28,MODEL1,PARMS,LB1,0.741866833,5.944095018,0.086956646,-0.15824881,0.055956401,-0.208183255,0.170181991,-0.229023777,0.184614335,0.211740754,-0.505653804,-1
29,MODEL1,PARMS,LB1,0.799064029,7.959953472,0.166090129,-0.69315886,2.621051647,-0.337398214,1.140928539,-2.666113149,0.142269049,0.542338506,-1.298005313,-1
30,MODEL1,PARMS,LB1,0.786358161,8.516109971,0.217864707,-0.498764465,1.228622614,-0.369304876,1.734371744,-3.904806087,0.063908828,0.539095197,-1.611049186,-1
31,MODEL1,PARMS,LB1,0.826485801,14.8522343,-0.027893482,0.390695889,-2.10437238,-0.650175533,0.612723958,-0.656571528,-0.022970885,1.104383392,-2.79387842,-1
32,MODEL1,PARMS,LB1,0.739592712,15.9352335,-0.029363453,-0.051058021,0.002471198,-0.642757428,1.681047813,-2.964213678,-0.290319221,1.58816838,-3.753182431,-1
33,MODEL1,PARMS,LB1,0.732441432,17.24962339,0.206994563,-0.403025721,1.108002659,-0.845517202,2.564333079,-5.888701949,-0.122665573,1.024018868,-1.870888263,-1
34,MODEL1,PARMS,LB1,0.710222605,-1.452061315,0.23121131,-0.790486291,3.028883761,0.242343726,-0.962021308,1.95986244,0.065004591,0.642819157,-1.64223645,-1
35,MODEL1,PARMS,LB1,0.738829636,-1.142120326,-0.010461475,0.142625793,-0.649116484,0.285897865,-0.940183825,1.84556846,0.070786629,0.110501624,-0.304776346,-1
36,MODEL1,PARMS,LB1,0.669995562,7.688780156,0.258502052,-0.479098018,1.455575566,-0.242279075,0.575696461,-1.129736307,-0.243188666,1.199807562,-2.76273973,-1
37,MODEL1,PARMS,LB1,0.792583977,3.955436008,-0.174123171,0.563858151,-2.407350504,-0.018905547,-0.496480381,1.415049977,0.204457381,0.197106343,-0.88391133,-1
38,MODEL1,PARMS,LB1,0.737681659,20.50092391,0.119115525,-0.421315547,1.562810887,-1.032263061,2.989219354,-6.255261044,-0.038560443,0.735768227,-1.671387412,-1
39,MODEL1,PARMS,LB1,0.811680525,-1.761448247,0.142941759,-0.145409221,0.032365267,0.36091835,-1.253333019,2.014963478,-0.261516917,1.759513842,-3.84403826,-1
40,MODEL1,PARMS,LB1,0.705455222,9.948328664,-0.072788725,0.227011023,-1.014745474,-0.336851889,0.773294689,-1.406259348,-0.079823087,1.113303034,-2.749783438,-1
41,MODEL1,PARMS,LB1,0.798704125,11.88265758,-0.018329207,-0.0774876,0.573851607,-0.500324722,1.871946786,-4.294151367,0.059666028,0.297640441,-0.469814671,-1
42,MODEL1,PARMS,LB1,0.733028348,16.36415144,0.113124814,-0.13317684,0.156091065,-0.661612714,1.945715071,-4.038199866,-0.522373109,2.14796884,-4.552853398,-1
43,MODEL1,PARMS,LB1,0.74894959,-0.301599646,-0.016859055,-0.347497233,1.669344505,0.341744281,-2.132056324,5.021563435,-0.256198769,1.623260699,-3.724697823,-1
44,MODEL1,PARMS,LB1,0.698771618,26.18700635,-0.054264232,0.446608903,-2.717872255,-1.426364573,3.297126296,-5.667024886,0.288397702,0.155767054,-0.955029519,-1
45,MODEL1,PARMS,LB1,0.762066024,-1.432899279,0.094498718,-0.25698339,1.174492123,0.276203255,-1.104663416,2.384070069,0.035660457,0.656675343,-1.679363934,-1
46,MODEL1,PARMS,LB1,0.708536009,7.152978811,0.022624301,0.017038097,-0.002608313,-0.297506552,1.427641122,-3.498620923,0.257211842,0.115738978,-0.330570509,-1
47,MODEL1,PARMS,LB1,0.739298747,6.325517325,0.124018361,-0.3494098,1.159297322,-0.065173618,-0.137443573,0.400943823,-0.415028556,1.678964912,-3.513634996,-1
48,MODEL1,PARMS,LB1,0.714613708,5.288950784,0.102338843,-0.093749553,-0.313702981,-0.178097744,0.667120227,-1.369472085,0.161606445,0.298658294,-0.843868891,-1
49,MODEL1,PARMS,LB1,0.836820401,4.21339615,0.060348721,-0.39575797,1.413034647,0.00576513,-0.95040826,2.223159078,-0.111173974,1.111447762,-2.493511777,-1
50,MODEL1,PARMS,LB1,0.833224795,9.659253124,-0.152772306,0.235982636,-0.665366779,-0.321148123,0.39748296,-0.865361564,0.106188015,-0.237236635,0.913635503,-1
51,MODEL1,PARMS,LB1,0.770343878,13.61234531,0.081159697,-0.037956676,-0.116424598,-0.721489716,2.681557592,-5.917747015,0.330860374,-0.315768933,0.502203913,-1
52,MODEL1,PARMS,LB1,0.77172531,7.219733532,0.021006887,0.057076923,-0.500975833,-0.317329034,0.605968779,-0.806548326,0.364369264,-0.362209977,0.565151671,-1
53,MODEL1,PARMS,LB1,0.705311474,14.12227409,0.255800485,-0.612323384,1.819748023,-0.661672624,1.464358162,-2.672168509,-0.127392266,1.412161022,-3.476908916,-1
54,MODEL1,PARMS,LB1,0.728854458,8.575870067,0.163554124,-0.258454024,0.505897852,-0.369857727,1.178453276,-2.438934582,0.060462267,1.03293801,-2.843806936,-1
55,MODEL1,PARMS,LB1,0.853123251,14.80797631,-0.019125341,0.085035697,-0.946425824,-0.628481956,0.869062081,-1.294565057,-0.075440139,1.305588596,-3.252245069,-1
56,MODEL1,PARMS,LB1,0.678364995,-0.133268009,0.027767582,-0.17005869,0.236863846,0.208034753,-1.326615167,3.251048426,0.124480862,0.307142916,-0.986637874,-1
57,MODEL1,PARMS,LB1,0.782889719,4.406804715,0.007669019,0.078798695,-0.3815483,-0.053354593,0.633033852,-1.63650486,0.037031189,0.047657067,0.14301441,-1
58,MODEL1,PARMS,LB1,0.780082132,13.34912756,0.08994728,-0.086623536,-0.101610364,-0.677085519,1.507658359,-2.626079076,0.216020716,0.457034122,-1.283202451,-1
59,MODEL1,PARMS,LB1,0.703787968,7.110127268,0.080368149,-0.055322231,-0.10726289,-0.1474139,0.19969352,-0.409859662,-0.314487776,1.574358557,-3.354977216,-1
60,MODEL1,PARMS,LB1,0.795057931,13.86102575,-0.061432299,0.569277517,-2.760400797,-0.654782614,1.568129482,-3.088178631,0.215173919,-0.140294548,0.311532269,-1
61,MODEL1,PARMS,LB1,0.824383595,25.18737987,-0.125831741,0.356902833,-1.482410911,-1.348027109,3.916190554,-7.878879243,0.258659702,0.208714264,-0.555183737,-1
62,MODEL1,PARMS,LB1,0.786173592,8.961130858,0.152048771,-0.306161702,0.763914225,-0.453062181,1.278300566,-2.424032068,0.36183622,-0.458833915,0.787206199,-1
63,MODEL1,PARMS,LB1,0.750117613,15.77932799,0.027005971,0.005252559,-0.885003598,-0.602666723,1.079498756,-1.834417805,-0.476173758,2.464575695,-5.51196998,-1
64,MODEL1,PARMS,LB1,0.758123894,7.330215188,0.033460956,0.032081428,-0.554794628,-0.230012254,-0.10169603,0.372416868,0.056895956,0.325680645,-0.646117972,-1
65,MODEL1,PARMS,LB1,0.675683805,7.707689616,0.053597863,-0.142180959,0.364272888,-0.215967113,0.421822332,-0.653635832,-0.131527336,1.133740236,-2.680003078,-1
66,MODEL1,PARMS,LB1,0.746069103,17.47147262,-0.060779094,0.460383725,-2.340834945,-0.879141454,2.471203933,-4.819036269,0.205637989,-0.073383008,0.15918384,-1
67,MODEL1,PARMS,LB1,0.759669724,9.410115539,0.284366547,-0.808332641,2.961677584,-0.525976793,2.127065636,-4.685467123,0.373492598,-0.119369682,-0.50535545,-1
68,MODEL1,PARMS,LB1,0.796282525,18.2974204,0.116005394,-0.256505048,0.841193696,-0.833373881,1.887111937,-3.31350554,-0.306881137,1.864821154,-4.245557184,-1
69,MODEL1,PARMS,LB1,0.767121669,5.845261081,0.241435395,-0.556378565,1.836652456,-0.187281691,-0.086551886,0.902719582,-0.010577754,0.816236659,-1.907112186,-1
70,MODEL1,PARMS,LB1,0.646628032,12.03585569,0.021299743,-0.268217748,1.427939456,-0.560586414,1.958568418,-4.114616554,0.177360586,0.183049304,-0.514919719,-1
71,MODEL1,PARMS,LB1,0.763127515,6.950068146,0.024975221,-0.010050115,-0.36791491,-0.248175468,-0.03678096,0.220810241,0.187693726,0.249492752,-0.457772041,-1
72,MODEL1,PARMS,LB1,0.730431682,14.65952517,-0.078589941,0.139583075,-0.709094738,-0.641539655,3.124232465,-7.649554974,0.046834402,-0.620108547,2.289394109,-1
73,MODEL1,PARMS,LB1,0.784690608,15.88741532,0.024284478,-0.105835253,0.174919257,-0.741790273,2.564473094,-5.51052689,-0.01844498,0.497051265,-0.791754846,-1
74,MODEL1,PARMS,LB1,0.697861571,7.805541076,0.12120825,-0.17068118,0.369793647,-0.334629949,1.485105923,-3.556309569,0.176618318,-0.379291112,1.18742297,-1
75,MODEL1,PARMS,LB1,0.887935303,9.372871692,-0.180940802,0.637667807,-2.090022915,-0.340556041,1.323922468,-2.940489988,0.16832093,-0.343352886,0.872094216,-1
76,MODEL1,PARMS,LB1,0.800445151,1.242615788,0.036458803,0.166698688,-0.85340459,0.094409004,-0.538260482,1.090989784,0.16878237,0.170918151,-0.604270995,-1
77,MODEL1,PARMS,LB1,0.722867699,8.454939997,0.207513909,-0.421091092,0.819311323,-0.376936722,1.294013711,-2.900678918,0.133743149,0.075396612,-0.088743215,-1
78,MODEL1,PARMS,LB1,0.765422343,7.785983574,0.12490384,-0.373715192,1.200772748,-0.242413266,0.755810617,-1.202060152,-0.106803689,1.024908395,-2.726396738,-1
79,MODEL1,PARMS,LB1,0.802886415,6.710818498,-0.084774092,0.081192329,0.062314478,-0.175339304,0.364495694,-0.935342718,0.092983126,0.365354601,-0.758588744,-1
80,MODEL1,PARMS,LB1,0.735193867,13.03549225,-0.042454233,0.097448306,-0.99111422,-0.571820807,1.743120539,-3.868293785,0.119236597,-0.074212218,0.344415304,-1
81,MODEL1,PARMS,LB1,0.79794332,1.89462581,-0.161820356,0.192301447,-0.366868762,0.149529275,-0.593992485,1.404626931,0.08668331,0.225506722,-0.587588159,-1
82,MODEL1,PARMS,LB1,0.757081758,10.00131494,0.152631588,-0.261644965,0.427559557,-0.366580689,0.760645203,-0.748740996,-0.179101742,0.98138676,-2.062542674,-1
83,MODEL1,PARMS,LB1,0.68560196,14.55438736,0.123197692,-0.260248287,0.678492736,-0.700883457,1.327633891,-2.460685401,0.033066686,0.739246037,-1.600881083,-1
84,MODEL1,PARMS,LB1,0.739146201,18.21987156,0.21311682,-0.404344755,1.382132322,-0.841685256,2.326184288,-4.841660616,-0.331265017,1.559927497,-3.349560452,-1
85,MODEL1,PARMS,LB1,0.695987255,12.66025833,0.129128933,0.018313583,-0.974726452,-0.66838322,2.439294279,-5.291181038,0.277947928,-0.168688571,0.361599762,-1
86,MODEL1,PARMS,LB1,0.703798837,-0.027980362,-0.06305225,0.143716745,-0.498717858,0.128426081,0.059881886,-0.20553177,0.392235053,-0.50089876,1.02923962,-1
87,MODEL1,PARMS,LB1,0.718648513,12.13775454,0.155782387,-0.474808356,1.792946228,-0.522758364,1.191741465,-2.338858736,-0.102228913,1.12232937,-2.417785268,-1
