SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sRB4
1,MODEL1,PARMS,sRB4,0.738633239,-1.221643946,0.087343695,-0.238252535,0.606937719,0.162688285,-0.610545412,1.247314035,0.28004841,-0.574313953,1.013885899,-1
2,MODEL1,PARMS,sRB4,0.721949762,-4.193996059,0.00683872,0.106930638,-0.78205722,0.329651497,-0.569082978,0.764605158,0.355421803,-0.835540774,1.663235115,-1
3,MODEL1,PARMS,sRB4,0.509575023,1.857440133,-0.003841317,0.013353419,-0.351394898,-0.001598152,0.442899273,-1.313927515,0.2211875,-0.186619262,0.175094752,-1
4,MODEL1,PARMS,sRB4,0.54054452,6.999628995,-0.073125334,0.162530604,-0.709362435,-0.31610156,1.091569152,-2.438766923,0.325507636,-0.666890389,1.427971452,-1
5,MODEL1,PARMS,sRB4,0.735698141,-1.254640318,0.015667977,0.02639548,-0.597865158,0.186982293,0.13039482,-1.061103298,0.225863271,-0.415389042,0.822716138,-1
6,MODEL1,PARMS,sRB4,0.720831162,1.617506038,0.066383127,-0.179546511,0.815490673,-0.003876892,-0.219054694,0.46106425,0.252803392,-0.336450894,0.532036105,-1
7,MODEL1,PARMS,sRB4,0.537045858,-1.345502706,0.060353095,-0.089404567,0.438791499,0.209836241,-0.475516058,0.65432995,0.11476457,-0.024405678,0.029328338,-1
8,MODEL1,PARMS,sRB4,0.494581511,-4.344099405,0.21000505,-0.469705995,1.352669573,0.361821672,-1.546284207,3.01573367,0.083229258,0.358595143,-0.946033052,-1
9,MODEL1,PARMS,sRB4,0.586908823,6.457393374,0.068722589,-0.160432784,0.137786975,-0.29572034,1.77135402,-4.290054796,0.215531446,-0.712876942,1.866893069,-1
10,MODEL1,PARMS,sRB4,0.561565306,4.057004713,0.136896049,-0.465911212,1.862776886,-0.134774445,0.765932497,-1.735608722,0.120415299,-0.141669554,0.297955284,-1
11,MODEL1,PARMS,sRB4,0.630496339,-2.48113258,0.225882474,-0.689057962,2.193605896,0.235380464,-1.104547272,1.781424313,0.181563717,-0.190914522,0.336413706,-1
12,MODEL1,PARMS,sRB4,0.604773551,-2.082863937,0.106551045,-0.200690295,0.264579423,0.205319077,-0.291423559,-0.009397355,0.234364696,-0.264778969,0.605912052,-1
13,MODEL1,PARMS,sRB4,0.924279657,-2.601901939,0.072711855,0.253873931,-1.877968588,0.185263249,-0.410453862,0.575981722,0.449739369,-1.227036959,2.705507177,-1
14,MODEL1,PARMS,sRB4,0.466767102,-0.966020641,0.229315663,-0.352254038,0.996012055,0.101745874,-0.295414135,0.290954627,0.20339741,-0.094312182,0.079732197,-1
15,MODEL1,PARMS,sRB4,0.583301905,-2.677789362,0.080021485,-0.247570395,0.857514229,0.247513948,-0.74552234,1.291862128,0.232280947,0.092128887,-0.574557871,-1
16,MODEL1,PARMS,sRB4,0.570244728,-2.067368406,0.133317267,-0.234580625,0.448943079,0.223698178,-0.494175175,0.672656265,0.159329707,-0.369489571,0.980154926,-1
17,MODEL1,PARMS,sRB4,0.771823804,-2.874849968,0.131977546,0.036381708,-1.116385375,0.224545445,-0.651359169,1.023988229,0.322516027,-0.917548389,1.991963163,-1
18,MODEL1,PARMS,sRB4,0.519560762,7.328499911,0.155175721,-0.297862523,0.776647128,-0.414839102,1.512435196,-3.347176519,0.364402788,-0.763408766,1.689249108,-1
