SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,sLB10
1,MODEL1,PARMS,sLB10,0.945561746,13.54039654,0.179245099,-0.178566235,0.333534787,-0.750105039,0.861082391,-0.816466678,0.331821417,0.180041323,-1.194063233,-1
2,MODEL1,PARMS,sLB10,0.918520486,11.32266624,-0.197205842,0.822832784,-2.743641159,-0.551446433,0.9093171,-1.242297611,0.472895148,-1.080569591,2.151482022,-1
3,MODEL1,PARMS,sLB10,0.975830679,11.33364712,-0.247802535,0.405955919,-1.314538925,-0.514888272,2.052048483,-4.650951743,0.434028056,-0.833346468,1.410358927,-1
4,MODEL1,PARMS,sLB10,0.916348014,9.502609291,-0.470278962,0.958115984,-3.180233464,-0.398202727,0.305727463,-0.025949718,0.704754521,-1.588664106,2.967170093,-1
5,MODEL1,PARMS,sLB10,0.99099723,11.85838844,-0.42785227,0.632498199,-1.621855457,-0.418287613,1.179732175,-2.234828483,0.239989328,-0.760663335,1.331790597,-1
6,MODEL1,PARMS,sLB10,0.986534659,4.72365902,-0.191303215,-0.297531004,2.927706176,-0.091871427,-0.543301842,2.002964136,0.387848402,-0.637411096,0.781543397,-1
7,MODEL1,PARMS,sLB10,0.944055974,3.420379965,0.173900158,-0.616217288,3.026041335,-0.186415782,0.442919472,-0.913357861,0.57391977,-1.375540466,2.621424051,-1
8,MODEL1,PARMS,sLB10,1.004480026,10.49696401,-0.298315572,0.867272305,-3.394424702,-0.38254078,0.283952735,0.276029966,0.204292147,-0.026628228,-0.449876074,-1
9,MODEL1,PARMS,sLB10,0.861827983,6.466675352,-0.175141011,0.373877008,-1.367606005,-0.284475115,1.201583136,-2.731696291,0.63903528,-2.210341834,5.018616313,-1
10,MODEL1,PARMS,sLB10,0.93818161,-4.760732608,0.090887478,-0.264302719,1.608267529,0.401158841,-0.687700466,1.453217759,0.328612708,-1.245491571,2.613625196,-1
11,MODEL1,PARMS,sLB10,0.846562591,3.897856454,-0.173034827,0.716456202,-2.960283202,-0.175316364,-0.083472592,0.538587985,0.791732558,-2.032878841,3.77794175,-1
12,MODEL1,PARMS,sLB10,0.903811334,15.9356295,-0.326974556,0.933153291,-3.438630165,-0.668877882,1.42189121,-2.413459585,0.042407539,0.462297909,-1.29232372,-1
13,MODEL1,PARMS,sLB10,0.924388945,2.845298237,-0.090920896,0.412320054,-1.77252876,0.08310099,-1.965370964,5.402919649,-0.00313238,0.437357211,-1.252908132,-1
14,MODEL1,PARMS,sLB10,0.946916065,-2.751972805,-0.037098356,0.468775467,-1.892096719,0.228124463,-1.329724347,3.15525506,0.542959678,-0.651402303,0.762156321,-1
15,MODEL1,PARMS,sLB10,0.962683167,-7.369426672,-0.196116783,0.657857174,-1.994364565,0.695405954,-2.89407371,7.000643109,0.04251188,0.45856866,-1.399504863,-1
16,MODEL1,PARMS,sLB10,0.937127628,18.79084065,-0.048231205,0.246786738,-0.978723212,-1.047555769,1.720382953,-2.582536866,0.567536173,-1.719522894,3.869637263,-1
17,MODEL1,PARMS,sLB10,0.896513998,9.310651062,-0.01623835,0.310220784,-1.649383899,-0.410377957,0.805141861,-1.048631269,0.235871738,-0.73885904,1.610052203,-1
18,MODEL1,PARMS,sLB10,0.894336876,12.57245216,-0.022661597,-0.07250283,0.593435031,-0.71646827,1.937857061,-3.88302912,0.756938026,-2.486999824,5.472126363,-1
19,MODEL1,PARMS,sLB10,0.930239846,12.48210408,-0.106246887,0.330785166,-1.321801024,-0.500889197,0.234692007,0.250358428,0.059275826,-0.10995644,0.190798742,-1
20,MODEL1,PARMS,sLB10,0.835916404,7.626860516,-0.043072545,0.405834887,-1.771947876,-0.378864891,0.717926106,-0.768466377,0.491208331,-1.043206288,1.929305299,-1
21,MODEL1,PARMS,sLB10,0.907127981,-0.041874373,-0.301539649,0.847630368,-3.033292763,0.271064627,-1.575782213,4.208402377,0.162028938,-0.099732141,-0.285889768,-1
22,MODEL1,PARMS,sLB10,0.854523038,1.781117335,-0.0670766,0.464930827,-1.999782521,-0.089086486,-0.173697122,1.05434427,0.752447195,-1.603282695,2.9185509,-1
23,MODEL1,PARMS,sLB10,0.990777783,10.47425162,-0.327366134,0.967034493,-3.733320452,-0.380317832,1.658886297,-3.701491067,0.190258418,-0.495995074,0.847604335,-1
24,MODEL1,PARMS,sLB10,0.946029828,2.707767093,-0.121517646,0.59590029,-2.408899316,-0.022477953,-0.897068416,2.539158785,0.372064406,-0.166317888,-0.394089038,-1
25,MODEL1,PARMS,sLB10,0.889421522,11.53705239,-0.058434274,0.195866731,-0.512208507,-0.557837459,2.512224269,-5.231549392,0.314327469,-0.825573953,1.567378761,-1
26,MODEL1,PARMS,sLB10,0.930960937,14.75998955,-0.036859873,0.286141552,-1.36799564,-0.792580248,1.55019585,-2.302807395,0.472002225,-0.738725171,0.933331849,-1
27,MODEL1,PARMS,sLB10,0.903856099,-0.970473256,0.057453233,0.021426521,0.114743544,0.234895714,-2.320873636,5.394850649,0.130181356,0.218254228,-0.651665187,-1
28,MODEL1,PARMS,sLB10,0.971640701,18.21770311,-0.188144422,0.523218888,-2.065334279,-0.900670291,2.445670555,-4.680902263,0.235922084,-0.304802741,0.597834318,-1
29,MODEL1,PARMS,sLB10,0.994121672,1.768405692,-0.025826891,-0.005409655,-0.340324859,0.126214554,-1.563534064,3.848843135,0.044958477,0.346696794,-0.762886593,-1
30,MODEL1,PARMS,sLB10,1.045092445,0.07541504,-0.145562577,-0.180027388,1.684158453,0.194149991,-0.880613954,1.638042527,0.351633357,-0.611087211,0.966976265,-1
31,MODEL1,PARMS,sLB10,0.968564012,3.783146973,-0.179331664,0.584118193,-1.949214966,0.003430598,-0.318463298,0.644472832,0.2082172,-0.654268547,1.185471219,-1
32,MODEL1,PARMS,sLB10,0.868007118,9.613211906,-0.085939126,0.401148634,-1.613503277,-0.460779755,0.497458889,0.625721722,0.456740959,-0.83627822,0.959111701,-1
33,MODEL1,PARMS,sLB10,1.012827207,6.575793606,-0.311099858,0.460901563,-0.575012392,-0.083781038,0.700167522,-2.252720697,0.030510904,-0.059138307,0.324475217,-1
34,MODEL1,PARMS,sLB10,0.872463939,-2.338086417,0.039476115,0.190265453,-0.759146669,0.270389905,-1.433231832,3.327872613,0.235663884,-0.015561043,-0.338673676,-1
35,MODEL1,PARMS,sLB10,0.890449585,9.301353601,-0.163020498,0.579421956,-2.491703193,-0.430081922,1.210193841,-2.120215694,0.445293206,-1.140924998,2.297527077,-1
36,MODEL1,PARMS,sLB10,0.9504625,13.32179037,-0.023483467,0.109349193,-0.792632857,-0.593930927,1.509663182,-3.051765993,0.105736557,0.063823866,-0.403716503,-1
37,MODEL1,PARMS,sLB10,0.99085306,4.986388812,-0.026542658,0.176181838,-0.334446774,-0.265996616,0.486880758,-0.868536661,0.739298732,-1.743700649,3.140047545,-1
38,MODEL1,PARMS,sLB10,0.852555408,12.7894758,0.037517097,-0.00645695,0.256559715,-0.6124633,1.405192473,-2.115701944,0.110152547,0.223650427,-0.942801774,-1
39,MODEL1,PARMS,sLB10,0.981078525,1.792858934,-0.234658555,0.753679181,-2.647440983,-0.005006999,-0.81286794,2.411712513,0.637444888,-1.391798301,2.668933872,-1
