SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RMB
1,MODEL1,PARMS,RMB,1.494760381,-1.464407537,0.402524802,-1.344957233,5.639498093,0.714620537,-3.213949036,8.263173401,0.423756532,-0.332924998,-0.051329475,-1
2,MODEL1,PARMS,RMB,1.543406431,-17.35193532,0.10215422,-0.741674328,3.772145615,1.58045895,-5.16259241,12.55655124,1.035931449,-2.55425592,4.714221924,-1
3,MODEL1,PARMS,RMB,1.517408197,8.678226935,0.304752319,-0.519646179,1.395226293,0.111771152,-0.865795509,3.08652782,0.327108962,0.53295278,-2.237131484,-1
4,MODEL1,PARMS,RMB,1.490522494,14.18863266,0.347574146,-1.09415695,3.808070976,-0.183012669,-0.540259394,2.182990799,0.237621178,0.930911472,-3.070605,-1
5,MODEL1,PARMS,RMB,1.481640332,-6.78887398,0.799853021,-2.299108185,8.612278103,0.923993211,-3.30785091,6.856369165,0.329957392,1.219452734,-3.819672228,-1
6,MODEL1,PARMS,RMB,1.514282973,3.120530976,-0.151912549,0.148756121,-0.564106735,0.349375332,-1.488203281,3.919772175,1.236886116,-2.27235765,4.17917491,-1
7,MODEL1,PARMS,RMB,1.558882264,-6.568690543,0.213734964,-0.839379317,4.201014585,1.221990591,-3.779686754,8.200023558,-0.213201305,2.314546014,-5.75409368,-1
8,MODEL1,PARMS,RMB,1.577758054,1.966443468,0.66059836,-1.480709521,4.333517597,0.389379974,-0.283143561,-0.310858489,0.485679345,-0.207391911,0.063016028,-1
9,MODEL1,PARMS,RMB,1.523360136,4.993213929,0.678017879,-1.842773795,5.968079264,0.055964512,0.628444747,-1.870705889,0.870389621,0.088254462,-1.114311504,-1
10,MODEL1,PARMS,RMB,1.594981873,6.985556177,0.138623595,-0.439935448,1.384743306,0.12827872,-1.641349196,3.622811688,0.918912573,-1.374514922,2.775341749,-1
11,MODEL1,PARMS,RMB,1.576439534,6.900345947,0.63493401,-1.682055521,5.752549944,0.170394434,-1.246552475,2.953324005,0.204584338,0.851241243,-1.964806128,-1
12,MODEL1,PARMS,RMB,1.498788486,-0.364675624,0.345484667,-0.532636769,1.593134705,0.556444145,-1.79311795,4.141516124,0.610925066,-0.59395646,1.351686742,-1
13,MODEL1,PARMS,RMB,1.455862769,-22.79017011,0.369345093,-1.270819209,5.160717671,1.896325161,-6.411781455,13.85618367,0.775869645,-0.553957717,0.233016945,-1
14,MODEL1,PARMS,RMB,1.529175487,-7.71821932,0.346928807,-0.886706396,3.033499721,1.10346371,-3.855382507,8.443884351,0.368350291,-0.827508201,1.991031077,-1
15,MODEL1,PARMS,RMB,1.459351178,-6.617773658,0.268059757,-0.743309466,2.766600125,0.825101124,-2.112623526,3.667151212,1.123030766,-1.960630774,3.672846896,-1
16,MODEL1,PARMS,RMB,1.394533575,-4.471205706,0.488296141,-1.073702013,4.233339945,0.878120415,-2.430135831,6.172457904,0.248322191,0.115620027,-0.63678596,-1
17,MODEL1,PARMS,RMB,1.644804395,4.643809595,0.095423133,-0.759490144,3.012743452,0.264272931,1.055820398,-2.50252422,0.982571828,-2.998392518,6.33215332,-1
18,MODEL1,PARMS,RMB,1.525258585,21.8408415,0.367067146,-0.766100982,1.936219143,-0.690414035,0.240445868,0.214164178,0.337395869,0.853817893,-1.944057297,-1
19,MODEL1,PARMS,RMB,1.58525679,14.4313283,0.536734498,-1.581647056,5.674943119,-0.30381692,1.765769467,-4.181832071,0.365957665,-0.373266348,1.014362683,-1
20,MODEL1,PARMS,RMB,1.468760263,-11.45647373,0.400011186,-1.48619842,5.713690926,1.343704605,-4.425253795,9.122385712,0.279412074,1.212213707,-3.796590363,-1
21,MODEL1,PARMS,RMB,1.663676857,11.87431524,0.084983471,-0.053691491,0.380629441,0.096284499,-1.701434577,5.248663447,-0.096152983,1.960765367,-5.029885243,-1
