SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LMB
1,MODEL1,PARMS,LMB,1.347064265,6.624099972,0.584857377,-1.379279295,5.648007224,-0.125844785,-2.196120896,7.40433235,1.043188734,-2.694586221,5.162059052,-1
2,MODEL1,PARMS,LMB,1.278135494,3.754538308,0.361709247,-0.610500396,2.711515218,0.181928576,-0.560003824,2.46550681,0.606269935,-1.234061294,2.08451121,-1
3,MODEL1,PARMS,LMB,1.213539709,8.918521831,0.417315749,-0.761289116,2.68607709,-0.054942941,0.06045349,0.79090796,0.24904808,0.307289061,-1.529154993,-1
4,MODEL1,PARMS,LMB,1.233422534,18.07274276,0.256783086,-0.493736384,2.06531555,-0.615856771,2.624056563,-5.06341534,0.414710985,-0.074908292,-0.576868375,-1
5,MODEL1,PARMS,LMB,1.258287636,0.878902741,0.653742,-1.579029229,6.397265072,0.436055171,-3.009308833,7.442673498,0.096560807,1.589965977,-5.056713668,-1
6,MODEL1,PARMS,LMB,1.263404374,19.92723661,0.00312314,0.009210011,0.144021413,-0.710981429,2.150717699,-3.209662386,0.650201347,-0.830808822,1.537141077,-1
7,MODEL1,PARMS,LMB,1.267935214,3.473932144,0.493276271,-0.7437751,3.33348461,0.386722717,-1.816203939,5.03293054,-0.229754694,1.777637007,-4.422153201,-1
8,MODEL1,PARMS,LMB,1.261199903,-6.941258603,0.501847513,-0.877458166,2.872061903,0.857960938,-2.956812112,6.671713665,0.359852623,0.189203403,-0.772818386,-1
9,MODEL1,PARMS,LMB,1.254070545,4.982564093,0.693314053,-1.583256967,5.624164527,-0.017410495,1.572381128,-4.079726259,0.625154717,-0.351242738,0.249400586,-1
10,MODEL1,PARMS,LMB,1.272460729,10.23704811,0.460234788,-0.80339174,2.946288551,-0.179772851,-2.135819009,6.153512434,0.437009638,0.53707249,-2.01229592,-1
11,MODEL1,PARMS,LMB,1.188689127,16.34773152,0.344649721,-0.811604576,3.941149866,-0.424834942,0.916746436,-1.470603528,0.084701605,0.606254634,-1.384673546,-1
12,MODEL1,PARMS,LMB,1.29395862,15.24628353,0.322882817,-0.268001035,0.470677506,-0.515266978,1.08727291,-1.011337709,0.56835422,-0.524247382,1.002945773,-1
13,MODEL1,PARMS,LMB,1.293846958,7.584666939,0.378584829,-0.802154779,4.095503485,0.006902955,-2.208950782,6.999236959,0.410757342,0.222346183,-1.110918808,-1
14,MODEL1,PARMS,LMB,1.18906631,14.57751274,0.311837758,-0.263840777,1.146097715,-0.221148442,-0.223406943,1.653321665,-0.272565969,1.258191134,-2.674357661,-1
15,MODEL1,PARMS,LMB,1.200769523,-4.185386828,0.574380184,-1.175150842,4.707648012,0.559311167,-1.855527016,3.967202857,0.758994812,-1.268814379,2.11416511,-1
16,MODEL1,PARMS,LMB,1.193109161,7.190274222,0.347649144,-0.549289339,2.610145926,0.016631056,-0.899140215,3.92036548,0.465096181,-0.729759717,1.117027802,-1
17,MODEL1,PARMS,LMB,1.393357937,1.585343749,0.312720212,-0.415643009,1.257807201,0.314761955,-1.349042305,3.719930739,0.672420856,-1.463703081,2.824667104,-1
18,MODEL1,PARMS,LMB,1.269729865,21.87853124,0.216861774,-0.186087825,0.477825911,-0.709385038,1.001737463,-1.557166266,0.000583179,1.4271157,-3.20336733,-1
19,MODEL1,PARMS,LMB,1.16867224,12.29263187,0.512673995,-1.250917341,5.175232014,-0.26602537,-0.731257481,2.501120283,0.257047166,0.096519695,0.1207685,-1
20,MODEL1,PARMS,LMB,1.191759463,-11.69037617,0.646240513,-1.519109361,5.646500484,1.129868415,-3.012031118,6.210527385,0.285306545,0.657050171,-2.466866226,-1
21,MODEL1,PARMS,LMB,1.312529547,6.315137294,0.18657336,-0.12567221,0.792046509,0.20405482,-1.709069299,5.053239678,0.148529269,0.586855748,-1.721348367,-1
22,MODEL1,PARMS,LMB,1.339809663,6.662323858,0.55294593,-0.716451909,2.669836044,-0.016409252,-0.517437062,2.058020215,0.489757775,-0.804333862,1.417016494,-1
23,MODEL1,PARMS,LMB,1.199516497,3.691691946,0.277921015,-0.453877931,2.508186298,0.376598628,-2.355253328,5.234254952,0.013277822,1.525593022,-4.012311253,-1
24,MODEL1,PARMS,LMB,1.249127513,20.3650136,0.010873237,0.043929114,0.448945127,-0.645221191,0.261866517,1.487931007,0.344063815,0.356274742,-1.813886149,-1
25,MODEL1,PARMS,LMB,1.24403167,13.62471353,0.321622736,-0.735576922,2.707932478,-0.346029606,1.51601573,-2.777473232,0.497987352,-1.066026482,1.820366419,-1
26,MODEL1,PARMS,LMB,1.261216646,1.845335217,0.440194453,-1.126892884,4.743017675,0.438053354,-1.092636784,2.185123464,0.039623987,1.024707953,-2.694343794,-1
27,MODEL1,PARMS,LMB,1.191426824,10.28262609,0.474310766,-1.391129947,6.160685883,-0.183543842,0.255324283,-0.22223748,0.460009431,-0.925616019,1.955602463,-1
28,MODEL1,PARMS,LMB,1.383266293,17.15244884,0.603312061,-0.556853291,0.718455658,-0.738213556,2.248349047,-4.739276858,0.636632823,-0.70636133,1.488110271,-1
29,MODEL1,PARMS,LMB,1.25538628,15.37262525,0.395413754,-1.065277314,3.401962407,-0.418423787,1.237962149,-2.661076667,0.249509866,0.322935163,-0.96547001,-1
30,MODEL1,PARMS,LMB,1.240783759,10.05558201,0.43300394,-0.448364216,0.878453125,-0.135490141,1.227281836,-2.090511078,0.219426024,0.284982493,-1.322161734,-1
