SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,BronInt
1,MODEL1,PARMS,BronInt,1.133066487,-0.728490594,0.147417627,-0.007256114,0.105191464,0.450103766,-1.893563701,5.128638709,0.475540467,-0.977377069,1.525444025,-1
2,MODEL1,PARMS,BronInt,1.175241056,5.984359505,0.029491942,0.1479974,-0.813039117,-0.063034841,1.436851148,-2.762898335,0.956297285,-2.579969884,4.685377662,-1
3,MODEL1,PARMS,BronInt,1.227500162,-1.092181609,0.222087165,-0.593986002,2.459529741,0.439294949,-2.410913983,6.0908819,0.560981782,-0.865180993,1.037672037,-1
4,MODEL1,PARMS,BronInt,1.236458706,5.172846614,0.086870505,-0.125196161,0.588905662,0.190261169,0.909610367,-2.453947658,0.159428923,-0.085438646,-0.02499573,-1
5,MODEL1,PARMS,BronInt,1.275110665,-4.900239618,0.469635231,-0.905755006,3.20312203,0.619042253,-2.141933139,4.459407202,0.451882864,0.05619565,-1.661068138,-1
6,MODEL1,PARMS,BronInt,1.18126137,-0.106097809,0.012908557,0.011664384,-0.47777823,0.364892564,-0.292913988,0.35957387,0.832555862,-1.838178576,3.687939828,-1
7,MODEL1,PARMS,BronInt,1.163918392,2.178680823,0.171065741,0.032779237,-0.761715553,0.284229161,1.054070637,-3.00425006,0.356926358,-1.266750631,3.069798626,-1
8,MODEL1,PARMS,BronInt,1.219633741,8.895208119,0.068014687,0.062470776,-0.706320879,0.0040401,0.458123616,-0.703474875,0.061108521,-0.223291174,0.992270524,-1
9,MODEL1,PARMS,BronInt,1.269431025,13.48290495,0.316761746,-0.623069682,1.489576553,-0.576386922,2.264224172,-4.931509105,0.848179006,-1.301743264,2.250187452,-1
10,MODEL1,PARMS,BronInt,1.316012005,18.1844355,0.127754437,0.010846013,-0.380121525,-0.818928397,2.405275869,-4.631181641,0.978476086,-2.694296369,5.718622225,-1
