SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RUL
1,MODEL1,PARMS,RUL,1.542993901,6.439189759,0.505883775,-1.797659601,6.692548212,-0.308995642,-0.843776146,3.4320381,1.139936021,-2.644669252,4.520244343,-1
2,MODEL1,PARMS,RUL,1.298219767,-20.59555991,-0.06847282,0.083216195,0.652103448,1.446143594,-2.919264892,5.543753397,1.079841471,-3.18714338,6.233330186,-1
3,MODEL1,PARMS,RUL,1.278993374,-12.5910428,0.178611174,-0.239769855,0.55333241,0.99157972,-2.747716081,5.867844725,0.678759182,-1.252904162,1.841519158,-1
4,MODEL1,PARMS,RUL,1.295425651,7.973575654,0.121614194,-0.44009216,2.612767768,-0.071651821,1.183319256,-2.283000401,0.094610253,-0.273834532,0.650752807,-1
5,MODEL1,PARMS,RUL,1.298837357,-3.18110393,0.17548813,-0.499701282,1.455326662,0.674743814,-3.315388069,8.117263352,-0.164728365,1.970467179,-5.828145851,-1
6,MODEL1,PARMS,RUL,1.310541005,0.86773961,0.183950167,-1.128870473,5.048648607,0.308958045,-0.938923301,2.146236727,0.343881623,0.251180649,-1.571344049,-1
7,MODEL1,PARMS,RUL,1.350953735,1.573618276,0.264501746,-0.663780808,3.320334373,0.198835523,0.959663239,-3.271794774,0.354455555,-0.563765685,1.222155164,-1
8,MODEL1,PARMS,RUL,1.329950689,-1.946813651,0.362181147,-1.037694672,3.724199538,0.502596197,-2.575463945,6.262238555,0.026032571,1.088907216,-3.381340103,-1
9,MODEL1,PARMS,RUL,1.278168168,12.67026335,0.249363422,-0.800720482,3.565493558,-0.496485097,2.384889995,-4.385671857,0.455732959,-0.498894231,0.21122119,-1
10,MODEL1,PARMS,RUL,1.411800344,3.391951245,0.070525846,-0.486379045,2.746074576,0.210490993,-0.554637282,1.115485429,0.22168137,-0.028548972,-0.503727606,-1
11,MODEL1,PARMS,RUL,1.332297869,14.84642982,0.25242275,-0.712246776,3.064511694,-0.544156056,3.634908356,-8.005887768,0.118847156,-0.466715249,1.166962714,-1
12,MODEL1,PARMS,RUL,1.547741032,-0.489930613,0.124023653,-0.128254267,0.150556219,0.409830567,-0.091636838,0.018928758,0.165252586,0.344704466,-1.337566169,-1
13,MODEL1,PARMS,RUL,1.276479358,-28.84889102,0.126786247,-0.277457058,1.24378625,1.98317338,-6.135366559,12.90555558,0.80279434,-1.741287488,2.620232586,-1
