SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RB4_5
1,MODEL1,PARMS,RB4_5,0.797503348,0.352634999,0.10553352,-0.354163078,1.196921865,0.184840373,-1.740578401,4.399347344,0.509299205,-1.30102848,2.720528443,-1
2,MODEL1,PARMS,RB4_5,0.854076804,-5.922131933,-0.021780095,-0.159493252,0.74943203,0.614360521,-2.423960157,5.624186699,0.428904594,-0.505344241,0.22581153,-1
3,MODEL1,PARMS,RB4_5,0.819129484,7.093246274,-0.182012218,0.140826217,-0.305359151,-0.070408989,-0.127899468,0.722234239,0.231243454,-0.655444765,1.231354723,-1
4,MODEL1,PARMS,RB4_5,0.829128068,8.008452306,-0.001033903,-0.396170995,1.483127269,-0.234141755,1.308981576,-2.411662944,0.44381358,-1.750762201,3.683351007,-1
5,MODEL1,PARMS,RB4_5,0.821705811,11.4198485,0.039438549,-0.232648819,0.519157789,-0.468835197,0.904135618,-1.88280076,0.516009407,-1.237671295,2.639395355,-1
6,MODEL1,PARMS,RB4_5,0.851812884,12.47883177,-0.027806767,-0.331258956,1.390607547,-0.448204448,1.858273509,-4.253202221,0.266749555,-0.765267633,2.145984276,-1
7,MODEL1,PARMS,RB4_5,0.90333053,2.157780219,-0.057264127,-0.016833505,0.463368409,0.152784876,-0.253578014,-0.291555928,0.369206454,-1.217846155,3.286063198,-1
8,MODEL1,PARMS,RB4_5,0.870678789,4.20495091,-0.060992277,0.289072144,-1.356513177,-0.016858172,-1.042041932,2.292347791,0.505444725,-1.104465632,2.64436612,-1
9,MODEL1,PARMS,RB4_5,0.799333923,14.0789239,0.295483703,-0.948180042,3.048936001,-0.696791238,1.832001637,-4.068583097,0.451169189,-0.837880191,1.920172569,-1
10,MODEL1,PARMS,RB4_5,0.789171292,0.741580402,0.171694243,-0.506197107,1.564122167,0.132267348,-1.090096452,2.422374989,0.543460144,-1.168327964,2.466575566,-1
11,MODEL1,PARMS,RB4_5,0.831584049,0.62983743,0.159736131,-0.665844391,2.724251123,0.205741936,-1.185472649,2.699659452,0.330093184,-1.177274471,2.693952982,-1
12,MODEL1,PARMS,RB4_5,0.92273984,-2.370920075,0.054683158,-0.282188851,0.899496466,0.248397517,-1.395514039,3.071287325,0.865102554,-1.359020692,2.27160279,-1
13,MODEL1,PARMS,RB4_5,0.837514039,1.814614943,0.061691596,-0.558372927,2.945345375,0.148770383,-1.679839921,4.044333231,0.352712616,-0.184549497,0.206164734,-1
14,MODEL1,PARMS,RB4_5,0.776401604,-5.153572139,-0.10240554,-0.109386148,0.578092621,0.727807267,-3.282172296,7.027233308,-0.023748266,0.519426715,-1.144103201,-1
15,MODEL1,PARMS,RB4_5,0.765049093,4.905300022,0.139016646,-0.447351109,1.276066487,-0.096315049,0.048533639,-0.033089406,0.460169979,-0.699909469,0.966480428,-1
16,MODEL1,PARMS,RB4_5,0.821813759,1.825843189,0.068009095,-0.191143789,0.480252645,0.092677735,0.398219092,-0.603022657,0.486465424,-1.392839496,2.63797394,-1
17,MODEL1,PARMS,RB4_5,0.965010025,13.23090405,-0.033235832,-0.075426193,-0.019624462,-0.639054121,1.91252859,-3.128049824,0.802473869,-2.733229238,5.703463268,-1
18,MODEL1,PARMS,RB4_5,0.830031455,8.943720678,0.127954334,-0.392219203,1.408405948,-0.284209354,0.576771777,-1.089424944,0.217552033,-0.081601375,0.076270645,-1
19,MODEL1,PARMS,RB4_5,0.884097993,9.548326741,0.153205232,-0.745498144,2.506212882,-0.344658439,0.188960078,-0.192063407,0.373203775,-0.593259118,1.089075597,-1
20,MODEL1,PARMS,RB4_5,0.828914897,5.859279256,0.033219601,-0.211116493,0.906763239,-0.12949831,0.93058288,-2.103593672,0.462324538,-1.594566422,3.50653478,-1
21,MODEL1,PARMS,RB4_5,0.812525525,11.49798489,-0.077608353,-0.01886961,0.073428048,-0.436521319,0.832887171,-0.714539955,0.493350907,-1.373105164,2.441311576,-1
22,MODEL1,PARMS,RB4_5,0.810533315,4.099825038,0.221350614,-0.504338176,1.791031316,-0.123714828,1.214677518,-2.986020388,0.643752137,-2.555508626,6.187467271,-1
23,MODEL1,PARMS,RB4_5,0.914828153,4.32400959,0.108576755,-0.274336596,0.549332476,-0.072499417,0.732655317,-2.264666372,0.526178894,-1.500704292,3.57507332,-1
24,MODEL1,PARMS,RB4_5,0.896046074,5.83025723,0.162220772,-0.897808442,3.713463524,-0.222813221,0.428190661,-0.52889686,0.748490023,-2.067306128,4.262307017,-1
25,MODEL1,PARMS,RB4_5,0.802809956,2.006194304,0.126427406,-0.673957243,2.155978176,0.104513902,-0.344530076,0.338682351,0.445040777,-1.191965059,2.616975887,-1
26,MODEL1,PARMS,RB4_5,0.808313589,11.51092578,-0.089048213,-0.143897505,0.465181766,-0.309526679,0.814807201,-1.710699279,0.065598737,-0.137330167,0.334839254,-1
27,MODEL1,PARMS,RB4_5,0.812520286,5.600291581,0.007148127,-0.360774257,1.322938642,-0.078848983,-1.041229136,2.596872656,0.446660619,-0.74219328,1.218604792,-1
28,MODEL1,PARMS,RB4_5,0.868036764,6.050872225,0.066809274,-0.327857017,0.496321811,-0.299865177,0.394592107,-1.122131935,1.087096939,-3.558224293,8.320054953,-1
29,MODEL1,PARMS,RB4_5,0.801595453,13.82981332,0.168800017,-0.774643894,2.854139007,-0.564128946,1.169270472,-2.653846821,0.206488042,-0.323745903,0.888645034,-1
30,MODEL1,PARMS,RB4_5,0.919561664,8.880035017,-0.008602549,-0.190457677,0.172676917,-0.324614545,1.353844425,-3.281474067,0.55269844,-1.367078738,2.984141597,-1
31,MODEL1,PARMS,RB4_5,0.857523203,3.31556828,0.056196582,-0.0156473,-0.56277397,0.060208249,-0.390710443,0.780966253,0.277330901,0.209252163,-1.283603812,-1
32,MODEL1,PARMS,RB4_5,0.816154613,7.180813776,0.238330722,-0.673457972,2.378922619,-0.273520638,0.69347132,-1.054028453,0.482124557,-0.91640347,1.554363099,-1
33,MODEL1,PARMS,RB4_5,0.874976246,10.59336357,0.063238673,-0.589686333,1.930061008,-0.383428379,1.381939576,-3.878346716,0.374012967,-0.899502671,2.14266255,-1
34,MODEL1,PARMS,RB4_5,0.89407124,7.063844388,0.061222786,-0.312584503,1.060668374,-0.18366029,-0.496874803,0.813188295,0.369808898,-0.107824779,-0.113378378,-1
35,MODEL1,PARMS,RB4_5,0.867307816,0.35183531,0.129669894,-0.368732958,1.022690869,0.183184335,-1.175998012,2.801093344,0.458409577,-1.179652461,2.339170754,-1
36,MODEL1,PARMS,RB4_5,0.936212216,3.455096991,0.345499242,-0.98771191,2.977804425,-0.023454193,-0.069136323,0.467605972,0.370941761,-1.409803648,3.009854024,-1
37,MODEL1,PARMS,RB4_5,0.850318491,17.21834932,0.022836241,-0.122987809,-0.147281669,-0.825728447,3.02557122,-6.33633229,0.502967435,-1.667750694,3.869046912,-1
38,MODEL1,PARMS,RB4_5,0.810153952,7.682586132,-0.002463773,-0.221591202,0.813157388,-0.265411138,0.818215532,-2.21584152,0.610550842,-1.626834357,3.613356393,-1
39,MODEL1,PARMS,RB4_5,0.820411525,7.919625693,0.090537507,-0.502715224,1.499041773,-0.14954782,-0.038498345,-0.171792862,0.108315453,-0.260301991,0.907491532,-1
40,MODEL1,PARMS,RB4_5,0.881189969,8.108752928,0.097286107,-0.207635101,0.337555759,-0.377853328,1.452299118,-3.348433902,0.768572037,-2.252613521,5.135700441,-1
41,MODEL1,PARMS,RB4_5,0.88066584,5.648400775,-0.187599569,0.234190706,-0.783212566,-0.023721411,-0.15973114,0.19467747,0.384033185,-0.983441231,2.236396526,-1
42,MODEL1,PARMS,RB4_5,0.827269945,-0.09812068,0.122831129,-0.677831382,2.340949217,0.19324302,-1.870086692,4.587707121,0.589634133,-1.554949906,3.22622276,-1
43,MODEL1,PARMS,RB4_5,0.791318465,6.30902458,-0.131514173,0.25073253,-0.642234247,0.049832455,-1.316215569,3.325965438,-0.127998168,1.011099861,-2.490136601,-1
44,MODEL1,PARMS,RB4_5,0.943329408,2.876147471,-0.048078342,-0.128982444,0.433748439,0.066282924,0.036255007,-0.363237256,0.594644303,-2.228973556,5.239350735,-1
45,MODEL1,PARMS,RB4_5,0.821464781,4.617089563,-0.014377622,-0.037609537,0.269141999,-0.018424833,-0.400002041,0.877115801,0.403621775,-1.170214954,2.732165095,-1
46,MODEL1,PARMS,RB4_5,0.898029515,6.085457701,-0.119576888,0.182274821,-0.586378705,-0.19732409,0.03694006,-0.512849113,0.848775755,-2.692023095,6.548416136,-1
47,MODEL1,PARMS,RB4_5,0.916368403,10.90474787,0.190985313,-0.367378078,0.729167888,-0.432005052,1.296020698,-3.124893045,0.279558999,-0.404713402,0.84046879,-1
48,MODEL1,PARMS,RB4_5,0.781839206,8.403244777,0.118615128,-0.280212696,-0.135317757,-0.340653385,0.602435421,-1.209983634,0.618561937,-1.236082706,2.312148004,-1
49,MODEL1,PARMS,RB4_5,0.790312993,5.579821717,0.154009862,-0.649696381,1.88865762,-0.173021418,-0.132440552,0.466616979,0.566016115,-0.827233167,1.424651248,-1
50,MODEL1,PARMS,RB4_5,0.848265252,11.382343,-0.122338415,0.159889338,-1.091610321,-0.330266235,0.045896907,0.23855191,0.168762691,-0.225180574,0.637281015,-1
51,MODEL1,PARMS,RB4_5,0.816620423,-2.250831933,-0.046281499,0.167692157,-0.899314623,0.312777735,-1.572748234,2.82941078,0.735674277,-1.947114842,4.638116447,-1
52,MODEL1,PARMS,RB4_5,0.861639882,7.700807672,-0.098114418,0.260526436,-1.402167976,-0.296624425,0.706262836,-0.838210044,0.781996358,-1.918617104,3.677759893,-1
53,MODEL1,PARMS,RB4_5,0.816726068,1.014650027,0.088847624,-0.429084663,1.579980087,0.230728101,-1.530485485,2.98425819,0.206738226,-0.03327765,0.267314533,-1
54,MODEL1,PARMS,RB4_5,0.841248953,5.978464166,0.068248116,-0.429338455,1.281516752,-0.177573016,0.38196429,-1.195728356,0.654169679,-2.037831672,4.816552185,-1
