SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,RLL
1,MODEL1,PARMS,RLL,0.958222468,4.346027456,-0.088329877,0.355707471,-2.085022848,0.169112773,-1.150297833,3.130231472,-0.120715591,1.457888676,-3.967552657,-1
2,MODEL1,PARMS,RLL,1.048135296,3.166212002,-0.02937159,-0.313089533,0.603735912,0.226064401,-0.677088828,1.579362318,-0.048874477,1.424567523,-3.943583997,-1
3,MODEL1,PARMS,RLL,1.078415122,11.11343527,-0.150473775,0.216937396,-1.078989437,-0.22286894,0.969458365,-2.09764087,-0.141230964,2.045176461,-5.346697059,-1
4,MODEL1,PARMS,RLL,0.919740442,10.30878947,0.007257922,-0.521457509,1.136229911,-0.229744584,0.677150823,-1.450933637,0.088211763,-0.053979085,0.167682534,-1
5,MODEL1,PARMS,RLL,0.931168442,11.40304563,0.074648499,-0.73408655,2.618614181,-0.302596054,0.584671142,-1.054627787,-0.002806879,1.344545766,-4.178789401,-1
6,MODEL1,PARMS,RLL,0.980352598,11.87144486,-0.025912363,-0.30821307,1.045172139,-0.298916286,1.212499456,-2.448737307,-0.032041268,0.852768359,-2.233250025,-1
7,MODEL1,PARMS,RLL,1.047288571,3.624707085,0.109797096,-0.494062673,1.988733193,0.130182769,0.784177639,-2.795395128,-0.001984051,1.009379874,-2.624258788,-1
8,MODEL1,PARMS,RLL,0.967178488,11.9614492,0.001768628,-0.106390264,-0.241759467,-0.290459955,0.212828615,-0.402410852,-0.183251562,1.775504168,-4.160359527,-1
9,MODEL1,PARMS,RLL,0.917476886,5.229878158,0.070954969,-0.513695045,1.394648216,0.089473552,-0.16711324,-0.217728082,-0.115558135,0.988756394,-2.0359743,-1
10,MODEL1,PARMS,RLL,0.9870282,3.028283223,0.073609848,-0.588878103,2.137263027,0.304319723,-2.461472796,5.603001601,-0.324424569,2.042387994,-4.780955251,-1
11,MODEL1,PARMS,RLL,0.954424786,7.507327531,0.296758724,-0.858517523,2.533112518,-0.20541056,0.255195814,-0.7675757,0.248011245,0.112412877,-0.605795955,-1
12,MODEL1,PARMS,RLL,1.018278931,8.768613821,0.040198357,-0.375690848,0.809766492,-0.173718372,0.866400848,-2.504729761,0.099696779,0.805872431,-2.080201761,-1
13,MODEL1,PARMS,RLL,0.95195848,12.02191084,0.004130987,-0.275277207,1.036473224,-0.2286392,-0.451240416,2.069429243,-0.360729648,1.991633148,-4.789564573,-1
14,MODEL1,PARMS,RLL,1.050982849,-5.869191405,0.081145193,-0.482743525,1.141155293,0.829079157,-3.23743072,6.968253263,-0.407775077,2.630209392,-6.305579236,-1
15,MODEL1,PARMS,RLL,1.052176277,1.396043881,0.08668936,-0.690524597,2.7818784,0.299117308,-0.847902839,1.558262699,-0.059728166,1.802760233,-4.946569509,-1
16,MODEL1,PARMS,RLL,0.989528873,-0.736650585,0.29718184,-1.166911959,4.000504206,0.358331179,-1.424506524,3.272893111,0.097004096,0.104981839,-0.40769137,-1
17,MODEL1,PARMS,RLL,1.003433373,8.090286985,0.026827271,-0.347097696,0.521910241,-0.101916984,0.007258994,0.157670018,0.046753237,-0.036096834,0.191917966,-1
18,MODEL1,PARMS,RLL,0.955883839,18.42744267,-0.108133891,0.18920896,-0.852683573,-0.758076729,1.68234909,-3.042823947,0.207674295,0.375802451,-0.937102329,-1
19,MODEL1,PARMS,RLL,1.088399787,16.5328614,0.085790165,-0.491203593,0.960432282,-0.564136641,1.097773926,-1.683686377,-0.241854154,1.760654837,-4.094777788,-1
20,MODEL1,PARMS,RLL,1.013520585,-1.877804125,0.21900306,-0.85600331,2.467164464,0.417692713,-0.869636995,1.315880209,0.11128416,1.052873455,-3.178305431,-1
21,MODEL1,PARMS,RLL,0.892897581,5.338986425,-0.029092565,0.049227389,-0.964454994,0.099996806,-0.933851909,2.343719636,-0.071633947,1.141072531,-2.863744858,-1
22,MODEL1,PARMS,RLL,1.023062307,15.71291576,0.274440314,-0.554410364,1.132996638,-0.612348266,3.165906662,-7.468938393,-0.191899551,1.634251825,-3.79829212,-1
23,MODEL1,PARMS,RLL,1.05146879,-0.68208986,0.113323937,-0.238222127,0.161214405,0.431463123,-0.777047665,0.878586945,-0.089888462,0.5527799,-1.434798601,-1
24,MODEL1,PARMS,RLL,0.963736371,7.168498346,0.030796834,-0.501314524,1.942380643,-0.060845651,-0.137046809,0.966593442,0.023554894,1.127198453,-3.451953354,-1
25,MODEL1,PARMS,RLL,0.954219464,10.62682222,0.01908663,-0.617040677,1.832138174,-0.228574806,0.987594186,-2.886240056,0.011233009,0.425390037,-0.871579166,-1
26,MODEL1,PARMS,RLL,1.002578639,10.52467002,0.012261598,-0.537411041,2.083089362,-0.16443301,-0.603996735,1.910824318,-0.209064942,1.480445681,-3.763932395,-1
27,MODEL1,PARMS,RLL,0.997207174,2.678224576,0.189769357,-1.122821015,4.122317053,0.161908462,-2.681701486,6.400660446,0.197290354,0.833150538,-2.566990751,-1
28,MODEL1,PARMS,RLL,1.056708748,14.07827134,-0.001330677,-0.355000618,0.974884531,-0.494214417,1.743866339,-4.138508338,0.129577521,0.461097265,-0.966403138,-1
29,MODEL1,PARMS,RLL,0.987010513,12.61304157,0.092912117,-0.645564967,2.493057222,-0.382142513,1.139548725,-3.103624336,-0.029997192,0.915367977,-1.992705479,-1
30,MODEL1,PARMS,RLL,0.968517069,6.43116449,0.065833832,-0.407181733,1.11148415,-0.008805822,0.399209896,-1.403628219,-0.016811001,1.049671389,-2.767350969,-1
31,MODEL1,PARMS,RLL,1.024290514,3.298850436,0.032930472,-0.336538164,0.719842769,0.268523248,-0.696605866,1.119575275,-0.287390921,2.154861008,-5.570138975,-1
32,MODEL1,PARMS,RLL,0.964284756,15.25504725,0.288406582,-0.295038492,-0.523660933,-0.673075543,2.159000119,-3.781627898,0.135070971,0.462647784,-1.476512784,-1
33,MODEL1,PARMS,RLL,1.016729567,11.8341301,0.106799365,-0.817310893,2.710431251,-0.241869708,0.904926384,-3.089865628,-0.362344813,1.823393295,-3.457636812,-1
34,MODEL1,PARMS,RLL,0.984878723,12.86844137,0.128594364,-0.419510717,0.967140533,-0.301724161,0.297700714,-0.334525932,-0.490653742,3.388882017,-8.075939483,-1
35,MODEL1,PARMS,RLL,0.973946505,-1.23858413,0.057755513,0.145688132,-1.29249672,0.500330951,-1.679824874,3.422479762,-0.24016206,1.652505469,-3.902657531,-1
36,MODEL1,PARMS,RLL,0.965578623,8.950378498,0.233442315,-0.872671171,2.959174392,-0.143341035,-0.45127341,1.356055266,-0.198831302,1.326095969,-3.048032538,-1
37,MODEL1,PARMS,RLL,1.015815777,9.030621666,0.125746162,-0.290149851,0.396322025,-0.241377953,0.545461998,-0.858790412,0.148444172,0.228895972,-0.909330564,-1
38,MODEL1,PARMS,RLL,1.030508684,13.2130199,0.10900013,-0.529540947,1.4572005,-0.43986527,2.219699774,-5.406546711,-0.029923011,1.072973323,-2.530743039,-1
39,MODEL1,PARMS,RLL,1.077678534,10.40890392,0.057590101,-0.168279335,-0.101582468,-0.279934399,0.603828501,-1.711601389,0.074295991,1.019656692,-2.38217184,-1
40,MODEL1,PARMS,RLL,1.005634065,14.03685433,0.137959184,-0.310424345,0.523988361,-0.537493256,2.08120716,-4.288565327,0.065476156,1.093943962,-3.044212651,-1
41,MODEL1,PARMS,RLL,0.999713205,5.683645164,-0.058992951,-0.447380165,2.036679344,0.019389439,0.16664355,-0.755079288,0.184739844,0.038166855,-0.164050579,-1
42,MODEL1,PARMS,RLL,1.034755862,23.10112234,0.111087647,-0.930672927,3.432274845,-0.939899217,2.110926222,-4.309773926,-0.268554567,1.469845004,-2.896507512,-1
43,MODEL1,PARMS,RLL,1.012502336,0.843720436,-0.084965052,-0.028399321,-0.187494029,0.444910722,-2.969572566,7.080920493,-0.265733173,2.052381786,-5.057102919,-1
44,MODEL1,PARMS,RLL,1.081701712,4.322380759,-0.049060873,-0.13008799,0.590880844,0.163248288,-1.275539183,3.720996228,-0.04635017,1.102984271,-3.325410267,-1
45,MODEL1,PARMS,RLL,0.931317964,-4.272764968,0.058076791,-0.492336181,1.877013932,0.692337802,-2.822684905,6.187616804,-0.152910325,1.090831127,-2.553355525,-1
46,MODEL1,PARMS,RLL,0.922860613,8.801207222,0.044675062,-0.433007449,1.591955419,-0.225109108,1.312344526,-3.41702902,0.210726639,0.606349254,-1.816841458,-1
47,MODEL1,PARMS,RLL,0.993670753,11.91331164,0.418056082,-1.149316713,3.838258283,-0.351668342,0.359667779,-0.661138635,-0.313902499,1.520827493,-2.916741468,-1
48,MODEL1,PARMS,RLL,1.031309178,5.913947728,0.054037881,-0.55923993,1.404042408,0.104683225,-0.29604693,0.722717393,-0.251738574,1.164969846,-2.562179008,-1
49,MODEL1,PARMS,RLL,1.021793218,10.16966127,0.139564802,-0.630139492,2.059867832,-0.188134433,0.992080946,-2.654263065,-0.28582706,1.524978393,-3.231026217,-1
50,MODEL1,PARMS,RLL,0.996232809,4.542019008,-0.096055326,0.027850278,-0.74153134,0.174960562,-1.035769036,1.602002567,-0.066496528,0.838501997,-1.57818305,-1
51,MODEL1,PARMS,RLL,0.917503208,-1.471565596,0.118627718,-0.523938622,1.78802825,0.47665829,-1.814925603,3.811604866,-0.126638609,1.581265143,-3.713620373,-1
52,MODEL1,PARMS,RLL,0.945034869,16.50738936,-0.05529447,0.184463743,-1.416451819,-0.551279207,1.486296486,-2.701856711,-0.12074763,0.678629417,-1.600656583,-1
53,MODEL1,PARMS,RLL,0.994213346,14.64863267,0.096009142,-0.26132475,0.46079967,-0.41978704,1.517868619,-3.348551489,-0.471341881,3.319736937,-8.213425104,-1
54,MODEL1,PARMS,RLL,0.947862858,16.13345904,0.01965549,-0.272952523,0.88161631,-0.584606509,1.842951774,-4.080868861,-0.025863022,0.908825282,-2.114461241,-1
55,MODEL1,PARMS,RLL,1.014551167,1.047323739,-0.178676679,0.04227796,-0.037457575,0.394893387,-1.627932814,3.457347578,-0.012467486,1.256970075,-3.232860133,-1
56,MODEL1,PARMS,RLL,1.137771187,9.628095425,0.076813327,-1.225869999,4.720792802,-0.047613632,-1.277554112,3.326835419,-0.469738194,2.721486209,-6.509468359,-1
