SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LUL
1,MODEL1,PARMS,LUL,1.201756315,4.208760939,0.300944788,-0.597165591,2.145776043,-0.031968032,-2.833397108,8.61267463,0.780615731,-0.78818725,0.541536381,-1
2,MODEL1,PARMS,LUL,1.045959101,-2.233409947,0.016478059,0.478265361,-1.64423137,0.402042005,-1.198465417,2.827612673,0.75406567,-1.210515688,1.906440461,-1
3,MODEL1,PARMS,LUL,0.948686175,-1.503111967,0.071892643,0.100776712,-0.264746353,0.460306901,-2.658360229,6.526196315,0.339116123,0.913509512,-3.178501692,-1
4,MODEL1,PARMS,LUL,1.049542766,8.043012861,-0.028201719,0.073013685,0.678466604,-0.118896114,-0.217397883,0.755930164,0.514337846,-0.419838937,0.554602061,-1
5,MODEL1,PARMS,LUL,1.060469372,-5.827116906,0.046671728,-0.340543963,2.34995382,0.756083507,-4.522544906,11.22016753,0.355215275,0.800030696,-3.591716162,-1
6,MODEL1,PARMS,LUL,1.094037737,12.92590447,-0.172762126,0.579876694,-2.345777866,-0.413925749,-0.081931713,1.221644402,0.677002076,-0.579589027,0.803870479,-1
7,MODEL1,PARMS,LUL,1.118310121,15.03685568,0.135839505,-0.109530809,0.002065339,-0.57888905,1.656574495,-2.918017858,0.44234433,-0.034946678,-0.344763726,-1
8,MODEL1,PARMS,LUL,1.109284734,2.149121293,-0.00181099,0.388015917,-1.339127379,0.246120467,-1.072279356,2.577657724,0.396335256,0.014679294,-0.171796282,-1
9,MODEL1,PARMS,LUL,1.003112346,2.121438203,0.186072511,0.172573785,-1.323274858,0.089644443,-0.244148779,0.74627634,0.686181775,-0.11960964,-0.747393203,-1
10,MODEL1,PARMS,LUL,1.031443835,4.039232473,-0.026389318,0.182162799,-0.749399966,0.133897697,-2.192615587,6.06701964,0.537815526,-0.249749875,-0.32943472,-1
11,MODEL1,PARMS,LUL,1.068824015,12.91385023,0.295320041,-0.448630703,1.856838485,-0.337832555,0.50675556,-0.198036839,-0.180872867,1.671833627,-4.00138545,-1
12,MODEL1,PARMS,LUL,1.155102708,-1.470526339,0.30690734,-0.219713054,-0.025430799,0.366176397,-3.996843176,9.94775208,0.462262935,1.204557475,-4.060780063,-1
