SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,ers_tot,ers_tot1,ers_tot2,LLB6
1,MODEL1,PARMS,LLB6,1.048267544,4.454521268,0.340495857,-1.035304094,4.261662153,0.173309312,-1.358844754,4.21351989,-0.099448073,1.492970455,-3.955838848,-1
2,MODEL1,PARMS,LLB6,1.210155436,-0.870765579,0.080596039,-0.321181381,1.294918095,0.461105992,-1.929896065,4.778538597,0.321902312,0.167967418,-1.047904952,-1
3,MODEL1,PARMS,LLB6,1.145886167,0.215564288,0.24995142,-0.555615959,1.859962568,0.358394108,-2.240827994,5.470720103,0.145101641,2.17314793,-6.078331355,-1
4,MODEL1,PARMS,LLB6,1.218292107,10.52641302,0.270852738,-1.351763019,5.462992004,-0.315608119,0.40836993,-0.562016617,0.44560011,0.170109301,-0.794594977,-1
5,MODEL1,PARMS,LLB6,1.10823564,-1.386245001,0.437727126,-1.45226906,5.462829848,0.510055348,-3.772266221,9.064831981,-0.048366528,2.166471518,-5.965762212,-1
6,MODEL1,PARMS,LLB6,1.212885571,8.552499959,0.13273706,-1.107881016,5.362603093,-0.230586607,-1.21163734,4.411834687,0.770587392,-0.471509625,-0.15947077,-1
7,MODEL1,PARMS,LLB6,1.246816587,1.448803251,0.364573868,-0.94915352,3.047194418,0.468845482,-1.95616094,4.084739878,-0.55711204,3.210333401,-7.540421511,-1
8,MODEL1,PARMS,LLB6,1.099361949,-0.437519021,0.29100466,-0.844110281,2.809667387,0.314464024,-2.311761696,5.118176402,0.517794714,0.192573998,-1.025592895,-1
9,MODEL1,PARMS,LLB6,1.089480552,6.355931433,0.393893526,-1.007491092,3.062121847,-0.130490637,-1.247311285,3.40196313,0.444879798,1.129366458,-3.289146736,-1
10,MODEL1,PARMS,LLB6,1.158481125,2.195359679,0.378861144,-0.891837463,3.167931379,0.243637934,-2.627177442,6.358081493,0.115572449,2.016914972,-5.7383914,-1
11,MODEL1,PARMS,LLB6,1.139268957,-0.029939286,0.269936283,-0.921711573,3.825060198,0.45007284,-2.407220794,5.570040989,-0.014596617,1.234931469,-3.286756217,-1
12,MODEL1,PARMS,LLB6,1.217034296,-1.980882471,0.183851958,-0.252930442,0.317637724,0.543949394,-2.687743254,5.383622856,0.051458786,2.39873343,-6.075332628,-1
13,MODEL1,PARMS,LLB6,1.101490584,5.321864304,0.298209702,-1.136769216,4.426928624,0.138708219,-1.699843715,4.463723349,-0.067358787,1.676918456,-4.232862925,-1
14,MODEL1,PARMS,LLB6,1.168082198,-0.023612052,0.127160226,-0.592215548,2.169829676,0.443999145,-2.670571113,6.595298466,0.163796782,0.623620151,-1.824763087,-1
15,MODEL1,PARMS,LLB6,1.058953085,-2.58180267,0.265953981,-1.081959442,4.69766008,0.455778397,-1.73578653,3.928781821,0.496782545,0.208572109,-1.486499147,-1
16,MODEL1,PARMS,LLB6,1.162434541,2.790717519,0.457858266,-1.439057203,5.989162723,0.024490425,-1.042518897,3.075926345,0.762671917,-1.433332987,2.838903208,-1
17,MODEL1,PARMS,LLB6,1.114084327,-1.121211512,0.395943501,-1.156766895,4.051413339,0.432801034,-2.502957785,5.444669894,0.177459247,0.34248579,-0.896929959,-1
18,MODEL1,PARMS,LLB6,1.180068002,8.172438779,0.15569355,-0.575085406,2.345224625,-0.152913121,-0.610183136,2.118647195,0.442338662,0.330938856,-1.491907665,-1
19,MODEL1,PARMS,LLB6,1.102635262,3.700563458,0.318975877,-1.450037744,5.431975456,0.213839633,-1.962032396,4.808948681,0.063912982,0.908494109,-2.541891842,-1
20,MODEL1,PARMS,LLB6,1.091521598,-4.841257457,0.287156334,-0.766651596,2.534179745,0.72858322,-2.503928891,4.934804969,-0.035861891,1.67636148,-4.421706617,-1
21,MODEL1,PARMS,LLB6,1.108570053,-3.973045431,0.18720568,-0.169376309,0.265019713,0.658555454,-3.345725271,7.244726299,0.11242656,1.118982032,-2.64579461,-1
22,MODEL1,PARMS,LLB6,1.250182667,14.04372313,0.295587989,-1.020781001,3.668418028,-0.261769518,0.35240875,-0.025408763,-0.511077685,1.640110293,-3.335842267,-1
23,MODEL1,PARMS,LLB6,1.113462475,-6.806822983,0.197679937,-0.561515306,2.188713548,0.904300837,-4.302812336,9.323212945,-0.108247913,1.813232417,-4.781621192,-1
24,MODEL1,PARMS,LLB6,1.050392696,3.800861577,0.158252045,-0.808114621,3.434404595,0.159095001,-1.653016566,4.659534874,0.312201643,0.592072391,-2.260162243,-1
25,MODEL1,PARMS,LLB6,1.148368686,7.715811577,0.172212369,-0.996416041,3.724439856,-0.010541617,-2.477549382,6.715059705,0.143336426,1.63504866,-4.763597998,-1
26,MODEL1,PARMS,LLB6,1.134222417,8.533636399,0.379350483,-1.086578762,4.212589069,-0.143421589,-0.901008196,2.710712037,0.102819084,1.450453258,-3.840988808,-1
27,MODEL1,PARMS,LLB6,1.072975488,2.483413535,0.391047393,-1.608575281,6.256144834,0.124966464,-1.407999238,3.364597026,0.593024326,-0.904375146,1.528128495,-1
28,MODEL1,PARMS,LLB6,1.118034155,3.919743796,0.390204947,-1.207775173,4.45596248,0.029249485,-0.896001099,1.818404715,0.536580504,-0.621616034,1.459049642,-1
29,MODEL1,PARMS,LLB6,1.052203307,5.663837883,0.530993693,-1.648933467,6.011609331,0.040474163,-1.133091706,2.394652618,-0.087886722,2.4418656,-6.173018662,-1
